sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,1.1709,0.3547,,original
T=0.3_2_original,0.3,1.1279,0.3492,,original
T=0.3_3_original,0.3,1.1818,0.3296,,original
T=0.3_4_original,0.3,1.2191,0.3547,,original
T=0.3_5_original,0.3,1.0522,0.3156,,original
T=0.3_6_original,0.3,1.1186,0.324,,original
T=0.3_7_original,0.3,1.1142,0.3771,,original
T=0.3_8_original,0.3,1.1077,0.3268,,original
T=0.3_9_original,0.3,1.1076,0.3492,,original
T=0.3_10_original,0.3,1.1187,0.3296,,original
T=0.3_11_original,0.3,1.1222,0.3324,,original
T=0.3_12_original,0.3,1.1377,0.3296,,original
T=0.3_13_original,0.3,1.0586,0.3184,,original
T=0.3_14_original,0.3,1.1628,0.3352,,original
T=0.3_15_original,0.3,1.0986,0.3603,,original
T=0.3_16_original,0.3,1.058,0.3827,,original
T=0.3_17_original,0.3,1.2013,0.324,,original
T=0.3_18_original,0.3,1.0761,0.3464,,original
T=0.3_19_original,0.3,1.0559,0.338,,original
T=0.3_20_original,0.3,1.1719,0.3436,,original
T=0.3_21_original,0.3,1.1262,0.3352,,original
T=0.3_22_original,0.3,1.1552,0.3436,,original
T=0.3_23_original,0.3,1.1471,0.3771,,original
T=0.3_24_original,0.3,1.1491,0.3492,,original
T=0.3_25_original,0.3,1.1514,0.3324,,original
T=0.3_26_original,0.3,1.1137,0.3101,,original
T=0.3_27_original,0.3,1.0532,0.352,,original
T=0.3_28_original,0.3,1.1858,0.3631,,original
T=0.3_29_original,0.3,1.0728,0.3268,,original
T=0.3_30_original,0.3,1.1096,0.3156,,original
T=0.3_31_original,0.3,1.0765,0.3017,,original
T=0.3_32_original,0.3,1.0662,0.3156,,original
T=0.3_33_original,0.3,1.1898,0.3492,,original
T=0.3_34_original,0.3,1.0805,0.3073,,original
T=0.3_35_original,0.3,1.0588,0.3492,,original
T=0.3_36_original,0.3,1.1957,0.3352,,original
T=0.3_37_original,0.3,1.1512,0.3436,,original
T=0.3_38_original,0.3,1.0959,0.3268,,original
T=0.3_39_original,0.3,1.0591,0.3464,,original
T=0.3_40_original,0.3,1.061,0.3659,,original
T=0.3_41_original,0.3,1.0744,0.3212,,original
T=0.3_42_original,0.3,1.0989,0.338,,original
T=0.3_43_original,0.3,1.1409,0.3296,,original
T=0.3_44_original,0.3,1.1354,0.3296,,original
T=0.3_45_original,0.3,1.0993,0.3352,,original
T=0.3_46_original,0.3,1.0375,0.3436,,original
T=0.3_47_original,0.3,1.0781,0.3324,,original
T=0.3_48_original,0.3,1.085,0.3324,,original
T=0.3_49_original,0.3,1.086,0.3492,,original
T=0.3_50_original,0.3,1.0895,0.3268,,original
T=0.3_1_wm,0.3,1.1223,0.3156,,wm
T=0.3_2_wm,0.3,1.1702,0.3492,,wm
T=0.3_3_wm,0.3,1.1419,0.3045,,wm
T=0.3_4_wm,0.3,1.1709,0.3464,,wm
T=0.3_5_wm,0.3,1.1367,0.3073,,wm
T=0.3_6_wm,0.3,1.0604,0.3324,,wm
T=0.3_7_wm,0.3,1.1206,0.3436,,wm
T=0.3_8_wm,0.3,1.1181,0.3101,,wm
T=0.3_9_wm,0.3,1.0452,0.3296,,wm
T=0.3_10_wm,0.3,1.0926,0.3268,,wm
T=0.3_11_wm,0.3,1.1414,0.3352,,wm
T=0.3_12_wm,0.3,1.161,0.3128,,wm
T=0.3_13_wm,0.3,1.0838,0.324,,wm
T=0.3_14_wm,0.3,1.1204,0.3464,,wm
T=0.3_15_wm,0.3,1.1725,0.338,,wm
T=0.3_16_wm,0.3,1.0555,0.3603,,wm
T=0.3_17_wm,0.3,1.1517,0.3128,,wm
T=0.3_18_wm,0.3,1.1609,0.3575,,wm
T=0.3_19_wm,0.3,1.0792,0.3268,,wm
T=0.3_20_wm,0.3,1.167,0.338,,wm
T=0.3_21_wm,0.3,1.1754,0.3436,,wm
T=0.3_22_wm,0.3,1.1801,0.324,,wm
T=0.3_23_wm,0.3,1.1224,0.3631,,wm
T=0.3_24_wm,0.3,1.1428,0.3659,,wm
T=0.3_25_wm,0.3,1.1274,0.3352,,wm
T=0.3_26_wm,0.3,1.0754,0.3101,,wm
T=0.3_27_wm,0.3,1.1465,0.324,,wm
T=0.3_28_wm,0.3,1.145,0.3296,,wm
T=0.3_29_wm,0.3,1.1079,0.324,,wm
T=0.3_30_wm,0.3,1.1069,0.3128,,wm
T=0.3_31_wm,0.3,1.0959,0.2905,,wm
T=0.3_32_wm,0.3,1.0945,0.3212,,wm
T=0.3_33_wm,0.3,1.0872,0.3464,,wm
T=0.3_34_wm,0.3,1.0668,0.324,,wm
T=0.3_35_wm,0.3,1.0683,0.3436,,wm
T=0.3_36_wm,0.3,1.1701,0.3073,,wm
T=0.3_37_wm,0.3,1.2383,0.3156,,wm
T=0.3_38_wm,0.3,1.1929,0.3575,,wm
T=0.3_39_wm,0.3,1.1733,0.3464,,wm
T=0.3_40_wm,0.3,1.091,0.352,,wm
T=0.3_41_wm,0.3,1.0956,0.3408,,wm
T=0.3_42_wm,0.3,1.1414,0.3352,,wm
T=0.3_43_wm,0.3,1.1396,0.338,,wm
T=0.3_44_wm,0.3,1.1601,0.3436,,wm
T=0.3_45_wm,0.3,1.1059,0.3352,,wm
T=0.3_46_wm,0.3,1.1613,0.3156,,wm
T=0.3_47_wm,0.3,1.0977,0.3324,,wm
T=0.3_48_wm,0.3,1.0634,0.3296,,wm
T=0.3_49_wm,0.3,1.0913,0.3436,,wm
T=0.3_50_wm,0.3,1.1452,0.3436,,wm
T=0.1_1_original,0.1,0.9955,0.3128,,original
T=0.1_2_original,0.1,0.978,0.3464,,original
T=0.1_3_original,0.1,1.0073,0.3492,,original
T=0.1_4_original,0.1,1.0641,0.3324,,original
T=0.1_5_original,0.1,1.0268,0.3324,,original
