sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,0.9211,0.5266,84.65613049095607,original
T=0.5_2_original,0.5,0.9076,0.5266,88.21971005154639,original
T=0.5_3_original,0.5,0.9739,0.5169,83.61811333333333,original
T=0.5_4_original,0.5,0.8718,0.5266,87.19183808891839,original
T=0.5_5_original,0.5,0.9734,0.4879,84.84551239115875,original
T=0.5_6_original,0.5,0.8885,0.5314,85.2277843137255,original
T=0.5_7_original,0.5,0.8415,0.5556,87.3413698630137,original
T=0.5_8_original,0.5,0.8895,0.5459,86.52243624161075,original
T=0.5_9_original,0.5,0.9006,0.5845,87.67560925799864,original
T=0.5_10_original,0.5,0.8875,0.5749,85.12868154158215,original
T=0.5_11_original,0.5,0.9353,0.5507,84.93835790884718,original
T=0.5_12_original,0.5,0.9055,0.5459,87.3242523364486,original
T=0.5_13_original,0.5,0.912,0.5266,86.02656185919344,original
T=0.5_14_original,0.5,0.8948,0.5266,87.19369393139843,original
T=0.5_15_original,0.5,0.9258,0.5072,85.90214909335124,original
T=0.5_16_original,0.5,0.8808,0.5217,86.66775214238629,original
T=0.5_17_original,0.5,0.8875,0.5266,86.47879679144386,original
T=0.5_18_original,0.5,0.8194,0.5217,85.77832782551224,original
T=0.5_19_original,0.5,0.9215,0.5217,87.56868775235532,original
T=0.5_20_original,0.5,0.8819,0.5362,85.83589248793936,original
T=0.5_21_original,0.5,0.9086,0.5459,85.05152666666667,original
T=0.5_22_original,0.5,0.8519,0.5314,86.23880211780278,original
T=0.5_23_original,0.5,0.9176,0.5459,85.39601218686526,original
T=0.5_24_original,0.5,0.9327,0.5072,84.29465879265092,original
T=0.5_25_original,0.5,0.8755,0.5652,87.52316958277255,original
T=0.5_26_original,0.5,0.8561,0.5556,87.73176393442623,original
T=0.5_27_original,0.5,0.9285,0.5024,85.46949174917492,original
T=0.5_28_original,0.5,0.9313,0.5797,85.32729139072848,original
T=0.5_29_original,0.5,0.9154,0.5362,86.10140760507005,original
T=0.5_30_original,0.5,0.9815,0.5266,84.35582039162728,original
T=0.5_31_original,0.5,0.959,0.5217,85.96709633649932,original
T=0.5_32_original,0.5,0.8748,0.5217,87.06318548387097,original
T=0.5_33_original,0.5,0.851,0.5072,85.7714419852448,original
T=0.5_34_original,0.5,0.8758,0.5507,85.2978808395396,original
T=0.5_35_original,0.5,0.8385,0.5459,86.82447599729547,original
T=0.5_36_original,0.5,0.8586,0.5314,88.12572854291417,original
T=0.5_37_original,0.5,0.9132,0.57,85.46124260355029,original
T=0.5_38_original,0.5,0.9023,0.5411,84.69683322517847,original
T=0.5_39_original,0.5,0.8915,0.5121,83.172454308094,original
T=0.5_40_original,0.5,0.8785,0.5314,81.59573559322034,original
T=0.5_41_original,0.5,0.9203,0.5459,86.60564666666667,original
T=0.5_42_original,0.5,0.9262,0.5266,86.84862068965516,original
T=0.5_43_original,0.5,0.8702,0.5362,86.62570655848546,original
T=0.5_44_original,0.5,0.8587,0.5024,85.67427807486631,original
T=0.5_45_original,0.5,0.8919,0.5169,87.0876180698152,original
T=0.5_46_original,0.5,0.9437,0.5556,87.76255968169761,original
T=0.5_47_original,0.5,0.9407,0.5024,79.43154218533887,original
T=0.5_48_original,0.5,0.8875,0.5314,86.24463447350772,original
T=0.5_49_original,0.5,0.9426,0.5749,87.20706416072586,original
T=0.5_50_original,0.5,0.8792,0.5121,87.65841090425532,original
T=0.5_1_wm,0.5,0.9084,0.5217,83.15622266401591,wm
T=0.5_2_wm,0.5,0.923,0.4928,86.47150573936528,wm
T=0.5_3_wm,0.5,0.9252,0.5362,88.10422591362125,wm
T=0.5_4_wm,0.5,0.9456,0.5362,83.79693999999999,wm
T=0.5_5_wm,0.5,0.8975,0.5411,88.03346020761246,wm
T=0.5_6_wm,0.5,0.9299,0.5459,84.93954842931937,wm
T=0.5_7_wm,0.5,0.8429,0.5411,88.61135902636917,wm
T=0.5_8_wm,0.5,0.9456,0.5169,84.8413849287169,wm
T=0.5_9_wm,0.5,0.9202,0.5314,86.40088813559323,wm
T=0.5_10_wm,0.5,0.876,0.5314,85.73832882273342,wm
T=0.5_11_wm,0.5,0.9209,0.5217,85.06766112956811,wm
T=0.5_12_wm,0.5,0.8545,0.5507,85.67675099866845,wm
T=0.5_13_wm,0.5,0.8718,0.5314,89.20204745762712,wm
T=0.5_14_wm,0.5,0.9368,0.5556,88.681940397351,wm
T=0.5_15_wm,0.5,0.8887,0.5121,86.62903333333334,wm
T=0.5_16_wm,0.5,0.8989,0.5411,87.94229986431479,wm
T=0.5_17_wm,0.5,0.9213,0.5266,84.31388743455497,wm
T=0.5_18_wm,0.5,0.8625,0.5072,85.81997963340122,wm
T=0.5_19_wm,0.5,0.9004,0.5169,86.19295994568907,wm
T=0.5_20_wm,0.5,0.9472,0.5121,85.68432005494505,wm
T=0.5_21_wm,0.5,0.8465,0.5604,83.14588586595885,wm
T=0.5_22_wm,0.5,0.8993,0.5411,84.55220922677063,wm
T=0.5_23_wm,0.5,0.9133,0.5459,86.02462,wm
T=0.5_24_wm,0.5,0.9195,0.5556,86.98076717811875,wm
T=0.5_25_wm,0.5,0.8886,0.5459,85.29245967741934,wm
T=0.5_26_wm,0.5,0.8961,0.5266,83.56106369008536,wm
T=0.5_27_wm,0.5,0.9067,0.4734,84.20952286282305,wm
T=0.5_28_wm,0.5,0.8811,0.5797,87.00248500999335,wm
T=0.5_29_wm,0.5,0.8847,0.5217,86.12636959370904,wm
T=0.5_30_wm,0.5,0.9028,0.5652,86.21482432432433,wm
T=0.5_31_wm,0.5,0.8918,0.5314,85.97597454789016,wm
T=0.5_32_wm,0.5,0.901,0.5266,85.2863914780293,wm
T=0.5_33_wm,0.5,0.8411,0.5072,84.75302294197031,wm
T=0.5_34_wm,0.5,0.9344,0.4976,82.49724441435342,wm
T=0.5_35_wm,0.5,0.8624,0.5362,84.37377762893503,wm
T=0.5_36_wm,0.5,0.9142,0.5314,85.41667332002662,wm
T=0.5_37_wm,0.5,0.9114,0.5507,86.43093351242445,wm
T=0.5_38_wm,0.5,0.8886,0.5411,84.46920772303595,wm
T=0.5_39_wm,0.5,0.8786,0.5266,85.93152786885246,wm
T=0.5_40_wm,0.5,0.8976,0.5604,88.12432786885246,wm
T=0.5_41_wm,0.5,0.8731,0.5411,86.24992089650628,wm
T=0.5_42_wm,0.5,0.93,0.5266,86.71877441077442,wm
T=0.5_43_wm,0.5,0.8637,0.5411,87.36921087533158,wm
T=0.5_44_wm,0.5,0.8764,0.5266,84.31703361898484,wm
T=0.5_45_wm,0.5,0.914,0.4976,85.20460964019007,wm
T=0.5_46_wm,0.5,0.9431,0.5507,86.70968561872911,wm
T=0.5_47_wm,0.5,0.9138,0.5072,85.09667580534612,wm
T=0.5_48_wm,0.5,0.9344,0.4928,82.625330634278,wm
T=0.5_49_wm,0.5,0.8976,0.5411,86.5177925531915,wm
T=0.5_50_wm,0.5,0.8606,0.5217,84.0020066889632,wm
T=0.7_1_original,0.7,1.1486,0.4928,82.82633893919792,original
T=0.7_2_original,0.7,1.1183,0.4879,82.51293885601578,original
T=0.7_3_original,0.7,1.0977,0.4928,81.84104026845637,original
T=0.7_4_original,0.7,1.078,0.5072,83.4927,original
T=0.7_5_original,0.7,1.2545,0.4589,83.34934543097862,original
T=0.7_6_original,0.7,1.1364,0.4879,82.77486398963731,original
T=0.7_7_original,0.7,1.0752,0.5024,82.42943371085941,original
T=0.7_8_original,0.7,1.0757,0.5024,85.50744623655915,original
T=0.7_9_original,0.7,1.0591,0.5266,86.47157966101695,original
T=0.7_10_original,0.7,1.1241,0.5266,85.08605019815059,original
T=0.7_11_original,0.7,1.0726,0.4976,81.47386363636363,original
T=0.7_12_original,0.7,1.1391,0.4734,86.02701834862384,original
T=0.7_13_original,0.7,1.0829,0.4831,84.24874079035499,original
T=0.7_14_original,0.7,1.0302,0.5169,85.2485197368421,original
T=0.7_15_original,0.7,1.1228,0.4831,82.34844634628045,original
T=0.7_16_original,0.7,1.1821,0.4541,83.29366233766233,original
T=0.7_17_original,0.7,1.0432,0.5169,86.32220361687877,original
T=0.7_18_original,0.7,1.105,0.4638,83.81018697614442,original
T=0.7_19_original,0.7,1.1543,0.4589,82.3209202059202,original
T=0.7_20_original,0.7,1.2329,0.4734,83.58170731707317,original
T=0.7_21_original,0.7,1.085,0.5314,83.0743868852459,original
T=0.7_22_original,0.7,1.0754,0.4831,84.8305042567125,original
T=0.7_23_original,0.7,1.1515,0.4976,84.62750993377485,original
T=0.7_24_original,0.7,1.1314,0.4831,82.56655036208032,original
T=0.7_25_original,0.7,1.1632,0.5024,83.22565274151437,original
T=0.7_26_original,0.7,1.0777,0.5217,81.41087719298245,original
T=0.7_27_original,0.7,1.1366,0.4638,83.71667096774193,original
T=0.7_28_original,0.7,1.1203,0.5459,82.70710078534032,original
T=0.7_29_original,0.7,1.2062,0.4783,82.40343582887701,original
T=0.7_30_original,0.7,1.1456,0.4928,83.54463024650234,original
T=0.7_31_original,0.7,1.1132,0.4879,86.3140321500335,original
T=0.7_32_original,0.7,1.0556,0.5072,84.06868680236376,original
T=0.7_33_original,0.7,1.0461,0.5217,85.75686222808174,original
T=0.7_34_original,0.7,1.182,0.5169,83.31069888961463,original
T=0.7_35_original,0.7,1.0618,0.5169,84.66902488231338,original
T=0.7_36_original,0.7,1.1333,0.4928,82.26635003253091,original
T=0.7_37_original,0.7,1.2611,0.5121,82.55760634920635,original
T=0.7_38_original,0.7,1.0843,0.5604,82.65115055884286,original
T=0.7_39_original,0.7,1.1286,0.4589,81.42795793758481,original
T=0.7_40_original,0.7,1.1304,0.5072,78.27023762376238,original
T=0.7_41_original,0.7,1.2043,0.4686,83.61696498054475,original
T=0.7_42_original,0.7,1.1165,0.4976,85.68159045725646,original
T=0.7_43_original,0.7,1.1895,0.4976,77.6268286099865,original
T=0.7_44_original,0.7,1.0937,0.4348,85.69758300132801,original
T=0.7_45_original,0.7,1.0598,0.4686,84.71233631977947,original
T=0.7_46_original,0.7,1.2718,0.4928,84.61998040496408,original
T=0.7_47_original,0.7,1.1361,0.4638,85.11548748353096,original
T=0.7_48_original,0.7,1.139,0.5314,84.78075033200531,original
T=0.7_49_original,0.7,1.1331,0.5217,86.00666666666666,original
T=0.7_50_original,0.7,1.0927,0.4976,85.63593220338983,original
T=0.7_1_wm,0.7,1.1012,0.4783,83.89730590577305,wm
T=0.7_2_wm,0.7,1.2695,0.4348,75.97213765718067,wm
T=0.7_3_wm,0.7,1.0293,0.5024,84.93900604432504,wm
T=0.7_4_wm,0.7,1.2116,0.4831,82.82974017321786,wm
T=0.7_5_wm,0.7,1.0216,0.5749,82.85704081632653,wm
T=0.7_6_wm,0.7,1.0898,0.4976,83.18034436191762,wm
T=0.7_7_wm,0.7,1.1382,0.4879,81.40768543956044,wm
T=0.7_8_wm,0.7,1.1311,0.5024,83.8173907195696,wm
T=0.7_9_wm,0.7,1.0947,0.4928,84.17984353741497,wm
T=0.7_10_wm,0.7,1.3251,0.5024,76.9862742561449,wm
T=0.7_11_wm,0.7,1.0663,0.5314,85.86699213630406,wm
T=0.7_12_wm,0.7,1.2467,0.4589,84.30397295556986,wm
