sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.2556,0.4279,79.30184748915066,original
T=0.7_2_original,0.7,1.2895,0.4247,76.28936948297604,original
T=0.7_3_original,0.7,1.2748,0.4151,78.83335089567966,original
T=0.7_4_original,0.7,1.2246,0.4311,78.8858202388435,original
T=0.7_5_original,0.7,1.1863,0.4744,80.598551998326,original
T=0.7_6_original,0.7,1.1913,0.4311,77.66053119209388,original
T=0.7_7_original,0.7,1.2983,0.4119,74.37882365231927,original
T=0.7_8_original,0.7,1.2137,0.4551,80.84960804862712,original
T=0.7_9_original,0.7,1.223,0.4359,79.00640608713779,original
T=0.7_10_original,0.7,1.2132,0.4375,79.43142496847415,original
T=0.7_11_original,0.7,1.2605,0.4295,79.48007467330429,original
T=0.7_12_original,0.7,1.3304,0.3974,78.5968188361094,original
T=0.7_13_original,0.7,1.2718,0.4295,77.39711120401338,original
T=0.7_14_original,0.7,1.2978,0.4071,77.88412262592898,original
T=0.7_15_original,0.7,1.1941,0.4439,78.58841450558718,original
T=0.7_16_original,0.7,1.2031,0.4471,78.61962283809127,original
T=0.7_17_original,0.7,1.1956,0.4423,79.32479083455961,original
T=0.7_18_original,0.7,1.2578,0.4183,79.47762817840767,original
T=0.7_19_original,0.7,1.2822,0.4407,76.77252443335414,original
T=0.7_20_original,0.7,1.205,0.4423,78.65097418817652,original
T=0.7_21_original,0.7,1.2417,0.4519,79.9390742645546,original
T=0.7_22_original,0.7,1.3126,0.3878,77.44212158554117,original
T=0.7_23_original,0.7,1.2198,0.4391,78.67964210966932,original
T=0.7_24_original,0.7,1.2618,0.4439,79.04343988451227,original
T=0.7_25_original,0.7,1.2703,0.4295,76.87276869636288,original
T=0.7_26_original,0.7,1.2797,0.4279,79.9191855670103,original
T=0.7_27_original,0.7,1.2314,0.4375,76.33647527242246,original
T=0.7_28_original,0.7,1.2779,0.4151,76.71372891814067,original
T=0.7_29_original,0.7,1.1813,0.4279,77.87872129766168,original
