,sample,iteration,entropy,pLDDT
0,000000,1,0.70556640625,0.7949
1,000000,2,0.7109375,0.7935
2,000000,3,0.6884765625,0.7778
3,000000,4,0.6552734375,0.77
4,000000,5,0.63525390625,0.7705
5,000000,6,0.6533203125,0.7822
6,000000,7,0.62353515625,0.7705
7,000000,8,0.5595703125,0.7725
8,000000,9,0.5634765625,0.7759
9,000000,10,0.5615234375,0.7734
10,000000,11,0.462646484375,0.7759
11,000000,12,0.383056640625,0.769
12,000000,13,0.32080078125,0.8086
13,000000,14,0.319091796875,0.8105
14,000000,15,0.2318115234375,0.8032
15,000000,16,0.239501953125,0.814
16,000000,17,0.214599609375,0.7944
17,000000,18,0.2012939453125,0.7852
18,000000,19,0.181396484375,0.7896
19,000000,20,0.208251953125,0.8125
20,000000,21,0.353271484375,0.8027
21,000000,22,0.548828125,0.8208
22,000000,23,0.63134765625,0.7944
23,000000,24,0.7412109375,0.7808
24,000000,25,0.95703125,0.771
25,000001,1,0.5859375,0.8325
26,000001,2,0.5859375,0.7954
27,000001,3,0.5830078125,0.8032
28,000001,4,0.5615234375,0.7959
29,000001,5,0.5244140625,0.7979
30,000001,6,0.51318359375,0.8013
31,000001,7,0.401611328125,0.7988
32,000001,8,0.48974609375,0.8071
33,000001,9,0.405029296875,0.8062
34,000001,10,0.39892578125,0.813
35,000001,11,0.404541015625,0.8291
36,000001,12,0.378173828125,0.8315
37,000001,13,0.36474609375,0.8359
38,000001,14,0.266845703125,0.8267
39,000001,15,0.261962890625,0.833
40,000001,16,0.21044921875,0.835
41,000001,17,0.1929931640625,0.8354
42,000001,18,0.149658203125,0.8389
43,000001,19,0.2017822265625,0.8403
44,000001,20,0.1478271484375,0.8325
45,000001,21,0.1871337890625,0.8408
46,000001,22,0.210693359375,0.8364
47,000001,23,0.17333984375,0.8335
48,000001,24,0.62353515625,0.8389
49,000001,25,0.81591796875,0.834
50,000002,1,1.044921875,0.6802
51,000002,2,1.0439453125,0.666
52,000002,3,1.01171875,0.6665
53,000002,4,0.9853515625,0.6558
54,000002,5,0.98095703125,0.6611
55,000002,6,0.93798828125,0.6724
56,000002,7,0.8525390625,0.6724
57,000002,8,0.86669921875,0.6694
58,000002,9,0.7421875,0.6709
59,000002,10,0.681640625,0.6743
60,000002,11,0.6044921875,0.6807
61,000002,12,0.57861328125,0.6865
62,000002,13,0.453857421875,0.6953
63,000002,14,0.302734375,0.7349
64,000002,15,0.279541015625,0.7173
65,000002,16,0.319091796875,0.751
66,000002,17,0.284423828125,0.7178
67,000002,18,0.30615234375,0.707
68,000002,19,0.2486572265625,0.7192
69,000002,20,0.48388671875,0.7095
70,000002,21,0.50390625,0.7285
71,000002,22,0.499267578125,0.7441
72,000002,23,0.9140625,0.7344
73,000002,24,1.025390625,0.7451
74,000002,25,0.93115234375,0.7363
75,000003,1,1.029296875,0.689
76,000003,2,1.044921875,0.6821
77,000003,3,1.0166015625,0.6699
78,000003,4,0.98876953125,0.6685
79,000003,5,0.99560546875,0.6763
80,000003,6,0.87255859375,0.6748
81,000003,7,0.904296875,0.6782
82,000003,8,0.81982421875,0.6841
83,000003,9,0.80615234375,0.6802
84,000003,10,0.77294921875,0.6836
85,000003,11,0.70166015625,0.6899
86,000003,12,0.5498046875,0.7026
87,000003,13,0.4462890625,0.7725
88,000003,14,0.365478515625,0.811
89,000003,15,0.295654296875,0.8271
90,000003,16,0.294189453125,0.8379
91,000003,17,0.248291015625,0.8462
92,000003,18,0.32958984375,0.8428
93,000003,19,0.322265625,0.8623
94,000003,20,0.333251953125,0.8521
95,000003,21,0.5546875,0.8193
96,000003,22,0.6328125,0.833
97,000003,23,0.7236328125,0.8359
98,000003,24,0.87890625,0.8398
99,000003,25,1.0927734375,0.8345
100,000004,1,0.96533203125,0.6987
101,000004,2,0.951171875,0.6904
102,000004,3,0.9306640625,0.687
103,000004,4,0.87548828125,0.6899
104,000004,5,0.876953125,0.6895
105,000004,6,0.93310546875,0.6924
106,000004,7,0.89208984375,0.6968
107,000004,8,0.77197265625,0.689
108,000004,9,0.69482421875,0.7036
109,000004,10,0.69677734375,0.7036
110,000004,11,0.6279296875,0.7212
111,000004,12,0.55029296875,0.7607
112,000004,13,0.462158203125,0.7964
113,000004,14,0.33349609375,0.8203
114,000004,15,0.29443359375,0.8286
115,000004,16,0.265869140625,0.8193
116,000004,17,0.2822265625,0.8242
117,000004,18,0.2386474609375,0.8115
118,000004,19,0.320068359375,0.812
119,000004,20,0.380126953125,0.814
120,000004,21,0.5146484375,0.7993
121,000004,22,0.5849609375,0.8145
122,000004,23,0.62158203125,0.7935
123,000004,24,0.9638671875,0.8125
124,000004,25,0.83251953125,0.8237
125,000005,1,1.142578125,0.6816
126,000005,2,1.1591796875,0.644
127,000005,3,1.1376953125,0.644
128,000005,4,1.109375,0.6382
129,000005,5,1.0703125,0.6392
130,000005,6,1.046875,0.6416
131,000005,7,1.00390625,0.645
132,000005,8,1.0283203125,0.6489
133,000005,9,0.9462890625,0.6543
134,000005,10,0.83642578125,0.6597
135,000005,11,0.7021484375,0.6621
136,000005,12,0.57421875,0.7026
137,000005,13,0.449951171875,0.7646
138,000005,14,0.329345703125,0.8066
139,000005,15,0.266845703125,0.8257
140,000005,16,0.29736328125,0.7974
141,000005,17,0.25732421875,0.8193
142,000005,18,0.281494140625,0.8433
143,000005,19,0.281982421875,0.855
144,000005,20,0.62158203125,0.8628
145,000005,21,0.3916015625,0.8208
146,000005,22,0.79541015625,0.813
147,000005,23,0.55224609375,0.8057
