,sample,iteration,entropy,pLDDT
0,000000,1,1.671875,0.5435
1,000000,2,1.814453125,0.6729
2,000000,3,1.7216796875,0.6958
3,000000,4,1.6826171875,0.6772
4,000000,5,1.583984375,0.5713
5,000000,6,1.5478515625,0.6641
6,000000,7,1.4970703125,0.5273
7,000000,8,1.3681640625,0.5972
8,000000,9,1.3056640625,0.7104
9,000000,10,1.158203125,0.8047
10,000000,11,1.0498046875,0.8862
11,000000,12,0.72802734375,0.9346
12,000000,13,0.5048828125,0.9497
13,000000,14,0.39892578125,0.9546
14,000000,15,0.2252197265625,0.9512
15,000000,16,0.2041015625,0.9243
16,000000,17,0.149658203125,0.9351
17,000000,18,0.234130859375,0.9097
18,000000,19,0.26806640625,0.9038
19,000000,20,0.1190185546875,0.9404
20,000000,21,0.0780029296875,0.938
21,000000,22,0.316162109375,0.8843
22,000000,23,0.095458984375,0.938
23,000000,24,0.0247802734375,0.9351
24,000000,25,0.307373046875,0.7974
25,000001,1,1.82421875,0.5264
26,000001,2,1.8271484375,0.6157
27,000001,3,1.7470703125,0.5708
28,000001,4,1.6064453125,0.5635
29,000001,5,1.64453125,0.5352
30,000001,6,1.6435546875,0.6655
31,000001,7,1.529296875,0.6895
32,000001,8,1.369140625,0.6611
33,000001,9,1.390625,0.6826
34,000001,10,1.3037109375,0.7446
35,000001,11,1.1923828125,0.7632
36,000001,12,1.0869140625,0.7939
37,000001,13,0.94775390625,0.771
38,000001,14,0.92529296875,0.812
39,000001,15,0.73681640625,0.9131
40,000001,16,0.712890625,0.9365
41,000001,17,0.51318359375,0.9521
42,000001,18,0.3359375,0.9653
43,000001,19,0.2998046875,0.8965
44,000001,20,0.2152099609375,0.9561
45,000001,21,0.317626953125,0.8911
46,000001,22,0.1705322265625,0.9512
47,000001,23,0.22509765625,0.9346
48,000001,24,0.1219482421875,0.9668
49,000001,25,0.1776123046875,0.9497
50,000002,1,1.875,0.4377
51,000002,2,1.9189453125,0.5874
52,000002,3,1.9130859375,0.45
53,000002,4,1.8408203125,0.4331
54,000002,5,1.8251953125,0.5215
55,000002,6,1.5263671875,0.5659
56,000002,7,1.681640625,0.5996
57,000002,8,1.353515625,0.7026
58,000002,9,1.5,0.7612
59,000002,10,1.2421875,0.7925
60,000002,11,0.892578125,0.8604
61,000002,12,0.990234375,0.8438
62,000002,13,1.080078125,0.8848
63,000002,14,0.794921875,0.9404
64,000002,15,0.61376953125,0.897
65,000002,16,0.5576171875,0.8931
66,000002,17,0.52099609375,0.9185
67,000002,18,0.4990234375,0.8848
68,000002,19,0.438720703125,0.9087
69,000002,20,0.354248046875,0.9087
70,000002,21,0.28076171875,0.9082
71,000002,22,0.22509765625,0.9204
72,000002,23,0.1861572265625,0.937
73,000002,24,0.1639404296875,0.9575
74,000002,25,0.0789794921875,0.9424
75,000003,1,1.9443359375,0.4448
76,000003,2,1.9248046875,0.5015
77,000003,3,1.857421875,0.5137
78,000003,4,1.75,0.5308
79,000003,5,1.7470703125,0.5811
80,000003,6,1.591796875,0.6108
81,000003,7,1.533203125,0.6738
82,000003,8,1.4560546875,0.6929
83,000003,9,1.4091796875,0.6538
84,000003,10,1.3701171875,0.6968
85,000003,11,1.2783203125,0.771
86,000003,12,1.115234375,0.8428
87,000003,13,0.9189453125,0.8545
88,000003,14,0.88818359375,0.8086
89,000003,15,0.8896484375,0.834
90,000003,16,0.767578125,0.8921
91,000003,17,0.51025390625,0.8862
92,000003,18,0.3994140625,0.9121
93,000003,19,0.137451171875,0.9707
94,000003,20,0.137451171875,0.9766
95,000003,21,0.137451171875,0.9746
96,000003,22,0.026641845703125,0.96
97,000003,23,0.1683349609375,0.7842
98,000003,24,0.00960540771484375,0.9814
99,000003,25,0.02825927734375,0.9146
100,000004,1,1.857421875,0.582
101,000004,2,1.9140625,0.5366
102,000004,3,1.90625,0.541
103,000004,4,1.8115234375,0.6875
104,000004,5,1.7216796875,0.6455
105,000004,6,1.6689453125,0.501
106,000004,7,1.62109375,0.5337
107,000004,8,1.423828125,0.5718
108,000004,9,1.375,0.604
109,000004,10,1.3291015625,0.7236
110,000004,11,1.2509765625,0.8237
111,000004,12,1.212890625,0.7773
112,000004,13,1.1142578125,0.8042
113,000004,14,0.86865234375,0.8145
114,000004,15,0.73974609375,0.8613
115,000004,16,0.57861328125,0.8843
116,000004,17,0.61376953125,0.8701
117,000004,18,0.6025390625,0.8726
118,000004,19,0.53759765625,0.8687
119,000004,20,0.5263671875,0.876
120,000004,21,0.46923828125,0.8789
121,000004,22,0.46337890625,0.8843
122,000004,23,0.459228515625,0.8521
123,000004,24,0.4208984375,0.8018
124,000004,25,0.41455078125,0.8486
125,000005,1,1.9287109375,0.4373
126,000005,2,2.02734375,0.4241
127,000005,3,1.900390625,0.4514
