,sample,iteration,entropy,pLDDT
0,000000,1,1.8212890625,0.4524
1,000000,2,1.8701171875,0.4749
2,000000,3,1.884765625,0.5298
3,000000,4,1.7255859375,0.5532
4,000000,5,1.7109375,0.5908
5,000000,6,1.681640625,0.6108
6,000000,7,1.466796875,0.6548
7,000000,8,1.6123046875,0.7603
8,000000,9,1.3447265625,0.7109
9,000000,10,1.388671875,0.7656
10,000000,11,1.2939453125,0.8521
11,000000,12,1.064453125,0.8169
12,000000,13,1.0859375,0.8062
13,000000,14,1.0341796875,0.7998
14,000000,15,0.859375,0.8086
15,000000,16,0.7421875,0.7798
16,000000,17,0.79052734375,0.8159
17,000000,18,0.74609375,0.813
18,000000,19,0.6796875,0.7881
19,000000,20,0.578125,0.8276
20,000000,21,0.59521484375,0.8481
21,000000,22,0.560546875,0.8174
22,000000,23,0.57861328125,0.8257
23,000000,24,0.51904296875,0.8301
24,000000,25,0.457763671875,0.9258
25,000001,1,1.6806640625,0.666
26,000001,2,1.7666015625,0.6055
27,000001,3,1.642578125,0.7217
28,000001,4,1.599609375,0.5635
29,000001,5,1.568359375,0.5762
30,000001,6,1.51171875,0.6914
31,000001,7,1.3681640625,0.5947
32,000001,8,1.32421875,0.7295
33,000001,9,1.3837890625,0.7529
34,000001,10,1.220703125,0.8169
35,000001,11,0.9208984375,0.7578
36,000001,12,0.98486328125,0.7578
37,000001,13,1.0078125,0.7515
38,000001,14,0.92138671875,0.853
39,000001,15,0.85107421875,0.832
40,000001,16,0.6748046875,0.8242
41,000001,17,0.65380859375,0.8931
42,000001,18,0.47802734375,0.8999
43,000001,19,0.401611328125,0.8818
44,000001,20,0.352294921875,0.9253
45,000001,21,0.218017578125,0.9414
46,000001,22,0.19970703125,0.9453
47,000001,23,0.46337890625,0.6812
48,000001,24,0.11248779296875,0.9438
49,000001,25,0.402587890625,0.7412
50,000002,1,1.9013671875,0.5469
51,000002,2,2.017578125,0.4517
52,000002,3,2.009765625,0.5205
53,000002,4,1.884765625,0.4185
54,000002,5,1.650390625,0.6025
55,000002,6,1.66015625,0.5352
56,000002,7,1.5791015625,0.5767
57,000002,8,1.6337890625,0.5742
58,000002,9,1.5576171875,0.6807
59,000002,10,1.5361328125,0.7158
60,000002,11,1.4560546875,0.6973
61,000002,12,1.341796875,0.7686
62,000002,13,1.111328125,0.792
63,000002,14,1.04296875,0.8599
64,000002,15,0.68896484375,0.9048
65,000002,16,0.5341796875,0.9468
66,000002,17,0.385009765625,0.7905
67,000002,18,0.53564453125,0.9214
68,000002,19,0.40283203125,0.9175
69,000002,20,0.391845703125,0.6821
70,000002,21,0.474853515625,0.834
71,000002,22,0.388671875,0.8965
72,000002,23,0.1588134765625,0.9551
73,000002,24,0.05059814453125,0.9653
74,000002,25,0.039581298828125,0.9429
75,000003,1,1.8896484375,0.5098
76,000003,2,1.8896484375,0.457
77,000003,3,1.810546875,0.5249
78,000003,4,1.8466796875,0.5493
79,000003,5,1.6337890625,0.6055
80,000003,6,1.62890625,0.5693
81,000003,7,1.498046875,0.625
82,000003,8,1.455078125,0.5781
83,000003,9,1.5546875,0.6216
84,000003,10,1.3623046875,0.6699
85,000003,11,1.234375,0.6733
86,000003,12,1.2080078125,0.752
87,000003,13,1.1201171875,0.7363
88,000003,14,1.0498046875,0.7583
89,000003,15,0.9697265625,0.791
90,000003,16,0.830078125,0.8174
91,000003,17,0.6689453125,0.8301
92,000003,18,0.453125,0.916
93,000003,19,0.3798828125,0.75
94,000003,20,0.36767578125,0.8594
95,000003,21,0.334228515625,0.8647
96,000003,22,0.28369140625,0.8853
97,000003,23,0.341552734375,0.7627
98,000003,24,0.1927490234375,0.9175
99,000003,25,0.467529296875,0.6348
100,000004,1,1.98828125,0.4775
101,000004,2,2.029296875,0.5322
102,000004,3,1.9560546875,0.5142
103,000004,4,1.857421875,0.4277
104,000004,5,1.7734375,0.542
105,000004,6,1.81640625,0.5132
106,000004,7,1.615234375,0.5786
107,000004,8,1.58203125,0.6406
108,000004,9,1.6015625,0.7173
109,000004,10,1.3701171875,0.665
110,000004,11,1.232421875,0.7666
111,000004,12,1.0947265625,0.8037
112,000004,13,0.99755859375,0.8691
113,000004,14,0.81103515625,0.8672
114,000004,15,0.982421875,0.8364
115,000004,16,0.86376953125,0.9111
116,000004,17,0.71728515625,0.8979
117,000004,18,0.55322265625,0.8843
118,000004,19,0.55078125,0.9189
119,000004,20,0.42236328125,0.9175
120,000004,21,0.390869140625,0.8442
121,000004,22,0.244140625,0.9536
122,000004,23,0.15185546875,0.9238
123,000004,24,0.0762939453125,0.915
124,000004,25,0.1612548828125,0.8706
125,000005,1,1.59375,0.7485
126,000005,2,1.7060546875,0.583
127,000005,3,1.6396484375,0.5947
128,000005,4,1.541015625,0.731
129,000005,5,1.49609375,0.6943
130,000005,6,1.3681640625,0.7251
131,000005,7,1.2587890625,0.6777
132,000005,8,1.19921875,0.7251
133,000005,9,1.0458984375,0.7041
134,000005,10,1.08984375,0.8623
135,000005,11,0.95947265625,0.8472
136,000005,12,0.91943359375,0.8374
137,000005,13,0.84326171875,0.8755
138,000005,14,0.69384765625,0.9214
139,000005,15,0.401123046875,0.9077
140,000005,16,0.291015625,0.9043
141,000005,17,0.19482421875,0.8945
142,000005,18,0.11138916015625,0.9531
143,000005,19,0.036285400390625,0.98
144,000005,20,0.0227508544921875,0.9707
145,000005,21,0.0227508544921875,0.9741
146,000005,22,0.0227508544921875,0.9644
147,000005,23,0.304931640625,0.7271
148,000005,24,0.03509521484375,0.9673
149,000005,25,0.0193634033203125,0.9546
150,000006,1,1.7294921875,0.6431
151,000006,2,1.828125,0.5151
152,000006,3,1.708984375,0.6963
153,000006,4,1.759765625,0.5957
154,000006,5,1.6806640625,0.6963
155,000006,6,1.529296875,0.7275
156,000006,7,1.537109375,0.7607
157,000006,8,1.455078125,0.8359
158,000006,9,1.3935546875,0.855
159,000006,10,1.0908203125,0.8623
160,000006,11,0.978515625,0.877
161,000006,12,0.94287109375,0.8892
162,000006,13,0.89697265625,0.8931
163,000006,14,0.81884765625,0.895
164,000006,15,0.525390625,0.9209
165,000006,16,0.314697265625,0.9014
166,000006,17,0.2435302734375,0.897
167,000006,18,0.155517578125,0.936
168,000006,19,0.1094970703125,0.9336
169,000006,20,0.07061767578125,0.9351
170,000006,21,0.0211944580078125,0.9683
171,000006,22,0.014373779296875,0.9453
172,000006,23,0.01213836669921875,0.9204
173,000006,24,0.0152740478515625,0.9033
174,000006,25,0.0184326171875,0.9053
175,000007,1,1.7939453125,0.4968
176,000007,2,1.859375,0.6294
177,000007,3,1.7939453125,0.6455
178,000007,4,1.7802734375,0.6431
179,000007,5,1.6630859375,0.5073
180,000007,6,1.6064453125,0.5952
181,000007,7,1.4384765625,0.6211
182,000007,8,1.39453125,0.6821
183,000007,9,1.2802734375,0.7007
184,000007,10,1.279296875,0.6748
185,000007,11,1.26171875,0.7666
186,000007,12,1.1728515625,0.7959
187,000007,13,1.04296875,0.8369
188,000007,14,1.046875,0.8359
189,000007,15,0.9892578125,0.8091
190,000007,16,0.8427734375,0.8213
191,000007,17,0.72802734375,0.9346
192,000007,18,0.395263671875,0.9668
193,000007,19,0.2354736328125,0.9678
194,000007,20,0.17529296875,0.9678
195,000007,21,0.1229248046875,0.9688
196,000007,22,0.08465576171875,0.9668
197,000007,23,0.08465576171875,0.9712
198,000007,24,0.270263671875,0.8677
199,000007,25,0.11407470703125,0.9521
200,000008,1,1.5966796875,0.5669
201,000008,2,1.630859375,0.562
202,000008,3,1.517578125,0.6958
203,000008,4,1.546875,0.6338
204,000008,5,1.4580078125,0.5986
205,000008,6,1.265625,0.7671
206,000008,7,1.3251953125,0.772
207,000008,8,1.2822265625,0.709
208,000008,9,1.2568359375,0.7866
209,000008,10,1.072265625,0.834
210,000008,11,1.02734375,0.8208
211,000008,12,1.08203125,0.8442
212,000008,13,0.9853515625,0.9282
213,000008,14,0.5283203125,0.9297
214,000008,15,0.357421875,0.9019
215,000008,16,0.363037109375,0.9341
216,000008,17,0.466796875,0.9321
217,000008,18,0.345947265625,0.8965
218,000008,19,0.357421875,0.9292
219,000008,20,0.23974609375,0.9146
220,000008,21,0.30224609375,0.8857
221,000008,22,0.2086181640625,0.9194
222,000008,23,0.308837890625,0.8809
223,000008,24,0.451904296875,0.708
224,000008,25,0.250244140625,0.9131
225,000009,1,1.96875,0.5073
226,000009,2,2.041015625,0.4285
227,000009,3,1.9306640625,0.4456
228,000009,4,1.87109375,0.4543
229,000009,5,1.677734375,0.5474
230,000009,6,1.6484375,0.6333
231,000009,7,1.625,0.6309
232,000009,8,1.5068359375,0.7124
233,000009,9,1.4697265625,0.6924
234,000009,10,1.439453125,0.7964
235,000009,11,1.1689453125,0.9165
236,000009,12,0.916015625,0.9482
237,000009,13,0.666015625,0.9297
238,000009,14,0.479248046875,0.9521
239,000009,15,0.32666015625,0.9536
240,000009,16,0.1961669921875,0.9512
241,000009,17,0.1483154296875,0.9683
242,000009,18,0.08673095703125,0.9722
243,000009,19,0.035064697265625,0.9663
244,000009,20,0.21630859375,0.8584
245,000009,21,0.03680419921875,0.9614
