,sample,iteration,entropy,pLDDT
0,000000,1,2.697265625,0.3606
1,000000,2,2.751953125,0.354
2,000000,3,2.5625,0.4036
3,000000,4,2.400390625,0.3821
4,000000,5,2.283203125,0.4666
5,000000,6,2.154296875,0.3782
6,000000,7,1.9267578125,0.4314
7,000000,8,1.72265625,0.541
8,000000,9,1.6103515625,0.4785
9,000000,10,1.5068359375,0.689
10,000000,11,1.3330078125,0.7065
11,000000,12,1.05078125,0.6973
12,000000,13,0.96484375,0.688
13,000000,14,0.830078125,0.8149
14,000000,15,0.6884765625,0.7651
15,000000,16,0.642578125,0.7896
16,000000,17,0.487548828125,0.7852
17,000000,18,0.54638671875,0.7725
18,000000,19,0.433349609375,0.8276
19,000000,20,0.44775390625,0.8389
20,000000,21,0.69970703125,0.7827
21,000000,22,0.62060546875,0.8267
22,000000,23,1.1201171875,0.7207
23,000000,24,0.82275390625,0.7456
24,000000,25,0.7314453125,0.688
25,000001,1,2.70703125,0.3945
26,000001,2,2.7109375,0.3784
27,000001,3,2.56640625,0.4097
28,000001,4,2.521484375,0.3306
29,000001,5,2.48046875,0.4038
30,000001,6,2.1484375,0.3818
31,000001,7,1.9931640625,0.386
32,000001,8,1.888671875,0.4138
33,000001,9,1.8427734375,0.4133
34,000001,10,1.65625,0.4878
35,000001,11,1.5126953125,0.5073
36,000001,12,1.2470703125,0.5415
37,000001,13,1.0576171875,0.5908
38,000001,14,0.99951171875,0.6499
39,000001,15,0.9560546875,0.6294
40,000001,16,0.7646484375,0.6646
41,000001,17,0.77587890625,0.688
42,000001,18,0.57177734375,0.6763
43,000001,19,0.70849609375,0.6953
44,000001,20,0.61279296875,0.6626
45,000001,21,0.6005859375,0.687
46,000001,22,0.79443359375,0.6836
47,000001,23,0.80322265625,0.6421
48,000001,24,0.7890625,0.6841
49,000001,25,0.75732421875,0.6577
50,000002,1,2.5859375,0.4595
51,000002,2,2.6953125,0.4341
52,000002,3,2.376953125,0.416
53,000002,4,2.36328125,0.5044
54,000002,5,2.09765625,0.5117
55,000002,6,2.158203125,0.4692
56,000002,7,2.080078125,0.5493
57,000002,8,1.728515625,0.7505
58,000002,9,1.615234375,0.8135
59,000002,10,1.490234375,0.8228
60,000002,11,1.2880859375,0.8184
61,000002,12,1.1875,0.8491
62,000002,13,0.94482421875,0.8604
63,000002,14,0.8984375,0.8501
64,000002,15,0.76171875,0.9219
65,000002,16,0.66064453125,0.9268
66,000002,17,0.576171875,0.9209
67,000002,18,0.54736328125,0.9189
68,000002,19,0.482666015625,0.9062
69,000002,20,0.650390625,0.9077
70,000002,21,0.5146484375,0.9048
71,000002,22,0.54931640625,0.9185
72,000002,23,1.013671875,0.8584
73,000002,24,0.78564453125,0.8955
74,000002,25,1.37890625,0.8989
75,000003,1,2.771484375,0.3511
76,000003,2,2.70703125,0.3657
77,000003,3,2.630859375,0.375
78,000003,4,2.470703125,0.3945
79,000003,5,2.32421875,0.3652
80,000003,6,2.2578125,0.3667
81,000003,7,2.01171875,0.4167
82,000003,8,1.8046875,0.4832
83,000003,9,1.5732421875,0.4333
84,000003,10,1.5380859375,0.502
85,000003,11,1.275390625,0.6616
86,000003,12,1.2060546875,0.5835
87,000003,13,1.078125,0.6074
88,000003,14,1.0380859375,0.6538
89,000003,15,0.8642578125,0.7275
90,000003,16,0.78173828125,0.8306
91,000003,17,0.6650390625,0.8203
92,000003,18,0.5546875,0.8413
93,000003,19,0.56005859375,0.8301
94,000003,20,0.54345703125,0.8149
95,000003,21,0.54541015625,0.7983
96,000003,22,0.73974609375,0.832
97,000003,23,0.8291015625,0.8359
98,000003,24,0.9716796875,0.7808
99,000003,25,0.98681640625,0.8174
100,000004,1,2.720703125,0.323
101,000004,2,2.736328125,0.3445
102,000004,3,2.603515625,0.3667
103,000004,4,2.55078125,0.4077
104,000004,5,2.32421875,0.3774
105,000004,6,2.158203125,0.4675
106,000004,7,1.865234375,0.5454
107,000004,8,1.8212890625,0.6133
108,000004,9,1.658203125,0.8188
109,000004,10,1.4619140625,0.8691
110,000004,11,1.33203125,0.8896
111,000004,12,1.2919921875,0.8857
112,000004,13,1.068359375,0.9141
113,000004,14,0.837890625,0.9253
114,000004,15,0.6953125,0.9434
115,000004,16,0.60498046875,0.9399
116,000004,17,0.53857421875,0.9429
117,000004,18,0.5390625,0.9473
118,000004,19,0.456787109375,0.9473
119,000004,20,0.517578125,0.9424
120,000004,21,0.83740234375,0.9355
121,000004,22,0.58154296875,0.9424
122,000004,23,0.79736328125,0.9365
123,000004,24,1.12890625,0.938
124,000004,25,1.099609375,0.9351
125,000005,1,2.689453125,0.3328
126,000005,2,2.73046875,0.4353
127,000005,3,2.603515625,0.4519
128,000005,4,2.390625,0.3896
129,000005,5,2.369140625,0.4055
130,000005,6,2.203125,0.3887
131,000005,7,1.9892578125,0.5312
132,000005,8,1.884765625,0.498
133,000005,9,1.755859375,0.4849
134,000005,10,1.6826171875,0.5952
135,000005,11,1.3955078125,0.5503
136,000005,12,1.26953125,0.6138
137,000005,13,1.130859375,0.5898
138,000005,14,0.97705078125,0.5557
139,000005,15,0.7568359375,0.5215
140,000005,16,0.7041015625,0.6729
141,000005,17,0.5458984375,0.6641
142,000005,18,0.5302734375,0.7578
143,000005,19,0.53662109375,0.7749
144,000005,20,0.60400390625,0.8057
145,000005,21,0.70263671875,0.8604
146,000005,22,0.6826171875,0.8267
147,000005,23,0.5712890625,0.853
148,000005,24,1.1826171875,0.8481
149,000005,25,1.2568359375,0.8369
150,000006,1,2.70703125,0.3337
151,000006,2,2.71484375,0.3806
152,000006,3,2.529296875,0.4456
153,000006,4,2.38671875,0.4297
154,000006,5,2.34375,0.4373
155,000006,6,2.13671875,0.4194
156,000006,7,1.93359375,0.3408
157,000006,8,1.9404296875,0.4595
158,000006,9,1.4951171875,0.5239
159,000006,10,1.533203125,0.5757
160,000006,11,1.3740234375,0.7026
161,000006,12,1.14453125,0.7241
162,000006,13,1.0419921875,0.7881
163,000006,14,1.0322265625,0.8037
164,000006,15,0.9228515625,0.7949
165,000006,16,0.80859375,0.8115
166,000006,17,0.6923828125,0.8203
167,000006,18,0.58349609375,0.8071
168,000006,19,0.468505859375,0.8467
169,000006,20,0.4052734375,0.8682
170,000006,21,0.6044921875,0.8354
171,000006,22,0.73486328125,0.8047
172,000006,23,0.9296875,0.8179
173,000006,24,0.90771484375,0.7285
174,000006,25,1.4072265625,0.5005
175,000007,1,2.685546875,0.3955
176,000007,2,2.708984375,0.4072
177,000007,3,2.607421875,0.4187
178,000007,4,2.4765625,0.4417
179,000007,5,2.302734375,0.4055
180,000007,6,2.2265625,0.4685
181,000007,7,2.091796875,0.4553
182,000007,8,1.984375,0.3794
183,000007,9,1.6865234375,0.4714
184,000007,10,1.53125,0.3867
185,000007,11,1.3876953125,0.5117
186,000007,12,1.1591796875,0.5166
187,000007,13,1.095703125,0.5298
188,000007,14,0.95068359375,0.6367
189,000007,15,0.8447265625,0.5327
190,000007,16,0.7890625,0.6206
191,000007,17,0.6728515625,0.6611
192,000007,18,0.5908203125,0.6533
193,000007,19,0.4599609375,0.5806
194,000007,20,0.51123046875,0.5879
195,000007,21,0.82666015625,0.4878
196,000007,22,0.3642578125,0.624
197,000007,23,1.009765625,0.6128
198,000007,24,1.0048828125,0.5923
199,000007,25,1.4375,0.5801
200,000008,1,2.71484375,0.3303
201,000008,2,2.69921875,0.3882
202,000008,3,2.583984375,0.3965
203,000008,4,2.4765625,0.3696
204,000008,5,2.41015625,0.3877
205,000008,6,2.21484375,0.4517
206,000008,7,1.873046875,0.4849
207,000008,8,1.94140625,0.4355
208,000008,9,1.75390625,0.5107
209,000008,10,1.6279296875,0.6055
210,000008,11,1.4345703125,0.6626
211,000008,12,1.3017578125,0.7002
212,000008,13,1.212890625,0.6904
213,000008,14,0.9765625,0.7178
214,000008,15,0.8623046875,0.7939
215,000008,16,0.734375,0.8623
216,000008,17,0.71484375,0.8833
217,000008,18,0.6328125,0.8945
218,000008,19,0.5517578125,0.9272
219,000008,20,0.6298828125,0.9165
220,000008,21,0.45458984375,0.9263
221,000008,22,0.36181640625,0.916
222,000008,23,0.58642578125,0.9258
223,000008,24,1.119140625,0.9312
224,000008,25,1.193359375,0.936
225,000009,1,2.771484375,0.332
226,000009,2,2.71484375,0.438
227,000009,3,2.53515625,0.4126
228,000009,4,2.365234375,0.4001
229,000009,5,2.33203125,0.4094
230,000009,6,2.208984375,0.3452
231,000009,7,2.060546875,0.3755
232,000009,8,1.91796875,0.365
233,000009,9,1.7890625,0.4233
234,000009,10,1.607421875,0.4695
235,000009,11,1.2841796875,0.7324
236,000009,12,1.1494140625,0.7568
237,000009,13,1.0361328125,0.7637
238,000009,14,0.96533203125,0.8374
239,000009,15,0.88916015625,0.8657
240,000009,16,0.7509765625,0.894
241,000009,17,0.587890625,0.9019
242,000009,18,0.53759765625,0.8794
243,000009,19,0.51953125,0.8867
244,000009,20,0.73681640625,0.895
245,000009,21,0.68505859375,0.8735
246,000009,22,0.994140625,0.8838
247,000009,23,1.068359375,0.8882
248,000009,24,1.09765625,0.8838
249,000009,25,1.3330078125,0.8745
250,000010,1,2.724609375,0.3821
251,000010,2,2.7578125,0.3569
252,000010,3,2.61328125,0.4026
253,000010,4,2.3828125,0.3613
254,000010,5,2.2734375,0.437
255,000010,6,2.103515625,0.4521
256,000010,7,1.9365234375,0.4023
257,000010,8,1.908203125,0.5205
258,000010,9,1.7119140625,0.5947
259,000010,10,1.484375,0.5166
260,000010,11,1.2919921875,0.5146
261,000010,12,1.2216796875,0.6245
262,000010,13,1.052734375,0.6411
263,000010,14,0.96435546875,0.6768
264,000010,15,0.6904296875,0.6948
265,000010,16,0.61279296875,0.7358
266,000010,17,0.5927734375,0.7583
267,000010,18,0.58837890625,0.7402
