,sample,iteration,entropy,pLDDT
0,000000,1,2.734375,0.3013
1,000000,2,2.767578125,0.3076
2,000000,3,2.53515625,0.3733
3,000000,4,2.53515625,0.3262
4,000000,5,2.423828125,0.366
5,000000,6,2.41796875,0.4136
6,000000,7,2.203125,0.3599
7,000000,8,1.8984375,0.3066
8,000000,9,1.7685546875,0.3955
9,000000,10,1.755859375,0.4072
10,000000,11,1.4404296875,0.5239
11,000000,12,1.43359375,0.5098
12,000000,13,1.193359375,0.488
13,000000,14,1.033203125,0.5469
14,000000,15,0.96533203125,0.5967
15,000000,16,0.74365234375,0.5522
16,000000,17,0.689453125,0.6265
17,000000,18,0.61572265625,0.7061
18,000000,19,0.5810546875,0.71
19,000000,20,0.6484375,0.728
20,000000,21,0.59423828125,0.7383
21,000000,22,0.591796875,0.7266
22,000000,23,0.51953125,0.7622
23,000000,24,0.91015625,0.7031
24,000000,25,1.09765625,0.7197
25,000001,1,2.74609375,0.3352
26,000001,2,2.685546875,0.4407
27,000001,3,2.5234375,0.3757
28,000001,4,2.423828125,0.3574
29,000001,5,2.337890625,0.4189
30,000001,6,2.041015625,0.5259
31,000001,7,2.0546875,0.4678
32,000001,8,1.7578125,0.4924
33,000001,9,1.607421875,0.4246
34,000001,10,1.6484375,0.564
35,000001,11,1.4208984375,0.707
36,000001,12,1.2548828125,0.7075
37,000001,13,1.0947265625,0.7412
38,000001,14,0.95361328125,0.8179
39,000001,15,0.74072265625,0.8447
40,000001,16,0.654296875,0.8516
41,000001,17,0.6689453125,0.8755
42,000001,18,0.50732421875,0.8828
43,000001,19,0.541015625,0.8945
44,000001,20,0.66064453125,0.8843
45,000001,21,0.51123046875,0.8853
46,000001,22,0.5029296875,0.8921
47,000001,23,1.0205078125,0.896
48,000001,24,1.01953125,0.9014
49,000001,25,1.2900390625,0.8926
50,000002,1,2.71875,0.2952
51,000002,2,2.712890625,0.3801
52,000002,3,2.58984375,0.3242
53,000002,4,2.482421875,0.396
54,000002,5,2.291015625,0.426
55,000002,6,2.111328125,0.3667
56,000002,7,2.0234375,0.4268
57,000002,8,1.86328125,0.3923
58,000002,9,1.818359375,0.4802
59,000002,10,1.58203125,0.4634
60,000002,11,1.51171875,0.4688
61,000002,12,1.3095703125,0.4958
62,000002,13,1.130859375,0.5352
63,000002,14,1.0576171875,0.6592
64,000002,15,0.78173828125,0.7876
65,000002,16,0.7470703125,0.8364
66,000002,17,0.609375,0.8779
67,000002,18,0.482421875,0.876
68,000002,19,0.5693359375,0.8701
69,000002,20,0.62548828125,0.8423
70,000002,21,0.4609375,0.834
71,000002,22,0.60400390625,0.853
72,000002,23,0.75390625,0.8364
73,000002,24,1.189453125,0.8418
74,000002,25,1.1689453125,0.8511
75,000003,1,2.654296875,0.4062
76,000003,2,2.736328125,0.373
77,000003,3,2.53515625,0.4751
78,000003,4,2.49609375,0.407
79,000003,5,2.3359375,0.521
80,000003,6,2.033203125,0.5659
81,000003,7,1.98046875,0.6196
82,000003,8,1.6552734375,0.582
83,000003,9,1.583984375,0.6226
84,000003,10,1.369140625,0.6831
85,000003,11,1.4580078125,0.7437
86,000003,12,1.3017578125,0.7773
87,000003,13,1.189453125,0.856
88,000003,14,1.0927734375,0.5811
89,000003,15,0.94091796875,0.5947
90,000003,16,0.728515625,0.7837
91,000003,17,0.5810546875,0.834
92,000003,18,0.58203125,0.8281
93,000003,19,0.43701171875,0.8159
94,000003,20,0.69873046875,0.8232
95,000003,21,0.454345703125,0.8291
96,000003,22,0.9306640625,0.8345
97,000003,23,0.82421875,0.7793
98,000003,24,0.9580078125,0.7954
99,000003,25,1.28515625,0.7822
100,000004,1,2.689453125,0.3262
101,000004,2,2.703125,0.3457
102,000004,3,2.662109375,0.3816
103,000004,4,2.490234375,0.449
104,000004,5,2.29296875,0.3965
105,000004,6,2.19140625,0.4099
106,000004,7,1.982421875,0.4304
107,000004,8,2.0,0.4075
108,000004,9,1.69140625,0.4031
109,000004,10,1.4365234375,0.4954
110,000004,11,1.2392578125,0.4666
111,000004,12,1.134765625,0.563
112,000004,13,1.1162109375,0.7729
113,000004,14,0.84228515625,0.8457
114,000004,15,0.73828125,0.8862
115,000004,16,0.64111328125,0.9189
116,000004,17,0.54052734375,0.9102
117,000004,18,0.52685546875,0.9209
118,000004,19,0.416015625,0.9087
119,000004,20,0.70458984375,0.916
120,000004,21,0.5546875,0.9102
121,000004,22,0.78369140625,0.9087
122,000004,23,0.80029296875,0.9033
123,000004,24,1.0185546875,0.9165
124,000004,25,1.0458984375,0.9092
125,000005,1,2.65234375,0.3787
126,000005,2,2.69140625,0.4736
127,000005,3,2.478515625,0.4849
128,000005,4,2.37890625,0.3979
129,000005,5,2.224609375,0.4299
130,000005,6,2.224609375,0.429
131,000005,7,2.20703125,0.5308
132,000005,8,1.9833984375,0.47
133,000005,9,1.666015625,0.5029
134,000005,10,1.6240234375,0.6362
135,000005,11,1.423828125,0.6094
136,000005,12,1.21484375,0.6211
137,000005,13,0.98681640625,0.686
138,000005,14,0.904296875,0.6675
139,000005,15,0.8515625,0.7324
140,000005,16,0.630859375,0.7905
141,000005,17,0.5419921875,0.7666
142,000005,18,0.56787109375,0.7139
143,000005,19,0.4912109375,0.7295
144,000005,20,0.54296875,0.6982
145,000005,21,0.55712890625,0.7178
146,000005,22,0.40771484375,0.7075
147,000005,23,0.78515625,0.6582
148,000005,24,1.150390625,0.688
149,000005,25,1.166015625,0.6162
150,000006,1,2.72265625,0.3101
151,000006,2,2.69921875,0.3416
152,000006,3,2.599609375,0.4636
153,000006,4,2.5,0.3743
154,000006,5,2.337890625,0.3955
155,000006,6,1.978515625,0.4688
156,000006,7,1.82421875,0.3647
157,000006,8,1.8154296875,0.425
158,000006,9,1.6904296875,0.5649
159,000006,10,1.4580078125,0.6055
160,000006,11,1.35546875,0.6514
161,000006,12,1.24609375,0.7998
162,000006,13,1.044921875,0.8521
163,000006,14,0.8544921875,0.8838
164,000006,15,0.63720703125,0.9048
