,sample,iteration,entropy,pLDDT,watermark
0,000000,1,2.72265625,0.2717,-0.0002130558673031531
1,000000,2,2.740234375,0.3022,-0.03321619056427663
2,000000,3,2.490234375,0.4558,0.0009010349678815616
3,000000,4,2.41015625,0.4575,-7.829585960369978e-05
4,000000,5,2.314453125,0.4785,0.004445023347649929
5,000000,6,2.115234375,0.5054,-0.00022959320232852562
6,000000,7,2.0390625,0.5913,0.004091876832181679
7,000000,8,1.619140625,0.5991,0.012046802456721295
8,000000,9,1.486328125,0.7241,-8.301876273900149e-08
9,000000,10,1.4482421875,0.791,0.001998265856350351
10,000000,11,1.1484375,0.8643,0.010704495385422785
11,000000,12,1.01171875,0.8706,0.0020991024295026056
12,000000,13,0.7509765625,0.8682,0.002638251391677837
13,000000,14,0.73779296875,0.8716,-0.0001290128347268306
14,000000,15,0.70361328125,0.9019,3.949689573076211e-05
15,000000,16,0.56787109375,0.9102,0.0033718817264639656
16,000000,17,0.474365234375,0.8887,0.0023970608068864807
17,000000,18,0.498779296875,0.9175,1.781933670303229e-05
18,000000,19,0.44482421875,0.9229,0.0015874624521925867
19,000000,20,0.370361328125,0.9229,0.005261227227572857
20,000000,21,0.49755859375,0.9224,-6.828171196260682e-05
21,000000,22,0.5966796875,0.9229,-6.828171196260682e-05
22,000000,23,0.66357421875,0.9033,-6.828171196260682e-05
23,000000,24,0.8291015625,0.9331,0.00040621935952813576
24,000000,25,1.0087890625,0.9331,0.00040621935952813576
25,000001,1,2.767578125,0.2484,0.0017330836702644514
26,000001,2,2.759765625,0.2744,0.00022979978889406394
27,000001,3,2.625,0.4165,-0.0007226634917056329
28,000001,4,2.513671875,0.3921,0.005111555569602161
29,000001,5,2.40234375,0.4424,0.00036483892979734256
30,000001,6,2.173828125,0.3762,-0.0004966469198138205
31,000001,7,1.9609375,0.3984,0.00991055748191727
32,000001,8,1.8505859375,0.4453,0.00025346959617468523
33,000001,9,1.6337890625,0.5757,2.4565943384342683e-17
34,000001,10,1.5439453125,0.604,-0.0008549458147281072
35,000001,11,1.3701171875,0.6221,-0.0009254569767872325
36,000001,12,1.2578125,0.7729,0.00955369717952187
37,000001,13,1.0888671875,0.7222,-0.0030035334300289457
38,000001,14,0.955078125,0.6636,0.019449763371846507
39,000001,15,0.7978515625,0.6489,-0.00028217549749655
40,000001,16,0.73388671875,0.6807,0.003964041573806393
41,000001,17,0.7001953125,0.709,-0.0037053462864593684
42,000001,18,0.59326171875,0.7148,0.0038876241190711758
43,000001,19,0.5595703125,0.7354,0.001961907103576424
44,000001,20,0.3681640625,0.6851,0.004550777077408391
45,000001,21,0.734375,0.729,0.006184914689118526
46,000001,22,0.583984375,0.7153,0.009139869749461432
47,000001,23,0.974609375,0.7417,0.009139869749461432
48,000001,24,0.63623046875,0.7114,0.009139869749461432
49,000001,25,1.27734375,0.7285,0.009139869749461432
50,000002,1,2.658203125,0.4297,0.001873695858948976
51,000002,2,2.70703125,0.408,0.001840449250517212
52,000002,3,2.5625,0.3125,-7.996425726137438e-08
53,000002,4,2.529296875,0.3311,-7.981714111797144e-08
54,000002,5,2.4609375,0.4109,0.0102846864602531
55,000002,6,2.2890625,0.4587,0.0011036960770764576
56,000002,7,1.9375,0.3628,-6.752621196456747e-06
57,000002,8,1.908203125,0.4775,-0.0007338470289319152
58,000002,9,1.619140625,0.5586,-0.00010478490168228105
59,000002,10,1.421875,0.7588,-0.026994205613131372
60,000002,11,1.1943359375,0.8276,6.5639756835631505e-18
61,000002,12,1.029296875,0.8608,0.003890276089781375
62,000002,13,1.01953125,0.8364,-4.849326534445055e-05
63,000002,14,0.7919921875,0.8643,-0.004002376510386388
64,000002,15,0.77001953125,0.8477,-0.0019757359515208267
65,000002,16,0.6455078125,0.8535,-0.004120898832830441
66,000002,17,0.52734375,0.8516,-0.004133290567585754
67,000002,18,0.5751953125,0.8389,-0.026887359802841352
68,000002,19,0.5244140625,0.8438,-0.02731782086592896
69,000002,20,0.53759765625,0.8247,-0.033014530100422296
70,000002,21,0.405517578125,0.7881,-0.031221720549441917
71,000002,22,0.888671875,0.8018,-0.031221720549441917
72,000002,23,0.68896484375,0.7998,-0.031221720549441917
73,000002,24,0.85888671875,0.8267,-0.031221720549441917
74,000002,25,1.265625,0.8062,-0.031221720549441917
75,000003,1,2.720703125,0.3931,9.172650553311915e-05
76,000003,2,2.71875,0.3064,-5.265123107703675e-08
77,000003,3,2.533203125,0.3684,0.005766331685996218
78,000003,4,2.52734375,0.3855,0.009030519822758903
79,000003,5,2.31640625,0.3289,-0.0007508888362358357
80,000003,6,2.22265625,0.5132,-0.003286727201271905
81,000003,7,2.095703125,0.4685,-0.00024227780893769368
82,000003,8,1.8466796875,0.5312,0.0029630322642094087
83,000003,9,1.69140625,0.6855,-0.0002475241953636409
84,000003,10,1.51953125,0.585,-0.003009832159840506
85,000003,11,1.408203125,0.7749,-1.270392413961977e-08
86,000003,12,1.1591796875,0.8511,5.205288879003844e-05
87,000003,13,1.0087890625,0.8726,0.004140110823173143
88,000003,14,0.92138671875,0.9106,-0.0026747993646835046
89,000003,15,0.72509765625,0.897,-0.003967270772449308
90,000003,16,0.6044921875,0.917,-0.03001426274543298
91,000003,17,0.56689453125,0.9189,0.0009929760789100933
92,000003,18,0.55908203125,0.9268,0.017638066873355562
93,000003,19,0.59423828125,0.9209,0.002994386312642011
94,000003,20,0.52587890625,0.9258,0.0008153027139645719
95,000003,21,0.52197265625,0.9204,0.00044736878718360656
96,000003,22,0.52197265625,0.917,1.4222337517862116e-06
97,000003,23,1.1298828125,0.9204,-0.00016985593530509553
98,000003,24,1.1416015625,0.9189,-0.0005793244236610914
99,000003,25,0.9677734375,0.9136,-0.0005793244236610914
100,000004,1,2.642578125,0.3545,0.001160366548583161
101,000004,2,2.77734375,0.3159,-2.1932166769206667e-08
102,000004,3,2.6171875,0.4207,-0.0006417688575957765
103,000004,4,2.546875,0.3474,0.014400456179787302
104,000004,5,2.294921875,0.4736,-3.262830946809619e-08
105,000004,6,2.13671875,0.4272,0.0018662803320816657
106,000004,7,1.80859375,0.5288,0.002210763350716044
107,000004,8,1.7353515625,0.4397,2.4353717727782378e-17
