,sample,iteration,entropy,pLDDT
0,000000,1,2.330078125,0.5996
1,000000,2,2.34765625,0.6128
2,000000,3,2.328125,0.6279
3,000000,4,2.177734375,0.7612
4,000000,5,2.068359375,0.7866
5,000000,6,1.912109375,0.7417
6,000000,7,1.880859375,0.7837
7,000000,8,2.01171875,0.7808
8,000000,9,1.95703125,0.8169
9,000000,10,1.720703125,0.8271
10,000000,11,1.2763671875,0.8301
11,000000,12,1.349609375,0.8384
12,000000,13,1.2138671875,0.8237
13,000000,14,1.3466796875,0.8262
14,000000,15,1.1875,0.769
15,000000,16,1.3662109375,0.8296
16,000000,17,1.107421875,0.8813
17,000000,18,1.048828125,0.8984
18,000000,19,0.69189453125,0.9404
19,000000,20,0.37890625,0.9766
20,000000,21,0.46337890625,0.7632
21,000000,22,0.1844482421875,0.9771
22,000000,23,0.27490234375,0.9004
23,000000,24,0.11822509765625,0.9653
24,000000,25,0.31884765625,0.7764
25,000001,1,2.3203125,0.748
26,000001,2,2.376953125,0.6699
27,000001,3,2.216796875,0.7646
28,000001,4,2.2421875,0.7173
29,000001,5,2.263671875,0.6104
30,000001,6,2.166015625,0.7583
31,000001,7,1.9296875,0.8169
32,000001,8,1.896484375,0.8203
33,000001,9,1.673828125,0.8589
34,000001,10,1.6025390625,0.8887
35,000001,11,1.5927734375,0.833
36,000001,12,1.5458984375,0.8652
37,000001,13,1.369140625,0.8369
38,000001,14,1.20703125,0.895
39,000001,15,1.248046875,0.8765
40,000001,16,1.2705078125,0.8682
41,000001,17,0.97314453125,0.8799
42,000001,18,0.8828125,0.9165
43,000001,19,0.7421875,0.8765
44,000001,20,0.66943359375,0.8647
45,000001,21,0.6884765625,0.8892
46,000001,22,0.53466796875,0.8867
47,000001,23,0.359619140625,0.9243
48,000001,24,0.278076171875,0.8926
49,000001,25,0.4111328125,0.8291
50,000002,1,2.3671875,0.6587
51,000002,2,2.345703125,0.6987
52,000002,3,2.310546875,0.7148
53,000002,4,2.28515625,0.7173
54,000002,5,2.126953125,0.7856
55,000002,6,1.984375,0.7661
56,000002,7,1.8876953125,0.7412
57,000002,8,1.91796875,0.7451
58,000002,9,1.7998046875,0.832
59,000002,10,1.5859375,0.8394
60,000002,11,1.5703125,0.8745
61,000002,12,1.1787109375,0.8506
62,000002,13,1.310546875,0.8682
63,000002,14,1.0576171875,0.8623
64,000002,15,1.1259765625,0.856
65,000002,16,0.98193359375,0.8921
66,000002,17,0.767578125,0.8828
67,000002,18,0.78955078125,0.8979
68,000002,19,0.744140625,0.9067
69,000002,20,0.5634765625,0.9111
70,000002,21,0.50146484375,0.9116
71,000002,22,0.47119140625,0.8989
72,000002,23,0.334228515625,0.9321
73,000002,24,0.34912109375,0.9058
74,000002,25,0.265380859375,0.9214
75,000003,1,2.2578125,0.7583
76,000003,2,2.328125,0.7837
77,000003,3,2.2734375,0.7236
78,000003,4,2.18359375,0.8086
79,000003,5,2.14453125,0.7842
80,000003,6,1.9716796875,0.7227
81,000003,7,2.09765625,0.7085
82,000003,8,1.978515625,0.8296
83,000003,9,1.82421875,0.8022
84,000003,10,1.5537109375,0.8467
85,000003,11,1.5869140625,0.8618
86,000003,12,1.2724609375,0.8525
87,000003,13,1.2509765625,0.8662
88,000003,14,0.98779296875,0.8896
89,000003,15,0.837890625,0.8896
90,000003,16,0.82080078125,0.9053
91,000003,17,0.6640625,0.9136
92,000003,18,0.5244140625,0.9082
93,000003,19,0.5341796875,0.9155
94,000003,20,0.4931640625,0.915
95,000003,21,0.494140625,0.9102
96,000003,22,0.468994140625,0.9219
97,000003,23,0.398681640625,0.9053
98,000003,24,0.306396484375,0.9121
99,000003,25,0.1827392578125,0.9526
100,000004,1,2.28515625,0.7388
101,000004,2,2.353515625,0.6836
102,000004,3,2.271484375,0.668
103,000004,4,2.193359375,0.7036
104,000004,5,2.189453125,0.7949
105,000004,6,2.134765625,0.7173
106,000004,7,2.14453125,0.8135
107,000004,8,1.9892578125,0.8696
108,000004,9,1.732421875,0.8477
109,000004,10,1.220703125,0.8394
110,000004,11,1.513671875,0.8433
111,000004,12,1.49609375,0.8818
112,000004,13,1.125,0.8623
113,000004,14,0.9404296875,0.9399
114,000004,15,0.80517578125,0.936
115,000004,16,0.81005859375,0.9082
116,000004,17,0.77685546875,0.9482
117,000004,18,0.60693359375,0.957
118,000004,19,0.53271484375,0.9199
119,000004,20,0.51318359375,0.8467
120,000004,21,0.469970703125,0.957
121,000004,22,0.44921875,0.8823
122,000004,23,0.3359375,0.9536
123,000004,24,0.3876953125,0.9595
124,000004,25,0.43701171875,0.9609
125,000005,1,2.28125,0.6729
126,000005,2,2.306640625,0.7842
127,000005,3,2.26171875,0.8071
128,000005,4,2.169921875,0.7598
129,000005,5,2.162109375,0.8145
130,000005,6,1.9990234375,0.8125
131,000005,7,1.9638671875,0.8193
132,000005,8,1.6982421875,0.8091
133,000005,9,1.6640625,0.8115
134,000005,10,1.626953125,0.8389
135,000005,11,1.5107421875,0.8369
136,000005,12,1.6298828125,0.8218
137,000005,13,1.443359375,0.8491
138,000005,14,1.3232421875,0.8486
139,000005,15,1.16796875,0.8687
140,000005,16,1.171875,0.9009
141,000005,17,0.9873046875,0.8926
142,000005,18,0.890625,0.8755
143,000005,19,0.85693359375,0.8765
144,000005,20,0.77734375,0.8975
145,000005,21,0.7666015625,0.8809
146,000005,22,0.63232421875,0.8594
147,000005,23,0.5576171875,0.8931
148,000005,24,0.478515625,0.8838
149,000005,25,0.4931640625,0.8857
150,000006,1,2.2421875,0.7725
151,000006,2,2.298828125,0.8184
152,000006,3,2.19921875,0.7271
153,000006,4,2.169921875,0.647
154,000006,5,2.23828125,0.6777
155,000006,6,2.130859375,0.7671
156,000006,7,1.853515625,0.7642
157,000006,8,1.8154296875,0.7935
158,000006,9,1.763671875,0.7866
159,000006,10,1.6494140625,0.8711
160,000006,11,1.392578125,0.8462
161,000006,12,1.361328125,0.8799
162,000006,13,1.1630859375,0.8589
163,000006,14,0.998046875,0.875
164,000006,15,0.9267578125,0.9121
165,000006,16,0.6787109375,0.9458
166,000006,17,0.56005859375,0.9414
167,000006,18,0.51611328125,0.8945
168,000006,19,0.5068359375,0.916
169,000006,20,0.443359375,0.9097
170,000006,21,0.41259765625,0.8853
171,000006,22,0.337158203125,0.8975
172,000006,23,0.277587890625,0.9185
173,000006,24,0.1474609375,0.9458
174,000006,25,0.0980224609375,0.9668
175,000007,1,2.18359375,0.8989
176,000007,2,2.375,0.7056
177,000007,3,2.3125,0.7563
178,000007,4,2.26953125,0.7041
179,000007,5,2.21484375,0.7988
180,000007,6,2.130859375,0.8237
181,000007,7,2.0234375,0.7368
182,000007,8,1.861328125,0.7925
183,000007,9,1.6728515625,0.8252
184,000007,10,1.6640625,0.8477
185,000007,11,1.5322265625,0.9165
186,000007,12,1.1806640625,0.897
187,000007,13,1.1884765625,0.9043
188,000007,14,1.1201171875,0.8804
189,000007,15,1.0341796875,0.9043
190,000007,16,0.9521484375,0.9126
191,000007,17,0.947265625,0.9189
192,000007,18,0.8818359375,0.9077
193,000007,19,0.7998046875,0.9189
194,000007,20,0.6005859375,0.9297
195,000007,21,0.6015625,0.9346
196,000007,22,0.60595703125,0.9185
197,000007,23,0.61474609375,0.896
198,000007,24,0.60205078125,0.9077
199,000007,25,0.5205078125,0.9399
200,000008,1,2.26953125,0.7998
201,000008,2,2.3125,0.7041
