,sample,iteration,entropy,pLDDT
0,000000,1,2.33203125,0.7505
1,000000,2,2.3671875,0.7163
2,000000,3,2.345703125,0.6274
3,000000,4,2.2578125,0.7617
4,000000,5,2.03125,0.7661
5,000000,6,2.083984375,0.7305
6,000000,7,2.130859375,0.7598
7,000000,8,1.9228515625,0.834
8,000000,9,1.828125,0.7852
9,000000,10,1.7021484375,0.8555
10,000000,11,1.486328125,0.7993
11,000000,12,1.40234375,0.8433
12,000000,13,1.3017578125,0.853
13,000000,14,1.142578125,0.8823
14,000000,15,0.96826171875,0.8569
15,000000,16,0.92724609375,0.873
16,000000,17,0.7490234375,0.877
17,000000,18,0.7138671875,0.8618
18,000000,19,0.568359375,0.9453
19,000000,20,0.28466796875,0.9575
20,000000,21,0.28173828125,0.9248
21,000000,22,0.252197265625,0.895
22,000000,23,0.339599609375,0.8115
23,000000,24,0.31005859375,0.8623
24,000000,25,0.313232421875,0.8711
25,000001,1,2.314453125,0.6763
26,000001,2,2.349609375,0.7041
27,000001,3,2.296875,0.6689
28,000001,4,2.23046875,0.7715
29,000001,5,2.087890625,0.7842
30,000001,6,2.03125,0.8721
31,000001,7,1.8037109375,0.9277
32,000001,8,1.8173828125,0.8442
33,000001,9,1.6103515625,0.8296
34,000001,10,1.5546875,0.8188
35,000001,11,1.5009765625,0.8315
36,000001,12,1.4560546875,0.8638
37,000001,13,1.3408203125,0.8276
38,000001,14,1.251953125,0.8462
39,000001,15,1.1025390625,0.8853
40,000001,16,1.037109375,0.9233
41,000001,17,0.7421875,0.9463
42,000001,18,0.60009765625,0.9355
43,000001,19,0.65283203125,0.9307
44,000001,20,0.521484375,0.9346
45,000001,21,0.5244140625,0.9277
46,000001,22,0.46826171875,0.9575
47,000001,23,0.373046875,0.9692
48,000001,24,0.293212890625,0.9727
49,000001,25,0.1937255859375,0.9756
50,000002,1,2.16796875,0.7158
51,000002,2,2.345703125,0.6997
52,000002,3,2.322265625,0.6704
53,000002,4,2.201171875,0.7437
54,000002,5,2.232421875,0.6372
55,000002,6,2.109375,0.7124
56,000002,7,1.7685546875,0.7915
57,000002,8,1.8701171875,0.7329
58,000002,9,1.73828125,0.8315
59,000002,10,1.4541015625,0.8662
60,000002,11,1.3359375,0.8164
61,000002,12,1.267578125,0.8423
62,000002,13,1.05859375,0.875
63,000002,14,1.001953125,0.8525
64,000002,15,1.0458984375,0.8472
65,000002,16,0.74365234375,0.8955
66,000002,17,0.7705078125,0.8867
67,000002,18,0.7607421875,0.8989
68,000002,19,0.7197265625,0.9141
