sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,1.2273,0.3455,72.12727906976743,original
T=0.3_2_original,0.3,1.164,0.3636,73.13817535545023,original
T=0.3_3_original,0.3,1.2231,0.3636,77.60323600973236,original
T=0.3_4_original,0.3,1.1761,0.3455,74.62198598130841,original
T=0.3_5_original,0.3,1.1525,0.4,72.22496583143509,original
T=0.3_6_original,0.3,1.1735,0.3636,77.06462616822431,original
T=0.3_7_original,0.3,1.2195,0.3818,75.67526442307691,original
T=0.3_8_original,0.3,1.2168,0.3818,75.05261792452829,original
T=0.3_9_original,0.3,1.2274,0.3636,77.02344827586207,original
T=0.3_10_original,0.3,1.1601,0.3455,77.00317972350231,original
T=0.3_11_original,0.3,1.372,0.3455,69.52477541371158,original
T=0.3_12_original,0.3,1.1643,0.4182,76.19983213429256,original
T=0.3_13_original,0.3,1.1472,0.4364,79.43408577878103,original
T=0.3_14_original,0.3,1.1136,0.3818,75.56353629976581,original
T=0.3_15_original,0.3,1.2176,0.3818,71.89050808314087,original
T=0.3_16_original,0.3,1.1683,0.3818,79.93238663484486,original
T=0.3_17_original,0.3,1.2,0.4545,84.51025882352941,original
T=0.3_18_original,0.3,1.2113,0.3455,80.7536091954023,original
T=0.3_19_original,0.3,1.2137,0.4182,76.65822014051523,original
T=0.3_20_original,0.3,1.1869,0.3818,86.93041958041958,original
T=0.3_21_original,0.3,1.1687,0.3455,73.31469733656174,original
T=0.3_22_original,0.3,1.1723,0.4364,73.35888888888888,original
T=0.3_23_original,0.3,1.1759,0.3636,75.41475294117647,original
T=0.3_24_original,0.3,1.1106,0.3818,78.4385273159145,original
T=0.3_25_original,0.3,1.2105,0.4364,74.03697516930022,original
T=0.3_26_original,0.3,1.1654,0.4182,75.5375615212528,original
T=0.3_27_original,0.3,1.2248,0.3636,70.91828162291169,original
T=0.3_28_original,0.3,1.1596,0.4182,71.76974712643677,original
T=0.3_29_original,0.3,1.1672,0.4,71.69708235294117,original
T=0.3_30_original,0.3,1.2682,0.3636,79.39192575406034,original
T=0.3_31_original,0.3,1.1559,0.3818,72.82245192307693,original
T=0.3_32_original,0.3,1.1989,0.3636,71.80747663551402,original
