sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,0.9459,0.5142,87.54555894308943,original
T=0.5_2_original,0.5,1.0043,0.4818,86.62686920700308,original
T=0.5_3_original,0.5,0.9358,0.4858,87.9825294117647,original
T=0.5_4_original,0.5,1.0961,0.413,85.82718603439291,original
T=0.5_5_original,0.5,0.9449,0.4332,84.149085106383,original
T=0.5_6_original,0.5,0.9981,0.4899,85.36613217213115,original
T=0.5_7_original,0.5,0.9526,0.4899,92.99431144067798,original
T=0.5_8_original,0.5,0.9445,0.4696,86.30534132360603,original
T=0.5_9_original,0.5,0.9546,0.4332,84.69836161187698,original
T=0.5_10_original,0.5,1.0071,0.502,87.65008812856402,original
T=0.5_11_original,0.5,0.9465,0.4777,88.41049790356395,original
T=0.5_12_original,0.5,0.9836,0.4372,85.2061542581682,original
T=0.5_13_original,0.5,1.0023,0.5142,87.74332987012988,original
T=0.5_14_original,0.5,0.9059,0.4777,89.21811428571428,original
T=0.5_15_original,0.5,1.0403,0.4656,85.44739197530865,original
T=0.5_16_original,0.5,0.9651,0.4291,87.39216550241805,original
T=0.5_17_original,0.5,0.8908,0.4737,84.67434348739496,original
T=0.5_18_original,0.5,0.9575,0.4656,85.60004179728318,original
T=0.5_19_original,0.5,0.9456,0.4656,87.25625518672199,original
T=0.5_20_original,0.5,0.9802,0.4615,87.04557840616967,original
T=0.5_21_original,0.5,0.9585,0.4737,85.0827815256876,original
T=0.5_22_original,0.5,0.938,0.4534,86.80332976445396,original
T=0.5_23_original,0.5,0.9805,0.502,87.19366996356065,original
T=0.5_24_original,0.5,0.9751,0.4413,86.75939426717144,original
T=0.5_25_original,0.5,0.8906,0.4858,87.74928343949044,original
T=0.5_26_original,0.5,0.9624,0.4453,87.5072177635099,original
T=0.5_27_original,0.5,1.018,0.5101,88.1673084780388,original
T=0.5_28_original,0.5,1.0137,0.4656,85.28031118143458,original
T=0.5_29_original,0.5,0.9717,0.5344,86.84378756476684,original
T=0.5_30_original,0.5,0.9558,0.5061,87.21615784008307,original
T=0.5_31_original,0.5,0.9739,0.5182,87.70650212314224,original
T=0.5_32_original,0.5,0.9697,0.4453,87.18774722369116,original
T=0.5_33_original,0.5,0.9575,0.4413,87.23669148936169,original
T=0.5_34_original,0.5,0.9732,0.4899,87.53437663015127,original
T=0.5_35_original,0.5,0.9387,0.4575,86.6447349081365,original
T=0.5_36_original,0.5,0.9241,0.5142,88.5869536423841,original
T=0.5_37_original,0.5,0.9169,0.4777,87.35000529941706,original
T=0.5_38_original,0.5,1.0371,0.4737,87.45132231404959,original
T=0.5_39_original,0.5,0.9302,0.4696,87.25209424083769,original
T=0.5_40_original,0.5,0.9539,0.502,85.63671866874675,original
T=0.5_41_original,0.5,1.0297,0.4615,88.09909521304577,original
T=0.5_42_original,0.5,1.0126,0.4332,85.89388830347735,original
T=0.5_43_original,0.5,0.962,0.4453,85.98698827292111,original
T=0.5_44_original,0.5,1.0144,0.4939,86.89736758474575,original
T=0.5_45_original,0.5,1.0027,0.5142,86.30742018537589,original
T=0.5_46_original,0.5,0.9616,0.4413,87.01413123359579,original
T=0.5_47_original,0.5,0.9369,0.4656,86.48466808284653,original
T=0.5_48_original,0.5,0.9697,0.4818,88.30680988184747,original
T=0.5_49_original,0.5,0.9763,0.4615,84.14430695698356,original
T=0.5_50_original,0.5,0.976,0.4939,87.39181911613565,original
T=0.5_1_wm,0.5,0.9708,0.4939,87.26644050104385,wm
T=0.5_2_wm,0.5,0.9407,0.5061,86.25622007131942,wm
T=0.5_3_wm,0.5,0.9901,0.4211,85.87142316017315,wm
T=0.5_4_wm,0.5,1.0548,0.4211,86.35938048528652,wm
T=0.5_5_wm,0.5,0.9676,0.4696,87.5198344901228,wm
T=0.5_6_wm,0.5,0.9691,0.4696,87.32143226473632,wm
T=0.5_7_wm,0.5,0.9914,0.4696,90.70278279341478,wm
T=0.5_8_wm,0.5,0.9732,0.5142,86.37140845070422,wm
T=0.5_9_wm,0.5,0.9885,0.4696,86.07609448818899,wm
T=0.5_10_wm,0.5,0.9427,0.5223,88.07450520833332,wm
T=0.5_11_wm,0.5,0.9736,0.4777,85.92599370739381,wm
T=0.5_12_wm,0.5,0.9365,0.4615,85.31599167100468,wm
T=0.5_13_wm,0.5,0.9521,0.4696,87.32305527123849,wm
T=0.5_14_wm,0.5,0.9865,0.4615,86.37845100105373,wm
T=0.5_15_wm,0.5,0.9533,0.4575,87.16705095213588,wm
T=0.5_16_wm,0.5,0.9564,0.4372,84.9136310782241,wm
T=0.5_17_wm,0.5,1.0229,0.4777,83.69069597069598,wm
T=0.5_18_wm,0.5,0.9341,0.5101,86.95495028780743,wm
T=0.5_19_wm,0.5,0.9537,0.4818,87.43274829217027,wm
T=0.5_20_wm,0.5,0.9873,0.4899,87.76852802514405,wm
T=0.5_21_wm,0.5,1.0021,0.4656,88.1513482561166,wm
T=0.5_22_wm,0.5,0.9684,0.4332,85.34313336904124,wm
T=0.5_23_wm,0.5,0.9799,0.4777,87.94031104199067,wm
T=0.5_24_wm,0.5,0.9446,0.4251,84.20145878524946,wm
T=0.5_25_wm,0.5,0.9449,0.4899,85.09611845584348,wm
T=0.5_26_wm,0.5,0.9661,0.4372,87.4561456671983,wm
T=0.5_27_wm,0.5,1.0333,0.3927,86.0897932131495,wm
T=0.5_28_wm,0.5,1.0041,0.4575,85.9270874803562,wm
T=0.5_29_wm,0.5,1.0639,0.4737,83.96103896103897,wm
T=0.5_30_wm,0.5,0.9829,0.498,86.83417098445597,wm
T=0.5_31_wm,0.5,0.9561,0.4737,86.85051859612364,wm
T=0.5_32_wm,0.5,0.9989,0.4332,85.59595263157895,wm
T=0.5_33_wm,0.5,1.0652,0.4211,83.17807610993657,wm
T=0.5_34_wm,0.5,0.9457,0.4615,87.88954945624029,wm
T=0.5_35_wm,0.5,0.9313,0.4696,87.64057978450487,wm
T=0.5_36_wm,0.5,0.9147,0.498,87.56109912686183,wm
T=0.5_37_wm,0.5,0.9601,0.498,87.26018440463646,wm
T=0.5_38_wm,0.5,0.9337,0.4615,86.08517188301693,wm
T=0.5_39_wm,0.5,0.9963,0.4777,86.79292158968852,wm
T=0.5_40_wm,0.5,0.984,0.4939,87.92490842490842,wm
T=0.5_41_wm,0.5,1.0024,0.4737,85.95287267080747,wm
T=0.5_42_wm,0.5,0.9749,0.3927,86.33900376952074,wm
