sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.1658,0.4321,82.35746631811783,original
T=0.7_2_original,0.7,1.1785,0.4337,81.88265520728008,original
T=0.7_3_original,0.7,1.2064,0.4524,83.16388618874038,original
T=0.7_4_original,0.7,1.252,0.4399,85.0410497237569,original
T=0.7_5_original,0.7,1.1915,0.4633,80.80263830637108,original
T=0.7_6_original,0.7,1.1947,0.4415,80.454676,original
T=0.7_7_original,0.7,1.1973,0.4399,80.53775687702264,original
T=0.7_8_original,0.7,1.2486,0.4321,82.06058765334389,original
T=0.7_9_original,0.7,1.2192,0.4555,81.33154935194416,original
T=0.7_10_original,0.7,1.2341,0.4243,81.90293,original
T=0.7_11_original,0.7,1.1302,0.4399,81.71719667814462,original
T=0.7_12_original,0.7,1.2532,0.4696,78.90736369205636,original
T=0.7_13_original,0.7,1.2006,0.4431,80.72653589484328,original
T=0.7_14_original,0.7,1.2054,0.4321,80.61226168974514,original
T=0.7_15_original,0.7,1.2311,0.415,84.08959884797368,original
T=0.7_16_original,0.7,1.171,0.4618,81.93482971519617,original
T=0.7_17_original,0.7,1.2562,0.4134,79.10041683447442,original
T=0.7_18_original,0.7,1.2138,0.4275,79.75222915827628,original
T=0.7_19_original,0.7,1.2183,0.4399,81.89131691430899,original
T=0.7_20_original,0.7,1.1813,0.4602,82.16837138815923,original
T=0.7_21_original,0.7,1.1526,0.4696,83.56763946711075,original
T=0.7_22_original,0.7,1.1569,0.4368,83.77907876088277,original
T=0.7_23_original,0.7,1.1944,0.4431,78.82404177651591,original
T=0.7_24_original,0.7,1.2584,0.4555,80.5412714987715,original
T=0.7_25_original,0.7,1.2026,0.4602,83.09874222668003,original
T=0.7_26_original,0.7,1.1881,0.4446,81.89614759097378,original
T=0.7_27_original,0.7,1.1906,0.429,82.61488558811722,original
T=0.7_28_original,0.7,1.2269,0.4321,90.292822,original
T=0.7_29_original,0.7,1.2506,0.4337,80.61705410821642,original
T=0.7_30_original,0.7,1.1546,0.4462,82.7472225554889,original
T=0.7_31_original,0.7,1.2277,0.4555,81.54849618013671,original
T=0.7_32_original,0.7,1.2269,0.454,81.79020717131473,original
T=0.7_33_original,0.7,1.2601,0.4493,80.73354094343476,original
T=0.7_34_original,0.7,1.2471,0.4431,80.91935445068164,original
T=0.7_35_original,0.7,1.2013,0.4462,91.14984979423868,original
T=0.7_36_original,0.7,1.1865,0.4384,80.56151728295819,original
T=0.7_37_original,0.7,1.1971,0.429,83.6436012145749,original
T=0.7_38_original,0.7,1.1688,0.4306,81.84924748820995,original
T=0.7_39_original,0.7,1.1963,0.4431,82.45743704305443,original
T=0.7_40_original,0.7,1.258,0.4337,81.80296625580925,original
T=0.7_41_original,0.7,1.291,0.4181,79.89599638409,original
T=0.7_42_original,0.7,1.1884,0.4415,82.85146127120375,original
T=0.7_43_original,0.7,1.2465,0.4353,80.78877929488485,original
T=0.7_44_original,0.7,1.2068,0.4633,84.34449546952224,original
T=0.7_45_original,0.7,1.2203,0.4197,83.03312525334414,original
T=0.7_46_original,0.7,1.163,0.4571,81.27136391190139,original
T=0.7_47_original,0.7,1.1693,0.4618,81.39171485943776,original
T=0.7_48_original,0.7,1.2212,0.4306,82.24946139668236,original
T=0.7_49_original,0.7,1.1948,0.4415,81.20319127849355,original
T=0.7_50_original,0.7,1.1421,0.4571,81.49565683104285,original
T=0.7_1_wm,0.7,1.2347,0.4259,81.26071113782051,wm
T=0.7_2_wm,0.7,1.2133,0.429,78.92578693467337,wm
T=0.7_3_wm,0.7,1.3082,0.4212,82.05622177419355,wm
T=0.7_4_wm,0.7,1.2937,0.4321,83.27740900678594,wm
T=0.7_5_wm,0.7,1.2528,0.4165,81.91076706827309,wm
T=0.7_6_wm,0.7,1.2511,0.4665,81.8031546184739,wm
T=0.7_7_wm,0.7,1.2234,0.4524,82.00996387718243,wm
T=0.7_8_wm,0.7,1.2426,0.4399,82.96383000407664,wm
T=0.7_9_wm,0.7,1.206,0.4602,82.95799593082401,wm
T=0.7_10_wm,0.7,1.152,0.4587,81.90552398226521,wm
T=0.7_11_wm,0.7,1.221,0.4509,81.83446778989098,wm
T=0.7_12_wm,0.7,1.2493,0.4462,78.87390499194846,wm
T=0.7_13_wm,0.7,1.1353,0.4353,79.36224979822437,wm
T=0.7_14_wm,0.7,1.3155,0.4368,78.90214771817455,wm
T=0.7_15_wm,0.7,1.1765,0.4665,85.06939089417556,wm
T=0.7_16_wm,0.7,1.217,0.4243,80.97398993963782,wm
T=0.7_17_wm,0.7,1.2267,0.4446,82.23998995782286,wm
