sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.5747,0.2783,61.1762870105062,original
T=0.7_2_original,0.7,1.5894,0.2684,64.35033455433455,original
T=0.7_3_original,0.7,1.5983,0.3042,47.07093051506317,original
T=0.7_4_original,0.7,1.5674,0.3042,54.06573330106485,original
T=0.7_5_original,0.7,1.621,0.2903,55.33154666666667,original
T=0.7_6_original,0.7,1.6036,0.2863,56.69467065868263,original
T=0.7_7_original,0.7,1.5306,0.2803,52.86995865758755,original
T=0.7_8_original,0.7,1.5875,0.2823,48.49800827854882,original
T=0.7_9_original,0.7,1.6988,0.2883,42.09449855351976,original
T=0.7_10_original,0.7,1.5883,0.3002,50.93857694163049,original
T=0.7_11_original,0.7,1.6312,0.2982,31.116134908911864,original
T=0.7_12_original,0.7,1.4913,0.2863,48.07767407769362,original
T=0.7_13_original,0.7,1.5675,0.2843,47.32131868131868,original
T=0.7_14_original,0.7,1.5866,0.2724,49.51274945108563,original
T=0.7_15_original,0.7,1.5254,0.3101,51.39012218963832,original
T=0.7_16_original,0.7,1.6251,0.2604,37.57607752315944,original
T=0.7_17_original,0.7,1.5721,0.3161,52.135553670947424,original
T=0.7_18_original,0.7,1.5184,0.2684,57.41346089452285,original
T=0.7_19_original,0.7,1.6146,0.2803,50.28814539347409,original
T=0.7_20_original,0.7,1.535,0.2664,37.45590485297633,original
T=0.7_21_original,0.7,1.623,0.3161,50.62921252139887,original
T=0.7_22_original,0.7,1.6646,0.2545,23.541366265060244,original
T=0.7_23_original,0.7,1.6372,0.2883,46.6982515114873,original
T=0.7_24_original,0.7,1.698,0.2863,42.69706163401816,original
T=0.7_25_original,0.7,1.5879,0.3161,45.82939090019569,original
T=0.7_26_original,0.7,1.5836,0.2962,53.17916910331384,original
T=0.7_27_original,0.7,1.5181,0.2962,39.39952767527675,original
T=0.7_28_original,0.7,1.5389,0.3022,53.237492200623954,original
T=0.7_29_original,0.7,1.5182,0.2903,53.62055232558139,original
T=0.7_30_original,0.7,1.5675,0.3161,26.199035259549465,original
T=0.7_31_original,0.7,1.6696,0.2903,51.39889848812095,original
T=0.7_32_original,0.7,1.5034,0.3062,55.30561946902655,original
T=0.7_33_original,0.7,1.5775,0.2863,50.60401086688072,original
T=0.7_34_original,0.7,1.5627,0.2962,48.54521957040573,original
T=0.7_35_original,0.7,1.5564,0.3181,39.43899515738499,original
T=0.7_36_original,0.7,1.6926,0.3002,49.76654594069033,original
T=0.7_37_original,0.7,1.5746,0.2545,45.82200147892531,original
T=0.7_38_original,0.7,1.5988,0.2744,43.31496873496874,original
T=0.7_39_original,0.7,1.5846,0.2803,46.85248900830484,original
T=0.7_40_original,0.7,1.5578,0.2803,41.51294303030304,original
T=0.7_41_original,0.7,1.5467,0.3101,55.70813371813372,original
T=0.7_42_original,0.7,1.5508,0.2982,59.60073949579831,original
T=0.7_43_original,0.7,1.6053,0.2903,29.954928332537023,original
T=0.7_44_original,0.7,1.5395,0.2903,51.14989310009719,original
T=0.7_45_original,0.7,1.5194,0.3062,53.27998513747832,original
T=0.7_46_original,0.7,1.6346,0.2883,51.121920835356974,original
T=0.7_47_original,0.7,1.6109,0.2803,48.88211450565312,original
T=0.7_48_original,0.7,1.569,0.2922,39.63884774665043,original
T=0.7_49_original,0.7,1.6061,0.2783,42.83498405690458,original
T=0.7_50_original,0.7,1.6441,0.2803,36.182351945854485,original
T=0.7_1_wm,0.7,1.6451,0.2763,52.1622027384098,wm
T=0.7_2_wm,0.7,1.5597,0.3022,53.40312680115274,wm
T=0.7_3_wm,0.7,1.5313,0.3101,49.21012755716005,wm
T=0.7_4_wm,0.7,1.5012,0.3082,58.3739302045728,wm
T=0.7_5_wm,0.7,1.6072,0.2863,50.22507640067912,wm
T=0.7_6_wm,0.7,1.5887,0.2962,57.74699159663866,wm
T=0.7_7_wm,0.7,1.585,0.2584,54.695335748792274,wm
T=0.7_8_wm,0.7,1.599,0.3101,54.26197057404728,wm
T=0.7_9_wm,0.7,1.6221,0.3022,49.90523241664639,wm
T=0.7_10_wm,0.7,1.5912,0.2783,45.52772827417381,wm
T=0.7_11_wm,0.7,1.6523,0.2783,27.331847879083373,wm
T=0.7_12_wm,0.7,1.5003,0.2962,53.47448200917653,wm
T=0.7_13_wm,0.7,1.5877,0.2883,42.64859409323896,wm
T=0.7_14_wm,0.7,1.6125,0.2903,63.04431468360616,wm
T=0.7_15_wm,0.7,1.5933,0.2823,45.568896135265696,wm
T=0.7_16_wm,0.7,1.6907,0.2604,46.77111355311355,wm
T=0.7_17_wm,0.7,1.6864,0.2803,54.12482724822347,wm
T=0.7_18_wm,0.7,1.5359,0.3062,57.0068553008596,wm
T=0.7_19_wm,0.7,1.6084,0.2783,50.42405508982036,wm
T=0.7_20_wm,0.7,1.5242,0.2684,43.62853777022104,wm
T=0.7_21_wm,0.7,1.6433,0.2883,54.13055732094842,wm
T=0.7_22_wm,0.7,1.6595,0.2624,28.8655873015873,wm
T=0.7_23_wm,0.7,1.6157,0.2644,32.99471807228916,wm
T=0.7_24_wm,0.7,1.5673,0.2783,49.93800335973121,wm
T=0.7_25_wm,0.7,1.6249,0.3121,53.38920088517335,wm
T=0.7_26_wm,0.7,1.6788,0.3121,52.97553988326848,wm
T=0.7_27_wm,0.7,1.5329,0.3082,49.98442279590843,wm
T=0.7_28_wm,0.7,1.5325,0.2942,54.489424951267054,wm
T=0.7_29_wm,0.7,1.6597,0.2704,48.80584864070536,wm
T=0.7_30_wm,0.7,1.5881,0.2783,54.96451628704384,wm
T=0.7_31_wm,0.7,1.6153,0.2684,44.107883817427386,wm
T=0.7_32_wm,0.7,1.5828,0.2883,31.36417749448394,wm
T=0.7_33_wm,0.7,1.636,0.2704,45.16514883148832,wm
T=0.7_34_wm,0.7,1.581,0.2922,60.61376149008224,wm
