sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.9538,0.4314,90.37800235017626,original
T=0.3_2_original,0.3,1.0009,0.402,90.80776829268292,original
T=0.3_3_original,0.3,0.9757,0.3824,90.65784104389088,original
T=0.3_4_original,0.3,0.9247,0.4216,90.8653095238095,original
T=0.3_5_original,0.3,0.9128,0.3824,89.4926480836237,original
T=0.3_6_original,0.3,1.0247,0.402,90.55556803995006,original
T=0.3_7_original,0.3,1.0805,0.4118,89.54740024183798,original
T=0.3_8_original,0.3,0.9025,0.402,90.56361010830324,original
T=0.3_9_original,0.3,0.8856,0.4118,92.93217861975644,original
T=0.3_10_original,0.3,1.035,0.3824,92.49566709021605,original
T=0.3_11_original,0.3,0.9918,0.3922,89.74950381679389,original
T=0.3_12_original,0.3,1.0949,0.3824,89.46268727705112,original
T=0.3_13_original,0.3,1.0857,0.4216,87.73585542168676,original
T=0.3_14_original,0.3,1.0198,0.3824,90.8532429245283,original
T=0.3_15_original,0.3,0.8334,0.451,91.3983355350066,original
T=0.3_16_original,0.3,0.9732,0.4118,90.62853246753248,original
T=0.3_17_original,0.3,1.021,0.402,90.99580075662044,original
T=0.3_18_original,0.3,1.0135,0.4118,91.28142682926828,original
T=0.3_19_original,0.3,0.9793,0.4314,91.99322303921568,original
T=0.3_20_original,0.3,0.9936,0.402,90.60453460620526,original
T=0.3_21_original,0.3,1.0089,0.4216,90.6596019300362,original
T=0.3_22_original,0.3,0.9006,0.4314,90.08581032412964,original
T=0.3_23_original,0.3,0.9117,0.4314,93.85532324621732,original
T=0.3_24_original,0.3,1.0175,0.4412,90.65125304136254,original
T=0.3_25_original,0.3,0.981,0.402,91.64679151061172,original
T=0.3_26_original,0.3,0.9055,0.402,89.38544378698225,original
T=0.3_27_original,0.3,0.9446,0.4216,90.80645398773004,original
T=0.3_28_original,0.3,1.1278,0.3824,89.72484433374845,original
T=0.3_29_original,0.3,1.0016,0.3627,88.60294591484465,original
T=0.3_30_original,0.3,0.9264,0.4314,89.24694835680751,original
T=0.3_31_original,0.3,0.9803,0.4314,90.62005006257822,original
T=0.3_32_original,0.3,1.0087,0.3922,90.21832923832925,original
T=0.3_33_original,0.3,0.9973,0.4118,91.08128676470588,original
T=0.3_34_original,0.3,0.9624,0.4804,92.15650895140664,original
T=0.3_35_original,0.3,0.9961,0.4216,89.0947222222222,original
T=0.3_36_original,0.3,1.0012,0.4216,89.47003588516746,original
T=0.3_37_original,0.3,1.0396,0.451,91.2048387096774,original
T=0.3_38_original,0.3,0.9854,0.4412,90.6103125,original
T=0.3_39_original,0.3,1.0339,0.3725,89.11535799522673,original
T=0.3_40_original,0.3,0.9492,0.3725,90.41617539585872,original
T=0.3_41_original,0.3,0.9742,0.3922,90.4284761904762,original
T=0.3_42_original,0.3,0.9693,0.3529,90.0365227537923,original
T=0.3_43_original,0.3,0.9999,0.4216,92.06146844660194,original
T=0.3_44_original,0.3,1.0281,0.4118,90.20763613861384,original
T=0.3_45_original,0.3,0.8836,0.4118,89.63886416861827,original
T=0.3_46_original,0.3,1.0109,0.402,89.12412121212121,original
T=0.3_47_original,0.3,0.9695,0.3824,89.37108618654072,original
T=0.3_48_original,0.3,0.9006,0.4314,90.83431490384616,original
T=0.3_49_original,0.3,0.9561,0.3627,88.8259411764706,original
T=0.3_50_original,0.3,0.9429,0.3922,90.12256690997567,original
T=0.3_1_wm,0.3,0.9456,0.3725,90.59346793349168,wm
T=0.3_2_wm,0.3,1.0307,0.3922,88.40624242424244,wm
T=0.3_3_wm,0.3,0.9325,0.3922,90.55853396901074,wm
T=0.3_4_wm,0.3,0.9176,0.451,91.48772182254196,wm
T=0.3_5_wm,0.3,0.9653,0.402,90.5760770156438,wm
T=0.3_6_wm,0.3,1.0104,0.4216,90.82675151515151,wm
T=0.3_7_wm,0.3,1.0191,0.402,91.4341881443299,wm
T=0.3_8_wm,0.3,0.9362,0.4216,90.92366828087168,wm
T=0.3_9_wm,0.3,0.9868,0.4216,91.49353233830846,wm
T=0.3_10_wm,0.3,1.0316,0.4216,91.7120199501247,wm
T=0.3_11_wm,0.3,1.0459,0.4412,90.4299496855346,wm
T=0.3_12_wm,0.3,1.0499,0.402,91.2516626506024,wm
T=0.3_13_wm,0.3,1.0106,0.4118,90.1864677804296,wm
T=0.3_14_wm,0.3,1.049,0.3922,90.82555952380952,wm
T=0.3_15_wm,0.3,0.9067,0.4216,88.82909793814433,wm
T=0.3_16_wm,0.3,0.9738,0.4412,89.96935643564355,wm
T=0.3_17_wm,0.3,1.0025,0.3725,90.37888613861384,wm
T=0.3_18_wm,0.3,1.005,0.4314,91.18419676214197,wm
T=0.3_19_wm,0.3,0.9575,0.4314,91.82004901960784,wm
T=0.3_20_wm,0.3,0.9874,0.4216,90.47510059171596,wm
T=0.3_21_wm,0.3,0.9579,0.3922,89.66320958083834,wm
T=0.3_22_wm,0.3,0.8941,0.3627,89.6126533018868,wm
T=0.3_23_wm,0.3,0.935,0.451,93.6822602739726,wm
T=0.3_24_wm,0.3,1.0017,0.4412,90.646609963548,wm
T=0.3_25_wm,0.3,0.9984,0.402,91.1584398034398,wm
T=0.3_26_wm,0.3,0.8944,0.402,89.10539007092198,wm
T=0.3_27_wm,0.3,0.9571,0.4216,90.91857673267327,wm
T=0.3_28_wm,0.3,0.9886,0.3824,91.29630000000002,wm
T=0.3_29_wm,0.3,1.0303,0.3922,89.75488372093022,wm
T=0.3_30_wm,0.3,0.9285,0.4216,89.34548122065728,wm
T=0.3_31_wm,0.3,0.9304,0.4216,91.26816708229428,wm
T=0.3_32_wm,0.3,0.9905,0.3824,89.90161676646706,wm
T=0.3_33_wm,0.3,0.9895,0.4412,90.45279805352796,wm
T=0.3_34_wm,0.3,1.0154,0.4216,92.3449433962264,wm
T=0.3_35_wm,0.3,0.9614,0.4216,89.00478092783506,wm
T=0.3_36_wm,0.3,0.9708,0.402,88.80705112960763,wm
T=0.3_37_wm,0.3,0.9898,0.451,90.38385542168676,wm
T=0.3_38_wm,0.3,0.9577,0.4314,90.32788023952097,wm
T=0.3_39_wm,0.3,1.0538,0.3627,89.35722948870392,wm
T=0.3_40_wm,0.3,0.9464,0.3824,90.28891727493917,wm
T=0.3_41_wm,0.3,0.9567,0.4118,90.27944910179642,wm
T=0.3_42_wm,0.3,0.9844,0.3627,90.0727570093458,wm
T=0.3_43_wm,0.3,1.0093,0.4216,92.07452898550724,wm
T=0.3_44_wm,0.3,0.9596,0.4216,90.77782451923076,wm
T=0.3_45_wm,0.3,0.8968,0.402,89.80954279015239,wm
T=0.3_46_wm,0.3,1.0474,0.4608,90.45051094890512,wm
T=0.3_47_wm,0.3,0.9507,0.3922,89.354639905549,wm
T=0.3_48_wm,0.3,0.9006,0.4314,90.83431490384616,wm
T=0.3_49_wm,0.3,0.9553,0.3529,90.17753554502367,wm
T=0.3_50_wm,0.3,0.9417,0.4118,90.6604738760632,wm
T=0.1_1_original,0.1,0.8485,0.4118,90.48405882352942,original
T=0.1_2_original,0.1,0.8704,0.4216,90.14475,original
T=0.1_3_original,0.1,0.8825,0.4118,90.8500955794504,original
T=0.1_4_original,0.1,0.856,0.402,90.54682726204464,original
T=0.1_5_original,0.1,0.8739,0.3824,90.03949352179033,original
T=0.1_6_original,0.1,0.8817,0.4118,90.16275656324582,original
T=0.1_7_original,0.1,0.846,0.3922,90.29376623376623,original
T=0.1_8_original,0.1,0.8371,0.4216,90.09733490566038,original
T=0.1_9_original,0.1,0.854,0.4118,90.5294630071599,original
T=0.1_10_original,0.1,0.8665,0.3922,90.51663905325444,original
T=0.1_11_original,0.1,0.8511,0.3922,90.70570871261378,original
T=0.1_12_original,0.1,0.8646,0.402,90.6737691401649,original
T=0.1_13_original,0.1,0.863,0.402,89.976327014218,original
T=0.1_14_original,0.1,0.8496,0.402,90.30046153846152,original
T=0.1_15_original,0.1,0.9165,0.451,92.14665427509291,original
T=0.1_16_original,0.1,0.8989,0.4216,91.21761789600968,original
T=0.1_17_original,0.1,0.8574,0.4216,90.42190647482012,original
T=0.1_18_original,0.1,0.8595,0.3824,90.49534746760897,original
T=0.1_19_original,0.1,0.8665,0.4314,90.64687723480336,original
T=0.1_20_original,0.1,0.8983,0.4216,91.48758201701094,original
T=0.1_21_original,0.1,0.896,0.402,89.99468564650059,original
T=0.1_22_original,0.1,0.8527,0.402,90.5374880382775,original
T=0.1_23_original,0.1,0.8466,0.4216,90.29544378698225,original
T=0.1_24_original,0.1,0.8352,0.4118,90.16255568581478,original
T=0.1_25_original,0.1,0.858,0.4216,90.09778436018958,original
T=0.1_26_original,0.1,0.8383,0.4314,90.21090909090908,original
T=0.1_27_original,0.1,0.8637,0.4216,90.49679903730444,original
T=0.1_28_original,0.1,0.8474,0.402,90.30881176470588,original
T=0.1_29_original,0.1,0.8613,0.4118,90.6394075829384,original
T=0.1_30_original,0.1,0.8371,0.4314,90.19716646989374,original
T=0.1_31_original,0.1,0.8589,0.4314,90.70370869033049,original
T=0.1_32_original,0.1,0.8415,0.402,90.30938679245284,original
T=0.1_33_original,0.1,0.8762,0.4314,91.44003680981596,original
T=0.1_34_original,0.1,0.8447,0.3922,90.09743529411766,original
T=0.1_35_original,0.1,0.8573,0.4412,90.13563095238096,original
T=0.1_36_original,0.1,0.8687,0.3824,90.17821723730816,original
T=0.1_37_original,0.1,0.8736,0.4412,90.36772563176896,original
T=0.1_38_original,0.1,0.86,0.4314,90.71623376623376,original
T=0.1_39_original,0.1,0.8793,0.4216,90.1989260143198,original
T=0.1_40_original,0.1,0.8635,0.4118,90.19537455410226,original
T=0.1_41_original,0.1,0.8756,0.4216,90.54175,original
T=0.1_42_original,0.1,0.873,0.4216,90.69920863309352,original
T=0.1_43_original,0.1,0.8822,0.4216,91.12425480769232,original
T=0.1_44_original,0.1,0.8544,0.4314,90.59667064439142,original
T=0.1_45_original,0.1,0.878,0.402,90.17870083432658,original
T=0.1_46_original,0.1,0.8673,0.4118,90.26425506555424,original
T=0.1_47_original,0.1,0.8479,0.4314,89.93964285714286,original
T=0.1_48_original,0.1,0.8449,0.4314,90.00688544152743,original
T=0.1_49_original,0.1,0.8558,0.3922,90.13784198113208,original
T=0.1_50_original,0.1,0.8688,0.4216,90.4338221153846,original
T=0.1_1_wm,0.1,0.8429,0.402,90.36774764150944,wm
T=0.1_2_wm,0.1,0.8973,0.4216,91.80442786069652,wm
T=0.1_3_wm,0.1,0.8837,0.4118,91.03956834532374,wm
T=0.1_4_wm,0.1,0.8545,0.3922,90.46168831168832,wm
T=0.1_5_wm,0.1,0.8739,0.3824,90.03949352179033,wm
T=0.1_6_wm,0.1,0.8834,0.4118,90.1464200477327,wm
T=0.1_7_wm,0.1,0.846,0.3922,90.29376623376623,wm
T=0.1_8_wm,0.1,0.8371,0.4314,90.19716646989374,wm
T=0.1_9_wm,0.1,0.8623,0.4216,90.95667464114833,wm
T=0.1_10_wm,0.1,0.8665,0.3922,90.51663905325444,wm
T=0.1_11_wm,0.1,0.8921,0.4314,90.45021765417172,wm
T=0.1_12_wm,0.1,0.8646,0.402,90.6737691401649,wm
T=0.1_13_wm,0.1,0.8609,0.3922,90.15333333333334,wm
