sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.8653,0.4795,79.04397323600973,original
T=0.3_2_original,0.3,0.8231,0.4659,77.71836788182034,original
T=0.3_3_original,0.3,0.8367,0.4776,78.48150251617541,original
T=0.3_4_original,0.3,0.8639,0.4932,79.64995857699805,original
T=0.3_5_original,0.3,0.8388,0.4932,78.33117204562,original
T=0.3_6_original,0.3,0.8409,0.4795,78.60872335329343,original
T=0.3_7_original,0.3,0.8374,0.4698,80.62560336538462,original
T=0.3_8_original,0.3,0.8297,0.4776,77.36383673469388,original
T=0.3_9_original,0.3,0.8605,0.4698,78.64625483558994,original
T=0.3_10_original,0.3,0.8626,0.4912,79.8814004430224,original
T=0.3_11_original,0.3,0.8656,0.4776,76.97859287963188,original
T=0.3_12_original,0.3,0.8616,0.4873,78.49681807199808,original
T=0.3_13_original,0.3,0.8541,0.4893,78.83764338852892,original
T=0.3_14_original,0.3,0.8538,0.4639,76.0640754169688,original
T=0.3_15_original,0.3,0.8407,0.4659,79.67010464833292,original
T=0.3_16_original,0.3,0.8525,0.499,78.88609826589595,original
T=0.3_17_original,0.3,0.8648,0.4795,78.4425072533849,original
T=0.3_18_original,0.3,0.8457,0.4698,79.21090019569472,original
T=0.3_19_original,0.3,0.8526,0.4698,77.3995219319862,original
T=0.3_20_original,0.3,0.858,0.4483,77.95069588249459,original
T=0.3_21_original,0.3,0.8463,0.4815,78.43346510492923,original
T=0.3_22_original,0.3,0.8653,0.4737,76.99879625180202,original
T=0.3_23_original,0.3,0.8583,0.4815,76.95186147186148,original
T=0.3_24_original,0.3,0.8557,0.4854,78.30596280890629,original
T=0.3_25_original,0.3,0.8333,0.4795,80.80833984375,original
T=0.3_26_original,0.3,0.8649,0.4678,78.1708020353768,original
T=0.3_27_original,0.3,0.8258,0.4639,78.37622173595916,original
T=0.3_28_original,0.3,0.849,0.4873,77.68978098676294,original
T=0.3_29_original,0.3,0.8899,0.4737,79.60645736623503,original
T=0.3_30_original,0.3,0.8531,0.4873,78.65538274605103,original
T=0.3_31_original,0.3,0.8809,0.462,76.4678487804878,original
T=0.3_32_original,0.3,0.8796,0.4542,80.48974854932301,original
T=0.3_33_original,0.3,0.8553,0.4795,78.5653961352657,original
T=0.3_34_original,0.3,0.8374,0.4834,79.58923653056293,original
T=0.3_35_original,0.3,0.8412,0.4737,78.87288936885048,original
T=0.3_36_original,0.3,0.8532,0.4678,79.74779095088313,original
T=0.3_37_original,0.3,0.8392,0.462,77.68608986615678,original
T=0.3_38_original,0.3,0.8656,0.4776,76.85451234124132,original
T=0.3_39_original,0.3,0.8388,0.4873,77.46385662211422,original
T=0.3_40_original,0.3,0.8709,0.4659,78.80200437317785,original
T=0.3_41_original,0.3,0.8371,0.4756,78.62344433641225,original
T=0.3_42_original,0.3,0.8355,0.4795,79.54202510258267,original
T=0.3_43_original,0.3,0.8614,0.4678,79.70368282780032,original
T=0.3_44_original,0.3,0.8385,0.462,78.62555179908236,original
T=0.3_45_original,0.3,0.8402,0.4503,76.79167232186137,original
T=0.3_46_original,0.3,0.8509,0.4717,76.31341849148419,original
T=0.3_47_original,0.3,0.8604,0.4815,77.61485394352484,original
T=0.3_48_original,0.3,0.8019,0.4815,77.93754225012071,original
T=0.3_49_original,0.3,0.8449,0.4873,77.92705524458506,original
T=0.3_50_original,0.3,0.8658,0.4483,79.19917471042471,original
