sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.3136,0.4467,85.12614249578415,original
T=0.7_2_original,0.7,1.3228,0.4133,76.47037603305785,original
T=0.7_3_original,0.7,1.2081,0.4467,85.0578387228817,original
T=0.7_4_original,0.7,1.1254,0.4833,79.30336301950805,original
T=0.7_5_original,0.7,1.289,0.4333,77.22339693073413,original
T=0.7_6_original,0.7,1.397,0.4333,76.04337721102426,original
T=0.7_7_original,0.7,1.3821,0.4233,78.49799324038868,original
T=0.7_8_original,0.7,1.1908,0.4633,89.79141146278872,original
T=0.7_9_original,0.7,1.2609,0.45,79.76325503355704,original
T=0.7_10_original,0.7,1.1738,0.46,80.20589906700594,original
T=0.7_11_original,0.7,1.1493,0.47,80.73948979591837,original
T=0.7_12_original,0.7,1.2693,0.4633,79.66913763806288,original
T=0.7_13_original,0.7,1.3105,0.4333,79.22089882943145,original
T=0.7_14_original,0.7,1.2476,0.4567,89.48864808652247,original
T=0.7_15_original,0.7,1.2168,0.4367,82.24043660789253,original
T=0.7_16_original,0.7,1.1908,0.46,87.47770665536244,original
T=0.7_17_original,0.7,1.309,0.4567,76.3757530246141,original
T=0.7_18_original,0.7,1.1988,0.3967,82.3274587458746,original
T=0.7_19_original,0.7,1.2573,0.44,85.648986599665,original
T=0.7_20_original,0.7,1.3587,0.3833,80.55157762938231,original
T=0.7_21_original,0.7,1.2919,0.4267,84.70083715118702,original
T=0.7_22_original,0.7,1.2446,0.4933,77.87975660931599,original
T=0.7_23_original,0.7,1.3404,0.4267,77.95386689132266,original
T=0.7_24_original,0.7,1.2771,0.4133,78.05827470686768,original
T=0.7_25_original,0.7,1.1552,0.4767,79.29216821639898,original
T=0.7_26_original,0.7,1.2224,0.4533,83.05054393305439,original
T=0.7_27_original,0.7,1.2151,0.4567,78.17944839114082,original
T=0.7_28_original,0.7,1.1707,0.4767,77.28851682592439,original
T=0.7_29_original,0.7,1.2534,0.4467,83.22627075351214,original
T=0.7_30_original,0.7,1.3507,0.4267,88.91946928541579,original
T=0.7_31_original,0.7,1.2529,0.44,76.33786403692824,original
T=0.7_32_original,0.7,1.2904,0.4267,75.5948742665549,original
T=0.7_33_original,0.7,1.3175,0.4367,81.22676346801347,original
T=0.7_34_original,0.7,1.2239,0.4367,79.58819957537155,original
T=0.7_35_original,0.7,1.2401,0.4367,84.69573643410853,original
T=0.7_36_original,0.7,1.2341,0.4567,80.38788445552785,original
T=0.7_37_original,0.7,1.3417,0.41,87.35015986537653,original
T=0.7_38_original,0.7,1.2387,0.4367,77.49118799499792,original
T=0.7_39_original,0.7,1.2288,0.4867,83.57158117846545,original
T=0.7_40_original,0.7,1.2157,0.4567,85.89994328097731,original
T=0.7_41_original,0.7,1.1983,0.4367,79.69814533164343,original
T=0.7_42_original,0.7,1.2937,0.4067,76.04654346913063,original
T=0.7_43_original,0.7,1.2986,0.4233,88.58158957106812,original
T=0.7_44_original,0.7,1.2632,0.4767,82.69115785089546,original
T=0.7_45_original,0.7,1.2557,0.4433,87.25176844783714,original
T=0.7_46_original,0.7,1.1857,0.4267,83.14720637583893,original
T=0.7_47_original,0.7,1.1802,0.4467,89.4931271331058,original
T=0.7_48_original,0.7,1.2624,0.4433,87.68406952098347,original
T=0.7_49_original,0.7,1.1963,0.46,81.25343289861169,original
T=0.7_50_original,0.7,1.3086,0.4267,80.28841109709963,original
T=0.7_1_wm,0.7,1.2591,0.4567,77.09098859315588,wm
T=0.7_2_wm,0.7,1.2443,0.4467,77.71199327165685,wm
T=0.7_3_wm,0.7,1.1922,0.43,89.28186588921282,wm
T=0.7_4_wm,0.7,1.2157,0.4867,82.34506622516555,wm
T=0.7_5_wm,0.7,1.235,0.4633,86.00082949308755,wm
T=0.7_6_wm,0.7,1.3335,0.4367,75.73445439045184,wm
T=0.7_7_wm,0.7,1.2209,0.46,79.70980177140447,wm
T=0.7_8_wm,0.7,1.2313,0.4567,85.22225614927905,wm
T=0.7_9_wm,0.7,1.2894,0.4333,83.98451316339323,wm
T=0.7_10_wm,0.7,1.371,0.4133,81.65424229808492,wm
T=0.7_11_wm,0.7,1.2292,0.4733,81.73458245908519,wm
T=0.7_12_wm,0.7,1.3199,0.4267,82.04594038623006,wm
T=0.7_13_wm,0.7,1.2773,0.4767,84.83235983263599,wm
T=0.7_14_wm,0.7,1.2978,0.4633,89.50316322226908,wm
T=0.7_15_wm,0.7,1.2152,0.46,79.75257500000001,wm
T=0.7_16_wm,0.7,1.3016,0.44,81.52559548683661,wm
T=0.7_17_wm,0.7,1.2833,0.4433,86.57467472894079,wm
T=0.7_18_wm,0.7,1.1713,0.42,88.65255071212775,wm
T=0.7_19_wm,0.7,1.2859,0.46,79.1354716193656,wm
T=0.7_20_wm,0.7,1.3803,0.3867,86.64873083475298,wm
T=0.7_21_wm,0.7,1.2832,0.4567,89.76145904436859,wm
T=0.7_22_wm,0.7,1.3118,0.44,79.6567072147651,wm
T=0.7_23_wm,0.7,1.3527,0.4033,79.12810004203448,wm
T=0.7_24_wm,0.7,1.236,0.4267,73.81578394283312,wm
T=0.7_25_wm,0.7,1.2779,0.46,77.2491625,wm
T=0.7_26_wm,0.7,1.3339,0.4133,82.48112977740446,wm
T=0.7_27_wm,0.7,1.3535,0.45,76.91699748743717,wm
T=0.7_28_wm,0.7,1.1338,0.44,77.13839474798814,wm
T=0.7_29_wm,0.7,1.2496,0.4333,87.28019532908704,wm
T=0.7_30_wm,0.7,1.2934,0.4533,88.20816120906801,wm
T=0.7_31_wm,0.7,1.2729,0.43,76.33279781879195,wm
T=0.7_32_wm,0.7,1.3183,0.41,85.29075655114116,wm
T=0.7_33_wm,0.7,1.2873,0.4633,79.31257142857142,wm
T=0.7_34_wm,0.7,1.2268,0.45,81.43748622297583,wm
T=0.7_35_wm,0.7,1.2416,0.4133,83.45384125636673,wm
T=0.7_36_wm,0.7,1.2353,0.4467,82.22234745762711,wm
T=0.7_37_wm,0.7,1.2329,0.4233,86.74550020584603,wm
T=0.7_38_wm,0.7,1.2333,0.4333,84.38349729053773,wm
T=0.7_39_wm,0.7,1.3451,0.4033,82.19150360016941,wm
T=0.7_40_wm,0.7,1.2506,0.4367,79.55602508650519,wm
T=0.7_41_wm,0.7,1.2121,0.46,77.57506883604506,wm
T=0.7_42_wm,0.7,1.3147,0.41,82.87304943913585,wm
T=0.7_43_wm,0.7,1.262,0.4333,88.50858974358975,wm
T=0.7_44_wm,0.7,1.2648,0.4567,81.57022859517873,wm
T=0.7_45_wm,0.7,1.4401,0.3867,82.11426694915254,wm
T=0.7_46_wm,0.7,1.2156,0.4233,77.07985732270247,wm
T=0.7_47_wm,0.7,1.2655,0.43,85.56106638115632,wm
T=0.7_48_wm,0.7,1.2341,0.4467,82.02354441138971,wm
T=0.7_49_wm,0.7,1.3598,0.4267,75.458719637711,wm
T=0.7_50_wm,0.7,1.2903,0.41,82.52347625052543,wm
T=0.3_1_original,0.3,0.8809,0.5433,79.54832612456747,original
T=0.3_2_original,0.3,0.859,0.5033,78.77877287853576,original
T=0.3_3_original,0.3,0.8553,0.5,76.5224770642202,original
T=0.3_4_original,0.3,0.8759,0.52,82.86137096774195,original
T=0.3_5_original,0.3,0.8932,0.4833,77.77514681208054,original
T=0.3_6_original,0.3,0.8889,0.49,80.90817524457677,original
T=0.3_7_original,0.3,0.8511,0.5467,90.1656806722689,original
T=0.3_8_original,0.3,0.8843,0.4933,85.81571187156739,original
T=0.3_9_original,0.3,0.8894,0.5233,78.94443605870022,original
T=0.3_10_original,0.3,0.8481,0.5233,80.49861551650237,original
T=0.3_11_original,0.3,0.8756,0.51,82.88700902449506,original
T=0.3_12_original,0.3,0.8863,0.5233,81.36489057239058,original
T=0.3_13_original,0.3,0.8506,0.5167,80.57046462063086,original
T=0.3_14_original,0.3,0.844,0.5,88.90294839255499,original
T=0.3_15_original,0.3,0.8687,0.48,81.8691723549488,original
T=0.3_16_original,0.3,0.8737,0.5133,82.34855319148936,original
T=0.3_17_original,0.3,0.8802,0.5433,78.45995773457312,original
T=0.3_18_original,0.3,0.8781,0.47,80.03129559748429,original
T=0.3_19_original,0.3,0.87,0.5267,82.8941512605042,original
T=0.3_20_original,0.3,0.8729,0.45,77.57695616211745,original
T=0.3_21_original,0.3,0.8965,0.5167,81.66697664543524,original
T=0.3_22_original,0.3,0.8625,0.53,82.08357354811359,original
T=0.3_23_original,0.3,0.8999,0.5067,82.38485985338508,original
T=0.3_24_original,0.3,0.887,0.4833,77.31248644138506,original
T=0.3_25_original,0.3,0.8604,0.53,79.8452764879696,original
T=0.3_26_original,0.3,0.8605,0.5233,82.14889845094665,original
T=0.3_27_original,0.3,0.8477,0.5067,84.89361287590005,original
T=0.3_28_original,0.3,0.8415,0.51,83.41553996598638,original
T=0.3_29_original,0.3,0.8646,0.5167,81.70809503424657,original
T=0.3_30_original,0.3,0.882,0.4833,90.211647206005,original
T=0.3_31_original,0.3,0.8928,0.52,77.333,original
T=0.3_32_original,0.3,0.8608,0.5133,78.86126355296079,original
T=0.3_33_original,0.3,0.8901,0.5233,81.58364264134656,original
T=0.3_34_original,0.3,0.8307,0.5133,80.39830756013747,original
T=0.3_35_original,0.3,0.8109,0.4833,89.26447826086957,original
T=0.3_36_original,0.3,0.8966,0.51,83.48809865092748,original
T=0.3_37_original,0.3,0.8739,0.5133,88.04207317073171,original
T=0.3_38_original,0.3,0.8757,0.5133,78.64832070707071,original
T=0.3_39_original,0.3,0.8691,0.53,84.79162046908316,original
T=0.3_40_original,0.3,0.8496,0.5333,83.9182884448306,original
T=0.3_41_original,0.3,0.8488,0.48,80.04566285472258,original
T=0.3_42_original,0.3,0.8627,0.4867,83.43481779661016,original
T=0.3_43_original,0.3,0.8945,0.4933,89.12849088596863,original
T=0.3_44_original,0.3,0.8639,0.5,79.18429052631579,original
T=0.3_45_original,0.3,0.8747,0.5233,85.43313413585555,original
T=0.3_46_original,0.3,0.866,0.4867,81.96554841473866,original
T=0.3_47_original,0.3,0.8471,0.5067,78.81840033855269,original
T=0.3_48_original,0.3,0.9027,0.4967,82.54816378218656,original
T=0.3_49_original,0.3,0.8605,0.5067,81.86598717948716,original
T=0.3_50_original,0.3,0.8754,0.5333,82.50855617257582,original
T=0.3_1_wm,0.3,0.8656,0.5133,86.57738382099829,wm
T=0.3_2_wm,0.3,0.8882,0.5033,83.76532078699744,wm
T=0.3_3_wm,0.3,0.8548,0.5033,79.31333898305084,wm
T=0.3_4_wm,0.3,0.8761,0.5067,81.02388607594936,wm
T=0.3_5_wm,0.3,0.9049,0.53,78.62401184934404,wm
T=0.3_6_wm,0.3,0.8691,0.5133,81.98084615384614,wm
T=0.3_7_wm,0.3,0.8774,0.53,88.80639578947368,wm
T=0.3_8_wm,0.3,0.8627,0.5167,86.83761491760623,wm
T=0.3_9_wm,0.3,0.892,0.52,82.41938271604938,wm
T=0.3_10_wm,0.3,0.8757,0.52,81.31494286923403,wm
T=0.3_11_wm,0.3,0.8853,0.5033,83.01526539278132,wm
T=0.3_12_wm,0.3,0.8975,0.4867,78.0367539046011,wm
T=0.3_13_wm,0.3,0.8604,0.5167,82.15134525329928,wm
T=0.3_14_wm,0.3,0.8357,0.5,89.01942324003392,wm
T=0.3_15_wm,0.3,0.8736,0.4867,80.02764957264958,wm
T=0.3_16_wm,0.3,0.8732,0.4967,87.51374254049445,wm
T=0.3_17_wm,0.3,0.8612,0.5333,81.4509773794281,wm
T=0.3_18_wm,0.3,0.8927,0.5067,80.92532190635451,wm
T=0.3_19_wm,0.3,0.8859,0.53,88.39586546700941,wm
T=0.3_20_wm,0.3,0.8873,0.48,78.7380898404702,wm
T=0.3_21_wm,0.3,0.8861,0.4967,79.71123956594325,wm
T=0.3_22_wm,0.3,0.8793,0.5233,87.11958904109588,wm
T=0.3_23_wm,0.3,0.9007,0.5133,78.89624463519313,wm
T=0.3_24_wm,0.3,0.9027,0.5167,82.32991427346764,wm
T=0.3_25_wm,0.3,0.8564,0.5267,85.84634920634922,wm
T=0.3_26_wm,0.3,0.8766,0.5067,85.24804394657475,wm
T=0.3_27_wm,0.3,0.8522,0.4933,83.16004629629629,wm
T=0.3_28_wm,0.3,0.8631,0.5267,81.27096583719948,wm
T=0.3_29_wm,0.3,0.8602,0.5167,82.9799095607235,wm
T=0.3_30_wm,0.3,0.8533,0.51,90.8174747048904,wm
T=0.3_31_wm,0.3,0.9037,0.5133,84.3310584250635,wm
T=0.3_32_wm,0.3,0.8877,0.5233,78.51347187237616,wm
T=0.3_33_wm,0.3,0.8747,0.53,83.13106988783434,wm
T=0.3_34_wm,0.3,0.8363,0.5233,83.55480827229643,wm
T=0.3_35_wm,0.3,0.8171,0.4967,80.73464301357862,wm
T=0.3_36_wm,0.3,0.8836,0.5,80.04704207394815,wm
T=0.3_37_wm,0.3,0.862,0.5133,88.25733644859812,wm
T=0.3_38_wm,0.3,0.8785,0.51,78.34194679054053,wm
T=0.3_39_wm,0.3,0.8749,0.5333,84.20066466552316,wm
T=0.3_40_wm,0.3,0.8564,0.5333,82.4275183110728,wm
T=0.3_41_wm,0.3,0.8255,0.4733,80.3732117098006,wm
T=0.3_42_wm,0.3,0.8586,0.5,87.57255364806866,wm
T=0.3_43_wm,0.3,0.8908,0.48,91.06150321199142,wm
T=0.3_44_wm,0.3,0.8452,0.52,81.21539340101523,wm
T=0.3_45_wm,0.3,0.8928,0.5267,77.08147395171538,wm
T=0.3_46_wm,0.3,0.8485,0.4867,81.16865284974092,wm
T=0.3_47_wm,0.3,0.8476,0.4967,77.63135557432432,wm
T=0.3_48_wm,0.3,0.8834,0.51,84.8670138597228,wm
T=0.3_49_wm,0.3,0.8579,0.52,81.58070212765958,wm
T=0.3_50_wm,0.3,0.8571,0.5167,80.36703783319003,wm
T=0.5_1_original,0.5,1.0339,0.51,85.33545838614279,original
T=0.5_2_original,0.5,1.0131,0.4533,77.32182048040455,original
T=0.5_3_original,0.5,1.0153,0.47,77.97333196384552,original
T=0.5_4_original,0.5,0.993,0.5,79.87136575052854,original
T=0.5_5_original,0.5,1.045,0.4967,76.44035490605428,original
T=0.5_6_original,0.5,1.05,0.4767,74.80861798679868,original
T=0.5_7_original,0.5,1.0287,0.51,77.17982884039367,original
T=0.5_8_original,0.5,1.0147,0.4733,84.44836424957842,original
T=0.5_9_original,0.5,1.0597,0.4867,77.73808706571786,original
T=0.5_10_original,0.5,0.9895,0.4967,82.28392507449979,original
T=0.5_11_original,0.5,0.9896,0.5067,81.77645797598629,original
T=0.5_12_original,0.5,1.037,0.5,81.64043662568885,original
T=0.5_13_original,0.5,0.9639,0.5033,76.6722259554809,original
