sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.8801,0.381,86.82029738302933,original
T=0.1_2_original,0.1,0.8969,0.381,86.90623257666267,original
T=0.1_3_original,0.1,0.8783,0.4032,89.125,original
T=0.1_4_original,0.1,0.9011,0.4,86.41060477657935,original
T=0.1_5_original,0.1,0.8871,0.3841,87.76403651903652,original
T=0.1_6_original,0.1,0.8812,0.3968,87.17530190884301,original
T=0.1_7_original,0.1,0.8724,0.3905,88.22871456310679,original
T=0.1_8_original,0.1,0.8722,0.4032,86.76910165484634,original
T=0.1_9_original,0.1,0.8403,0.4095,86.11511478050745,original
T=0.1_10_original,0.1,0.8612,0.3873,87.12531890220333,original
T=0.1_11_original,0.1,0.8479,0.3905,86.97568759936408,original
T=0.1_12_original,0.1,0.8249,0.3937,86.86500801282051,original
T=0.1_13_original,0.1,0.8329,0.3873,86.76239715189874,original
T=0.1_14_original,0.1,0.8889,0.3968,87.40921287320667,original
T=0.1_15_original,0.1,0.8403,0.3841,86.83094309590132,original
T=0.1_16_original,0.1,0.8152,0.4032,87.03825516693163,original
T=0.1_17_original,0.1,0.8261,0.3873,86.71750098386461,original
T=0.1_18_original,0.1,0.8879,0.4032,87.03744969040248,original
T=0.1_19_original,0.1,0.9055,0.3841,86.57279812938427,original
T=0.1_20_original,0.1,0.8709,0.3873,85.5044259038538,original
T=0.1_21_original,0.1,0.8271,0.3714,85.89834667734188,original
T=0.1_22_original,0.1,0.8816,0.4159,86.53618302698474,original
T=0.1_23_original,0.1,0.8082,0.3841,87.50301755818703,original
T=0.1_24_original,0.1,0.8709,0.4032,86.8257037037037,original
T=0.1_25_original,0.1,0.846,0.3968,86.94556656101427,original
T=0.1_26_original,0.1,0.8835,0.4095,87.1804373291683,original
T=0.1_27_original,0.1,0.8759,0.4127,86.82631332813718,original
T=0.1_28_original,0.1,0.8804,0.4,87.24560093348892,original
T=0.1_29_original,0.1,0.8491,0.4063,86.59305961310699,original
T=0.1_30_original,0.1,0.8462,0.4063,87.70922798552473,original
T=0.1_31_original,0.1,0.8884,0.3937,88.12690053970701,original
