sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,1.0285,0.4922,89.8239104477612,original
T=0.5_2_original,0.5,1.0592,0.5,88.62549268292683,original
T=0.5_3_original,0.5,0.9608,0.4844,89.12335603112841,original
T=0.5_4_original,0.5,0.9977,0.5,89.86303921568627,original
T=0.5_5_original,0.5,0.9175,0.5234,90.06620352250489,original
T=0.5_6_original,0.5,1.0353,0.5,88.92630709426628,original
T=0.5_7_original,0.5,1.0312,0.4688,88.9244731610338,original
T=0.5_8_original,0.5,1.0375,0.4922,89.40066732090284,original
T=0.5_9_original,0.5,0.9962,0.5078,88.55410748560462,original
T=0.5_10_original,0.5,1.0272,0.4844,89.66638530287985,original
T=0.5_11_original,0.5,1.0208,0.5078,89.16123246492987,original
T=0.5_12_original,0.5,0.9667,0.4844,88.95081982840802,original
T=0.5_13_original,0.5,1.0416,0.4688,90.20138170974155,original
T=0.5_14_original,0.5,0.9529,0.5,89.22776811594203,original
T=0.5_15_original,0.5,1.0449,0.4844,88.71053319919515,original
T=0.5_16_original,0.5,1.0623,0.4766,88.55114481409004,original
T=0.5_17_original,0.5,0.9504,0.4922,90.43781219748308,original
T=0.5_18_original,0.5,1.0261,0.4844,89.00478606965174,original
T=0.5_19_original,0.5,0.9714,0.5,87.88657921291625,original
T=0.5_20_original,0.5,1.0308,0.5234,89.49354368932039,original
T=0.5_21_original,0.5,1.0518,0.4688,91.43607607607608,original
T=0.5_22_original,0.5,1.0067,0.4688,89.97465365853658,original
T=0.5_23_original,0.5,1.0852,0.4766,88.9491008991009,original
T=0.5_24_original,0.5,0.9453,0.5,88.782900390625,original
T=0.5_25_original,0.5,0.9481,0.4688,89.61621513944222,original
T=0.5_26_original,0.5,1.0192,0.4922,90.57980178394448,original
T=0.5_27_original,0.5,0.9611,0.4609,89.6160534124629,original
T=0.5_28_original,0.5,1.0964,0.4453,88.90511450381679,original
T=0.5_29_original,0.5,1.0404,0.5078,88.78158098933075,original
T=0.5_30_original,0.5,1.0659,0.4609,89.58075564278705,original
T=0.5_31_original,0.5,1.0348,0.4922,88.48278320312501,original
T=0.5_32_original,0.5,1.022,0.4609,89.40851190476191,original
T=0.5_33_original,0.5,0.9904,0.4922,89.34513779527559,original
T=0.5_34_original,0.5,0.9833,0.4844,89.57232142857143,original
