sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,0.8854,0.5222,75.0075186440678,original
T=0.5_2_original,0.5,0.9115,0.508,73.6257214043035,original
T=0.5_3_original,0.5,0.8551,0.5293,76.14789664551225,original
T=0.5_4_original,0.5,0.9606,0.5293,74.40433452434122,original
T=0.5_5_original,0.5,0.8734,0.5169,75.39715188445047,original
T=0.5_6_original,0.5,0.8709,0.5453,76.30936314363143,original
T=0.5_7_original,0.5,0.9293,0.5258,72.99247616886063,original
T=0.5_8_original,0.5,0.9035,0.5098,77.51300540297164,original
T=0.5_9_original,0.5,0.9295,0.508,72.18436201780416,original
T=0.5_10_original,0.5,0.9166,0.5187,73.00260771486577,original
T=0.5_11_original,0.5,0.9072,0.5222,76.70230029089281,original
T=0.5_12_original,0.5,0.9484,0.5044,72.67691964285714,original
T=0.5_13_original,0.5,0.943,0.5133,70.89110060769751,original
T=0.5_14_original,0.5,0.9371,0.5275,73.55536241610737,original
T=0.5_15_original,0.5,0.9641,0.4938,71.04734615384616,original
T=0.5_16_original,0.5,0.9433,0.4991,72.22266442199775,original
T=0.5_17_original,0.5,0.9032,0.5151,75.88567598017124,original
T=0.5_18_original,0.5,0.9228,0.5222,71.74339201083278,original
T=0.5_19_original,0.5,0.9481,0.5169,75.36559901101371,original
T=0.5_20_original,0.5,0.9047,0.5169,75.95266756635178,original
T=0.5_21_original,0.5,0.925,0.5204,74.01962954596793,original
T=0.5_22_original,0.5,0.9564,0.4973,70.73365654734934,original
T=0.5_23_original,0.5,0.917,0.5258,77.23776244343891,original
T=0.5_24_original,0.5,0.9298,0.5044,75.10490464437963,original
T=0.5_25_original,0.5,0.907,0.4973,74.49955293594306,original
T=0.5_26_original,0.5,0.9256,0.5204,73.1109453734671,original
T=0.5_27_original,0.5,0.9413,0.5204,76.00876391982182,original
T=0.5_28_original,0.5,0.9552,0.524,74.96741155396329,original
T=0.5_29_original,0.5,0.9727,0.5204,72.47372198324655,original
T=0.5_30_original,0.5,0.9276,0.5222,72.02266009852217,original
T=0.5_31_original,0.5,0.9006,0.5435,73.51611613194758,original
T=0.5_32_original,0.5,0.9442,0.5204,79.28176365264102,original
T=0.5_33_original,0.5,0.9748,0.4867,76.22285326086957,original
T=0.5_34_original,0.5,0.9098,0.5577,76.50332212508408,original
T=0.5_35_original,0.5,0.9324,0.5382,71.5993509127789,original
T=0.5_36_original,0.5,0.9431,0.508,73.83303227252352,original
T=0.5_37_original,0.5,0.957,0.4991,74.15753672316383,original
T=0.5_38_original,0.5,0.9485,0.5115,75.05519874242084,original
T=0.5_39_original,0.5,0.9053,0.5151,77.56909315931594,original
T=0.5_40_original,0.5,0.925,0.5471,77.28505048238725,original
T=0.5_41_original,0.5,0.931,0.5133,74.47999999999999,original
T=0.5_42_original,0.5,0.9391,0.5187,79.65532058492687,original
T=0.5_43_original,0.5,0.9362,0.4938,73.47826979472141,original
T=0.5_44_original,0.5,0.9777,0.5062,76.49851478494624,original
T=0.5_45_original,0.5,0.9356,0.4956,73.36868528610354,original
T=0.5_46_original,0.5,0.9001,0.5275,71.44933137564942,original
T=0.5_47_original,0.5,0.9107,0.5222,73.79241153932838,original
T=0.5_48_original,0.5,0.9351,0.5151,75.3584538598048,original
T=0.5_49_original,0.5,0.9284,0.5222,74.55395411004679,original
T=0.5_50_original,0.5,0.8964,0.5133,74.84786699841666,original
T=0.5_1_wm,0.5,0.9314,0.5204,76.92599140854624,wm
T=0.5_2_wm,0.5,0.9547,0.5009,72.48332138054683,wm
T=0.5_3_wm,0.5,0.8974,0.5204,72.84590919409762,wm
T=0.5_4_wm,0.5,0.9439,0.524,73.3264602960969,wm
T=0.5_5_wm,0.5,0.8815,0.5293,74.24945368705036,wm
T=0.5_6_wm,0.5,0.8753,0.5169,75.80913966225468,wm
T=0.5_7_wm,0.5,0.984,0.5169,76.40778203107409,wm
T=0.5_8_wm,0.5,0.9112,0.5044,77.02539927404717,wm
T=0.5_9_wm,0.5,0.9335,0.5364,72.72716001813237,wm
T=0.5_10_wm,0.5,0.903,0.5115,76.20060571943256,wm
