sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.8933,0.3746,82.72405215866753,original
T=0.3_2_original,0.3,0.9345,0.3799,82.1948940397351,original
T=0.3_3_original,0.3,0.9181,0.353,79.11689388925656,original
T=0.3_4_original,0.3,0.9259,0.3835,79.53247850055128,original
T=0.3_5_original,0.3,0.8773,0.3692,83.02855088744103,original
T=0.3_6_original,0.3,0.923,0.353,82.84622771836007,original
T=0.3_7_original,0.3,0.9177,0.3799,80.32722542072631,original
T=0.3_8_original,0.3,0.8521,0.3441,79.72893233082706,original
T=0.3_9_original,0.3,0.9082,0.3853,75.85752561247217,original
T=0.3_10_original,0.3,0.9223,0.371,81.0985428253615,original
T=0.3_11_original,0.3,0.894,0.3584,82.30174146014735,original
T=0.3_12_original,0.3,0.8771,0.3925,79.73262850971922,original
T=0.3_13_original,0.3,0.9274,0.3728,83.41387822634017,original
T=0.3_14_original,0.3,0.9282,0.371,84.18156042496679,original
T=0.3_15_original,0.3,0.9245,0.4032,82.32466725624585,original
T=0.3_16_original,0.3,0.9306,0.3728,78.71297867663222,original
T=0.3_17_original,0.3,0.9746,0.3835,80.2198828036962,original
T=0.3_18_original,0.3,0.9168,0.3961,84.35863716424483,original
T=0.3_19_original,0.3,0.8416,0.3405,81.81584557907846,original
T=0.3_20_original,0.3,0.9093,0.3889,81.92488392857142,original
T=0.3_21_original,0.3,0.9087,0.3889,80.12237677984666,original
T=0.3_22_original,0.3,0.9339,0.3763,83.15162985865723,original
T=0.3_23_original,0.3,0.9736,0.3728,80.48595584988962,original
T=0.3_24_original,0.3,0.9242,0.414,77.16719656992085,original
T=0.3_25_original,0.3,0.9163,0.3602,81.36639036251107,original
T=0.3_26_original,0.3,0.9058,0.3978,82.64226660781284,original
T=0.3_27_original,0.3,0.9235,0.3871,83.89439946914399,original
T=0.3_28_original,0.3,0.9355,0.3477,79.49885145482389,original
T=0.3_29_original,0.3,0.9794,0.3817,82.23323163841809,original
T=0.3_30_original,0.3,0.8359,0.3513,89.28879780054986,original
T=0.3_31_original,0.3,0.9138,0.371,81.3969013771657,original
T=0.3_32_original,0.3,0.8522,0.3495,90.9074650265316,original
T=0.3_33_original,0.3,0.9154,0.3692,82.77994443209603,original
T=0.3_34_original,0.3,0.928,0.3871,89.63060299295775,original
T=0.3_35_original,0.3,0.9151,0.3548,83.84914569536424,original
T=0.3_36_original,0.3,0.808,0.3459,89.51231039678554,original
T=0.3_37_original,0.3,0.9084,0.3728,81.10945462574519,original
T=0.3_38_original,0.3,0.915,0.3746,82.65648382867133,original
T=0.3_39_original,0.3,0.9016,0.3925,81.89010183750275,original
T=0.3_40_original,0.3,0.9109,0.3763,79.27123435097738,original
T=0.3_41_original,0.3,0.8478,0.3495,89.5265984015984,original
T=0.3_42_original,0.3,0.9181,0.3602,81.93177675033026,original
T=0.3_43_original,0.3,0.924,0.3566,80.40149682226605,original
T=0.3_44_original,0.3,0.919,0.4032,85.16088820826953,original
T=0.3_45_original,0.3,0.905,0.4086,81.88063004142141,original
T=0.3_46_original,0.3,0.8815,0.3853,79.31169286035025,original
T=0.3_47_original,0.3,0.8267,0.3351,92.5310405063291,original
T=0.3_48_original,0.3,0.9368,0.3799,80.11945422535211,original
T=0.3_49_original,0.3,0.9619,0.3674,80.71863930403748,original
T=0.3_50_original,0.3,0.9495,0.3746,81.68257909666158,original
T=0.3_1_wm,0.3,0.8975,0.371,80.72627608695652,wm
T=0.3_2_wm,0.3,0.8864,0.3746,84.06484016208915,wm
T=0.3_3_wm,0.3,0.9021,0.3638,81.73537641427328,wm
T=0.3_4_wm,0.3,0.8209,0.3495,89.69189299363057,wm
T=0.3_5_wm,0.3,0.8829,0.3566,81.79966200991439,wm
T=0.3_6_wm,0.3,0.8566,0.3584,88.6034883142715,wm
T=0.3_7_wm,0.3,0.9163,0.3835,80.64993399339933,wm
T=0.3_8_wm,0.3,0.9497,0.371,77.86084598214285,wm
T=0.3_9_wm,0.3,0.9228,0.3871,80.02263216102632,wm
