sample,T,score,seq_recovery,pLDDT,type
T=0.9_1_original,0.9,1.9016,0.3151,47.61026666666667,original
T=0.9_2_original,0.9,1.8068,0.2055,43.81015065913371,original
T=0.9_3_original,0.9,1.7491,0.3699,41.76480842911878,original
T=0.9_4_original,0.9,1.5632,0.274,51.84320939334638,original
T=0.9_5_original,0.9,1.6967,0.274,45.098899082568806,original
T=0.9_6_original,0.9,1.6153,0.274,36.72535714285715,original
T=0.9_7_original,0.9,1.553,0.3562,45.319048582995954,original
T=0.9_8_original,0.9,1.6352,0.2877,56.354211538461534,original
T=0.9_9_original,0.9,1.5747,0.3014,55.8346062992126,original
T=0.9_10_original,0.9,1.743,0.3425,41.99850574712644,original
T=0.9_11_original,0.9,1.8704,0.3151,34.71869980879541,original
T=0.9_12_original,0.9,1.7156,0.3151,31.533718689788053,original
T=0.9_13_original,0.9,1.5866,0.3288,49.52344689378758,original
T=0.9_14_original,0.9,1.7654,0.3288,32.85003944773176,original
T=0.9_15_original,0.9,1.7942,0.3288,60.26931558935362,original
T=0.9_16_original,0.9,1.8114,0.274,57.04202602230483,original
T=0.9_17_original,0.9,1.5982,0.2877,46.45167608286253,original
T=0.9_18_original,0.9,1.6036,0.3151,49.44553846153846,original
T=0.9_19_original,0.9,2.324,0.274,30.503966165413534,original
T=0.9_20_original,0.9,1.8389,0.274,48.52781716417911,original
T=0.9_21_original,0.9,1.7721,0.2877,34.65453125,original
T=0.9_22_original,0.9,1.9105,0.274,34.5302808988764,original
T=0.9_23_original,0.9,2.0507,0.2603,32.46369047619048,original
T=0.9_24_original,0.9,1.7931,0.3151,50.1629044834308,original
T=0.9_25_original,0.9,1.9484,0.274,36.23374517374518,original
T=0.9_26_original,0.9,1.805,0.3288,50.402164328657314,original
T=0.9_27_original,0.9,1.5586,0.3699,48.50425572519084,original
T=0.9_28_original,0.9,1.7731,0.3151,51.40803435114504,original
T=0.9_29_original,0.9,1.8163,0.274,31.09454022988506,original
T=0.9_30_original,0.9,2.2482,0.2192,36.93108540925267,original
T=0.9_31_original,0.9,1.6937,0.2603,34.1968932038835,original
T=0.9_32_original,0.9,1.6216,0.3014,33.32222868217055,original
T=0.9_33_original,0.9,1.8302,0.2877,46.768870370370365,original
T=0.9_34_original,0.9,2.0438,0.3151,35.78547572815534,original
T=0.9_35_original,0.9,1.6298,0.2603,33.074122448979594,original
T=0.9_36_original,0.9,1.6982,0.411,45.94588803088804,original
T=0.9_37_original,0.9,1.6348,0.3562,44.49633009708738,original
T=0.9_38_original,0.9,1.7975,0.3562,41.24749056603773,original
T=0.9_39_original,0.9,1.9931,0.2603,34.46430476190476,original
T=0.9_40_original,0.9,1.7823,0.3425,34.185844930417495,original
T=0.9_41_original,0.9,1.9313,0.274,34.44482374768089,original
T=0.9_42_original,0.9,2.2541,0.2329,31.754332723948817,original
T=0.9_43_original,0.9,1.6208,0.3288,48.21694280078895,original
T=0.9_44_original,0.9,1.9925,0.3425,48.01249042145593,original
T=0.9_45_original,0.9,1.8691,0.2877,33.79086274509804,original
T=0.9_46_original,0.9,1.6927,0.274,38.67373795761079,original
T=0.9_47_original,0.9,1.785,0.3014,50.89043243243243,original
T=0.9_48_original,0.9,1.7777,0.3014,35.30655831739962,original
T=0.9_49_original,0.9,1.6904,0.3288,56.19283168316832,original
T=0.9_50_original,0.9,1.6021,0.3425,36.94105263157895,original
T=0.9_1_wm,0.9,1.9078,0.3014,34.2210060362173,wm
T=0.9_2_wm,0.9,1.6373,0.3562,63.48015384615383,wm
T=0.9_3_wm,0.9,2.0919,0.2877,36.39809803921568,wm
T=0.9_4_wm,0.9,1.6921,0.3151,42.0214393939394,wm
T=0.9_5_wm,0.9,1.3953,0.3562,45.915838383838384,wm
T=0.9_6_wm,0.9,1.9325,0.2877,34.70368821292776,wm
T=0.9_7_wm,0.9,1.604,0.3425,52.01196969696969,wm
T=0.9_8_wm,0.9,2.2259,0.2603,35.124071428571426,wm
T=0.9_9_wm,0.9,1.98,0.2466,44.55613636363636,wm
T=0.9_10_wm,0.9,2.1815,0.3836,36.11524621212121,wm
T=0.9_11_wm,0.9,2.15,0.2192,39.77142578125,wm
T=0.9_12_wm,0.9,1.7885,0.2603,38.91219066937119,wm
T=0.9_13_wm,0.9,1.8414,0.2877,42.20009615384616,wm
T=0.9_14_wm,0.9,1.9368,0.274,34.74182857142857,wm
T=0.9_15_wm,0.9,1.8418,0.3562,35.67224231464738,wm
T=0.9_16_wm,0.9,1.8662,0.2466,39.39813861386139,wm
T=0.9_17_wm,0.9,1.9889,0.274,34.60824372759857,wm
T=0.9_18_wm,0.9,1.6819,0.2466,30.991830443159927,wm
T=0.9_19_wm,0.9,1.5718,0.3699,57.68125240847784,wm
T=0.9_20_wm,0.9,1.9824,0.2466,31.800579710144923,wm
T=0.9_21_wm,0.9,2.1925,0.2329,31.06655378486056,wm
T=0.9_22_wm,0.9,1.7251,0.2603,44.361666666666665,wm
T=0.9_23_wm,0.9,1.7052,0.3151,35.54885375494072,wm
T=0.9_24_wm,0.9,2.0121,0.3014,34.167077534791254,wm
T=0.9_25_wm,0.9,2.127,0.3014,31.813560885608855,wm
T=0.9_26_wm,0.9,1.9837,0.2329,34.700490196078434,wm
T=0.9_27_wm,0.9,1.8161,0.2603,55.60503891050585,wm
T=0.9_28_wm,0.9,2.0333,0.3151,65.25827852998066,wm
T=0.9_29_wm,0.9,1.674,0.3151,33.62891089108911,wm
T=0.9_30_wm,0.9,1.8889,0.2877,45.803574144486696,wm
T=0.9_31_wm,0.9,1.5379,0.274,42.10712598425197,wm
T=0.9_32_wm,0.9,1.7489,0.3425,38.94545977011494,wm
T=0.9_33_wm,0.9,1.6992,0.274,56.64341650671785,wm
T=0.9_34_wm,0.9,1.8379,0.274,50.35120300751879,wm
T=0.9_35_wm,0.9,1.97,0.3014,30.5754261954262,wm
T=0.9_36_wm,0.9,1.7431,0.3425,35.7394061302682,wm
T=0.9_37_wm,0.9,1.697,0.3288,35.05342,wm
T=0.9_38_wm,0.9,1.6535,0.3288,50.549521072796935,wm
T=0.9_39_wm,0.9,1.9331,0.3014,33.55400390625,wm
T=0.9_40_wm,0.9,1.6567,0.3288,34.146087824351305,wm
T=0.9_41_wm,0.9,1.8705,0.2055,32.2425572519084,wm
T=0.9_42_wm,0.9,1.7999,0.3288,48.889738317757015,wm
T=0.9_43_wm,0.9,1.7982,0.3151,40.51968190854871,wm
T=0.9_44_wm,0.9,1.8662,0.3562,54.90158415841585,wm
T=0.9_45_wm,0.9,1.8196,0.274,38.77774131274131,wm
T=0.9_46_wm,0.9,1.6788,0.3014,37.86977687626775,wm
T=0.9_47_wm,0.9,2.0991,0.3014,31.00396946564885,wm
T=0.9_48_wm,0.9,1.8735,0.2603,43.23424951267056,wm
T=0.9_49_wm,0.9,1.7423,0.3288,47.17968871595331,wm
T=0.9_50_wm,0.9,1.6751,0.3014,33.3844512195122,wm
T=0.1_1_original,0.1,0.9639,0.3562,48.1898523206751,original
T=0.1_2_original,0.1,0.9695,0.3562,49.04367647058824,original
T=0.1_3_original,0.1,0.9574,0.3562,56.27412262156448,original
T=0.1_4_original,0.1,0.9438,0.3699,50.74080338266384,original
T=0.1_5_original,0.1,0.9538,0.3836,50.70747346072186,original
T=0.1_6_original,0.1,0.9604,0.3425,40.663127659574464,original
T=0.1_7_original,0.1,0.9583,0.3562,51.72243128964059,original
T=0.1_8_original,0.1,0.9465,0.3699,49.4622268907563,original
T=0.1_9_original,0.1,0.9537,0.3699,57.75933901918976,original
T=0.1_10_original,0.1,0.9531,0.3562,51.59367303609342,original
T=0.1_11_original,0.1,0.9697,0.3699,56.403333333333336,original
T=0.1_12_original,0.1,0.9529,0.3699,48.62266524520256,original
T=0.1_13_original,0.1,0.9519,0.3699,50.49869198312236,original
T=0.1_14_original,0.1,0.9419,0.3836,49.26638655462185,original
T=0.1_15_original,0.1,0.9756,0.3836,54.20131355932202,original
T=0.1_16_original,0.1,0.9778,0.3699,46.95443277310924,original
T=0.1_17_original,0.1,0.9559,0.3699,50.78344753747323,original
T=0.1_18_original,0.1,0.9457,0.3836,49.4284243697479,original
T=0.1_19_original,0.1,0.9328,0.3699,52.75784232365145,original
T=0.1_20_original,0.1,0.9832,0.3562,46.550210970464136,original
T=0.1_21_original,0.1,0.9545,0.3425,49.08707627118645,original
T=0.1_22_original,0.1,0.938,0.3562,49.68645569620253,original
T=0.1_23_original,0.1,0.9418,0.3973,59.10532224532224,original
T=0.1_24_original,0.1,0.9638,0.3836,50.22256410256411,original
T=0.1_25_original,0.1,0.986,0.3836,56.55355319148936,original
T=0.1_26_original,0.1,0.9563,0.3699,51.481329113924055,original
T=0.1_27_original,0.1,0.9597,0.3562,49.02460721868364,original
T=0.1_28_original,0.1,0.9652,0.3562,48.08533755274261,original
T=0.1_29_original,0.1,0.9456,0.3562,44.81533613445378,original
T=0.1_30_original,0.1,0.9476,0.3699,51.06275574112735,original
