sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.4716,0.3615,87.46943339960238,original
T=0.7_2_original,0.7,1.2827,0.3385,87.57103585657372,original
T=0.7_3_original,0.7,1.3469,0.3462,86.79451807228915,original
T=0.7_4_original,0.7,1.2251,0.3846,85.32726166328601,original
T=0.7_5_original,0.7,1.2084,0.3923,85.94292631578948,original
T=0.7_6_original,0.7,1.319,0.3846,85.91551619433199,original
T=0.7_7_original,0.7,1.4686,0.3923,84.95307246376812,original
T=0.7_8_original,0.7,1.4503,0.3231,87.40882352941178,original
T=0.7_9_original,0.7,1.4855,0.3231,82.370233463035,original
T=0.7_10_original,0.7,1.5174,0.3154,84.09178467507274,original
T=0.7_11_original,0.7,1.2279,0.3846,85.76581067472306,original
T=0.7_12_original,0.7,1.2639,0.3692,86.8861838161838,original
T=0.7_13_original,0.7,1.4612,0.3462,83.68863366336633,original
T=0.7_14_original,0.7,1.4523,0.3308,82.64147030185006,original
T=0.7_15_original,0.7,1.1762,0.3385,89.70280500521376,original
T=0.7_16_original,0.7,1.2552,0.4231,87.16261691542287,original
T=0.7_17_original,0.7,1.3015,0.3692,85.54754132231403,original
T=0.7_18_original,0.7,1.3131,0.3462,85.28795024875622,original
T=0.7_19_original,0.7,1.3773,0.3692,84.65029896907217,original
T=0.7_20_original,0.7,1.3433,0.3462,86.37655769230768,original
T=0.7_21_original,0.7,1.4458,0.3231,85.27283448959366,original
T=0.7_22_original,0.7,1.3013,0.3692,84.83292730844795,original
T=0.7_23_original,0.7,1.4933,0.3615,87.42653653653653,original
T=0.7_24_original,0.7,1.359,0.2385,84.29243270189431,original
T=0.7_25_original,0.7,1.4198,0.2923,83.66659135559921,original
T=0.7_26_original,0.7,1.4254,0.3538,84.35429702970296,original
T=0.7_27_original,0.7,1.4415,0.3462,85.0487843137255,original
T=0.7_28_original,0.7,1.4503,0.3154,84.32430097087378,original
T=0.7_29_original,0.7,1.3727,0.3692,85.8358055009823,original
T=0.7_30_original,0.7,1.4937,0.3769,86.28953419226957,original
T=0.7_31_original,0.7,1.4085,0.3615,87.16755710029793,original
T=0.7_32_original,0.7,1.3513,0.3615,86.46687500000002,original
T=0.7_33_original,0.7,1.4052,0.3308,84.89458132820019,original
T=0.7_34_original,0.7,1.3016,0.3154,84.28897187196895,original
T=0.7_35_original,0.7,1.3099,0.3692,84.68890466531441,original
T=0.7_36_original,0.7,1.1568,0.3615,88.33826315789474,original
T=0.7_37_original,0.7,1.3074,0.3385,84.3723585810163,original
T=0.7_38_original,0.7,1.3114,0.3385,88.04462244897958,original
T=0.7_39_original,0.7,1.4344,0.3462,85.20850431447747,original
T=0.7_40_original,0.7,1.2356,0.3308,89.22565262076054,original
T=0.7_41_original,0.7,1.4817,0.3385,85.28916666666667,original
T=0.7_42_original,0.7,1.6437,0.2923,82.1686216730038,original
T=0.7_43_original,0.7,1.3403,0.3769,86.82571717171716,original
T=0.7_44_original,0.7,1.492,0.3615,84.89324649298598,original
T=0.7_45_original,0.7,1.2678,0.4154,85.17335265700483,original
T=0.7_46_original,0.7,1.1739,0.3538,87.16617768595042,original
T=0.7_47_original,0.7,1.4343,0.3538,86.03514804202482,original
T=0.7_48_original,0.7,1.3233,0.3462,86.92143277723258,original
T=0.7_49_original,0.7,1.3083,0.4,85.77088557213929,original
T=0.7_50_original,0.7,1.1784,0.3615,85.56316417910448,original
T=0.7_1_wm,0.7,1.6247,0.3231,83.2243486777669,wm
T=0.7_2_wm,0.7,1.397,0.3692,88.18388339920948,wm
T=0.7_3_wm,0.7,1.3305,0.3077,86.61986447241044,wm
T=0.7_4_wm,0.7,1.4118,0.3769,86.48774549098195,wm
T=0.7_5_wm,0.7,1.2827,0.3385,77.54266808964782,wm
T=0.7_6_wm,0.7,1.2605,0.4,85.9471862348178,wm
T=0.7_7_wm,0.7,1.4314,0.3615,84.16284351145039,wm
T=0.7_8_wm,0.7,1.3456,0.3385,86.05585828343314,wm
T=0.7_9_wm,0.7,1.386,0.3308,84.01729146221786,wm
T=0.7_10_wm,0.7,1.4027,0.3231,84.21585576923077,wm
T=0.7_11_wm,0.7,1.3038,0.3769,84.29908565928778,wm
T=0.7_12_wm,0.7,1.2179,0.3538,85.0705060728745,wm
T=0.7_13_wm,0.7,1.4743,0.3692,85.67799216454458,wm
T=0.7_14_wm,0.7,1.4904,0.3154,83.45281488549618,wm
T=0.7_15_wm,0.7,1.2753,0.3846,86.73721174004193,wm
T=0.7_16_wm,0.7,1.5092,0.3385,85.54574056147145,wm
T=0.7_17_wm,0.7,1.3436,0.3692,85.30201238390092,wm
T=0.7_18_wm,0.7,1.4616,0.3077,83.70658846529814,wm
T=0.7_19_wm,0.7,1.4405,0.3077,83.42669999999998,wm
T=0.7_20_wm,0.7,1.2886,0.3692,84.93546341463414,wm
T=0.7_21_wm,0.7,1.5711,0.3308,84.57177042801557,wm
T=0.7_22_wm,0.7,1.357,0.3385,81.39173604060912,wm
T=0.7_23_wm,0.7,1.3673,0.3692,87.68237663645519,wm
T=0.7_24_wm,0.7,1.4402,0.3077,80.83073120494335,wm
T=0.7_25_wm,0.7,1.4787,0.3308,81.90714843750001,wm
T=0.7_26_wm,0.7,1.3577,0.3308,86.2527390438247,wm
T=0.7_27_wm,0.7,1.7826,0.2538,82.28749748743718,wm
T=0.7_28_wm,0.7,1.414,0.3462,83.02452475247523,wm
T=0.7_29_wm,0.7,1.1906,0.3154,85.30569321533923,wm
T=0.7_30_wm,0.7,1.3232,0.4154,84.82049504950494,wm
T=0.7_31_wm,0.7,1.3426,0.4308,85.1914674441205,wm
T=0.7_32_wm,0.7,1.3518,0.3154,85.28657054582905,wm
T=0.7_33_wm,0.7,1.6083,0.3385,85.71005825242717,wm
T=0.7_34_wm,0.7,1.3667,0.3538,86.06338709677419,wm
T=0.7_35_wm,0.7,1.609,0.3,77.4752512315271,wm
T=0.7_36_wm,0.7,1.3712,0.3308,84.8697244897959,wm
T=0.7_37_wm,0.7,1.4163,0.3,84.74666003976144,wm
T=0.7_38_wm,0.7,1.4025,0.3462,84.57205479452055,wm
T=0.7_39_wm,0.7,1.4017,0.4,83.70660341555978,wm
T=0.7_40_wm,0.7,1.2965,0.3308,87.06666325486182,wm
T=0.7_41_wm,0.7,1.3651,0.3769,85.72830169830169,wm
T=0.7_42_wm,0.7,1.437,0.4,82.65402081362346,wm
T=0.7_43_wm,0.7,1.4323,0.3615,82.68004065040651,wm
T=0.7_44_wm,0.7,1.7588,0.2923,79.80944820909971,wm
T=0.7_45_wm,0.7,1.4275,0.3462,82.93186538461539,wm
T=0.7_46_wm,0.7,1.1861,0.3231,86.9012320328542,wm
T=0.7_47_wm,0.7,1.4242,0.3615,86.20177263969171,wm
T=0.7_48_wm,0.7,1.382,0.3385,84.61806324110673,wm
T=0.7_49_wm,0.7,1.3349,0.4,81.43161978661493,wm
T=0.7_50_wm,0.7,1.3712,0.3462,85.49091762252347,wm
T=0.9_1_original,0.9,1.9113,0.3,85.34849328214972,original
T=0.9_2_original,0.9,1.5478,0.2923,85.16529239766082,original
T=0.9_3_original,0.9,1.7606,0.2615,76.50605593056895,original
T=0.9_4_original,0.9,1.6736,0.3308,78.31797014925372,original
T=0.9_5_original,0.9,1.4915,0.3769,86.745,original
T=0.9_6_original,0.9,1.7222,0.3462,81.23217085427136,original
T=0.9_7_original,0.9,1.7741,0.3385,84.29498087954111,original
T=0.9_8_original,0.9,1.7483,0.2846,86.69396793587174,original
T=0.9_9_original,0.9,1.9443,0.2462,76.54120075046906,original
T=0.9_10_original,0.9,2.0072,0.3,75.61168582375478,original
T=0.9_11_original,0.9,1.6134,0.3308,73.94925315227934,original
T=0.9_12_original,0.9,1.6384,0.3308,78.26545362903227,original
T=0.9_13_original,0.9,1.9972,0.2615,80.11216572504708,original
T=0.9_14_original,0.9,1.8438,0.2923,79.99488888888888,original
T=0.9_15_original,0.9,1.48,0.2923,88.67365634365633,original
T=0.9_16_original,0.9,1.6184,0.3769,84.60062439024391,original
T=0.9_17_original,0.9,2.0028,0.2385,78.45814045499505,original
T=0.9_18_original,0.9,1.6917,0.3154,84.44643984220907,original
T=0.9_19_original,0.9,1.6018,0.3308,80.50381873727088,original
T=0.9_20_original,0.9,1.7941,0.2923,76.87818957345971,original
T=0.9_21_original,0.9,1.6648,0.3308,85.56734634146342,original
T=0.9_22_original,0.9,1.5883,0.3,85.00298507462686,original
T=0.9_23_original,0.9,1.8192,0.3154,83.53943508424182,original
T=0.9_24_original,0.9,1.7035,0.2538,83.60808365758756,original
T=0.9_25_original,0.9,1.8582,0.2615,79.98632478632479,original
T=0.9_26_original,0.9,1.5949,0.3077,83.5717490118577,original
T=0.9_27_original,0.9,1.8895,0.2769,84.946669921875,original
T=0.9_28_original,0.9,1.7553,0.2538,80.84125603864736,original
