sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.32,0.3675,77.4647163660074,original
T=0.7_2_original,0.7,1.2692,0.3846,83.79975142982842,original
T=0.7_3_original,0.7,1.2275,0.3641,78.58605935875217,original
T=0.7_4_original,0.7,1.2547,0.3846,77.25277656318322,original
T=0.7_5_original,0.7,1.2941,0.3744,84.67028458844133,original
T=0.7_6_original,0.7,1.2989,0.3949,75.93269699608184,original
T=0.7_7_original,0.7,1.3741,0.3538,77.24809420447146,original
T=0.7_8_original,0.7,1.3144,0.3863,73.82860413425206,original
T=0.7_9_original,0.7,1.247,0.3915,76.50997833622183,original
T=0.7_10_original,0.7,1.2939,0.3795,77.21681538461539,original
T=0.7_11_original,0.7,1.2575,0.4085,79.842651498578,original
T=0.7_12_original,0.7,1.319,0.3966,73.2287809110629,original
T=0.7_13_original,0.7,1.2669,0.3949,78.58093545573486,original
T=0.7_14_original,0.7,1.3145,0.3846,84.19254034016572,original
T=0.7_15_original,0.7,1.301,0.3726,84.64977605512489,original
T=0.7_16_original,0.7,1.2799,0.388,81.00487692307692,original
T=0.7_17_original,0.7,1.3735,0.3829,75.83468223086899,original
T=0.7_18_original,0.7,1.2374,0.4051,77.11524286647789,original
T=0.7_19_original,0.7,1.2242,0.3624,84.99707980383415,original
T=0.7_20_original,0.7,1.3263,0.3726,79.83407667031763,original
T=0.7_21_original,0.7,1.3117,0.388,76.09069383259911,original
T=0.7_22_original,0.7,1.2618,0.3709,79.20002854633289,original
T=0.7_23_original,0.7,1.3094,0.3744,86.80156161395855,original
T=0.7_24_original,0.7,1.2347,0.3983,78.49653052261748,original
T=0.7_25_original,0.7,1.2494,0.3812,76.68046116504856,original
T=0.7_26_original,0.7,1.2716,0.4085,80.65623621025308,original
T=0.7_27_original,0.7,1.3007,0.4068,77.95749069410992,original
T=0.7_28_original,0.7,1.3052,0.3726,76.65287443267776,original
T=0.7_29_original,0.7,1.2444,0.4,78.76502302126727,original
T=0.7_30_original,0.7,1.2333,0.3983,87.1817993840739,original
T=0.7_31_original,0.7,1.2516,0.3744,78.64925758553905,original
T=0.7_32_original,0.7,1.2872,0.3932,79.00099122807018,original
T=0.7_33_original,0.7,1.2604,0.3983,72.68448904317641,original
T=0.7_34_original,0.7,1.3407,0.3846,76.07368638538495,original
T=0.7_35_original,0.7,1.3409,0.3641,73.89779616724739,original
T=0.7_36_original,0.7,1.2675,0.4154,73.77780329289428,original
T=0.7_37_original,0.7,1.3487,0.3812,76.38007070260716,original
T=0.7_38_original,0.7,1.2218,0.3966,80.8998669864806,original
T=0.7_39_original,0.7,1.2854,0.3624,76.23843086259211,original
T=0.7_40_original,0.7,1.2801,0.3726,75.76943495400788,original
T=0.7_41_original,0.7,1.2813,0.3812,76.68778093572367,original
T=0.7_42_original,0.7,1.272,0.3932,76.4186391437309,original
T=0.7_43_original,0.7,1.2427,0.3846,77.11987168334058,original
T=0.7_44_original,0.7,1.2139,0.3983,79.02856267775104,original
T=0.7_45_original,0.7,1.2609,0.3726,79.14820590135687,original
T=0.7_46_original,0.7,1.2413,0.3932,73.13552339499455,original
T=0.7_47_original,0.7,1.3194,0.3897,78.19287089715536,original
T=0.7_48_original,0.7,1.3121,0.3778,80.91205856643356,original
T=0.7_49_original,0.7,1.3242,0.3949,77.81988722619822,original
T=0.7_50_original,0.7,1.4064,0.359,72.30530477031803,original
T=0.7_1_wm,0.7,1.2733,0.3761,75.60284932106877,wm
T=0.7_2_wm,0.7,1.2856,0.3641,75.48977021652674,wm
T=0.7_3_wm,0.7,1.2556,0.3795,77.08444297374807,wm
T=0.7_4_wm,0.7,1.2565,0.3744,77.128361804643,wm
T=0.7_5_wm,0.7,1.2959,0.3709,83.80580525972614,wm
T=0.7_6_wm,0.7,1.3217,0.3778,76.45299934654759,wm
T=0.7_7_wm,0.7,1.4153,0.3812,78.30443352979698,wm
T=0.7_8_wm,0.7,1.286,0.4137,75.19465416936005,wm
T=0.7_9_wm,0.7,1.2382,0.4051,80.33714567360349,wm
T=0.7_10_wm,0.7,1.241,0.3949,78.49964977973569,wm
T=0.7_11_wm,0.7,1.2079,0.4034,76.4759295154185,wm
T=0.7_12_wm,0.7,1.3288,0.3675,74.27082891668434,wm
T=0.7_13_wm,0.7,1.3231,0.3932,73.6515027027027,wm
T=0.7_14_wm,0.7,1.3594,0.3829,86.68150579995624,wm
T=0.7_15_wm,0.7,1.2591,0.3983,79.32499778858913,wm
T=0.7_16_wm,0.7,1.3482,0.3504,79.75093268807743,wm
T=0.7_17_wm,0.7,1.2976,0.3932,80.72118759621729,wm
T=0.7_18_wm,0.7,1.2736,0.3812,75.853732718894,wm
T=0.7_19_wm,0.7,1.2595,0.3949,83.7479070274989,wm
T=0.7_20_wm,0.7,1.3451,0.3573,74.46549378678874,wm
T=0.7_21_wm,0.7,1.3266,0.3829,76.47185023944276,wm
T=0.7_22_wm,0.7,1.3119,0.3658,74.66860343702416,wm
T=0.7_23_wm,0.7,1.3489,0.3487,83.14951310043668,wm
T=0.7_24_wm,0.7,1.2787,0.4068,77.55799644996672,wm
T=0.7_25_wm,0.7,1.2663,0.3863,78.48344985798558,wm
T=0.7_26_wm,0.7,1.3174,0.4085,74.92255305326981,wm
T=0.7_27_wm,0.7,1.2523,0.4188,82.56571056062582,wm
T=0.7_28_wm,0.7,1.3219,0.3812,73.16495691512279,wm
T=0.7_29_wm,0.7,1.2137,0.3846,79.40185661364131,wm
T=0.7_30_wm,0.7,1.2955,0.3949,88.25171173135631,wm
T=0.7_31_wm,0.7,1.338,0.3778,74.75574289405684,wm
T=0.7_32_wm,0.7,1.3322,0.3863,74.30550845596309,wm
T=0.7_33_wm,0.7,1.2546,0.4017,78.56248567650948,wm
T=0.7_34_wm,0.7,1.3275,0.3726,75.60884835164835,wm
T=0.7_35_wm,0.7,1.2819,0.3846,78.13118848857646,wm
T=0.7_36_wm,0.7,1.3653,0.4085,72.16530391520658,wm
T=0.7_37_wm,0.7,1.2595,0.3983,77.30317495559503,wm
T=0.7_38_wm,0.7,1.2519,0.3829,81.75702649869677,wm
T=0.7_39_wm,0.7,1.2872,0.388,78.29546432491766,wm
T=0.7_40_wm,0.7,1.2325,0.388,76.52458504875405,wm
T=0.7_41_wm,0.7,1.2896,0.3949,79.50181051697359,wm
T=0.7_42_wm,0.7,1.2209,0.3863,75.58558771929825,wm
T=0.7_43_wm,0.7,1.3386,0.3897,74.9542832319722,wm
T=0.7_44_wm,0.7,1.2773,0.3795,73.75480682063458,wm
T=0.7_45_wm,0.7,1.2365,0.3897,79.2514572425829,wm
T=0.7_46_wm,0.7,1.1786,0.3949,74.76021341463415,wm
T=0.7_47_wm,0.7,1.3312,0.3949,78.04908084163898,wm
T=0.7_48_wm,0.7,1.3351,0.3812,75.78404389395915,wm
T=0.7_49_wm,0.7,1.3391,0.4,79.84394399826351,wm
T=0.7_50_wm,0.7,1.398,0.3624,73.47723218189768,wm
T=0.9_1_original,0.9,1.6015,0.3453,71.23919017876374,original
T=0.9_2_original,0.9,1.5675,0.3402,74.23032871972319,original
T=0.9_3_original,0.9,1.6436,0.3231,73.33685923690449,original
T=0.9_4_original,0.9,1.5595,0.3402,73.32332170880558,original
T=0.9_5_original,0.9,1.63,0.3265,77.7128914879792,original
T=0.9_6_original,0.9,1.5914,0.3436,74.4519370932755,original
T=0.9_7_original,0.9,1.6232,0.3299,74.33331522919835,original
T=0.9_8_original,0.9,1.6066,0.3419,69.82817640573317,original
T=0.9_9_original,0.9,1.624,0.3419,69.63395358831114,original
T=0.9_10_original,0.9,1.5969,0.359,75.95755155198611,original
T=0.9_11_original,0.9,1.6003,0.3641,73.7549191984486,original
T=0.9_12_original,0.9,1.6659,0.3265,66.89930212583208,original
T=0.9_13_original,0.9,1.7207,0.3316,73.4798129032258,original
T=0.9_14_original,0.9,1.6433,0.3504,76.54104943625325,original
T=0.9_15_original,0.9,1.5939,0.335,72.71484375,original
T=0.9_16_original,0.9,1.5693,0.3487,77.50644473742034,original
T=0.9_17_original,0.9,1.7817,0.335,71.83771689497718,original
T=0.9_18_original,0.9,1.6241,0.3573,64.67326914755516,original
T=0.9_19_original,0.9,1.4885,0.3436,71.54649161518093,original
T=0.9_20_original,0.9,1.6773,0.3162,69.38443623723659,original
T=0.9_21_original,0.9,1.6887,0.3521,63.81872322008224,original
T=0.9_22_original,0.9,1.6548,0.3179,70.49376393442623,original
T=0.9_23_original,0.9,1.6553,0.3162,79.91950128976784,original
T=0.9_24_original,0.9,1.5731,0.3521,71.40535737849132,original
T=0.9_25_original,0.9,1.6284,0.3333,69.79971030276629,original
T=0.9_26_original,0.9,1.6763,0.3487,67.54480479825517,original
T=0.9_27_original,0.9,1.6068,0.3675,72.6849924941025,original
T=0.9_28_original,0.9,1.626,0.3299,72.84582372143635,original
T=0.9_29_original,0.9,1.5878,0.3436,72.39222929936305,original
T=0.9_30_original,0.9,1.5664,0.3436,82.5520474137931,original
T=0.9_31_original,0.9,1.5784,0.3573,79.3959274366681,original
T=0.9_32_original,0.9,1.6058,0.3368,75.92507413868294,original
T=0.9_33_original,0.9,1.7036,0.3214,71.89497431506848,original
T=0.9_34_original,0.9,1.5936,0.3436,75.28810528605612,original
T=0.9_35_original,0.9,1.6564,0.3179,66.68342042238187,original
T=0.9_36_original,0.9,1.7066,0.3573,73.29559230436664,original
T=0.9_37_original,0.9,1.7182,0.3333,76.38818581155282,original
T=0.9_38_original,0.9,1.5991,0.3607,79.64345419018672,original
T=0.9_39_original,0.9,1.5718,0.3385,72.83216472617508,original
T=0.9_40_original,0.9,1.7286,0.3333,66.66895283427088,original
T=0.9_41_original,0.9,1.5788,0.3521,74.05302183406113,original
T=0.9_42_original,0.9,1.5318,0.3607,72.23900152273222,original
T=0.9_43_original,0.9,1.6129,0.3504,77.67583116883118,original
T=0.9_44_original,0.9,1.6775,0.3368,66.9585532831001,original
T=0.9_45_original,0.9,1.5778,0.3299,73.82149141630902,original
T=0.9_46_original,0.9,1.5922,0.3607,69.5436395298215,original
T=0.9_47_original,0.9,1.6078,0.3538,74.43292698826598,original
T=0.9_48_original,0.9,1.6315,0.347,74.60298445368952,original
T=0.9_49_original,0.9,1.5859,0.3624,75.89161771058315,original
T=0.9_50_original,0.9,1.6732,0.3385,70.3585001099626,original
T=0.9_1_wm,0.9,1.5688,0.3641,74.68622820569412,wm
T=0.9_2_wm,0.9,1.5518,0.3299,74.62560202509354,wm
T=0.9_3_wm,0.9,1.571,0.3385,74.47411135371179,wm
T=0.9_4_wm,0.9,1.6252,0.3419,68.01048849945235,wm
T=0.9_5_wm,0.9,1.6169,0.3487,79.03281148075668,wm
T=0.9_6_wm,0.9,1.6821,0.3316,65.48227853584578,wm
T=0.9_7_wm,0.9,1.6174,0.3521,72.57717987152036,wm
T=0.9_8_wm,0.9,1.5675,0.3521,71.08319218955683,wm
T=0.9_9_wm,0.9,1.6726,0.3299,65.650092612535,wm
T=0.9_10_wm,0.9,1.6511,0.3607,76.52143290700195,wm
T=0.9_11_wm,0.9,1.5998,0.3538,75.38730344379466,wm
T=0.9_12_wm,0.9,1.6426,0.3487,69.85483129163981,wm
T=0.9_13_wm,0.9,1.6911,0.3111,69.15701453677588,wm
T=0.9_14_wm,0.9,1.6825,0.3385,75.21155116927699,wm
T=0.9_15_wm,0.9,1.625,0.3128,69.49167072361142,wm
T=0.9_16_wm,0.9,1.501,0.347,74.04160328435609,wm
T=0.9_17_wm,0.9,1.6734,0.3385,73.55565067012537,wm
T=0.9_18_wm,0.9,1.6181,0.3197,67.37075471698112,wm
T=0.9_19_wm,0.9,1.5563,0.3726,80.08968124057722,wm
T=0.9_20_wm,0.9,1.5873,0.3368,75.05439522258415,wm
T=0.9_21_wm,0.9,1.7455,0.3316,70.98475038151298,wm
T=0.9_22_wm,0.9,1.6448,0.3521,71.9541308089501,wm
T=0.9_23_wm,0.9,1.6056,0.3556,72.1606154517678,wm
T=0.9_24_wm,0.9,1.5987,0.3419,75.77418365110672,wm
T=0.9_25_wm,0.9,1.6157,0.3436,71.88408616187989,wm
T=0.9_26_wm,0.9,1.6197,0.3573,68.35890457851947,wm
T=0.9_27_wm,0.9,1.6335,0.3419,76.89619099177132,wm
T=0.9_28_wm,0.9,1.6953,0.3214,76.40446937014667,wm
T=0.9_29_wm,0.9,1.6579,0.3504,71.79101550556891,wm
T=0.9_30_wm,0.9,1.5585,0.3521,80.09630732449467,wm
T=0.9_31_wm,0.9,1.6079,0.3265,70.84094181034482,wm
T=0.9_32_wm,0.9,1.6857,0.3419,70.04328008752736,wm
T=0.9_33_wm,0.9,1.6755,0.3368,75.53113607188705,wm
T=0.9_34_wm,0.9,1.6426,0.3573,74.47595161635626,wm
T=0.9_35_wm,0.9,1.6427,0.3179,68.78418349429323,wm
T=0.9_36_wm,0.9,1.661,0.3658,72.13074289405685,wm
T=0.9_37_wm,0.9,1.7094,0.3282,61.525823310736925,wm
T=0.9_38_wm,0.9,1.6673,0.3675,68.58565815760267,wm
T=0.9_39_wm,0.9,1.6339,0.3368,74.5262445319335,wm
T=0.9_40_wm,0.9,1.6857,0.3436,72.69889460154242,wm
T=0.9_41_wm,0.9,1.6637,0.3265,71.11704867932765,wm
T=0.9_42_wm,0.9,1.5719,0.3333,71.28801860263899,wm
T=0.9_43_wm,0.9,1.6216,0.3299,78.73229546918618,wm
T=0.9_44_wm,0.9,1.5372,0.3573,71.80155101152926,wm
T=0.9_45_wm,0.9,1.7242,0.3436,71.4855822591217,wm
T=0.9_46_wm,0.9,1.611,0.3487,69.83745363299148,wm
T=0.9_47_wm,0.9,1.6217,0.3402,69.069960456942,wm
T=0.9_48_wm,0.9,1.655,0.3436,74.06164446385674,wm
T=0.9_49_wm,0.9,1.5758,0.3573,73.71138474832577,wm
T=0.9_50_wm,0.9,1.7411,0.3419,69.16562254259502,wm
T=0.5_1_original,0.5,1.0939,0.3915,77.51619016677496,original
T=0.5_2_original,0.5,1.0436,0.4068,79.95675538935329,original
T=0.5_3_original,0.5,1.0253,0.3932,87.68808726311151,original
T=0.5_4_original,0.5,1.0235,0.4034,79.76874508948057,original
T=0.5_5_original,0.5,1.0408,0.4034,82.92740017551559,original
T=0.5_6_original,0.5,1.0125,0.4274,81.44565826944138,original
T=0.5_7_original,0.5,1.0746,0.3863,80.2810874293171,original
T=0.5_8_original,0.5,1.0403,0.412,80.0438929279577,original
T=0.5_9_original,0.5,1.027,0.412,80.65852038579568,original
T=0.5_10_original,0.5,1.0239,0.4017,78.9841000877963,original
T=0.5_11_original,0.5,1.0173,0.4325,80.46515525214711,original
T=0.5_12_original,0.5,1.0435,0.4205,79.74898992112182,original
T=0.5_13_original,0.5,1.0657,0.4154,82.65819664998912,original
T=0.5_14_original,0.5,1.0395,0.4342,88.04846420824295,original
T=0.5_15_original,0.5,1.0538,0.4068,85.90587577906727,original
T=0.5_16_original,0.5,1.0123,0.4256,78.41759380453752,original
T=0.5_17_original,0.5,1.0645,0.4103,77.13615748709122,original
T=0.5_18_original,0.5,1.0208,0.4308,80.79842302602559,original
T=0.5_19_original,0.5,1.0152,0.3897,86.18994009318837,original
T=0.5_20_original,0.5,1.034,0.4,79.42901770293611,original
T=0.5_21_original,0.5,1.0471,0.4171,79.81839149888144,original
T=0.5_22_original,0.5,1.0094,0.3983,80.67439894319683,original
T=0.5_23_original,0.5,1.0011,0.4376,89.09053240235654,original
T=0.5_24_original,0.5,1.05,0.4376,79.05860781730347,original
T=0.5_25_original,0.5,1.026,0.4,75.41441267047955,original
T=0.5_26_original,0.5,1.0127,0.4462,80.45751829530779,original
T=0.5_27_original,0.5,1.0533,0.4274,87.2826995614035,original
T=0.5_28_original,0.5,1.0237,0.4171,80.2952693310165,original
T=0.5_29_original,0.5,1.0258,0.4171,79.05270869565217,original
T=0.5_30_original,0.5,1.0013,0.4205,86.78830155979203,original
T=0.5_31_original,0.5,1.015,0.4154,81.0026828212895,original
T=0.5_32_original,0.5,1.0043,0.4171,81.61712858384014,original
T=0.5_33_original,0.5,1.0156,0.4239,80.98337041884817,original
T=0.5_34_original,0.5,1.0528,0.4171,78.87503724802805,original
T=0.5_35_original,0.5,1.0608,0.3932,77.65727688289073,original
T=0.5_36_original,0.5,1.0175,0.4325,80.25588019031142,original
T=0.5_37_original,0.5,1.0307,0.4103,79.34145154280748,original
T=0.5_38_original,0.5,1.0091,0.4291,81.35477874186552,original
T=0.5_39_original,0.5,1.0355,0.4034,78.6761142732049,original
T=0.5_40_original,0.5,1.0345,0.4137,88.36149065623643,original
T=0.5_41_original,0.5,1.0442,0.4085,80.4907894161382,original
T=0.5_42_original,0.5,1.0015,0.4274,81.07728565179352,original
T=0.5_43_original,0.5,1.0092,0.4205,87.80798525265669,original
T=0.5_44_original,0.5,0.9744,0.4308,80.42623691099476,original
T=0.5_45_original,0.5,1.0281,0.4103,78.98232035928143,original
T=0.5_46_original,0.5,0.9746,0.4308,77.67062784152414,original
T=0.5_47_original,0.5,1.0494,0.4222,76.8947667253521,original
T=0.5_48_original,0.5,1.0461,0.4256,80.83965247610773,original
T=0.5_49_original,0.5,1.0002,0.4325,81.12639161755075,original
T=0.5_50_original,0.5,1.0781,0.4085,76.57292666813478,original
T=0.5_1_wm,0.5,1.0653,0.3897,79.92787053182214,wm
T=0.5_2_wm,0.5,1.0312,0.4137,80.94230666962109,wm
T=0.5_3_wm,0.5,1.0033,0.4154,89.08936739130434,wm
T=0.5_4_wm,0.5,1.0256,0.4034,76.46746203904556,wm
T=0.5_5_wm,0.5,1.0626,0.412,89.1107984207063,wm
T=0.5_6_wm,0.5,1.0428,0.4205,81.99798343143667,wm
T=0.5_7_wm,0.5,1.069,0.412,79.59821204923342,wm
T=0.5_8_wm,0.5,1.0734,0.4137,79.36022090988628,wm
