sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.8837,0.3517,85.09701652089406,original
T=0.1_2_original,0.1,0.9898,0.4207,85.37619383259913,original
T=0.1_3_original,0.1,1.0171,0.4621,84.65186586414445,original
T=0.1_4_original,0.1,0.9352,0.4138,85.19517608517609,original
T=0.1_5_original,0.1,1.0137,0.4207,84.05657463330456,original
T=0.1_6_original,0.1,0.9175,0.4207,88.01409683426444,original
T=0.1_7_original,0.1,0.9906,0.4069,85.28407216494845,original
T=0.1_8_original,0.1,0.9899,0.4414,83.55331929233361,original
T=0.1_9_original,0.1,0.93,0.4483,84.77443089430895,original
T=0.1_10_original,0.1,0.9755,0.469,83.3145485519591,original
T=0.1_11_original,0.1,0.9279,0.469,84.21585504885994,original
T=0.1_12_original,0.1,0.9985,0.4759,84.97526046114432,original
T=0.1_13_original,0.1,1.0066,0.4276,86.00302872062663,original
T=0.1_14_original,0.1,0.9516,0.4138,85.36743913435527,original
T=0.1_15_original,0.1,0.9634,0.4,86.5917254174397,original
T=0.1_16_original,0.1,0.9506,0.4138,84.4618485915493,original
T=0.1_17_original,0.1,0.9411,0.4552,85.27742671009771,original
T=0.1_18_original,0.1,0.9848,0.4552,83.45339685169843,original
T=0.1_19_original,0.1,1.0142,0.4345,84.95108085106382,original
T=0.1_20_original,0.1,1.0211,0.4552,83.98235445205479,original
T=0.1_21_original,0.1,0.8642,0.3517,85.17610266159696,original
T=0.1_22_original,0.1,0.8266,0.3379,87.25537525354969,original
T=0.1_23_original,0.1,0.9391,0.4069,87.14034389140272,original
T=0.1_24_original,0.1,0.8916,0.3793,85.79979107312441,original
T=0.1_25_original,0.1,0.9964,0.4621,82.13687979539641,original
T=0.1_26_original,0.1,0.9311,0.469,84.53974485596709,original
T=0.1_27_original,0.1,1.0062,0.4345,85.88836301950806,original
T=0.1_28_original,0.1,0.9881,0.4552,84.90912265758092,original
T=0.1_29_original,0.1,1.0007,0.4828,86.52344588744587,original
T=0.1_30_original,0.1,0.9918,0.4552,82.74200168208579,original
T=0.1_31_original,0.1,0.9966,0.4552,84.17920962199314,original
T=0.1_32_original,0.1,1.0013,0.4621,85.02178046672428,original
T=0.1_33_original,0.1,0.8581,0.3586,71.88098859315589,original
T=0.1_34_original,0.1,0.9787,0.4414,81.6588713692946,original
T=0.1_35_original,0.1,0.9435,0.4276,85.31678424938474,original
