sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.8316,0.5165,86.30347924373201,original
T=0.3_2_original,0.3,0.8144,0.4819,84.18041401273885,original
T=0.3_3_original,0.3,0.8235,0.4772,85.64069772344014,original
T=0.3_4_original,0.3,0.8146,0.5008,83.23523634881826,original
T=0.3_5_original,0.3,0.8588,0.4992,85.074813972716,original
T=0.3_6_original,0.3,0.8254,0.4851,84.40529032258065,original
T=0.3_7_original,0.3,0.8384,0.5055,84.52082697463395,original
T=0.3_8_original,0.3,0.8172,0.4992,84.11884818970992,original
T=0.3_9_original,0.3,0.8478,0.5055,93.96162484316186,original
T=0.3_10_original,0.3,0.8429,0.5024,84.75256531577864,original
T=0.3_11_original,0.3,0.7872,0.5039,84.11051749120264,original
T=0.3_12_original,0.3,0.8116,0.4992,84.78877559462254,original
T=0.3_13_original,0.3,0.8415,0.5008,85.48053563984993,original
T=0.3_14_original,0.3,0.8293,0.4961,84.58240618556702,original
T=0.3_15_original,0.3,0.841,0.5055,84.74330148404148,original
T=0.3_16_original,0.3,0.8268,0.5071,83.25160975609757,original
T=0.3_17_original,0.3,0.8253,0.5055,84.79229587542088,original
T=0.3_18_original,0.3,0.7931,0.4992,84.91609547633938,original
T=0.3_19_original,0.3,0.8193,0.5086,86.03691900691902,original
T=0.3_20_original,0.3,0.8345,0.5086,84.84212539184954,original
T=0.3_21_original,0.3,0.8157,0.5306,84.4294735776473,original
T=0.3_22_original,0.3,0.7844,0.4961,84.750826306914,original
T=0.3_23_original,0.3,0.8204,0.4945,92.88399256044636,original
T=0.3_24_original,0.3,0.7989,0.4961,84.70692944340988,original
T=0.3_25_original,0.3,0.8046,0.4992,86.24073390647936,original
T=0.3_26_original,0.3,0.8125,0.5149,84.25660644631492,original
T=0.3_27_original,0.3,0.8288,0.4929,84.47976045473,original
T=0.3_28_original,0.3,0.8504,0.4788,83.49101292205086,original
T=0.3_29_original,0.3,0.8362,0.5071,84.68779141104294,original
T=0.3_30_original,0.3,0.8154,0.4992,85.26550664451827,original
T=0.3_31_original,0.3,0.8168,0.5196,84.94224018003273,original
T=0.3_32_original,0.3,0.8469,0.4772,83.0169991772933,original
T=0.3_33_original,0.3,0.8481,0.5055,83.32528770442157,original
