sample,T,score,seq_recovery,pLDDT,type
T=0.9_1_original,0.9,1.2103,0.5574,32.347127371273714,original
T=0.9_2_original,0.9,1.3586,0.4979,28.81125611745513,original
T=0.9_3_original,0.9,1.589,0.4809,27.112071926999462,original
T=0.9_4_original,0.9,1.3347,0.5447,32.04646575342466,original
T=0.9_5_original,0.9,1.3652,0.5277,32.32554971067859,original
T=0.9_6_original,0.9,1.3263,0.5447,25.150271739130435,original
T=0.9_7_original,0.9,1.2694,0.5532,27.74173391494002,original
T=0.9_8_original,0.9,1.4843,0.4723,26.803794571580628,original
T=0.9_9_original,0.9,1.5019,0.4638,31.01531984691088,original
T=0.9_10_original,0.9,1.5249,0.4809,28.887952586206897,original
T=0.9_11_original,0.9,1.3168,0.5362,35.60652869757174,original
T=0.9_12_original,0.9,1.3052,0.5489,27.99557923497268,original
T=0.9_13_original,0.9,1.3258,0.5532,26.53053447354356,original
T=0.9_14_original,0.9,1.4172,0.5277,25.810197018104365,original
T=0.9_15_original,0.9,1.4042,0.4766,36.87750272628135,original
T=0.9_16_original,0.9,1.5101,0.5234,29.484749199573105,original
T=0.9_17_original,0.9,1.3539,0.5574,30.90373851971907,original
T=0.9_18_original,0.9,1.3177,0.5404,25.89075692963753,original
T=0.9_19_original,0.9,1.449,0.5149,28.53151162790698,original
T=0.9_20_original,0.9,1.2911,0.5702,30.297400544959128,original
T=0.9_21_original,0.9,1.2744,0.5574,28.827416089504528,original
T=0.9_22_original,0.9,1.3088,0.5149,42.39866811044938,original
T=0.9_23_original,0.9,1.4031,0.4936,49.88794657762938,original
T=0.9_24_original,0.9,1.3259,0.5404,30.94811403508772,original
T=0.9_25_original,0.9,1.3313,0.566,28.7369595314164,original
T=0.9_26_original,0.9,1.4315,0.5277,26.231570736955355,original
T=0.9_27_original,0.9,1.3911,0.5362,29.76146947595894,original
T=0.9_28_original,0.9,1.4542,0.5277,25.444916979110875,original
T=0.9_29_original,0.9,1.372,0.4936,28.16444623655914,original
T=0.9_30_original,0.9,1.2795,0.5021,28.1831453362256,original
T=0.9_31_original,0.9,1.4853,0.5149,25.765296950240767,original
T=0.9_32_original,0.9,1.3104,0.5702,29.51813008130081,original
T=0.9_33_original,0.9,1.3811,0.5447,42.62432112068966,original
T=0.9_34_original,0.9,1.2337,0.5745,42.95815300546448,original
T=0.9_35_original,0.9,1.4656,0.4596,31.174609967497293,original
T=0.9_36_original,0.9,1.4681,0.4979,27.13921179624665,original
T=0.9_37_original,0.9,1.49,0.4638,28.256379774072084,original
T=0.9_38_original,0.9,1.3208,0.5234,26.231305510968436,original
T=0.9_39_original,0.9,1.3657,0.5106,32.75963549920761,original
T=0.9_40_original,0.9,1.4275,0.5277,30.729538545059725,original
T=0.9_41_original,0.9,1.4097,0.4809,31.578434065934065,original
T=0.9_42_original,0.9,1.461,0.4638,33.53176405733187,original
T=0.9_43_original,0.9,1.402,0.4936,29.180974025974027,original
T=0.9_44_original,0.9,1.421,0.4723,26.15892895015907,original
T=0.9_45_original,0.9,1.3502,0.5277,39.981871216290585,original
T=0.9_46_original,0.9,1.3307,0.5489,26.841876675603217,original
T=0.9_47_original,0.9,1.2235,0.5191,32.90641968631693,original
T=0.9_48_original,0.9,1.3464,0.5489,31.432311015118795,original
T=0.9_49_original,0.9,1.2345,0.583,30.71512863534676,original
T=0.9_50_original,0.9,1.333,0.583,28.79053398058253,original
T=0.9_1_wm,0.9,1.6657,0.4426,25.576757049891537,wm
T=0.9_2_wm,0.9,1.271,0.5319,39.21641702586207,wm
T=0.9_3_wm,0.9,1.4053,0.4851,26.03785992217899,wm
T=0.9_4_wm,0.9,1.4135,0.5064,27.52144012944984,wm
T=0.9_5_wm,0.9,1.5106,0.4936,33.71762433862434,wm
T=0.9_6_wm,0.9,1.4502,0.4936,29.29201277955272,wm
T=0.9_7_wm,0.9,1.4022,0.5319,38.23606388738495,wm
T=0.9_8_wm,0.9,1.3593,0.5404,29.762808510638298,wm
T=0.9_9_wm,0.9,1.5123,0.4851,27.174810690423165,wm
T=0.9_10_wm,0.9,1.4973,0.4894,28.52463611859838,wm
T=0.9_11_wm,0.9,1.3685,0.566,26.203276414087515,wm
T=0.9_12_wm,0.9,1.4985,0.4894,26.82119073869901,wm
T=0.9_13_wm,0.9,1.4202,0.5319,28.746450402144774,wm
T=0.9_14_wm,0.9,1.5983,0.4553,29.3922168545357,wm
T=0.9_15_wm,0.9,1.3559,0.4936,28.094105779716465,wm
T=0.9_16_wm,0.9,1.5475,0.4638,25.124015069967705,wm
T=0.9_17_wm,0.9,1.5955,0.4936,27.75874058127018,wm
T=0.9_18_wm,0.9,1.3399,0.5404,25.34187432867884,wm
T=0.9_19_wm,0.9,1.4022,0.5277,29.44250273224044,wm
T=0.9_20_wm,0.9,1.4931,0.5191,25.802423428264373,wm
T=0.9_21_wm,0.9,1.3751,0.5277,35.53561394101877,wm
T=0.9_22_wm,0.9,1.3387,0.5574,30.92802275189599,wm
T=0.9_23_wm,0.9,1.2987,0.566,25.83323958896701,wm
T=0.9_24_wm,0.9,1.3905,0.4681,26.98063760217984,wm
T=0.9_25_wm,0.9,1.3648,0.5489,28.78230064655172,wm
T=0.9_26_wm,0.9,1.5608,0.5191,28.50801881571666,wm
T=0.9_27_wm,0.9,1.4054,0.5106,25.765247578040903,wm
T=0.9_28_wm,0.9,1.3768,0.566,31.764861638632663,wm
T=0.9_29_wm,0.9,1.3579,0.4894,35.09815476190476,wm
T=0.9_30_wm,0.9,1.3164,0.5574,31.251020299145303,wm
T=0.9_31_wm,0.9,1.4313,0.5532,31.92316503800217,wm
T=0.9_32_wm,0.9,1.2573,0.5574,33.227513631406765,wm
T=0.9_33_wm,0.9,1.6376,0.4681,27.08363492063492,wm
T=0.9_34_wm,0.9,1.4241,0.4851,27.267517388978067,wm
T=0.9_35_wm,0.9,1.416,0.5064,23.86975228863759,wm
T=0.9_36_wm,0.9,1.5016,0.5064,27.589919657204074,wm
T=0.9_37_wm,0.9,1.3331,0.5234,30.128491471215355,wm
T=0.9_38_wm,0.9,1.2887,0.5319,30.1579727520436,wm
T=0.9_39_wm,0.9,1.5577,0.5064,25.40961434003259,wm
T=0.9_40_wm,0.9,1.4525,0.5106,29.143193460490465,wm
T=0.9_41_wm,0.9,1.4482,0.5447,28.759787697332605,wm
T=0.9_42_wm,0.9,1.5202,0.4809,29.69944414463033,wm
T=0.9_43_wm,0.9,1.3468,0.5319,25.20793383947939,wm
T=0.9_44_wm,0.9,1.3679,0.5234,30.28588735387885,wm
T=0.9_45_wm,0.9,1.6028,0.4851,24.1286174863388,wm
T=0.9_46_wm,0.9,1.3325,0.5064,25.033949624866025,wm
T=0.9_47_wm,0.9,1.306,0.5277,30.12274478330658,wm
T=0.9_48_wm,0.9,1.4695,0.4638,23.447567132116006,wm
T=0.9_49_wm,0.9,1.3844,0.5362,30.65375741239892,wm
T=0.9_50_wm,0.9,1.3269,0.5872,36.7332008709853,wm
T=0.1_1_original,0.1,0.616,0.6936,43.021001624255554,original
T=0.1_2_original,0.1,0.6319,0.6638,56.60108310991957,original
T=0.1_3_original,0.1,0.6289,0.6638,36.44477866666667,original
T=0.1_4_original,0.1,0.6499,0.6851,33.09789956803456,original
T=0.1_5_original,0.1,0.643,0.6936,44.95811188811189,original
T=0.1_6_original,0.1,0.643,0.6638,56.187772996234536,original
T=0.1_7_original,0.1,0.6418,0.6979,32.18452912357104,original
T=0.1_8_original,0.1,0.6315,0.6894,43.9508599242834,original
T=0.1_9_original,0.1,0.632,0.7149,46.52037398373984,original
T=0.1_10_original,0.1,0.6336,0.6894,58.168215835141,original
T=0.1_11_original,0.1,0.634,0.6553,43.89362607758621,original
T=0.1_12_original,0.1,0.6284,0.7106,41.31648780487806,original
T=0.1_13_original,0.1,0.6367,0.6851,39.0380129940444,original
T=0.1_14_original,0.1,0.6334,0.7064,47.82499728408474,original
T=0.1_15_original,0.1,0.6127,0.7064,41.44128330614464,original
T=0.1_16_original,0.1,0.6393,0.6809,45.20904198062433,original
T=0.1_17_original,0.1,0.6338,0.7191,49.27846195652174,original
T=0.1_18_original,0.1,0.6286,0.7149,43.71020674646354,original
T=0.1_19_original,0.1,0.6453,0.6809,35.44323906083245,original
T=0.1_20_original,0.1,0.6303,0.7106,53.16429191535539,original
T=0.1_21_original,0.1,0.638,0.6638,35.04087399463807,original
T=0.1_22_original,0.1,0.6323,0.6638,46.35057266342517,original
T=0.1_23_original,0.1,0.6271,0.7064,40.51346341463415,original
T=0.1_24_original,0.1,0.6226,0.7234,33.10023331524688,original
T=0.1_25_original,0.1,0.6342,0.6894,48.963043010752685,original
T=0.1_26_original,0.1,0.6327,0.6894,35.85064324324325,original
T=0.1_27_original,0.1,0.6394,0.6979,32.823413304253,original
T=0.1_28_original,0.1,0.6246,0.7234,42.38734527687296,original
T=0.1_29_original,0.1,0.6303,0.7064,44.401259541984736,original
T=0.1_30_original,0.1,0.6432,0.6894,35.133688172043016,original
T=0.1_31_original,0.1,0.6211,0.7191,42.07817640692641,original
T=0.1_32_original,0.1,0.6222,0.6979,45.45277657266812,original
T=0.1_33_original,0.1,0.6297,0.7191,41.54035830618892,original
T=0.1_34_original,0.1,0.634,0.6979,37.67756800870511,original
T=0.1_35_original,0.1,0.6322,0.7064,58.44876010781671,original
T=0.1_36_original,0.1,0.6355,0.7021,34.872373983739834,original
T=0.1_37_original,0.1,0.6474,0.6596,36.20058887088061,original
T=0.1_38_original,0.1,0.6334,0.6851,54.54762312633832,original
T=0.1_39_original,0.1,0.6361,0.6723,37.33951664876477,original
T=0.1_40_original,0.1,0.6447,0.6936,44.3146663049376,original
T=0.1_41_original,0.1,0.6629,0.6426,36.50920797413793,original
T=0.1_42_original,0.1,0.6177,0.7191,41.75136264929425,original
T=0.1_43_original,0.1,0.645,0.6894,47.45095108695652,original
T=0.1_44_original,0.1,0.6448,0.7064,41.90027762656505,original
T=0.1_45_original,0.1,0.6494,0.6553,39.64680919294494,original
T=0.1_46_original,0.1,0.636,0.7021,33.704460784313724,original
T=0.1_47_original,0.1,0.6353,0.7021,40.628252848616384,original
T=0.1_48_original,0.1,0.6378,0.7064,31.35484897518878,original
T=0.1_49_original,0.1,0.6343,0.7149,40.8150896252037,original
T=0.1_50_original,0.1,0.6571,0.6809,43.13135749053543,original
T=0.1_1_wm,0.1,0.6318,0.6766,42.69171597633136,wm
T=0.1_2_wm,0.1,0.6365,0.6596,46.02674530831099,wm
T=0.1_3_wm,0.1,0.6211,0.6979,53.28395174262735,wm
T=0.1_4_wm,0.1,0.6592,0.6511,32.954039913700115,wm
T=0.1_5_wm,0.1,0.643,0.6936,44.95811188811189,wm
T=0.1_6_wm,0.1,0.6424,0.6638,60.06435553168636,wm
T=0.1_7_wm,0.1,0.6427,0.7106,33.16011950027159,wm
T=0.1_8_wm,0.1,0.6315,0.6894,43.9508599242834,wm
T=0.1_9_wm,0.1,0.6302,0.7106,37.29507867607162,wm
T=0.1_10_wm,0.1,0.6336,0.6894,58.168215835141,wm
T=0.1_11_wm,0.1,0.634,0.6553,43.89362607758621,wm
T=0.1_12_wm,0.1,0.633,0.7106,38.00686008676789,wm
T=0.1_13_wm,0.1,0.6388,0.6851,38.406921409214085,wm
T=0.1_14_wm,0.1,0.632,0.7064,35.45491589799241,wm
T=0.1_15_wm,0.1,0.6127,0.7064,41.44128330614464,wm
T=0.1_16_wm,0.1,0.6393,0.6809,45.20904198062433,wm
T=0.1_17_wm,0.1,0.6338,0.7191,49.27846195652174,wm
T=0.1_18_wm,0.1,0.6286,0.7149,43.71020674646354,wm
T=0.1_19_wm,0.1,0.6442,0.6809,52.07476470588235,wm
T=0.1_20_wm,0.1,0.6303,0.7106,53.16429191535539,wm
T=0.1_21_wm,0.1,0.638,0.6638,35.04087399463807,wm
T=0.1_22_wm,0.1,0.6323,0.6638,46.35057266342517,wm
T=0.1_23_wm,0.1,0.6262,0.7106,39.04736156351792,wm
T=0.1_24_wm,0.1,0.6253,0.7234,37.961214750542304,wm
T=0.1_25_wm,0.1,0.6342,0.6894,48.963043010752685,wm
T=0.1_26_wm,0.1,0.6327,0.6894,35.85064324324325,wm
T=0.1_27_wm,0.1,0.6335,0.7149,31.03828167482327,wm
T=0.1_28_wm,0.1,0.6246,0.7234,42.38734527687296,wm
T=0.1_29_wm,0.1,0.6303,0.7064,44.401259541984736,wm
T=0.1_30_wm,0.1,0.6442,0.6936,44.62147153598281,wm
T=0.1_31_wm,0.1,0.6211,0.7191,42.07817640692641,wm
T=0.1_32_wm,0.1,0.6222,0.6979,45.45277657266812,wm
T=0.1_33_wm,0.1,0.6297,0.7191,41.54035830618892,wm
T=0.1_34_wm,0.1,0.6359,0.6979,38.93508972267537,wm
T=0.1_35_wm,0.1,0.6352,0.7021,56.7667259978425,wm
T=0.1_36_wm,0.1,0.6355,0.7021,34.872373983739834,wm
T=0.1_37_wm,0.1,0.6507,0.6596,36.4642918918919,wm
T=0.1_38_wm,0.1,0.6334,0.6851,54.54762312633832,wm
T=0.1_39_wm,0.1,0.6361,0.6723,37.33951664876477,wm
T=0.1_40_wm,0.1,0.6447,0.6936,44.3146663049376,wm
T=0.1_41_wm,0.1,0.6588,0.6511,39.09780290791599,wm
T=0.1_42_wm,0.1,0.6177,0.7191,41.75136264929425,wm
T=0.1_43_wm,0.1,0.645,0.6894,47.45095108695652,wm
T=0.1_44_wm,0.1,0.6433,0.7021,36.56243081931634,wm
T=0.1_45_wm,0.1,0.6515,0.6596,34.447776590058794,wm
T=0.1_46_wm,0.1,0.636,0.7021,33.704460784313724,wm
T=0.1_47_wm,0.1,0.6353,0.7021,40.628252848616384,wm
T=0.1_48_wm,0.1,0.6378,0.7064,31.35484897518878,wm
T=0.1_49_wm,0.1,0.6343,0.7149,40.8150896252037,wm
T=0.1_50_wm,0.1,0.6571,0.6809,43.13135749053543,wm
T=0.3_1_original,0.3,0.6215,0.7021,35.51395900755124,original
T=0.3_2_original,0.3,0.7273,0.634,40.89834042553192,original
T=0.3_3_original,0.3,0.6677,0.6936,42.67758990874933,original
T=0.3_4_original,0.3,0.7156,0.6979,48.89749862863412,original
T=0.3_5_original,0.3,0.7217,0.6553,30.875932475884245,original
T=0.3_6_original,0.3,0.6622,0.6936,31.05149568034557,original
T=0.3_7_original,0.3,0.7237,0.6809,49.78907709011944,original
T=0.3_8_original,0.3,0.687,0.6638,49.43919826652222,original
T=0.3_9_original,0.3,0.7072,0.6851,32.94094040459267,original
T=0.3_10_original,0.3,0.7108,0.6766,45.49006500541712,original
T=0.3_11_original,0.3,0.6568,0.7021,55.86501628664495,original
T=0.3_12_original,0.3,0.6681,0.6766,33.52138320775027,original
T=0.3_13_original,0.3,0.6967,0.6766,47.05856060606061,original
T=0.3_14_original,0.3,0.6994,0.7064,33.448026172300985,original
T=0.3_15_original,0.3,0.6826,0.6809,46.436056644880175,original
T=0.3_16_original,0.3,0.6982,0.6723,57.25946940985381,original
T=0.3_17_original,0.3,0.699,0.6936,36.61809989142237,original
T=0.3_18_original,0.3,0.6769,0.6809,32.13738870792617,original
T=0.3_19_original,0.3,0.6918,0.6681,45.73067204301075,original
T=0.3_20_original,0.3,0.6708,0.6979,48.60555075593953,original
T=0.3_21_original,0.3,0.6966,0.6851,60.15275493860117,original
T=0.3_22_original,0.3,0.7259,0.6213,54.03875000000001,original
T=0.3_23_original,0.3,0.6741,0.6383,62.56488685344827,original
T=0.3_24_original,0.3,0.6809,0.7021,59.81619253650622,original
T=0.3_25_original,0.3,0.7016,0.6766,40.72012903225807,original
T=0.3_26_original,0.3,0.6615,0.6851,44.28778375470683,original
T=0.3_27_original,0.3,0.663,0.6979,34.07108108108108,original
T=0.3_28_original,0.3,0.7135,0.6468,45.13694924406048,original
T=0.3_29_original,0.3,0.6697,0.6638,35.28757344940153,original
T=0.3_30_original,0.3,0.6755,0.6766,57.60116254036598,original
T=0.3_31_original,0.3,0.6972,0.6723,33.65417158176944,original
T=0.3_32_original,0.3,0.6661,0.6809,53.45717391304348,original
T=0.3_33_original,0.3,0.7294,0.6766,33.50711496746204,original
T=0.3_34_original,0.3,0.7104,0.6596,36.8888379705401,original
T=0.3_35_original,0.3,0.6965,0.6851,53.45978930307942,original
T=0.3_36_original,0.3,0.6902,0.6979,35.18198154180239,original
T=0.3_37_original,0.3,0.7346,0.6255,39.44712446351932,original
T=0.3_38_original,0.3,0.7351,0.6553,59.97185859667916,original
T=0.3_39_original,0.3,0.711,0.6511,44.45452099031216,original
T=0.3_40_original,0.3,0.6996,0.6894,45.82673701298701,original
T=0.3_41_original,0.3,0.6956,0.6468,40.51580213903743,original
T=0.3_42_original,0.3,0.6597,0.6809,40.66963447899618,original
T=0.3_43_original,0.3,0.6621,0.6809,35.491439476553985,original
T=0.3_44_original,0.3,0.6773,0.6894,33.1053480841878,original
T=0.3_45_original,0.3,0.6918,0.6766,53.01232394366197,original
T=0.3_46_original,0.3,0.6825,0.6809,50.55939262472885,original
T=0.3_47_original,0.3,0.6802,0.6809,30.789458288190684,original
T=0.3_48_original,0.3,0.695,0.6979,37.67112790070157,original
T=0.3_49_original,0.3,0.6844,0.6638,37.76927835051546,original
T=0.3_50_original,0.3,0.6907,0.6809,60.061098666666666,original
T=0.3_1_wm,0.3,0.7043,0.6723,48.97794453507341,wm
T=0.3_2_wm,0.3,0.698,0.6894,35.271622498647915,wm
T=0.3_3_wm,0.3,0.6514,0.7277,44.56238870792617,wm
T=0.3_4_wm,0.3,0.7233,0.6553,48.68569406641263,wm
T=0.3_5_wm,0.3,0.715,0.6511,31.88144313304721,wm
T=0.3_6_wm,0.3,0.6558,0.6979,39.64227444624527,wm
T=0.3_7_wm,0.3,0.6939,0.6809,47.82535211267606,wm
T=0.3_8_wm,0.3,0.6999,0.6511,53.97234019501625,wm
T=0.3_9_wm,0.3,0.707,0.6766,32.75481703986892,wm
T=0.3_10_wm,0.3,0.6779,0.6511,47.67747546346782,wm
T=0.3_11_wm,0.3,0.6808,0.6809,47.21622509423802,wm
T=0.3_12_wm,0.3,0.6528,0.7021,41.56930848190167,wm
T=0.3_13_wm,0.3,0.7138,0.6596,35.70053116531166,wm
T=0.3_14_wm,0.3,0.6904,0.6809,32.8606045751634,wm
T=0.3_15_wm,0.3,0.6961,0.6809,30.205487738419613,wm
T=0.3_16_wm,0.3,0.6985,0.6681,53.59860215053764,wm
T=0.3_17_wm,0.3,0.6862,0.6979,32.19221253405995,wm
T=0.3_18_wm,0.3,0.6974,0.6894,32.97983143012507,wm
T=0.3_19_wm,0.3,0.7284,0.634,44.35110201854883,wm
T=0.3_20_wm,0.3,0.6738,0.7021,51.43922282608696,wm
T=0.3_21_wm,0.3,0.6904,0.7021,51.09169354838709,wm
T=0.3_22_wm,0.3,0.7052,0.6383,37.16325745257452,wm
T=0.3_23_wm,0.3,0.6785,0.6511,50.217604562737634,wm
T=0.3_24_wm,0.3,0.6939,0.7106,59.73554768392371,wm
T=0.3_25_wm,0.3,0.7118,0.6766,42.66429344883595,wm
T=0.3_26_wm,0.3,0.6795,0.6894,40.213865591397855,wm
T=0.3_27_wm,0.3,0.667,0.7021,32.629649406688245,wm
T=0.3_28_wm,0.3,0.7272,0.6468,48.26478048780488,wm
T=0.3_29_wm,0.3,0.6742,0.6553,48.987198041349295,wm
T=0.3_30_wm,0.3,0.6737,0.6766,54.403945102260494,wm
T=0.3_31_wm,0.3,0.6957,0.6723,35.539382384532765,wm
T=0.3_32_wm,0.3,0.6636,0.6894,44.97126623376623,wm
T=0.3_33_wm,0.3,0.7398,0.6766,49.09826227738802,wm
T=0.3_34_wm,0.3,0.7075,0.6681,53.07147122692725,wm
T=0.3_35_wm,0.3,0.701,0.6851,53.03718936516549,wm
T=0.3_36_wm,0.3,0.6942,0.6979,38.21123778501629,wm
T=0.3_37_wm,0.3,0.7181,0.6298,59.13601826974745,wm
T=0.3_38_wm,0.3,0.7327,0.6809,57.15413020277481,wm
T=0.3_39_wm,0.3,0.7087,0.634,45.01514531754575,wm
T=0.3_40_wm,0.3,0.6964,0.6723,37.89639008620689,wm
T=0.3_41_wm,0.3,0.692,0.6468,36.55464055793992,wm
T=0.3_42_wm,0.3,0.6734,0.6809,40.67396195652174,wm
T=0.3_43_wm,0.3,0.662,0.6851,35.014787350054526,wm
T=0.3_44_wm,0.3,0.6782,0.6894,32.01424472116946,wm
T=0.3_45_wm,0.3,0.6977,0.6723,44.86840367965368,wm
T=0.3_46_wm,0.3,0.683,0.6851,47.055592853275584,wm
T=0.3_47_wm,0.3,0.6732,0.6936,59.42478072550082,wm
T=0.3_48_wm,0.3,0.7122,0.6894,42.63618171984856,wm
T=0.3_49_wm,0.3,0.6788,0.6638,38.1274295010846,wm
T=0.3_50_wm,0.3,0.6897,0.6894,47.01094450373533,wm
T=0.5_1_original,0.5,0.7132,0.6894,44.4568870967742,original
T=0.5_2_original,0.5,0.8444,0.6213,32.44619914346895,original
T=0.5_3_original,0.5,0.8087,0.6723,50.91409041394336,original
T=0.5_4_original,0.5,0.8417,0.6553,36.547156970362245,original
T=0.5_5_original,0.5,0.8338,0.617,44.68124324324325,original
T=0.5_6_original,0.5,0.7813,0.6426,41.72871162280703,original
T=0.5_7_original,0.5,0.8672,0.6426,33.36946004319655,original
T=0.5_8_original,0.5,0.814,0.6553,58.86417428725121,original
T=0.5_9_original,0.5,0.8469,0.617,39.28498073747936,original
T=0.5_10_original,0.5,0.8458,0.6213,37.48001069518716,original
T=0.5_11_original,0.5,0.8182,0.6426,32.864400871459694,original
T=0.5_12_original,0.5,0.8097,0.6553,39.41847429519073,original
T=0.5_13_original,0.5,0.8334,0.6511,53.71835429196282,original
T=0.5_14_original,0.5,0.7474,0.6553,29.47220532319392,original
T=0.5_15_original,0.5,0.8337,0.6043,32.371947911014644,original
T=0.5_16_original,0.5,0.7784,0.6809,44.445591397849455,original
T=0.5_17_original,0.5,0.8269,0.6766,30.017328656233136,original
T=0.5_18_original,0.5,0.7425,0.6723,50.20010893246187,original
T=0.5_19_original,0.5,0.8579,0.617,38.70987055016182,original
T=0.5_20_original,0.5,0.8156,0.6638,52.57254191454841,original
T=0.5_21_original,0.5,0.8323,0.6723,34.93633476856835,original
T=0.5_22_original,0.5,0.7967,0.6213,38.84130339539978,original
T=0.5_23_original,0.5,0.8905,0.6043,33.04472432432432,original
T=0.5_24_original,0.5,0.789,0.6809,35.536816192560174,original
T=0.5_25_original,0.5,0.7901,0.6468,34.91531891891892,original
T=0.5_26_original,0.5,0.8819,0.6298,47.66145631067961,original
T=0.5_27_original,0.5,0.8293,0.6638,44.32421451787649,original
T=0.5_28_original,0.5,0.8291,0.6553,59.05011956521739,original
T=0.5_29_original,0.5,0.7963,0.6298,41.02001632208923,original
T=0.5_30_original,0.5,0.8229,0.6681,32.8333351235231,original
T=0.5_31_original,0.5,0.7736,0.6766,43.3746695325094,original
T=0.5_32_original,0.5,0.7703,0.6553,32.00109357997824,original
T=0.5_33_original,0.5,0.8413,0.6553,35.386570203644155,original
T=0.5_34_original,0.5,0.839,0.6255,35.37238838084992,original
T=0.5_35_original,0.5,0.8248,0.6511,41.19907027027027,original
T=0.5_36_original,0.5,0.8195,0.6511,39.882778378378376,original
T=0.5_37_original,0.5,0.8951,0.6128,36.23497306034484,original
T=0.5_38_original,0.5,0.8216,0.6681,46.70850133333334,original
T=0.5_39_original,0.5,0.8424,0.6255,43.9073891891892,original
T=0.5_40_original,0.5,0.8103,0.6723,35.10522776572668,original
T=0.5_41_original,0.5,0.8905,0.5745,58.902189027702335,original
T=0.5_42_original,0.5,0.9333,0.5957,37.3019701986755,original
T=0.5_43_original,0.5,0.8141,0.6426,46.445422535211264,original
T=0.5_44_original,0.5,0.7869,0.6383,37.76107491856678,original
T=0.5_45_original,0.5,0.8267,0.617,53.18922784121805,original
T=0.5_46_original,0.5,0.8651,0.617,44.877873844480696,original
T=0.5_47_original,0.5,0.7959,0.6511,49.11918801089918,original
