sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.9185,0.3863,81.73848198198198,original
T=0.3_2_original,0.3,0.8807,0.3718,84.29489732142858,original
T=0.3_3_original,0.3,0.8864,0.444,82.5444800693241,original
T=0.3_4_original,0.3,0.9022,0.4188,83.32813596491229,original
T=0.3_5_original,0.3,0.871,0.3935,71.93528659611995,original
T=0.3_6_original,0.3,0.8426,0.4224,83.82724485326325,original
T=0.3_7_original,0.3,0.9068,0.3682,85.21555996472664,original
T=0.3_8_original,0.3,0.8575,0.3718,81.6396545615589,original
T=0.3_9_original,0.3,0.844,0.4043,83.47994391716998,original
T=0.3_10_original,0.3,0.8629,0.3899,85.20415657439447,original
T=0.3_11_original,0.3,0.9228,0.3935,84.10427487728693,original
T=0.3_12_original,0.3,0.8632,0.3791,83.54258916776752,original
T=0.3_13_original,0.3,0.8495,0.3755,82.62030514385353,original
T=0.3_14_original,0.3,0.8932,0.4043,83.72915056179775,original
T=0.3_15_original,0.3,0.8895,0.3574,84.09584279475982,original
T=0.3_16_original,0.3,0.8068,0.3899,84.73910043668123,original
T=0.3_17_original,0.3,0.9222,0.4079,83.97855193661971,original
T=0.3_18_original,0.3,0.8609,0.3863,84.1369146608315,original
T=0.3_19_original,0.3,0.8706,0.361,84.34710754553339,original
T=0.3_20_original,0.3,0.8845,0.4404,65.00124562937064,original
T=0.3_21_original,0.3,0.9086,0.3791,85.44172687224669,original
T=0.3_22_original,0.3,0.8333,0.3899,84.7440859272249,original
T=0.3_23_original,0.3,0.8189,0.4224,80.0369197396963,original
T=0.3_24_original,0.3,0.8793,0.3899,66.27756022777046,original
T=0.3_25_original,0.3,0.8689,0.4116,83.72616891597737,original
T=0.3_26_original,0.3,0.8937,0.4116,72.7371111111111,original
T=0.3_27_original,0.3,0.8739,0.3827,75.52526292916123,original
T=0.3_28_original,0.3,0.8736,0.3357,83.7450196420777,original
T=0.3_29_original,0.3,0.8136,0.4188,85.61928822495607,original
T=0.3_30_original,0.3,0.8829,0.3791,84.78248468941382,original
T=0.3_31_original,0.3,0.8167,0.3971,84.95735873850198,original
T=0.3_32_original,0.3,0.8878,0.444,67.39496503496503,original
T=0.3_33_original,0.3,0.8803,0.3827,84.45860550458715,original
T=0.3_34_original,0.3,0.9341,0.3502,72.99129579982126,original
T=0.3_35_original,0.3,0.958,0.3538,83.7772396987151,original
T=0.3_36_original,0.3,0.9362,0.4043,84.27161088799643,original
T=0.3_37_original,0.3,0.8802,0.3791,85.45150840527033,original
T=0.3_38_original,0.3,0.866,0.4152,76.75312335958006,original
T=0.3_39_original,0.3,0.9022,0.3827,86.32033509700177,original
T=0.3_40_original,0.3,0.8727,0.3971,78.97734630694383,original
T=0.3_41_original,0.3,0.8677,0.4224,83.39825611888112,original
T=0.3_42_original,0.3,0.9557,0.361,75.98682840758713,original
T=0.3_43_original,0.3,0.8825,0.3899,84.89917662682602,original
T=0.3_44_original,0.3,0.9323,0.4043,82.17598090277778,original
T=0.3_45_original,0.3,0.8975,0.3791,69.62032722513088,original
T=0.3_46_original,0.3,0.9362,0.3827,81.72092511013216,original
T=0.3_47_original,0.3,0.8895,0.361,82.58783464566928,original
T=0.3_48_original,0.3,0.9082,0.3682,82.79527039007093,original
T=0.3_49_original,0.3,0.8616,0.4116,84.80979084967322,original
T=0.3_50_original,0.3,0.821,0.361,84.91047743055556,original
T=0.3_1_wm,0.3,0.8155,0.4079,78.16857700650759,wm
T=0.3_2_wm,0.3,0.8739,0.3863,84.55969333333333,wm
T=0.3_3_wm,0.3,0.9081,0.4549,81.86473752151463,wm
T=0.3_4_wm,0.3,0.8394,0.4116,83.69787521815009,wm
T=0.3_5_wm,0.3,0.8729,0.4079,67.64532300884956,wm
T=0.3_6_wm,0.3,0.812,0.4224,83.55830501089325,wm
T=0.3_7_wm,0.3,0.8562,0.3827,83.7682373782108,wm
T=0.3_8_wm,0.3,0.8904,0.3718,83.7699688057041,wm
T=0.3_9_wm,0.3,0.9212,0.3755,82.06508289703315,wm
T=0.3_10_wm,0.3,0.8386,0.4224,83.50394816414688,wm
T=0.3_11_wm,0.3,0.9368,0.3791,84.41858671422203,wm
T=0.3_12_wm,0.3,0.869,0.361,84.2387284768212,wm
T=0.3_13_wm,0.3,0.8405,0.3827,83.75673922507619,wm
T=0.3_14_wm,0.3,0.8393,0.4296,73.65868968570165,wm
T=0.3_15_wm,0.3,0.8671,0.3682,84.18880890052355,wm
T=0.3_16_wm,0.3,0.8256,0.3971,84.76711790393014,wm
T=0.3_17_wm,0.3,0.8807,0.3321,86.18951102588687,wm
T=0.3_18_wm,0.3,0.8471,0.3899,84.36223147742218,wm
T=0.3_19_wm,0.3,0.8578,0.361,83.81162315056571,wm
T=0.3_20_wm,0.3,0.8994,0.4477,82.92226741670272,wm
T=0.3_21_wm,0.3,0.9403,0.4188,72.77240757042253,wm
T=0.3_22_wm,0.3,0.8596,0.3863,83.92838370565046,wm
T=0.3_23_wm,0.3,0.8676,0.4296,82.2845880312229,wm
T=0.3_24_wm,0.3,0.8775,0.4188,83.38390849673203,wm
T=0.3_25_wm,0.3,0.8812,0.4007,82.78264216972879,wm
T=0.3_26_wm,0.3,0.9146,0.4188,83.79608428446005,wm
T=0.3_27_wm,0.3,0.8919,0.3791,84.14491746307557,wm
T=0.3_28_wm,0.3,0.8813,0.3502,83.58946840958606,wm
T=0.3_29_wm,0.3,0.885,0.3827,86.11140358548316,wm
T=0.3_30_wm,0.3,0.8802,0.3935,74.03340789473685,wm
T=0.3_31_wm,0.3,0.8057,0.4007,84.51831282952548,wm
T=0.3_32_wm,0.3,0.8847,0.4477,85.7298587819947,wm
T=0.3_33_wm,0.3,0.9164,0.3971,68.26844444444446,wm
T=0.3_34_wm,0.3,0.9897,0.3502,84.09946380697052,wm
T=0.3_35_wm,0.3,0.9569,0.3502,84.13178793256432,wm
T=0.3_36_wm,0.3,0.9922,0.4079,83.99426339285715,wm
