sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,1.0423,0.4665,83.66579913606911,original
T=0.5_2_original,0.5,1.1104,0.432,90.4077210323998,original
T=0.5_3_original,0.5,1.091,0.4579,92.56735718099304,original
T=0.5_4_original,0.5,1.0993,0.4492,92.16941160372194,original
T=0.5_5_original,0.5,1.0643,0.4384,84.99288634505315,original
T=0.5_6_original,0.5,1.1435,0.4104,90.8386875,original
T=0.5_7_original,0.5,1.1102,0.4428,82.74133119486768,original
T=0.5_8_original,0.5,1.0709,0.4341,82.8545642581357,original
T=0.5_9_original,0.5,1.0614,0.4298,83.34395827614604,original
T=0.5_10_original,0.5,1.1387,0.4384,83.2963741900648,original
T=0.5_11_original,0.5,1.1117,0.4168,82.54940863079383,original
T=0.5_12_original,0.5,0.9905,0.4147,82.44404868494685,original
T=0.5_13_original,0.5,1.1109,0.4514,87.56668018383347,original
T=0.5_14_original,0.5,1.0443,0.4471,84.16905634942033,original
T=0.5_15_original,0.5,1.1184,0.4233,83.15919688423314,original
T=0.5_16_original,0.5,1.0968,0.4212,82.1480791426216,original
T=0.5_17_original,0.5,1.073,0.4104,84.50327197802197,original
T=0.5_18_original,0.5,1.0227,0.4665,83.77554990634198,original
T=0.5_19_original,0.5,1.0594,0.4557,83.11748312179316,original
T=0.5_20_original,0.5,1.0412,0.4449,84.68049486208763,original
T=0.5_21_original,0.5,1.0601,0.4168,84.1563417963418,original
T=0.5_22_original,0.5,1.072,0.4298,83.20328940142778,original
T=0.5_23_original,0.5,1.0673,0.4212,92.46276798208788,original
T=0.5_24_original,0.5,1.1001,0.4428,84.16458377801494,original
T=0.5_25_original,0.5,1.08,0.4536,86.35548866090713,original
T=0.5_26_original,0.5,1.0822,0.4298,89.82186822125814,original
T=0.5_27_original,0.5,1.0391,0.4276,83.87986935220468,original
T=0.5_28_original,0.5,1.0582,0.4557,83.33080140313007,original
T=0.5_29_original,0.5,1.0902,0.432,88.16773981962285,original
T=0.5_30_original,0.5,1.0136,0.4298,83.33972065538545,original
T=0.5_31_original,0.5,1.0613,0.4557,80.96617932148627,original
T=0.5_32_original,0.5,1.1199,0.4384,83.42584080412932,original
T=0.5_33_original,0.5,1.1223,0.4104,87.24707170224411,original
T=0.5_34_original,0.5,1.0681,0.4471,82.02199837530463,original
T=0.5_35_original,0.5,1.0251,0.4341,85.45428492545557,original
T=0.5_36_original,0.5,1.0765,0.473,82.15120548667899,original
T=0.5_37_original,0.5,1.0854,0.4212,85.63239036275041,original
T=0.5_38_original,0.5,1.0889,0.4557,87.37120300751879,original
T=0.5_39_original,0.5,1.1696,0.4276,81.79689901207465,original
T=0.5_40_original,0.5,1.1098,0.432,90.20374479889044,original
T=0.5_41_original,0.5,1.0283,0.4341,85.4964612868048,original
T=0.5_42_original,0.5,1.0357,0.4255,84.37767781838629,original
T=0.5_43_original,0.5,1.0727,0.4449,83.54355170546833,original
T=0.5_44_original,0.5,1.0432,0.4579,85.3120685041477,original
T=0.5_45_original,0.5,1.011,0.4168,82.85817656765676,original
T=0.5_46_original,0.5,1.0234,0.4298,83.77070098576124,original
T=0.5_47_original,0.5,1.1006,0.4233,86.9638397418661,original
T=0.5_48_original,0.5,1.0357,0.4341,82.94246899972444,original
