sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.9017,0.3333,71.70961467405647,original
T=0.1_2_original,0.1,0.9528,0.3701,70.26351823708207,original
T=0.1_3_original,0.1,0.9539,0.3476,69.49487322515212,original
T=0.1_4_original,0.1,0.9482,0.3763,70.93339416983524,original
T=0.1_5_original,0.1,0.9397,0.3476,74.11775006362943,original
T=0.1_6_original,0.1,0.918,0.3395,74.3934827945777,original
T=0.1_7_original,0.1,0.9153,0.3374,70.58365531802586,original
T=0.1_8_original,0.1,0.9469,0.3517,73.08891253568648,original
T=0.1_9_original,0.1,0.9247,0.3354,72.95591051805337,original
T=0.1_10_original,0.1,0.9377,0.3558,63.55503496503496,original
T=0.1_11_original,0.1,0.9323,0.3456,67.83335113145182,original
T=0.1_12_original,0.1,0.9525,0.3497,73.03203787878788,original
T=0.1_13_original,0.1,0.9411,0.3517,70.39343268242548,original
T=0.1_14_original,0.1,0.918,0.3354,73.95627518557795,original
T=0.1_15_original,0.1,0.9447,0.364,60.64566851664985,original
T=0.1_16_original,0.1,0.9254,0.3354,72.74165304508304,original
T=0.1_17_original,0.1,0.9479,0.3661,75.96890345349131,original
T=0.1_18_original,0.1,0.9443,0.3415,72.68120020429009,original
T=0.1_19_original,0.1,0.9086,0.3333,62.50710622710622,original
T=0.1_20_original,0.1,0.9262,0.3313,74.23943076515754,original
T=0.1_21_original,0.1,0.9477,0.3333,62.11808215725807,original
T=0.1_22_original,0.1,0.9193,0.3313,70.46845825553481,original
T=0.1_23_original,0.1,0.9566,0.3701,69.18625474803748,original
T=0.1_24_original,0.1,0.9504,0.3661,68.15726607818411,original
T=0.1_25_original,0.1,0.9655,0.3558,71.82909437802086,original
T=0.1_26_original,0.1,0.959,0.3517,71.81566497461928,original
T=0.1_27_original,0.1,0.964,0.362,67.20172369765065,original
T=0.1_28_original,0.1,0.942,0.3252,74.44430030643514,original
T=0.1_29_original,0.1,0.942,0.3476,65.05715010141988,original
T=0.1_30_original,0.1,0.9255,0.3252,71.99814584949574,original
T=0.1_31_original,0.1,0.9311,0.3415,69.14469920844327,original
T=0.1_32_original,0.1,0.9217,0.3436,74.24127592543975,original
T=0.1_33_original,0.1,0.9113,0.3436,76.22672804910596,original
T=0.1_34_original,0.1,0.9488,0.3476,74.15381663662117,original
T=0.1_35_original,0.1,0.9553,0.3661,70.3840901037712,original
T=0.1_36_original,0.1,0.9481,0.3456,73.13092275790565,original
T=0.1_37_original,0.1,0.9568,0.364,70.76193262411347,original
T=0.1_38_original,0.1,0.9203,0.3292,71.57827779258864,original
T=0.1_39_original,0.1,0.9356,0.3374,72.69104265402842,original
T=0.1_40_original,0.1,0.9395,0.3415,70.16527168234065,original
T=0.1_41_original,0.1,0.9182,0.3395,65.58843178807948,original
T=0.1_42_original,0.1,0.9636,0.3763,62.20574602373138,original
T=0.1_43_original,0.1,0.9465,0.3599,72.70695608531996,original
T=0.1_44_original,0.1,0.9515,0.362,71.65492982456142,original
T=0.1_45_original,0.1,0.9645,0.3701,63.76293503184713,original
T=0.1_46_original,0.1,0.9276,0.3476,69.65690111052353,original
T=0.1_47_original,0.1,0.9097,0.3395,71.36260149572648,original
T=0.1_48_original,0.1,0.9538,0.3456,62.130300827275,original
T=0.1_49_original,0.1,0.9567,0.3599,73.86737257900103,original
T=0.1_50_original,0.1,0.9614,0.3661,68.66125912868294,original
T=0.1_1_wm,0.1,0.9224,0.3252,72.59314398943197,wm
T=0.1_2_wm,0.1,0.9507,0.3517,68.5872731906218,wm
T=0.1_3_wm,0.1,0.94,0.3579,67.14750126326427,wm
T=0.1_4_wm,0.1,0.9428,0.364,67.49524689794885,wm
T=0.1_5_wm,0.1,0.935,0.3476,70.80092711820757,wm
T=0.1_6_wm,0.1,0.9341,0.3374,72.29837114453225,wm
T=0.1_7_wm,0.1,0.9134,0.3354,71.72888241525423,wm
T=0.1_8_wm,0.1,0.9598,0.3476,72.64105836575875,wm
T=0.1_9_wm,0.1,0.9266,0.3395,72.5899349973999,wm
T=0.1_10_wm,0.1,0.9355,0.3579,62.6376244813278,wm
T=0.1_11_wm,0.1,0.932,0.3456,68.29378020859832,wm
T=0.1_12_wm,0.1,0.9492,0.3579,71.32830687830688,wm
T=0.1_13_wm,0.1,0.939,0.3558,65.05845897435897,wm
T=0.1_14_wm,0.1,0.906,0.3333,72.20361548731641,wm
T=0.1_15_wm,0.1,0.9552,0.3661,58.46228123419322,wm
T=0.1_16_wm,0.1,0.933,0.3354,73.51994514106582,wm
T=0.1_17_wm,0.1,0.9487,0.3599,75.08394550958627,wm
T=0.1_18_wm,0.1,0.9516,0.3333,68.24491134751773,wm
T=0.1_19_wm,0.1,0.9098,0.3354,68.62191599688877,wm
T=0.1_20_wm,0.1,0.9255,0.3333,75.36994982836018,wm
T=0.1_21_wm,0.1,0.951,0.3374,62.80523267577137,wm
T=0.1_22_wm,0.1,0.9251,0.3333,67.40482033537398,wm
T=0.1_23_wm,0.1,0.9854,0.3456,68.85199180747568,wm
T=0.1_24_wm,0.1,0.9455,0.3722,69.04837639311043,wm
T=0.1_25_wm,0.1,0.9685,0.3538,64.54694231750894,wm
T=0.1_26_wm,0.1,0.9497,0.3436,72.77930267812026,wm
T=0.1_27_wm,0.1,0.9648,0.3599,67.90051596424011,wm
T=0.1_28_wm,0.1,0.9417,0.3252,74.10811734693877,wm
T=0.1_29_wm,0.1,0.9423,0.3517,67.67822261663287,wm
T=0.1_30_wm,0.1,0.9267,0.3292,71.89100751100752,wm
T=0.1_31_wm,0.1,0.931,0.3436,69.87849576271186,wm
T=0.1_32_wm,0.1,0.9257,0.3456,71.36672936259143,wm
T=0.1_33_wm,0.1,0.9108,0.3415,75.88200640341516,wm
T=0.1_34_wm,0.1,0.9463,0.3497,73.61193131939065,wm
T=0.1_35_wm,0.1,0.9588,0.3681,64.11400966183575,wm
T=0.1_36_wm,0.1,0.9497,0.3436,72.63489621172808,wm
T=0.1_37_wm,0.1,0.9722,0.3661,72.43564050632912,wm
T=0.1_38_wm,0.1,0.9191,0.3292,68.81820143884892,wm
T=0.1_39_wm,0.1,0.9359,0.3415,71.9342232754081,wm
T=0.1_40_wm,0.1,0.9333,0.3354,69.67767048412284,wm
T=0.1_41_wm,0.1,0.9164,0.3395,66.26986312187418,wm
T=0.1_42_wm,0.1,0.948,0.3783,69.40383935337206,wm
T=0.1_43_wm,0.1,0.9478,0.3517,73.46562139091138,wm
T=0.1_44_wm,0.1,0.9485,0.3579,73.45158237356034,wm
T=0.1_45_wm,0.1,0.9516,0.3701,70.68462199747155,wm
T=0.1_46_wm,0.1,0.9266,0.3476,69.16240486257928,wm
T=0.1_47_wm,0.1,0.9097,0.3395,71.36260149572648,wm
T=0.1_48_wm,0.1,0.9526,0.3456,62.81820978315683,wm
T=0.1_49_wm,0.1,0.9566,0.3599,67.03971464968153,wm
T=0.1_50_wm,0.1,0.9614,0.362,71.79228521038046,wm
T=0.7_1_original,0.7,1.5795,0.319,53.65704365585908,original
T=0.7_2_original,0.7,1.5257,0.3108,63.421981132075466,original
T=0.7_3_original,0.7,1.5592,0.3231,57.36957592686643,original
T=0.7_4_original,0.7,1.5386,0.317,47.87099871630295,original
T=0.7_5_original,0.7,1.5651,0.3006,54.47617647058824,original
T=0.7_6_original,0.7,1.5884,0.3088,57.15759814049587,original
T=0.7_7_original,0.7,1.5487,0.3006,48.37721812165945,original
T=0.7_8_original,0.7,1.6098,0.3006,43.22817168049792,original
T=0.7_9_original,0.7,1.5737,0.2904,55.539052254098365,original
T=0.7_10_original,0.7,1.5014,0.3395,46.07984350949204,original
T=0.7_11_original,0.7,1.5844,0.2924,53.23111402359109,original
T=0.7_12_original,0.7,1.5299,0.3211,55.632619849702,original
T=0.7_13_original,0.7,1.5807,0.3067,51.75658480429777,original
T=0.7_14_original,0.7,1.4735,0.3108,55.80765502866076,original
T=0.7_15_original,0.7,1.4913,0.3067,50.24573186362471,original
T=0.7_16_original,0.7,1.4958,0.3272,55.04500640204866,original
T=0.7_17_original,0.7,1.6093,0.2904,48.94592319430316,original
T=0.7_18_original,0.7,1.5063,0.2904,50.07056699720314,original
T=0.7_19_original,0.7,1.5268,0.2965,47.51273471476082,original
T=0.7_20_original,0.7,1.5827,0.2843,41.33882129277566,original
T=0.7_21_original,0.7,1.5716,0.2863,49.01356887755102,original
T=0.7_22_original,0.7,1.6201,0.3088,51.28093949451111,original
T=0.7_23_original,0.7,1.5632,0.2945,51.96807407407408,original
T=0.7_24_original,0.7,1.5426,0.3252,49.597898624554254,original
T=0.7_25_original,0.7,1.5002,0.3211,56.67663810483871,original
T=0.7_26_original,0.7,1.5994,0.2679,52.6495065874451,original
T=0.7_27_original,0.7,1.5042,0.3067,48.33638095238095,original
T=0.7_28_original,0.7,1.4779,0.3149,54.12784662265109,original
