sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.8259,0.4645,82.38959526774596,original
T=0.1_2_original,0.1,0.8353,0.4597,82.96069738480698,original
T=0.1_3_original,0.1,0.8289,0.4739,85.22663597298957,original
T=0.1_4_original,0.1,0.8133,0.4692,85.05954346466542,original
T=0.1_5_original,0.1,0.7588,0.4692,84.71766118836915,original
T=0.1_6_original,0.1,0.7729,0.455,84.70348069738479,original
T=0.1_7_original,0.1,0.8191,0.455,85.33610159118727,original
T=0.1_8_original,0.1,0.7877,0.4692,84.67023853211008,original
T=0.1_9_original,0.1,0.828,0.4787,84.92563035495716,original
T=0.1_10_original,0.1,0.7839,0.455,81.90689417658109,original
T=0.1_11_original,0.1,0.7717,0.455,84.94578813018506,original
T=0.1_12_original,0.1,0.7919,0.4597,83.49889919604206,original
T=0.1_13_original,0.1,0.8314,0.4787,84.70239248940035,original
T=0.1_14_original,0.1,0.8279,0.4834,84.04655596555965,original
T=0.1_15_original,0.1,0.8202,0.4645,84.71066131025957,original
T=0.1_16_original,0.1,0.7856,0.4645,84.3625770653514,original
T=0.1_17_original,0.1,0.7946,0.4597,84.10654716981132,original
T=0.1_18_original,0.1,0.799,0.4408,83.79392611145899,original
T=0.1_19_original,0.1,0.7795,0.455,82.78573945877909,original
T=0.1_20_original,0.1,0.8191,0.4645,85.1501975308642,original
T=0.1_21_original,0.1,0.8163,0.4692,85.31509573810995,original
T=0.1_22_original,0.1,0.7767,0.4692,81.98621896880968,original
T=0.1_23_original,0.1,0.7685,0.4502,82.65484962406013,original
T=0.1_24_original,0.1,0.8349,0.4692,83.75426966292135,original
T=0.1_25_original,0.1,0.7659,0.455,82.04661962796663,original
T=0.1_26_original,0.1,0.8203,0.4739,83.0029382407985,original
T=0.1_27_original,0.1,0.7701,0.4502,82.72959390862944,original
T=0.1_28_original,0.1,0.7765,0.455,82.8727278441232,original
T=0.1_29_original,0.1,0.7699,0.455,83.42020780856424,original
T=0.1_30_original,0.1,0.799,0.4787,84.40369040247677,original
T=0.1_31_original,0.1,0.8172,0.4882,83.94206917850525,original
T=0.1_32_original,0.1,0.81,0.4834,84.67993823347746,original
T=0.1_33_original,0.1,0.7878,0.455,81.6271853257432,original
T=0.1_34_original,0.1,0.7878,0.4218,82.21398107255521,original
T=0.1_35_original,0.1,0.8475,0.4692,84.87277709359607,original
T=0.1_36_original,0.1,0.8374,0.4645,82.76068307692307,original
T=0.1_37_original,0.1,0.7769,0.4502,85.64272613065327,original
T=0.1_38_original,0.1,0.8344,0.4692,81.8648995739501,original
T=0.1_39_original,0.1,0.8025,0.4502,84.67696384039898,original
T=0.1_40_original,0.1,0.8439,0.4834,85.07669730392156,original
T=0.1_41_original,0.1,0.8164,0.4502,83.87687810945275,original
T=0.1_42_original,0.1,0.815,0.4929,84.54801834862386,original
T=0.1_43_original,0.1,0.78,0.4502,83.36293070565799,original
T=0.1_44_original,0.1,0.8397,0.4787,85.55366421568628,original
T=0.1_45_original,0.1,0.8237,0.4739,84.47438564476886,original
T=0.1_46_original,0.1,0.8217,0.4692,84.60075748320098,original
T=0.1_47_original,0.1,0.7795,0.4502,84.34770925110132,original
T=0.1_48_original,0.1,0.8483,0.4739,84.40209696969698,original
T=0.1_49_original,0.1,0.8239,0.4834,84.82840098400985,original
T=0.1_50_original,0.1,0.829,0.4834,84.73643776824035,original
T=0.1_1_wm,0.1,0.8351,0.455,85.51838403041826,wm
T=0.1_2_wm,0.1,0.8431,0.455,86.12306699446833,wm
T=0.1_3_wm,0.1,0.8277,0.4597,84.26253382533825,wm
T=0.1_4_wm,0.1,0.8145,0.4692,84.39707301980197,wm
T=0.1_5_wm,0.1,0.7625,0.455,83.19482736572891,wm
T=0.1_6_wm,0.1,0.7707,0.4502,84.78172563625078,wm
T=0.1_7_wm,0.1,0.8191,0.455,85.33610159118727,wm
T=0.1_8_wm,0.1,0.7895,0.4645,84.64444036697247,wm
T=0.1_9_wm,0.1,0.8192,0.4787,82.82745679012345,wm
T=0.1_10_wm,0.1,0.7823,0.4597,83.72313909774437,wm
T=0.1_11_wm,0.1,0.7814,0.455,84.87144138372838,wm
T=0.1_12_wm,0.1,0.7926,0.4597,84.12240889437925,wm
T=0.1_13_wm,0.1,0.8308,0.4787,84.71310975609757,wm
T=0.1_14_wm,0.1,0.8279,0.4834,84.04655596555965,wm
T=0.1_15_wm,0.1,0.8182,0.455,83.64835388409371,wm
