sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.895,0.458,84.29985488126648,original
T=0.3_2_original,0.3,0.8952,0.4607,83.09818364611259,original
T=0.3_3_original,0.3,0.8938,0.4607,85.27277703156481,original
T=0.3_4_original,0.3,0.8815,0.4797,85.92110510307536,original
T=0.3_5_original,0.3,0.8667,0.4363,82.9012149848127,original
T=0.3_6_original,0.3,0.8774,0.4851,84.29458236272878,original
T=0.3_7_original,0.3,0.8924,0.4526,85.94019338959212,original
T=0.3_8_original,0.3,0.9155,0.4417,84.54611456176674,original
T=0.3_9_original,0.3,0.9417,0.4661,83.67049428379286,original
T=0.3_10_original,0.3,0.9177,0.4309,82.90485733244859,original
T=0.3_11_original,0.3,0.9005,0.4363,83.13144537815126,original
T=0.3_12_original,0.3,0.8696,0.4553,85.49516235917827,original
T=0.3_13_original,0.3,0.9243,0.4851,84.59224455611391,original
T=0.3_14_original,0.3,0.8846,0.4797,84.883509006004,original
T=0.3_15_original,0.3,0.8498,0.4634,83.53234794427455,original
T=0.3_16_original,0.3,0.8765,0.4661,84.59165723793677,original
T=0.3_17_original,0.3,0.898,0.439,83.10929692832764,original
T=0.3_18_original,0.3,0.8811,0.4715,85.04384101536407,original
T=0.3_19_original,0.3,0.8892,0.4553,83.6387255909558,original
T=0.3_20_original,0.3,0.8604,0.4526,83.83938116286977,original
T=0.3_21_original,0.3,0.9215,0.4715,83.96351858165701,original
T=0.3_22_original,0.3,0.8869,0.4688,84.45751008064516,original
T=0.3_23_original,0.3,0.875,0.4743,83.24683072830064,original
T=0.3_24_original,0.3,0.87,0.477,83.64202341137124,original
T=0.3_25_original,0.3,0.8287,0.4607,83.8016363022942,original
T=0.3_26_original,0.3,0.8973,0.4309,83.75623299037504,original
T=0.3_27_original,0.3,0.8785,0.477,84.89349381477767,original
T=0.3_28_original,0.3,0.8757,0.4634,83.7855207280081,original
T=0.3_29_original,0.3,0.8785,0.4661,84.2364779661017,original
T=0.3_30_original,0.3,0.9003,0.4688,85.13834672021419,original
T=0.3_31_original,0.3,0.9159,0.4526,82.98405974202308,original
T=0.3_32_original,0.3,0.914,0.4526,85.04924237344956,original
T=0.3_33_original,0.3,0.9111,0.4417,86.75740082079344,original
T=0.3_34_original,0.3,0.8843,0.4932,83.41523936170213,original
T=0.3_35_original,0.3,0.8708,0.4553,83.43142760487144,original
T=0.3_36_original,0.3,0.8916,0.4472,83.09816522893165,original
T=0.3_37_original,0.3,0.9124,0.4472,85.1284954560754,original
T=0.3_38_original,0.3,0.8951,0.4526,83.93551954560641,original
T=0.3_39_original,0.3,0.8785,0.4472,84.76136930860034,original
T=0.3_40_original,0.3,0.8942,0.4499,84.86053004726537,original
T=0.3_41_original,0.3,0.9198,0.4634,84.76153267191242,original
T=0.3_42_original,0.3,0.8995,0.4797,85.34584181941615,original
T=0.3_43_original,0.3,0.8911,0.4472,85.20764627214979,original
T=0.3_44_original,0.3,0.8952,0.4417,83.45285043594903,original
T=0.3_45_original,0.3,0.9044,0.4553,83.81199666666666,original
T=0.3_46_original,0.3,0.8866,0.4472,82.6569592920354,original
T=0.3_47_original,0.3,0.8606,0.4634,85.29408878504672,original
T=0.3_48_original,0.3,0.8605,0.4634,83.64601796407186,original
T=0.3_49_original,0.3,0.9065,0.4715,83.53120026746907,original
T=0.3_50_original,0.3,0.8875,0.4688,85.31550588235294,original
T=0.3_1_wm,0.3,0.886,0.4743,84.00998341074984,wm
T=0.3_2_wm,0.3,0.8708,0.4472,82.37726965912927,wm
T=0.3_3_wm,0.3,0.8905,0.4688,85.90338693467336,wm
T=0.3_4_wm,0.3,0.8763,0.4797,84.86885452073419,wm
T=0.3_5_wm,0.3,0.8665,0.4417,84.12089830508475,wm
T=0.3_6_wm,0.3,0.8775,0.4607,85.03687479242778,wm
T=0.3_7_wm,0.3,0.9185,0.458,82.19630003363606,wm
T=0.3_8_wm,0.3,0.9123,0.458,83.63081597814954,wm
T=0.3_9_wm,0.3,0.9109,0.4851,83.35910684192787,wm
T=0.3_10_wm,0.3,0.889,0.4282,84.08630727762804,wm
T=0.3_11_wm,0.3,0.8957,0.458,84.58146634615385,wm
T=0.3_12_wm,0.3,0.8533,0.4688,83.65077617932418,wm
T=0.3_13_wm,0.3,0.9272,0.4444,84.68569363166954,wm
T=0.3_14_wm,0.3,0.8765,0.4797,84.32343615257048,wm
T=0.3_15_wm,0.3,0.8858,0.477,83.3503043625296,wm
T=0.3_16_wm,0.3,0.8904,0.4553,84.19678606965174,wm
T=0.3_17_wm,0.3,0.8812,0.439,83.54672291596356,wm
T=0.3_18_wm,0.3,0.8878,0.4634,84.38976790450927,wm
T=0.3_19_wm,0.3,0.8842,0.458,84.35079818752179,wm
T=0.3_20_wm,0.3,0.8724,0.4499,84.06475642760486,wm
T=0.3_21_wm,0.3,0.9509,0.4715,83.40941013185288,wm
T=0.3_22_wm,0.3,0.8696,0.4499,83.4544568151147,wm
T=0.3_23_wm,0.3,0.897,0.4661,84.20597175521183,wm
T=0.3_24_wm,0.3,0.8673,0.4688,83.33656008078088,wm
T=0.3_25_wm,0.3,0.837,0.4688,83.70285474672929,wm
T=0.3_26_wm,0.3,0.8925,0.4444,82.1390365448505,wm
T=0.3_27_wm,0.3,0.8661,0.4743,83.76904634878294,wm
T=0.3_28_wm,0.3,0.8826,0.4499,83.60697510094212,wm
T=0.3_29_wm,0.3,0.8944,0.4634,84.77600474415452,wm
T=0.3_30_wm,0.3,0.8842,0.4797,85.26928451461204,wm
T=0.3_31_wm,0.3,0.9314,0.4607,82.2417312307165,wm
T=0.3_32_wm,0.3,0.89,0.4499,84.64848730964466,wm
T=0.3_33_wm,0.3,0.9175,0.4634,86.23484766418416,wm
T=0.3_34_wm,0.3,0.9151,0.4553,83.6665943747882,wm
T=0.3_35_wm,0.3,0.8738,0.4553,83.15823270013568,wm
T=0.3_36_wm,0.3,0.8744,0.4472,84.04769256308101,wm
T=0.3_37_wm,0.3,0.8953,0.4282,84.84654941373535,wm
T=0.3_38_wm,0.3,0.8714,0.458,84.26027777777779,wm
T=0.3_39_wm,0.3,0.8863,0.4553,85.24032051282052,wm
T=0.3_40_wm,0.3,0.8805,0.4553,84.6270111448835,wm
T=0.3_41_wm,0.3,0.8922,0.4661,84.93773772742877,wm
T=0.3_42_wm,0.3,0.8936,0.477,85.28724196277496,wm
T=0.3_43_wm,0.3,0.8896,0.4526,85.79941491140087,wm
T=0.3_44_wm,0.3,0.9042,0.4607,83.41063959390863,wm
T=0.3_45_wm,0.3,0.8953,0.4715,84.0071196754564,wm
T=0.3_46_wm,0.3,0.8848,0.4634,83.71073555166376,wm
T=0.3_47_wm,0.3,0.8495,0.4688,85.26109224109224,wm
T=0.3_48_wm,0.3,0.8647,0.4634,84.82112288837364,wm
T=0.3_49_wm,0.3,0.888,0.477,84.0138031469702,wm
T=0.3_50_wm,0.3,0.9012,0.4715,85.18237322515213,wm
T=0.5_1_original,0.5,1.0588,0.4661,83.45853473822852,original
T=0.5_2_original,0.5,1.0967,0.4336,84.38189098250336,original
T=0.5_3_original,0.5,1.0842,0.4201,84.31129535435741,original
T=0.5_4_original,0.5,1.0761,0.4526,85.57699206622974,original
T=0.5_5_original,0.5,1.0439,0.4201,83.82433355886332,original
T=0.5_6_original,0.5,1.0272,0.4661,84.40145053475936,original
T=0.5_7_original,0.5,1.0661,0.4553,84.72957712305026,original
T=0.5_8_original,0.5,1.0416,0.4255,82.51714434420542,original
T=0.5_9_original,0.5,1.1183,0.4282,82.38521050858876,original
T=0.5_10_original,0.5,1.0538,0.4417,83.49153743760398,original
T=0.5_11_original,0.5,1.0896,0.4309,83.36271505376344,original
T=0.5_12_original,0.5,1.0486,0.4228,82.8316323777403,original
T=0.5_13_original,0.5,1.0291,0.439,84.54640201005026,original
T=0.5_14_original,0.5,1.0971,0.4255,84.18143336690164,original
T=0.5_15_original,0.5,1.0322,0.4634,83.5996364265928,original
T=0.5_16_original,0.5,1.0358,0.4526,83.42133850303439,original
T=0.5_17_original,0.5,1.1249,0.439,83.47116050220563,original
T=0.5_18_original,0.5,1.0211,0.4688,85.6188679879073,original
T=0.5_19_original,0.5,1.0604,0.4444,83.16473076923077,original
T=0.5_20_original,0.5,1.0035,0.4444,84.58325260679449,original
T=0.5_21_original,0.5,1.0946,0.4499,84.11095238095238,original
T=0.5_22_original,0.5,1.0919,0.4417,83.75583445491253,original
T=0.5_23_original,0.5,1.028,0.4688,83.92921654337592,original
T=0.5_24_original,0.5,1.1068,0.4444,84.88038616521155,original
T=0.5_25_original,0.5,0.9473,0.4472,83.80197551853111,original
T=0.5_26_original,0.5,1.0542,0.4309,86.91747347480106,original
T=0.5_27_original,0.5,1.0728,0.4472,83.75216216216215,original
T=0.5_28_original,0.5,1.0224,0.4336,83.12098316498317,original
T=0.5_29_original,0.5,1.0504,0.4688,83.1116027164686,original
T=0.5_30_original,0.5,1.053,0.4526,83.96035738368172,original
T=0.5_31_original,0.5,1.0748,0.4255,84.92946156451067,original
T=0.5_32_original,0.5,1.0581,0.4634,83.19109177755033,original
T=0.5_33_original,0.5,1.0862,0.4038,84.58060860793545,original
T=0.5_34_original,0.5,1.0311,0.4715,83.53893015332199,original
T=0.5_35_original,0.5,1.0194,0.4282,82.19702432522493,original
T=0.5_36_original,0.5,1.0304,0.4173,82.52289855072465,original
T=0.5_37_original,0.5,1.0233,0.439,82.69996975806451,original
T=0.5_38_original,0.5,1.1153,0.4119,81.70052311846102,original
T=0.5_39_original,0.5,1.0597,0.4173,84.02235334242837,original
T=0.5_40_original,0.5,1.0499,0.4336,85.30109673024523,original
T=0.5_41_original,0.5,1.1066,0.4526,89.56542549371635,original
T=0.5_42_original,0.5,1.0429,0.4444,84.0548361503967,original
T=0.5_43_original,0.5,1.04,0.458,84.45427416638599,original
T=0.5_44_original,0.5,1.0991,0.4201,84.46037474679271,original
T=0.5_45_original,0.5,1.097,0.4363,81.28596,original
T=0.5_46_original,0.5,1.0195,0.4201,82.76169274537696,original
T=0.5_47_original,0.5,1.0395,0.4472,84.14053900234349,original
T=0.5_48_original,0.5,1.043,0.4282,82.505382815112,original
T=0.5_49_original,0.5,1.0133,0.4634,84.01129952988583,original
T=0.5_50_original,0.5,1.0555,0.4499,86.06994864772338,original
T=0.5_1_wm,0.5,1.1334,0.4634,85.04543522960932,wm
T=0.5_2_wm,0.5,1.0762,0.4173,82.15118798515017,wm
T=0.5_3_wm,0.5,1.08,0.4363,84.93456002728513,wm
T=0.5_4_wm,0.5,1.0362,0.4634,84.81844519392918,wm
T=0.5_5_wm,0.5,1.0538,0.4119,84.31666211137683,wm
T=0.5_6_wm,0.5,1.0376,0.4309,84.2748888128635,wm
T=0.5_7_wm,0.5,1.076,0.4444,85.13824134384642,wm
T=0.5_8_wm,0.5,1.0531,0.4526,84.17173971227835,wm
T=0.5_9_wm,0.5,1.0984,0.4634,81.61779569892472,wm
T=0.5_10_wm,0.5,1.1169,0.4309,84.11868457300275,wm
T=0.5_11_wm,0.5,1.0864,0.4282,82.34090878263818,wm
T=0.5_12_wm,0.5,1.0661,0.4499,82.49126490066224,wm
T=0.5_13_wm,0.5,1.0969,0.4282,83.68270811744387,wm
T=0.5_14_wm,0.5,1.0819,0.458,84.67710159700987,wm
T=0.5_15_wm,0.5,0.9828,0.458,83.60803170409511,wm
T=0.5_16_wm,0.5,1.022,0.4444,83.06867274569402,wm
T=0.5_17_wm,0.5,1.1766,0.4146,82.70304362761938,wm
T=0.5_18_wm,0.5,1.1129,0.4363,83.8367115902965,wm
T=0.5_19_wm,0.5,1.1205,0.4526,83.91976068376069,wm
T=0.5_20_wm,0.5,1.0691,0.4797,84.03589918256131,wm
T=0.5_21_wm,0.5,1.0575,0.4499,83.4061243697479,wm
T=0.5_22_wm,0.5,1.1142,0.4336,83.16041073203047,wm
T=0.5_23_wm,0.5,1.1062,0.4444,82.72009708737863,wm
T=0.5_24_wm,0.5,1.1216,0.4526,84.40291638570464,wm
