sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.8553,0.4353,,original
T=0.1_2_original,0.1,0.8713,0.4588,,original
T=0.1_3_original,0.1,0.8731,0.4235,,original
T=0.1_4_original,0.1,0.8651,0.4235,,original
T=0.1_5_original,0.1,0.8547,0.4353,,original
T=0.1_6_original,0.1,0.8615,0.4118,,original
T=0.1_7_original,0.1,0.845,0.4118,,original
T=0.1_8_original,0.1,0.8515,0.4588,,original
T=0.1_9_original,0.1,0.8863,0.4353,,original
T=0.1_10_original,0.1,0.826,0.4,,original
T=0.1_11_original,0.1,0.8587,0.4353,,original
T=0.1_12_original,0.1,0.8312,0.4235,,original
T=0.1_13_original,0.1,0.8623,0.4118,,original
T=0.1_14_original,0.1,0.8599,0.4471,,original
T=0.1_15_original,0.1,0.868,0.4471,,original
T=0.1_16_original,0.1,0.8499,0.4353,,original
T=0.1_17_original,0.1,0.8593,0.4353,,original
T=0.1_18_original,0.1,0.8414,0.4235,,original
T=0.1_19_original,0.1,0.859,0.4471,,original
T=0.1_20_original,0.1,0.8739,0.4118,,original
T=0.1_21_original,0.1,0.8423,0.4706,,original
T=0.1_22_original,0.1,0.8495,0.4235,,original
T=0.1_23_original,0.1,0.8635,0.4353,,original
T=0.1_24_original,0.1,0.8452,0.4235,,original
T=0.1_25_original,0.1,0.8355,0.4118,,original
T=0.1_26_original,0.1,0.8666,0.4,,original
T=0.1_27_original,0.1,0.8384,0.4353,,original
T=0.1_28_original,0.1,0.8612,0.4471,,original
T=0.1_29_original,0.1,0.8488,0.4353,,original
T=0.1_30_original,0.1,0.8569,0.4353,,original
T=0.1_31_original,0.1,0.8251,0.4235,,original
T=0.1_32_original,0.1,0.862,0.4471,,original
T=0.1_33_original,0.1,0.8252,0.4118,,original
T=0.1_34_original,0.1,0.8797,0.4235,,original
T=0.1_35_original,0.1,0.819,0.3882,,original
T=0.1_36_original,0.1,0.8249,0.4118,,original
T=0.1_37_original,0.1,0.8476,0.4235,,original
T=0.1_38_original,0.1,0.8579,0.4471,,original
T=0.1_39_original,0.1,0.8423,0.4353,,original
T=0.1_40_original,0.1,0.849,0.4118,,original
T=0.1_41_original,0.1,0.8813,0.4118,,original
T=0.1_42_original,0.1,0.8537,0.4118,,original
T=0.1_43_original,0.1,0.873,0.4588,,original
T=0.1_44_original,0.1,0.8369,0.4,,original
T=0.1_45_original,0.1,0.8468,0.4588,,original
T=0.1_46_original,0.1,0.8506,0.4353,,original
T=0.1_47_original,0.1,0.8484,0.5176,,original
T=0.1_48_original,0.1,0.856,0.4353,,original
T=0.1_49_original,0.1,0.8682,0.4235,,original
T=0.1_50_original,0.1,0.8288,0.4353,,original
T=0.1_1_wm,0.1,0.8612,0.4235,,wm
T=0.1_2_wm,0.1,0.8549,0.4353,,wm
T=0.1_3_wm,0.1,0.8654,0.4235,,wm
T=0.1_4_wm,0.1,0.861,0.4235,,wm
T=0.1_5_wm,0.1,0.8547,0.4353,,wm
T=0.1_6_wm,0.1,0.849,0.4471,,wm
T=0.1_7_wm,0.1,0.845,0.4118,,wm
T=0.1_8_wm,0.1,0.8602,0.4471,,wm
T=0.1_9_wm,0.1,0.8654,0.4471,,wm
T=0.1_10_wm,0.1,0.8626,0.4235,,wm
