sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,1.1527,0.3439,69.839472981988,original
T=0.1_2_original,0.1,1.1133,0.3333,67.91500327011119,original
T=0.1_3_original,0.1,1.1198,0.328,68.7000799467022,original
T=0.1_4_original,0.1,1.137,0.3228,69.57679020516214,original
T=0.1_5_original,0.1,1.1069,0.3386,64.27098893949251,original
T=0.1_6_original,0.1,1.1376,0.3228,67.11064388961891,original
T=0.1_7_original,0.1,1.1488,0.3122,63.45771124417831,original
T=0.1_8_original,0.1,1.1339,0.3016,67.20204136090729,original
T=0.1_9_original,0.1,1.1406,0.3228,68.88904666666667,original
T=0.1_10_original,0.1,1.1406,0.3122,66.50966953073365,original
T=0.1_11_original,0.1,1.1418,0.3175,66.16395472703063,original
T=0.1_12_original,0.1,1.1261,0.3069,56.77059103260869,original
T=0.1_13_original,0.1,1.0991,0.3175,67.00886422976501,original
T=0.1_14_original,0.1,1.1027,0.328,66.08055591890124,original
T=0.1_15_original,0.1,1.1495,0.3122,66.5282534471438,original
T=0.1_16_original,0.1,1.11,0.3228,65.19845554834524,original
T=0.1_17_original,0.1,1.1389,0.3333,66.48736256544503,original
T=0.1_18_original,0.1,1.1369,0.3175,69.04827218145431,original
T=0.1_19_original,0.1,1.1501,0.3175,67.51775429326288,original
T=0.1_20_original,0.1,1.1389,0.3122,60.57639705882352,original
T=0.1_21_original,0.1,1.1121,0.328,64.08358527131784,original
T=0.1_22_original,0.1,1.1403,0.3228,69.59181878306879,original
T=0.1_23_original,0.1,1.1323,0.3228,69.74335565974548,original
T=0.1_24_original,0.1,1.1155,0.3333,68.2419502617801,original
T=0.1_25_original,0.1,1.1351,0.3122,66.7493857331572,original
T=0.1_26_original,0.1,1.1606,0.328,57.32561298873426,original
T=0.1_27_original,0.1,1.1284,0.3228,67.29127547666009,original
T=0.1_28_original,0.1,1.1454,0.328,62.95508021390375,original
T=0.1_29_original,0.1,1.1124,0.3333,67.38997389033943,original
T=0.1_30_original,0.1,1.1316,0.2963,58.59066982408661,original
T=0.1_31_original,0.1,1.1362,0.2804,60.55860544217687,original
T=0.1_32_original,0.1,1.1343,0.328,68.62402805611222,original
T=0.1_33_original,0.1,1.1508,0.328,64.63262706270626,original
T=0.1_34_original,0.1,1.1218,0.3333,64.98633027522936,original
T=0.1_35_original,0.1,1.1516,0.328,66.85755629139074,original
T=0.1_36_original,0.1,1.1405,0.3175,68.0933442194644,original
T=0.1_37_original,0.1,1.1229,0.3439,66.77270428015564,original
T=0.1_38_original,0.1,1.1276,0.3069,67.44442333785618,original
T=0.1_39_original,0.1,1.1197,0.3333,68.4057398805574,original
T=0.1_40_original,0.1,1.1585,0.3016,59.70130434782609,original
T=0.1_41_original,0.1,1.1258,0.3333,68.59958877284596,original
T=0.1_42_original,0.1,1.1369,0.3651,69.5538344370861,original
T=0.1_43_original,0.1,1.1403,0.328,69.37669306930694,original
T=0.1_44_original,0.1,1.1203,0.3228,63.76147486772487,original
T=0.1_45_original,0.1,1.1304,0.3122,62.20750645994832,original
T=0.1_46_original,0.1,1.1538,0.2804,61.92834364261168,original
T=0.1_47_original,0.1,1.1439,0.3175,39.21116874589626,original
T=0.1_48_original,0.1,1.1219,0.3228,69.52166776099803,original
T=0.1_49_original,0.1,1.1465,0.3016,67.58426361802287,original
T=0.1_50_original,0.1,1.1326,0.2804,74.52684101858225,original
T=0.1_1_wm,0.1,1.1133,0.328,65.81494798439532,wm
T=0.1_2_wm,0.1,1.129,0.3228,67.94326451612903,wm
T=0.1_3_wm,0.1,1.1295,0.328,66.91214379947229,wm
T=0.1_4_wm,0.1,1.1311,0.3122,53.50817995910021,wm
T=0.1_5_wm,0.1,1.1246,0.3386,67.37839378238341,wm
T=0.1_6_wm,0.1,1.1347,0.328,65.56925215089345,wm
T=0.1_7_wm,0.1,1.148,0.3122,60.31787375415282,wm
T=0.1_8_wm,0.1,1.1326,0.3016,65.02738810955243,wm
T=0.1_9_wm,0.1,1.1329,0.3333,58.14302587923025,wm
T=0.1_10_wm,0.1,1.1431,0.3122,64.07653594771242,wm
T=0.1_11_wm,0.1,1.1366,0.3122,64.55228268082283,wm
T=0.1_12_wm,0.1,1.1142,0.3175,56.87648612945839,wm
T=0.1_13_wm,0.1,1.1139,0.3228,64.3203479973736,wm
T=0.1_14_wm,0.1,1.1174,0.328,68.67821148825065,wm
T=0.1_15_wm,0.1,1.1495,0.3175,65.1370065359477,wm
T=0.1_16_wm,0.1,1.1111,0.3228,65.96135794330915,wm
T=0.1_17_wm,0.1,1.1449,0.3175,63.27260983606556,wm
T=0.1_18_wm,0.1,1.1367,0.328,68.07420772303595,wm
T=0.1_19_wm,0.1,1.1515,0.3122,68.75785948785293,wm
T=0.1_20_wm,0.1,1.1353,0.3069,66.6746936026936,wm
T=0.1_21_wm,0.1,1.1118,0.328,63.9720559531555,wm
T=0.1_22_wm,0.1,1.1354,0.3175,70.18180263157895,wm
T=0.1_23_wm,0.1,1.1257,0.3122,68.63023004059539,wm
T=0.1_24_wm,0.1,1.1155,0.3333,68.2419502617801,wm
T=0.1_25_wm,0.1,1.1318,0.3122,70.45953703703704,wm
T=0.1_26_wm,0.1,1.1429,0.3175,65.38208,wm
T=0.1_27_wm,0.1,1.1025,0.3228,66.53888888888889,wm
T=0.1_28_wm,0.1,1.123,0.3333,59.56221198156682,wm
T=0.1_29_wm,0.1,1.1158,0.3333,65.38477524429968,wm
T=0.1_30_wm,0.1,1.1317,0.291,68.66087897227857,wm
T=0.1_31_wm,0.1,1.1321,0.2963,70.28803801765105,wm
T=0.1_32_wm,0.1,1.1387,0.328,67.06811574697174,wm
T=0.1_33_wm,0.1,1.1535,0.3228,64.7685401459854,wm
T=0.1_34_wm,0.1,1.1246,0.3333,65.58711387434555,wm
T=0.1_35_wm,0.1,1.1297,0.3333,67.38454963839578,wm
T=0.1_36_wm,0.1,1.1357,0.328,66.32011089367253,wm
T=0.1_37_wm,0.1,1.1177,0.3333,66.42033570045191,wm
T=0.1_38_wm,0.1,1.1298,0.3016,66.60519480519481,wm
T=0.1_39_wm,0.1,1.1197,0.3333,68.4057398805574,wm
T=0.1_40_wm,0.1,1.1518,0.3069,58.86971691902568,wm
T=0.1_41_wm,0.1,1.1225,0.328,67.18065584415584,wm
T=0.1_42_wm,0.1,1.1294,0.3598,68.51481776010603,wm
T=0.1_43_wm,0.1,1.1354,0.3175,65.05422295081968,wm
T=0.1_44_wm,0.1,1.1127,0.3175,66.235266579974,wm
T=0.1_45_wm,0.1,1.1429,0.3122,68.28173829377808,wm
T=0.1_46_wm,0.1,1.1492,0.2804,67.54955801104973,wm
T=0.1_47_wm,0.1,1.1427,0.3175,61.73215364412344,wm
T=0.1_48_wm,0.1,1.1227,0.3228,69.18634274458306,wm
T=0.1_49_wm,0.1,1.153,0.2963,69.56979152656355,wm
T=0.1_50_wm,0.1,1.1334,0.2804,73.63185743660041,wm
T=0.3_1_original,0.3,1.247,0.3016,67.21218253968254,original
T=0.3_2_original,0.3,1.2347,0.2857,62.38634504792333,original
T=0.3_3_original,0.3,1.2459,0.2963,67.99363876071193,original
T=0.3_4_original,0.3,1.2654,0.3016,68.03568897637794,original
T=0.3_5_original,0.3,1.193,0.328,58.421419270833326,original
T=0.3_6_original,0.3,1.2906,0.3016,53.691631158455394,original
T=0.3_7_original,0.3,1.2553,0.2698,66.34604512276044,original
T=0.3_8_original,0.3,1.2248,0.2963,63.75257731958763,original
T=0.3_9_original,0.3,1.2117,0.2804,68.96273227804542,original
T=0.3_10_original,0.3,1.2575,0.2698,56.37132372214942,original
T=0.3_11_original,0.3,1.2351,0.2857,56.441428571428574,original
T=0.3_12_original,0.3,1.2885,0.2857,50.78416611295681,original
T=0.3_13_original,0.3,1.1959,0.2222,57.6234840425532,original
T=0.3_14_original,0.3,1.2397,0.2698,49.43819197896121,original
T=0.3_15_original,0.3,1.2379,0.2698,63.36772551546392,original
T=0.3_16_original,0.3,1.2672,0.2857,66.25482095490716,original
T=0.3_17_original,0.3,1.303,0.2487,67.89515292553192,original
T=0.3_18_original,0.3,1.2289,0.3016,59.17113049095608,original
T=0.3_19_original,0.3,1.2709,0.2646,65.22773946360154,original
T=0.3_20_original,0.3,1.236,0.2646,66.43657605177994,original
T=0.3_21_original,0.3,1.2103,0.2963,67.92598997493735,original
T=0.3_22_original,0.3,1.2573,0.2857,62.92231119791668,original
T=0.3_23_original,0.3,1.2443,0.3016,56.97593399339935,original
T=0.3_24_original,0.3,1.2446,0.2804,61.02949481865286,original
T=0.3_25_original,0.3,1.2743,0.2698,65.75930899608866,original
T=0.3_26_original,0.3,1.2825,0.2487,65.90367498314228,original
T=0.3_27_original,0.3,1.2386,0.3122,58.281623876765096,original
T=0.3_28_original,0.3,1.2549,0.2698,55.51530293159608,original
T=0.3_29_original,0.3,1.2853,0.2434,60.61677707006369,original
T=0.3_30_original,0.3,1.2298,0.2593,59.59113231552163,original
T=0.3_31_original,0.3,1.2462,0.3016,57.56173742651862,original
T=0.3_32_original,0.3,1.2531,0.2963,61.433617449664425,original
T=0.3_33_original,0.3,1.2666,0.3122,66.55570422535212,original
T=0.3_34_original,0.3,1.2463,0.3228,67.07131681877445,original
T=0.3_35_original,0.3,1.2391,0.3069,64.00766013071896,original
T=0.3_36_original,0.3,1.2976,0.2646,55.66755009696186,original
T=0.3_37_original,0.3,1.2586,0.3016,65.52093114754098,original
T=0.3_38_original,0.3,1.2046,0.2487,55.31130193905816,original
T=0.3_39_original,0.3,1.2494,0.3175,70.47683720930233,original
T=0.3_40_original,0.3,1.192,0.2328,66.59118286879674,original
T=0.3_41_original,0.3,1.2328,0.2751,60.85169536423841,original
T=0.3_42_original,0.3,1.2343,0.3175,56.91158647594278,original
T=0.3_43_original,0.3,1.2512,0.254,58.0196447368421,original
T=0.3_44_original,0.3,1.2398,0.3069,56.862856225930685,original
T=0.3_45_original,0.3,1.2554,0.2804,59.62433926302414,original
T=0.3_46_original,0.3,1.2691,0.2751,66.74175854849965,original
T=0.3_47_original,0.3,1.2444,0.3228,67.27857142857142,original
T=0.3_48_original,0.3,1.2289,0.291,65.24386138613862,original
T=0.3_49_original,0.3,1.3522,0.2646,62.85689516129032,original
T=0.3_50_original,0.3,1.2471,0.2751,67.45469020652898,original
T=0.3_1_wm,0.3,1.2471,0.3016,63.73508817766166,wm
T=0.3_2_wm,0.3,1.218,0.2963,60.64783419023136,wm
T=0.3_3_wm,0.3,1.2357,0.2963,67.1220942408377,wm
T=0.3_4_wm,0.3,1.1894,0.3016,66.1413597359736,wm
T=0.3_5_wm,0.3,1.216,0.254,65.47690012970169,wm
