sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,0.9626,0.4508,83.35712649281014,original
T=0.5_2_original,0.5,0.9323,0.4545,86.29680861599404,original
T=0.5_3_original,0.5,0.9682,0.462,82.82258712487899,original
T=0.5_4_original,0.5,0.9492,0.4378,83.59725036531904,original
T=0.5_5_original,0.5,1.0176,0.4323,84.50435576923077,original
T=0.5_6_original,0.5,0.9689,0.436,83.69930784123912,original
T=0.5_7_original,0.5,0.9319,0.4267,83.44387954157521,original
T=0.5_8_original,0.5,0.9576,0.4323,83.37150461837628,original
T=0.5_9_original,0.5,0.9313,0.4453,85.2531844130057,original
T=0.5_10_original,0.5,0.9447,0.462,83.69126764050507,original
T=0.5_11_original,0.5,0.9542,0.4564,85.32969711773328,original
T=0.5_12_original,0.5,0.9632,0.4267,83.54806497849977,original
T=0.5_13_original,0.5,0.9663,0.4508,83.12849865295127,original
T=0.5_14_original,0.5,0.9617,0.4174,82.16704469005286,original
T=0.5_15_original,0.5,1.0139,0.4471,83.39708062575211,original
T=0.5_16_original,0.5,0.9101,0.4323,83.94479268292683,original
T=0.5_17_original,0.5,0.9121,0.462,84.75860573388876,original
T=0.5_18_original,0.5,0.9136,0.436,85.27949482503696,original
T=0.5_19_original,0.5,0.9734,0.4471,84.72888538890234,original
T=0.5_20_original,0.5,0.9353,0.4638,84.21139506474468,original
T=0.5_21_original,0.5,0.9485,0.4397,85.28279622001453,original
T=0.5_22_original,0.5,0.9643,0.4583,84.77396714783475,original
T=0.5_23_original,0.5,0.9581,0.4174,84.12362238770118,original
T=0.5_24_original,0.5,0.994,0.4249,84.24532018504992,original
T=0.5_25_original,0.5,0.9408,0.4527,84.65635761589405,original
T=0.5_26_original,0.5,0.9536,0.4508,83.78891938250428,original
T=0.5_27_original,0.5,0.9936,0.449,84.245876960193,original
T=0.5_28_original,0.5,0.9417,0.4267,83.32022604422605,original
T=0.5_29_original,0.5,0.9373,0.4471,84.02482935153583,original
T=0.5_30_original,0.5,1.0003,0.4508,83.5556523867809,original
T=0.5_31_original,0.5,0.9885,0.41,83.99538907684872,original
T=0.5_32_original,0.5,0.9178,0.4675,84.75620064564193,original
T=0.5_33_original,0.5,0.9324,0.4286,84.78618459302325,original
T=0.5_34_original,0.5,0.99,0.4416,84.6660718591753,original
T=0.5_35_original,0.5,0.9668,0.4212,84.0467203907204,original
T=0.5_36_original,0.5,0.9591,0.436,85.54562099556432,original
T=0.5_37_original,0.5,0.9994,0.4323,84.13894169524742,original
T=0.5_38_original,0.5,0.9927,0.436,84.21127413127412,original
T=0.5_39_original,0.5,0.9055,0.4768,84.80893888354187,original
T=0.5_40_original,0.5,0.9208,0.462,84.60583128984796,original
T=0.5_41_original,0.5,0.9421,0.4323,84.19357837029652,original
T=0.5_42_original,0.5,0.8926,0.4508,85.4276217552534,original
T=0.5_43_original,0.5,0.9417,0.4323,83.31445589645254,original
T=0.5_44_original,0.5,1.0065,0.4341,84.95631359056279,original
T=0.5_45_original,0.5,0.9184,0.4471,84.56108333333333,original
T=0.5_46_original,0.5,0.9514,0.4508,83.76016175760503,original
T=0.5_47_original,0.5,0.9879,0.4527,84.83612190383683,original
T=0.5_48_original,0.5,0.9307,0.423,83.39080736196318,original
T=0.5_49_original,0.5,0.9477,0.4527,84.76151650533632,original
T=0.5_50_original,0.5,0.923,0.4583,84.40934194491835,original
T=0.5_1_wm,0.5,0.9792,0.449,83.38380072904009,wm
T=0.5_2_wm,0.5,0.9657,0.423,84.9324427666829,wm
T=0.5_3_wm,0.5,0.9318,0.4601,85.59430761742517,wm
T=0.5_4_wm,0.5,0.9742,0.4397,83.52732418111752,wm
T=0.5_5_wm,0.5,0.9931,0.41,84.95795795070082,wm
T=0.5_6_wm,0.5,0.9767,0.4341,83.12609412906356,wm
T=0.5_7_wm,0.5,0.9404,0.4267,84.05647101625031,wm
T=0.5_8_wm,0.5,0.933,0.4434,84.16324475865432,wm
T=0.5_9_wm,0.5,0.9408,0.4416,84.78962530413625,wm
T=0.5_10_wm,0.5,0.9058,0.462,83.69332263638609,wm
T=0.5_11_wm,0.5,0.9833,0.436,84.70641256697515,wm
T=0.5_12_wm,0.5,0.9916,0.4156,85.1886170212766,wm
T=0.5_13_wm,0.5,0.9698,0.4323,84.32235911197854,wm
T=0.5_14_wm,0.5,0.9308,0.4304,84.80184921414538,wm
T=0.5_15_wm,0.5,0.9482,0.4453,83.18691913022234,wm
T=0.5_16_wm,0.5,0.9572,0.4397,83.64626282364436,wm
T=0.5_17_wm,0.5,0.9351,0.4249,79.96503889158969,wm
T=0.5_18_wm,0.5,0.9255,0.449,84.87991895874264,wm
T=0.5_19_wm,0.5,0.9717,0.4583,84.02871149144254,wm
T=0.5_20_wm,0.5,0.9394,0.4583,84.18315442790924,wm
T=0.5_21_wm,0.5,0.9361,0.4545,83.98725108225108,wm
T=0.5_22_wm,0.5,0.9672,0.4527,84.64045642146151,wm
T=0.5_23_wm,0.5,0.9615,0.4416,85.0223347259769,wm
T=0.5_24_wm,0.5,0.9816,0.4527,84.22673302950348,wm
T=0.5_25_wm,0.5,0.9929,0.4341,83.34536878216123,wm
T=0.5_26_wm,0.5,0.9499,0.4378,84.77078475336323,wm
T=0.5_27_wm,0.5,1.0021,0.4286,83.38181599807831,wm
T=0.5_28_wm,0.5,0.8968,0.4471,85.45204568023833,wm
T=0.5_29_wm,0.5,0.9504,0.4378,83.26605633802816,wm
T=0.5_30_wm,0.5,1.0151,0.449,84.94638231029482,wm
T=0.5_31_wm,0.5,0.9289,0.4434,82.65830049261082,wm
T=0.5_32_wm,0.5,0.9797,0.436,83.33774543660581,wm
T=0.5_33_wm,0.5,0.9551,0.4249,84.9985676004872,wm
T=0.5_34_wm,0.5,0.9642,0.4508,84.69565016982047,wm
T=0.5_35_wm,0.5,0.9906,0.4434,84.54438549525432,wm
T=0.5_36_wm,0.5,0.9544,0.4286,84.06921625544267,wm
T=0.5_37_wm,0.5,0.957,0.4378,83.8079450389105,wm
T=0.5_38_wm,0.5,0.9757,0.4694,83.82370791959312,wm
T=0.5_39_wm,0.5,0.9646,0.4416,85.6077119460501,wm
T=0.5_40_wm,0.5,0.9215,0.4805,85.00052657122059,wm
T=0.5_41_wm,0.5,0.9504,0.4249,83.22707658321062,wm
T=0.5_42_wm,0.5,0.9578,0.4397,85.06792127921278,wm
T=0.5_43_wm,0.5,0.9589,0.4731,83.29502453385673,wm
T=0.5_44_wm,0.5,0.972,0.4286,85.24889870002453,wm
T=0.5_45_wm,0.5,0.9062,0.4267,83.593919378339,wm
T=0.5_46_wm,0.5,0.9198,0.4416,83.83548488512696,wm
T=0.5_47_wm,0.5,0.9785,0.4657,84.82360301263364,wm
T=0.5_48_wm,0.5,0.9839,0.4286,81.30044627698278,wm
T=0.5_49_wm,0.5,0.9241,0.4545,83.72964042759962,wm
T=0.5_50_wm,0.5,0.9335,0.449,84.14398870888562,wm
T=0.1_1_original,0.1,0.7448,0.4712,84.76241253644314,original
T=0.1_2_original,0.1,0.7602,0.4638,84.27825240384617,original
T=0.1_3_original,0.1,0.743,0.4917,85.41371916971917,original
T=0.1_4_original,0.1,0.7399,0.4824,85.31575392927309,original
