sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,0.9518,0.4397,86.60893109540636,original
T=0.5_2_original,0.5,1.0333,0.4113,87.18624555160142,original
T=0.5_3_original,0.5,0.9805,0.4397,86.25912788070494,original
T=0.5_4_original,0.5,0.976,0.4184,82.77398502862175,original
T=0.5_5_original,0.5,0.9778,0.4574,86.3791503861881,original
T=0.5_6_original,0.5,0.9731,0.4645,85.34463096309631,original
T=0.5_7_original,0.5,0.9802,0.4397,84.8749843260188,original
T=0.5_8_original,0.5,0.9993,0.461,85.03440760389037,original
T=0.5_9_original,0.5,1.0287,0.4291,84.54053225078935,original
T=0.5_10_original,0.5,1.0203,0.4539,85.66353049060065,original
T=0.5_11_original,0.5,1.025,0.4149,84.15246618575294,original
T=0.5_12_original,0.5,1.0044,0.422,84.36538188277088,original
T=0.5_13_original,0.5,0.9293,0.4397,84.61968189964158,original
T=0.5_14_original,0.5,1.0035,0.4326,85.0605330964016,original
T=0.5_15_original,0.5,1.0229,0.4149,85.30075660893345,original
T=0.5_16_original,0.5,1.0439,0.4007,85.01737668161435,original
T=0.5_17_original,0.5,0.9944,0.4504,81.61807914628724,original
T=0.5_18_original,0.5,1.0262,0.4326,84.74645637583892,original
T=0.5_19_original,0.5,1.0097,0.4397,84.88428174235403,original
T=0.5_20_original,0.5,0.9605,0.4504,85.7412545620438,original
T=0.5_21_original,0.5,0.9943,0.4291,86.1965770609319,original
T=0.5_22_original,0.5,0.9844,0.4468,87.15801708633093,original
T=0.5_23_original,0.5,0.9887,0.4433,84.28621621621622,original
T=0.5_24_original,0.5,0.9443,0.4539,85.6352869955157,original
T=0.5_25_original,0.5,1.0099,0.4291,85.32360161870504,original
T=0.5_26_original,0.5,0.9774,0.4291,86.26405597512218,original
T=0.5_27_original,0.5,0.9881,0.4539,84.6503023465704,original
T=0.5_28_original,0.5,0.9517,0.4184,84.32135926773455,original
T=0.5_29_original,0.5,0.9235,0.461,85.77162801070472,original
T=0.5_30_original,0.5,1.003,0.4326,84.1574784189005,original
