sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,1.0385,0.5085,86.3272643678161,original
T=0.5_2_original,0.5,0.9916,0.5085,82.99780681818181,original
T=0.5_3_original,0.5,1.1439,0.4492,84.03985981308412,original
T=0.5_4_original,0.5,1.0818,0.5169,81.71125720876586,original
T=0.5_5_original,0.5,1.0691,0.5593,87.42792431192662,original
T=0.5_6_original,0.5,0.9956,0.5339,89.35972188633615,original
T=0.5_7_original,0.5,1.1214,0.5254,86.02677047289504,original
T=0.5_8_original,0.5,1.1785,0.5339,83.60998864926219,original
T=0.5_9_original,0.5,1.1132,0.5339,86.26056581986144,original
T=0.5_10_original,0.5,1.0388,0.5085,83.02705487122061,original
T=0.5_11_original,0.5,1.0617,0.4831,85.2389071680376,original
T=0.5_12_original,0.5,0.9906,0.5508,86.54063510392609,original
T=0.5_13_original,0.5,1.1321,0.4915,77.601640969163,original
T=0.5_14_original,0.5,1.0791,0.5254,87.12058688147296,original
T=0.5_15_original,0.5,1.1089,0.5,83.37084686774942,original
T=0.5_16_original,0.5,1.1091,0.5,83.64437428243399,original
T=0.5_17_original,0.5,1.0665,0.5169,85.66917056074766,original
T=0.5_18_original,0.5,1.1976,0.4746,83.6224858757062,original
T=0.5_19_original,0.5,0.9793,0.5169,84.95583333333333,original
T=0.5_20_original,0.5,1.1974,0.5424,83.25616081540204,original
T=0.5_21_original,0.5,1.0323,0.5508,84.0532349602724,original
T=0.5_22_original,0.5,1.1051,0.4915,82.80990686845169,original
T=0.5_23_original,0.5,1.1159,0.5,85.40827387802072,original
T=0.5_24_original,0.5,1.1384,0.4915,82.05917700112738,original
T=0.5_25_original,0.5,1.2665,0.4831,85.10842572062084,original
T=0.5_26_original,0.5,1.0721,0.5169,83.01946469248291,original
T=0.5_27_original,0.5,0.9885,0.4831,83.13644087256027,original
T=0.5_28_original,0.5,1.0136,0.5508,85.32252242152467,original
T=0.5_29_original,0.5,1.0319,0.4661,87.78505376344086,original
T=0.5_30_original,0.5,1.0483,0.5678,85.63834312573444,original
T=0.5_31_original,0.5,1.1999,0.5085,78.38363336992316,original
T=0.5_32_original,0.5,1.0462,0.5424,86.14368421052632,original
T=0.5_33_original,0.5,1.1239,0.4831,85.6939953271028,original
T=0.5_34_original,0.5,1.0676,0.5424,85.76271070615034,original
T=0.5_35_original,0.5,0.9908,0.5339,85.67865272938444,original
T=0.5_36_original,0.5,1.195,0.4746,81.57136732329084,original
T=0.5_37_original,0.5,1.0465,0.5508,85.30512082853855,original
T=0.5_38_original,0.5,1.1465,0.4661,84.17978110599078,original
T=0.5_39_original,0.5,1.0982,0.5169,82.85673492605233,original
T=0.5_40_original,0.5,1.058,0.5593,84.45241496598639,original
T=0.5_41_original,0.5,1.0794,0.5169,85.56815366972477,original
T=0.5_42_original,0.5,1.1349,0.4831,81.65391907514453,original
T=0.5_43_original,0.5,1.1344,0.4831,82.6388850174216,original
T=0.5_44_original,0.5,1.0828,0.5339,82.5215331010453,original
T=0.5_45_original,0.5,1.1504,0.4915,83.8225259515571,original
T=0.5_46_original,0.5,1.0395,0.5254,86.9605023364486,original
T=0.5_47_original,0.5,1.0696,0.5169,86.93193142857143,original
T=0.5_48_original,0.5,1.0348,0.5254,81.39050292397661,original
T=0.5_49_original,0.5,0.9741,0.5339,86.48190092165898,original
T=0.5_50_original,0.5,1.0129,0.5678,86.35860411899313,original
T=0.5_1_wm,0.5,1.0894,0.5169,85.11697383390215,wm
T=0.5_2_wm,0.5,1.0316,0.5085,84.38733104238258,wm
T=0.5_3_wm,0.5,1.1886,0.5169,83.01363636363635,wm
T=0.5_4_wm,0.5,1.0453,0.5169,85.10513793103448,wm
T=0.5_5_wm,0.5,1.0202,0.5339,83.73687793427229,wm
T=0.5_6_wm,0.5,1.1113,0.5085,86.24380346820809,wm
T=0.5_7_wm,0.5,1.1021,0.5254,82.30797991071428,wm
T=0.5_8_wm,0.5,1.0904,0.5254,80.71411007025762,wm
T=0.5_9_wm,0.5,1.0943,0.5678,84.79739231664726,wm
T=0.5_10_wm,0.5,1.0555,0.5508,84.05551090700345,wm
T=0.5_11_wm,0.5,1.0303,0.5593,83.13230046948357,wm
T=0.5_12_wm,0.5,0.9831,0.5254,86.15953791469195,wm
T=0.5_13_wm,0.5,1.0516,0.5254,81.98914481185862,wm
T=0.5_14_wm,0.5,1.0271,0.5339,88.05527104959633,wm
T=0.5_15_wm,0.5,1.0615,0.5085,87.62150987224157,wm
T=0.5_16_wm,0.5,1.0897,0.4915,85.22456976744186,wm
T=0.5_17_wm,0.5,1.034,0.5254,85.89228438228439,wm
T=0.5_18_wm,0.5,1.1696,0.5,81.79228409090908,wm
T=0.5_19_wm,0.5,1.1505,0.4746,84.81245240761478,wm
T=0.5_20_wm,0.5,1.1945,0.5424,84.31500574052812,wm
T=0.5_21_wm,0.5,1.0164,0.5085,85.46895096921321,wm
T=0.5_22_wm,0.5,1.1289,0.5,81.66850402761794,wm
T=0.5_23_wm,0.5,1.1474,0.4915,87.78369785794816,wm
T=0.5_24_wm,0.5,1.129,0.4746,84.0189871944121,wm
T=0.5_25_wm,0.5,1.183,0.5085,82.97550772626931,wm
T=0.5_26_wm,0.5,1.0265,0.5169,84.40041567695961,wm
T=0.5_27_wm,0.5,1.1173,0.4831,79.46302646720368,wm
T=0.5_28_wm,0.5,1.0451,0.4915,85.03012528473803,wm
T=0.5_29_wm,0.5,1.0965,0.4746,83.26446857142858,wm
T=0.5_30_wm,0.5,1.0638,0.5424,86.10119540229886,wm
T=0.5_31_wm,0.5,1.1255,0.5593,84.61543700340523,wm
T=0.5_32_wm,0.5,1.0412,0.5424,88.78155131264917,wm
