sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,1.1216,0.3149,76.07137599330824,original
T=0.3_2_original,0.3,1.0296,0.3199,77.33845116469146,original
T=0.3_3_original,0.3,1.0476,0.3199,76.37696825067441,original
T=0.3_4_original,0.3,0.9915,0.3451,74.36400284610694,original
T=0.3_5_original,0.3,1.0905,0.3049,85.55700745033111,original
T=0.3_6_original,0.3,1.0558,0.3233,74.00289962041333,original
T=0.3_7_original,0.3,1.0251,0.3367,77.68430778613539,original
T=0.3_8_original,0.3,1.1019,0.3116,77.65116132955005,original
T=0.3_9_original,0.3,1.0703,0.3166,75.04804554079696,original
T=0.3_10_original,0.3,1.047,0.3199,75.67573462649608,original
T=0.3_11_original,0.3,1.0648,0.3467,84.69727608874281,original
T=0.3_12_original,0.3,1.0056,0.3451,79.72433272394882,original
T=0.3_13_original,0.3,0.9873,0.3082,76.11512803676953,original
T=0.3_14_original,0.3,1.0844,0.3132,76.76808609411268,original
T=0.3_15_original,0.3,1.0329,0.3317,75.82300020312817,original
T=0.3_16_original,0.3,1.0194,0.3417,75.12424304418985,original
T=0.3_17_original,0.3,1.0818,0.33,82.14558690280066,original
T=0.3_18_original,0.3,1.0703,0.335,83.75066751430388,original
T=0.3_19_original,0.3,1.0482,0.3166,75.79360460337034,original
T=0.3_20_original,0.3,1.0229,0.3317,79.64648493543758,original
T=0.3_21_original,0.3,1.13,0.3149,76.30148590244907,original
T=0.3_22_original,0.3,1.0553,0.33,75.75231425091353,original
T=0.3_23_original,0.3,1.0287,0.3518,75.75463959390862,original
T=0.3_24_original,0.3,1.0517,0.3434,83.20104425861717,original
T=0.3_25_original,0.3,1.0559,0.33,76.87651404151406,original
T=0.3_26_original,0.3,1.0444,0.3333,78.11465923703386,original
T=0.3_27_original,0.3,1.1017,0.3417,75.0868807715986,original
T=0.3_28_original,0.3,1.0458,0.3501,81.64353395689305,original
T=0.3_29_original,0.3,1.0918,0.3149,79.00426808142052,original
T=0.3_30_original,0.3,1.1291,0.3266,77.50509906152242,original
T=0.3_31_original,0.3,0.9998,0.3233,75.31777643260695,original
T=0.3_32_original,0.3,1.0486,0.325,81.04738833746897,original
T=0.3_33_original,0.3,1.1196,0.3367,78.03818428750523,original
T=0.3_34_original,0.3,1.0924,0.3317,77.08371117054104,original
T=0.3_35_original,0.3,1.071,0.3116,79.4395404636031,original
T=0.3_36_original,0.3,1.0862,0.33,76.17428747686613,original
T=0.3_37_original,0.3,1.0229,0.3467,77.08169903905133,original
T=0.3_38_original,0.3,1.0384,0.335,77.6535770710958,original
T=0.3_39_original,0.3,1.0721,0.3233,76.63576158940397,original
T=0.3_40_original,0.3,1.0441,0.3417,81.54654350898444,original
T=0.3_41_original,0.3,1.0354,0.3166,76.94685347462807,original
T=0.3_42_original,0.3,1.0678,0.3266,77.30928513238288,original
T=0.3_43_original,0.3,1.0642,0.3116,79.28971978609624,original
T=0.3_44_original,0.3,1.0786,0.3467,82.54619562997755,original
T=0.3_45_original,0.3,1.0794,0.3149,75.56623968646865,original
T=0.3_46_original,0.3,1.065,0.3216,84.35946395563771,original
T=0.3_47_original,0.3,1.0593,0.3501,79.12842594463527,original
T=0.3_48_original,0.3,1.0547,0.3467,80.88186745755777,original
T=0.3_49_original,0.3,1.0619,0.3199,85.75277046482928,original
T=0.3_50_original,0.3,1.0404,0.3367,75.82490392477513,original
T=0.3_1_wm,0.3,1.1312,0.3065,78.51537160751566,wm
T=0.3_2_wm,0.3,1.0712,0.3384,74.42726673532441,wm
T=0.3_3_wm,0.3,1.1397,0.3149,77.45083385189794,wm
T=0.3_4_wm,0.3,1.0796,0.3149,75.28083214358557,wm
T=0.3_5_wm,0.3,1.0653,0.3166,86.4275048397505,wm
T=0.3_6_wm,0.3,1.1038,0.3451,73.6432749490835,wm
T=0.3_7_wm,0.3,1.0407,0.335,75.17104587155963,wm
T=0.3_8_wm,0.3,1.1026,0.3149,77.4293364831553,wm
T=0.3_9_wm,0.3,1.0176,0.3266,76.62093941874745,wm
T=0.3_10_wm,0.3,1.0436,0.3283,77.8450143678161,wm
T=0.3_11_wm,0.3,1.0228,0.3417,83.17697993447993,wm
T=0.3_12_wm,0.3,1.015,0.3484,82.54353773584907,wm
T=0.3_13_wm,0.3,1.0502,0.3317,77.51791512915129,wm
