sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.8359,0.5261,83.37733829303575,original
T=0.3_2_original,0.3,0.8224,0.5,83.99400122050447,original
T=0.3_3_original,0.3,0.8128,0.5114,82.94991771240485,original
T=0.3_4_original,0.3,0.7814,0.4951,82.36780377668309,original
T=0.3_5_original,0.3,0.8099,0.5065,82.7761847471452,original
T=0.3_6_original,0.3,0.797,0.518,82.42358827147837,original
T=0.3_7_original,0.3,0.8224,0.4951,83.5441404805915,original
T=0.3_8_original,0.3,0.7965,0.5098,82.11019057377048,original
T=0.3_9_original,0.3,0.8167,0.5049,83.20045734208368,original
T=0.3_10_original,0.3,0.8064,0.4935,84.51464030976156,original
T=0.3_11_original,0.3,0.8079,0.5163,82.50906858766234,original
T=0.3_12_original,0.3,0.814,0.5016,82.87644742184328,original
T=0.3_13_original,0.3,0.8161,0.518,81.90237684729064,original
T=0.3_14_original,0.3,0.7873,0.4967,82.06718775510204,original
T=0.3_15_original,0.3,0.8129,0.5245,82.16194478527608,original
T=0.3_16_original,0.3,0.8002,0.4967,84.6915564598169,original
T=0.3_17_original,0.3,0.8292,0.5033,82.92015663643858,original
T=0.3_18_original,0.3,0.8204,0.5131,83.56603938286644,original
T=0.3_19_original,0.3,0.8339,0.4935,83.76963688290493,original
T=0.3_20_original,0.3,0.8122,0.5131,83.02282917782816,original
T=0.3_21_original,0.3,0.8155,0.4967,81.35958513931888,original
T=0.3_22_original,0.3,0.805,0.5343,82.69806848472422,original
T=0.3_23_original,0.3,0.8299,0.5016,82.52011124845488,original
T=0.3_24_original,0.3,0.8149,0.5033,82.43126100307062,original
T=0.3_25_original,0.3,0.858,0.5033,81.9542229936696,original
T=0.3_26_original,0.3,0.7961,0.5049,82.05148504711184,original
T=0.3_27_original,0.3,0.8191,0.5049,83.8981756198347,original
T=0.3_28_original,0.3,0.8085,0.4935,83.97941248221183,original
T=0.3_29_original,0.3,0.794,0.5114,83.1198086708732,original
T=0.3_30_original,0.3,0.8096,0.5,82.15126977687626,original
T=0.3_31_original,0.3,0.829,0.4869,82.97788579615228,original
T=0.3_32_original,0.3,0.7983,0.482,84.59906650396583,original
T=0.3_33_original,0.3,0.8096,0.5016,82.4570509383378,original
T=0.3_34_original,0.3,0.8208,0.5016,83.01735634517766,original
T=0.3_35_original,0.3,0.8198,0.4739,82.4776560276479,original
T=0.3_36_original,0.3,0.7989,0.4918,82.74831215970961,original
T=0.3_37_original,0.3,0.8099,0.4967,84.49118334700574,original
T=0.3_38_original,0.3,0.8051,0.4755,83.65831550802139,original
T=0.3_39_original,0.3,0.8,0.5,83.42094242982995,original
T=0.3_40_original,0.3,0.8273,0.5082,82.61081607795371,original
T=0.3_41_original,0.3,0.803,0.4935,84.10056389452333,original
T=0.3_42_original,0.3,0.8234,0.5082,83.33102826710363,original
T=0.3_43_original,0.3,0.8127,0.5016,83.3561046511628,original
T=0.3_44_original,0.3,0.832,0.4967,83.97964174777387,original
T=0.3_45_original,0.3,0.8149,0.5278,81.78329044117646,original
T=0.3_46_original,0.3,0.8185,0.4886,82.92468743552712,original
T=0.3_47_original,0.3,0.8152,0.5196,81.09973673385439,original
T=0.3_48_original,0.3,0.8116,0.5,84.45612328486587,original
T=0.3_49_original,0.3,0.8169,0.4869,83.18181576797386,original
T=0.3_50_original,0.3,0.7959,0.5065,83.51219024290671,original
T=0.3_1_wm,0.3,0.8458,0.5098,82.5062430825989,wm
T=0.3_2_wm,0.3,0.7954,0.5,82.95336137902729,wm
T=0.3_3_wm,0.3,0.833,0.5065,83.72458772473652,wm
T=0.3_4_wm,0.3,0.8023,0.4935,82.93578893231845,wm
T=0.3_5_wm,0.3,0.8319,0.4951,82.19345492662474,wm
T=0.3_6_wm,0.3,0.7981,0.5196,82.38306609547125,wm
T=0.3_7_wm,0.3,0.8178,0.5,84.30922043010753,wm
T=0.3_8_wm,0.3,0.7925,0.5049,83.63091690544414,wm
T=0.3_9_wm,0.3,0.8198,0.4984,82.15777822990844,wm
T=0.3_10_wm,0.3,0.8089,0.5033,83.62507591300779,wm
T=0.3_11_wm,0.3,0.8304,0.5016,81.7637418032787,wm
T=0.3_12_wm,0.3,0.8048,0.5049,82.74401430030643,wm
T=0.3_13_wm,0.3,0.8041,0.5065,82.82000610128127,wm
T=0.3_14_wm,0.3,0.8082,0.4935,82.68015126737531,wm
T=0.3_15_wm,0.3,0.8195,0.5082,83.22713288149518,wm
T=0.3_16_wm,0.3,0.8078,0.5016,83.38845460135273,wm
T=0.3_17_wm,0.3,0.8092,0.5147,83.56273855544252,wm
T=0.3_18_wm,0.3,0.8029,0.5,82.79574201374848,wm
T=0.3_19_wm,0.3,0.8364,0.5,83.05431878713378,wm
T=0.3_20_wm,0.3,0.8132,0.5033,84.4383552631579,wm
T=0.3_21_wm,0.3,0.7982,0.5131,83.91065412919052,wm
T=0.3_22_wm,0.3,0.8039,0.5327,83.0030455099553,wm
T=0.3_23_wm,0.3,0.8264,0.4951,83.07341824157766,wm
T=0.3_24_wm,0.3,0.8342,0.4935,82.76787369284396,wm
T=0.3_25_wm,0.3,0.8689,0.5,83.55682333539477,wm
T=0.3_26_wm,0.3,0.8103,0.4984,82.09716079884703,wm
T=0.3_27_wm,0.3,0.8115,0.4967,84.50002067397146,wm
T=0.3_28_wm,0.3,0.8116,0.4918,84.44777215702145,wm
T=0.3_29_wm,0.3,0.7906,0.5065,81.97516378433367,wm
T=0.3_30_wm,0.3,0.8057,0.5016,82.66610772357724,wm
T=0.3_31_wm,0.3,0.8161,0.4902,84.22865903515944,wm
T=0.3_32_wm,0.3,0.7927,0.4967,84.486876773409,wm
T=0.3_33_wm,0.3,0.8049,0.5,84.17295436022819,wm
T=0.3_34_wm,0.3,0.8114,0.5033,84.14322482197355,wm
T=0.3_35_wm,0.3,0.814,0.4886,82.5573917462899,wm
T=0.3_36_wm,0.3,0.7994,0.5,82.62135342909164,wm
T=0.3_37_wm,0.3,0.8153,0.4918,84.1634412789506,wm
T=0.3_38_wm,0.3,0.8073,0.4771,83.90154998973517,wm
T=0.3_39_wm,0.3,0.7975,0.5049,83.11976858488633,wm
T=0.3_40_wm,0.3,0.8166,0.5065,82.51782351742408,wm
T=0.3_41_wm,0.3,0.8164,0.4918,82.63578872088272,wm
T=0.3_42_wm,0.3,0.8159,0.5098,83.84307582260372,wm
T=0.3_43_wm,0.3,0.7964,0.518,82.63674292845258,wm
T=0.3_44_wm,0.3,0.7993,0.5147,83.14568252007412,wm
T=0.3_45_wm,0.3,0.8148,0.5261,81.81488490527603,wm
T=0.3_46_wm,0.3,0.8204,0.4722,82.10664054444214,wm
