sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.231,0.4387,79.04601956947162,original
T=0.7_2_original,0.7,1.1544,0.4785,82.73042993630574,original
T=0.7_3_original,0.7,1.2677,0.4632,81.90849483717236,original
T=0.7_4_original,0.7,1.2241,0.4693,80.91083630598493,original
T=0.7_5_original,0.7,1.1572,0.4785,86.0310082063306,original
T=0.7_6_original,0.7,1.2652,0.4479,80.47820309401031,original
T=0.7_7_original,0.7,1.1287,0.4847,86.32135914658237,original
T=0.7_8_original,0.7,1.1394,0.4847,81.41292045904235,original
T=0.7_9_original,0.7,1.232,0.4387,82.2297694753577,original
T=0.7_10_original,0.7,1.1225,0.4816,89.86378034222045,original
T=0.7_11_original,0.7,1.2203,0.4479,82.68050960407683,original
T=0.7_12_original,0.7,1.2152,0.4601,82.19210023866349,original
T=0.7_13_original,0.7,1.2389,0.4417,88.23011673151751,original
T=0.7_14_original,0.7,1.2207,0.4632,81.16904893449092,original
T=0.7_15_original,0.7,1.1853,0.4847,83.06512280701753,original
T=0.7_16_original,0.7,1.2056,0.4632,85.1090318772137,original
T=0.7_17_original,0.7,1.1548,0.4693,84.38228628230617,original
T=0.7_18_original,0.7,1.1731,0.4785,82.33029262582912,original
T=0.7_19_original,0.7,1.2279,0.4294,81.42441001191895,original
T=0.7_20_original,0.7,1.1762,0.4908,84.55182567726737,original
T=0.7_21_original,0.7,1.2355,0.4663,85.18669056152928,original
T=0.7_22_original,0.7,1.1372,0.4939,83.93086748905691,original
T=0.7_23_original,0.7,1.1418,0.5031,84.6247803719826,original
T=0.7_24_original,0.7,1.2673,0.4693,82.23033463035019,original
T=0.7_25_original,0.7,1.1104,0.5153,82.91838506876228,original
T=0.7_26_original,0.7,1.2512,0.4448,82.59319206842923,original
T=0.7_27_original,0.7,1.098,0.4816,86.2631689860835,original
T=0.7_28_original,0.7,1.1876,0.4908,82.8562705882353,original
T=0.7_29_original,0.7,1.1183,0.4571,82.99185096153845,original
T=0.7_30_original,0.7,1.0896,0.4785,85.44361331220286,original
T=0.7_31_original,0.7,1.1228,0.5,83.92913936044215,original
T=0.7_32_original,0.7,1.2122,0.4724,82.44568517778666,original
T=0.7_33_original,0.7,1.2058,0.4632,84.15314161047203,original
T=0.7_34_original,0.7,1.1992,0.454,83.22698227236101,original
T=0.7_35_original,0.7,1.2503,0.4693,88.21820654316123,original
T=0.7_36_original,0.7,1.1639,0.4816,83.1991974317817,original
T=0.7_37_original,0.7,1.1453,0.454,90.69636328125,original
T=0.7_38_original,0.7,1.2682,0.4571,80.69263993648273,original
T=0.7_39_original,0.7,1.1564,0.4693,81.26653036437247,original
T=0.7_40_original,0.7,1.1327,0.4632,84.61602385685885,original
T=0.7_41_original,0.7,1.214,0.4601,77.1058844765343,original
T=0.7_42_original,0.7,1.2299,0.4755,85.32977335984096,original
T=0.7_43_original,0.7,1.1945,0.5092,82.99444793713162,original
T=0.7_44_original,0.7,1.2045,0.4509,85.8006827309237,original
T=0.7_45_original,0.7,1.1954,0.4356,81.5085618066561,original
T=0.7_46_original,0.7,1.1132,0.4908,83.36708168120539,original
T=0.7_47_original,0.7,1.2259,0.4448,80.85396961433581,original
T=0.7_48_original,0.7,1.2736,0.4601,81.87692586623689,original
T=0.7_49_original,0.7,1.2078,0.4663,84.961266323704,original
T=0.7_50_original,0.7,1.165,0.454,80.9135244247073,original
T=0.7_1_wm,0.7,1.1937,0.4632,84.65280141843972,wm
T=0.7_2_wm,0.7,1.1491,0.4571,81.81180055401663,wm
T=0.7_3_wm,0.7,1.1921,0.4663,82.01368522815159,wm
T=0.7_4_wm,0.7,1.1751,0.4755,83.43187574671445,wm
T=0.7_5_wm,0.7,1.1971,0.4816,79.8740631163708,wm
T=0.7_6_wm,0.7,1.2995,0.4601,80.10013492063491,wm
T=0.7_7_wm,0.7,1.254,0.4356,81.12222265321955,wm
