sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,1.004,0.4625,79.91525592417062,original
T=0.5_2_original,0.5,1.0013,0.4881,77.7470151405912,original
T=0.5_3_original,0.5,0.9763,0.4771,84.63225118483412,original
T=0.5_4_original,0.5,1.0142,0.4808,80.56397417840377,original
T=0.5_5_original,0.5,1.0009,0.4753,78.08083061889252,original
T=0.5_6_original,0.5,1.0111,0.4442,82.15168113844669,original
T=0.5_7_original,0.5,1.0124,0.4753,80.16594550152689,original
T=0.5_8_original,0.5,1.0167,0.4607,82.43262553802009,original
T=0.5_9_original,0.5,1.0088,0.4662,79.01291005291006,original
T=0.5_10_original,0.5,1.0308,0.4845,79.51555842327545,original
T=0.5_11_original,0.5,1.0341,0.4406,86.38379990494298,original
T=0.5_12_original,0.5,0.9776,0.4954,79.35902007648184,original
T=0.5_13_original,0.5,0.9941,0.4808,79.380942904525,original
T=0.5_14_original,0.5,0.988,0.4717,79.92843794920938,original
T=0.5_15_original,0.5,0.973,0.4936,83.77381337776721,original
T=0.5_16_original,0.5,1.0311,0.4534,78.7166101295642,original
T=0.5_17_original,0.5,0.9417,0.4424,78.3314675604501,original
T=0.5_18_original,0.5,0.973,0.479,81.03327573794097,original
T=0.5_19_original,0.5,1.0374,0.4516,85.97794865700023,original
T=0.5_20_original,0.5,0.9836,0.457,79.71458517313502,original
T=0.5_21_original,0.5,0.9878,0.4845,81.0651732264907,original
T=0.5_22_original,0.5,0.999,0.468,79.07667690127539,original
T=0.5_23_original,0.5,1.0081,0.4881,80.66409952606635,original
T=0.5_24_original,0.5,0.9865,0.4826,79.93419408679065,original
T=0.5_25_original,0.5,0.9569,0.4826,81.31233757062148,original
T=0.5_26_original,0.5,0.9819,0.4241,77.95289517869993,original
T=0.5_27_original,0.5,0.9807,0.457,80.07208705882353,original
T=0.5_28_original,0.5,0.9976,0.5082,80.66897743300422,original
T=0.5_29_original,0.5,1.0111,0.5064,80.07225599620043,original
T=0.5_30_original,0.5,1.0443,0.4735,82.02503574833175,original
T=0.5_31_original,0.5,0.9895,0.4899,78.64339719626167,original
T=0.5_32_original,0.5,1.0054,0.4662,81.04705422685295,original
T=0.5_33_original,0.5,0.9944,0.479,80.26560488607,original
T=0.5_34_original,0.5,1.0288,0.4845,81.32181967984934,original
T=0.5_35_original,0.5,1.0356,0.4717,78.86330614203455,original
