sample,T,score,seq_recovery,pLDDT,type
T=0.9_1_original,0.9,1.4385,0.4576,89.6606334125099,original
T=0.9_2_original,0.9,1.4545,0.4515,84.12178714859438,original
T=0.9_3_original,0.9,1.2382,0.4818,85.01591589162959,original
T=0.9_4_original,0.9,1.395,0.4576,84.96269631410257,original
T=0.9_5_original,0.9,1.3048,0.503,83.92964285714285,original
T=0.9_6_original,0.9,1.4801,0.4606,81.43419653644784,original
T=0.9_7_original,0.9,1.4963,0.4364,83.793872,original
T=0.9_8_original,0.9,1.3698,0.4576,86.00209116353457,original
T=0.9_9_original,0.9,1.3833,0.4788,85.2140638549468,original
T=0.9_10_original,0.9,1.3937,0.4636,87.77600156801255,original
T=0.9_11_original,0.9,1.4533,0.4545,81.87830353595551,original
T=0.9_12_original,0.9,1.3483,0.4788,83.44203651115619,original
T=0.9_13_original,0.9,1.342,0.4606,83.21290233293792,original
T=0.9_14_original,0.9,1.3216,0.4788,87.03330128205128,original
T=0.9_15_original,0.9,1.406,0.4758,84.23044042469525,original
T=0.9_16_original,0.9,1.3116,0.4818,81.2075995075913,original
T=0.9_17_original,0.9,1.3481,0.4788,84.02462413652987,original
T=0.9_18_original,0.9,1.4575,0.4424,85.44988741455569,original
T=0.9_19_original,0.9,1.488,0.4515,83.25686219365207,original
T=0.9_20_original,0.9,1.279,0.503,85.84496167809601,original
T=0.9_21_original,0.9,1.3523,0.4636,82.93205360662199,original
T=0.9_22_original,0.9,1.5094,0.4455,83.22907841552141,original
T=0.9_23_original,0.9,1.4338,0.4545,91.14762575452716,original
T=0.9_24_original,0.9,1.3664,0.4697,86.21535455278001,original
T=0.9_25_original,0.9,1.4423,0.4485,80.35150884086444,original
T=0.9_26_original,0.9,1.3168,0.4879,85.19522547468355,original
T=0.9_27_original,0.9,1.1886,0.4848,92.36287160793844,original
T=0.9_28_original,0.9,1.4738,0.4242,83.9870507655117,original
T=0.9_29_original,0.9,1.5047,0.4515,89.48647129186602,original
T=0.9_30_original,0.9,1.3438,0.4667,92.33227616394748,original
T=0.9_31_original,0.9,1.3138,0.4818,81.12761772853185,original
T=0.9_32_original,0.9,1.3402,0.4697,85.25110410094636,original
T=0.9_33_original,0.9,1.4061,0.4758,90.68461844197138,original
T=0.9_34_original,0.9,1.3749,0.4606,89.93453928998804,original
T=0.9_35_original,0.9,1.3736,0.4667,92.57428226779253,original
T=0.9_36_original,0.9,1.4369,0.4515,83.34633808392717,original
T=0.9_37_original,0.9,1.3794,0.5,82.1793554764729,original
T=0.9_38_original,0.9,1.4677,0.4273,88.58781399046104,original
T=0.9_39_original,0.9,1.4012,0.4455,83.37934687375547,original
T=0.9_40_original,0.9,1.4569,0.4667,78.992446300716,original
T=0.9_41_original,0.9,1.3524,0.4909,85.41981132075472,original
T=0.9_42_original,0.9,1.4024,0.4455,83.25655172413794,original
T=0.9_43_original,0.9,1.4707,0.4545,82.99507432703896,original
T=0.9_44_original,0.9,1.3538,0.4424,87.15882208588957,original
T=0.9_45_original,0.9,1.488,0.4788,84.1171554135038,original
T=0.9_46_original,0.9,1.4671,0.4485,84.4717325949367,original
T=0.9_47_original,0.9,1.4304,0.4424,83.45012794882048,original
T=0.9_48_original,0.9,1.3254,0.4545,84.291932638332,original
T=0.9_49_original,0.9,1.3752,0.4636,86.29154935275082,original
T=0.9_50_original,0.9,1.3289,0.4485,83.59776612903227,original
T=0.9_1_wm,0.9,1.3487,0.4697,90.67850986709624,wm
T=0.9_2_wm,0.9,1.5141,0.4606,81.9677870480731,wm
T=0.9_3_wm,0.9,1.5139,0.4333,83.60614478114479,wm
T=0.9_4_wm,0.9,1.5026,0.4606,83.5838598574822,wm
T=0.9_5_wm,0.9,1.399,0.4606,82.59504407051281,wm
T=0.9_6_wm,0.9,1.3381,0.4576,83.03523637820513,wm
T=0.9_7_wm,0.9,1.4981,0.4515,85.64240047299961,wm
T=0.9_8_wm,0.9,1.4039,0.4515,83.9267583497053,wm
T=0.9_9_wm,0.9,1.4633,0.4182,83.95981746031745,wm
T=0.9_10_wm,0.9,1.2995,0.4667,89.11712233009709,wm
T=0.9_11_wm,0.9,1.302,0.4848,85.13841000807102,wm
T=0.9_12_wm,0.9,1.3997,0.4576,87.0810702746365,wm
T=0.9_13_wm,0.9,1.452,0.4636,85.63200239329876,wm
T=0.9_14_wm,0.9,1.2212,0.503,85.49565024232632,wm
T=0.9_15_wm,0.9,1.3275,0.4818,83.94175098814229,wm
T=0.9_16_wm,0.9,1.4517,0.4788,79.07804868154159,wm
T=0.9_17_wm,0.9,1.402,0.4667,85.0069616639478,wm
T=0.9_18_wm,0.9,1.4753,0.4848,82.19241212121212,wm
T=0.9_19_wm,0.9,1.4751,0.4515,85.71432378679395,wm
T=0.9_20_wm,0.9,1.3455,0.4697,82.8746107055961,wm
T=0.9_21_wm,0.9,1.4386,0.4182,82.08189114024633,wm
T=0.9_22_wm,0.9,1.475,0.4727,82.65599677809102,wm
T=0.9_23_wm,0.9,1.2532,0.5242,93.312938038572,wm
T=0.9_24_wm,0.9,1.3895,0.4758,83.65519517102616,wm
T=0.9_25_wm,0.9,1.332,0.4909,83.49931034482758,wm
T=0.9_26_wm,0.9,1.3964,0.4606,84.11265776699028,wm
T=0.9_27_wm,0.9,1.4367,0.4515,89.63143710191082,wm
T=0.9_28_wm,0.9,1.4181,0.4394,84.22443642198155,wm
T=0.9_29_wm,0.9,1.4959,0.4424,90.86020759890324,wm
T=0.9_30_wm,0.9,1.4485,0.4121,89.19405686824189,wm
T=0.9_31_wm,0.9,1.3436,0.4667,82.51987475538161,wm
T=0.9_32_wm,0.9,1.3906,0.4485,83.89689873417721,wm
T=0.9_33_wm,0.9,1.4768,0.4485,88.06691307879773,wm
T=0.9_34_wm,0.9,1.4418,0.4515,89.40349257326373,wm
T=0.9_35_wm,0.9,1.5,0.4515,90.06335296427169,wm
T=0.9_36_wm,0.9,1.417,0.4394,84.6394680851064,wm
T=0.9_37_wm,0.9,1.3814,0.4424,87.95258804907004,wm
T=0.9_38_wm,0.9,1.4832,0.4758,89.50129032258064,wm
T=0.9_39_wm,0.9,1.453,0.4636,84.07112130885875,wm
T=0.9_40_wm,0.9,1.5369,0.4273,84.54933732534931,wm
T=0.9_41_wm,0.9,1.3734,0.4606,84.7201554404145,wm
T=0.9_42_wm,0.9,1.4108,0.4576,83.83074425969913,wm
T=0.9_43_wm,0.9,1.4523,0.4424,86.35575733226196,wm
T=0.9_44_wm,0.9,1.5329,0.4424,85.26928771508602,wm
T=0.9_45_wm,0.9,1.4927,0.4576,80.67467289719626,wm
T=0.9_46_wm,0.9,1.4429,0.4303,84.44711484593837,wm
T=0.9_47_wm,0.9,1.48,0.4455,82.15680773881499,wm
