sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.6719,0.2429,86.92394313967861,original
T=0.7_2_original,0.7,1.598,0.2665,89.24851239669422,original
T=0.7_3_original,0.7,1.6316,0.2382,89.78537511870846,original
T=0.7_4_original,0.7,1.6723,0.2618,90.97927482103952,original
T=0.7_5_original,0.7,1.6474,0.2524,91.0863594470046,original
T=0.7_6_original,0.7,1.5847,0.2524,90.53663891458524,original
T=0.7_7_original,0.7,1.5901,0.2759,91.06216807247736,original
T=0.7_8_original,0.7,1.7041,0.2547,91.124810710988,original
T=0.7_9_original,0.7,1.632,0.2571,84.49245079950799,original
T=0.7_10_original,0.7,1.6503,0.2712,89.02652524001239,original
T=0.7_11_original,0.7,1.608,0.2382,88.75163960024985,original
T=0.7_12_original,0.7,1.6369,0.25,90.78984408437783,original
T=0.7_13_original,0.7,1.6258,0.2547,92.4206718266254,original
T=0.7_14_original,0.7,1.6104,0.2665,88.10722670807453,original
T=0.7_15_original,0.7,1.5438,0.2759,91.51188714733544,original
T=0.7_16_original,0.7,1.5811,0.2712,88.72470551766892,original
T=0.7_17_original,0.7,1.6553,0.2382,89.53329113924049,original
T=0.7_18_original,0.7,1.7405,0.2571,88.8966779452476,original
T=0.7_19_original,0.7,1.6607,0.2783,91.50049453883496,original
T=0.7_20_original,0.7,1.6794,0.2642,79.13871368038741,original
T=0.7_21_original,0.7,1.708,0.2877,91.2139751552795,original
T=0.7_22_original,0.7,1.5784,0.2901,87.98151363209026,original
T=0.7_23_original,0.7,1.6553,0.2783,91.0403537663922,original
T=0.7_24_original,0.7,1.6305,0.2642,89.10857548957675,original
T=0.7_25_original,0.7,1.5735,0.2995,92.01110062893083,original
T=0.7_26_original,0.7,1.6835,0.2618,90.09212438423644,original
T=0.7_27_original,0.7,1.6631,0.283,90.48879434850863,original
T=0.7_28_original,0.7,1.6343,0.2571,90.32363580246913,original
T=0.7_29_original,0.7,1.6114,0.2594,91.1275392341494,original
T=0.7_30_original,0.7,1.6616,0.2524,89.10570718060306,original
T=0.7_31_original,0.7,1.7041,0.2264,90.38693704600486,original
T=0.7_32_original,0.7,1.595,0.283,91.79377317676143,original
T=0.7_33_original,0.7,1.5696,0.2476,90.72791304347828,original
T=0.7_34_original,0.7,1.6615,0.2217,91.05948479205465,original
T=0.7_35_original,0.7,1.6493,0.2476,89.07560379088964,original
T=0.7_36_original,0.7,1.6867,0.2382,90.41497344579815,original
T=0.7_37_original,0.7,1.663,0.2547,89.30308066971081,original
T=0.7_38_original,0.7,1.6331,0.2524,90.56120110871574,original
T=0.7_39_original,0.7,1.6712,0.2453,91.64987330037084,original
T=0.7_40_original,0.7,1.5782,0.2689,91.2521835540499,original
T=0.7_41_original,0.7,1.6379,0.2712,89.07717654557042,original
T=0.7_42_original,0.7,1.6194,0.25,90.6884826946848,original
