sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.2242,0.4373,84.29589904200442,original
T=0.7_2_original,0.7,1.3414,0.414,81.15607950401167,original
T=0.7_3_original,0.7,1.2137,0.4461,84.42384386617101,original
T=0.7_4_original,0.7,1.3044,0.4286,82.70683707245311,original
T=0.7_5_original,0.7,1.21,0.4111,84.04299778761062,original
T=0.7_6_original,0.7,1.0948,0.4752,85.92906559179185,original
T=0.7_7_original,0.7,1.1543,0.4577,84.44799561883899,original
T=0.7_8_original,0.7,1.1359,0.4548,85.73443503864557,original
T=0.7_9_original,0.7,1.2886,0.4052,84.82932442464735,original
T=0.7_10_original,0.7,1.3046,0.4461,83.13790191740412,original
T=0.7_11_original,0.7,1.1649,0.4577,85.5169915720044,original
T=0.7_12_original,0.7,1.2377,0.4431,83.20440733944955,original
T=0.7_13_original,0.7,1.1773,0.4548,81.3586612123466,original
T=0.7_14_original,0.7,1.131,0.4636,84.4431026867869,original
T=0.7_15_original,0.7,1.1772,0.4227,82.08034520749173,original
T=0.7_16_original,0.7,1.2668,0.414,81.09618733991951,original
T=0.7_17_original,0.7,1.1901,0.4577,84.01190104166666,original
T=0.7_18_original,0.7,1.1967,0.4431,84.5401488649051,original
T=0.7_19_original,0.7,1.1244,0.4519,84.79715336520779,original
T=0.7_20_original,0.7,1.158,0.4665,83.6241660461653,original
T=0.7_21_original,0.7,1.2399,0.4781,84.37217278457545,original
T=0.7_22_original,0.7,1.2205,0.4431,82.60350714285714,original
T=0.7_23_original,0.7,1.1824,0.4548,86.22789415247965,original
T=0.7_24_original,0.7,1.1419,0.414,84.90459479281262,original
T=0.7_25_original,0.7,1.2183,0.4606,84.15017273061375,original
T=0.7_26_original,0.7,1.202,0.4257,83.67787671232877,original
T=0.7_27_original,0.7,1.1836,0.4606,85.51179543782193,original
T=0.7_28_original,0.7,1.2357,0.4548,82.93303687635574,original
T=0.7_29_original,0.7,1.1269,0.4548,84.7540590405904,original
T=0.7_30_original,0.7,1.2461,0.449,83.90283565663975,original
T=0.7_31_original,0.7,1.1732,0.4519,82.90309682187731,original
T=0.7_32_original,0.7,1.2067,0.4869,83.52459529065489,original
T=0.7_33_original,0.7,1.2406,0.4694,85.21870466321243,original
T=0.7_34_original,0.7,1.0675,0.5044,86.37850685439051,original
T=0.7_35_original,0.7,1.1831,0.4461,84.5666430700447,original
T=0.7_36_original,0.7,1.135,0.4781,84.15466493891151,original
T=0.7_37_original,0.7,1.1443,0.4665,86.40083179297596,original
T=0.7_38_original,0.7,1.2632,0.4227,84.33552064303983,original
T=0.7_39_original,0.7,1.0905,0.4344,83.56597456041902,original
T=0.7_40_original,0.7,1.1642,0.4869,84.33793333333334,original
T=0.7_41_original,0.7,1.2768,0.4606,82.66749443207127,original
T=0.7_42_original,0.7,1.1916,0.4694,85.4113913362702,original
T=0.7_43_original,0.7,1.2568,0.4402,84.32071244001476,original
T=0.7_44_original,0.7,1.1273,0.4636,84.20836968576711,original
T=0.7_45_original,0.7,1.2203,0.4548,85.00431902294596,original
T=0.7_46_original,0.7,1.3135,0.4373,81.93541039156626,original
T=0.7_47_original,0.7,1.2226,0.4286,84.28536594202897,original
T=0.7_48_original,0.7,1.2156,0.4373,84.28076302274395,original
T=0.7_49_original,0.7,1.0603,0.4869,85.27883882783883,original
T=0.7_50_original,0.7,1.1981,0.4577,84.44484415108178,original
T=0.7_1_wm,0.7,1.2,0.4373,86.56879056047198,wm
T=0.7_2_wm,0.7,1.1423,0.4665,84.33456956047948,wm
T=0.7_3_wm,0.7,1.2316,0.4519,82.8833457387421,wm
T=0.7_4_wm,0.7,1.1968,0.449,83.36475009120758,wm
T=0.7_5_wm,0.7,1.1598,0.4023,83.84360541727672,wm
