sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.2721,0.3798,80.75156560376372,original
T=0.7_2_original,0.7,1.2941,0.3931,82.21745832264683,original
T=0.7_3_original,0.7,1.3859,0.3588,81.68455063455063,original
T=0.7_4_original,0.7,1.3502,0.3664,82.92363659994801,original
T=0.7_5_original,0.7,1.3457,0.3931,81.24447082596615,original
T=0.7_6_original,0.7,1.3097,0.3931,82.82582225697159,original
T=0.7_7_original,0.7,1.2733,0.376,82.52422509702458,original
T=0.7_8_original,0.7,1.3027,0.3645,81.0877607680332,original
T=0.7_9_original,0.7,1.289,0.4065,81.94725117248565,original
T=0.7_10_original,0.7,1.3799,0.3683,83.40631378522467,original
T=0.7_11_original,0.7,1.3345,0.3855,80.9387777217742,original
T=0.7_12_original,0.7,1.3307,0.3969,81.36087391081497,original
T=0.7_13_original,0.7,1.3265,0.4027,80.45271028037384,original
T=0.7_14_original,0.7,1.4076,0.3836,82.02903728294177,original
T=0.7_15_original,0.7,1.3289,0.3492,93.44326331967213,original
T=0.7_16_original,0.7,1.3885,0.376,80.55448205128205,original
T=0.7_17_original,0.7,1.2879,0.3893,82.93992457737322,original
T=0.7_18_original,0.7,1.3039,0.3779,82.05427573719608,original
T=0.7_19_original,0.7,1.3249,0.4103,83.07297393065048,original
T=0.7_20_original,0.7,1.3758,0.3912,81.76345180260803,original
T=0.7_21_original,0.7,1.3373,0.3969,81.40195595854924,original
T=0.7_22_original,0.7,1.3418,0.3779,82.46116620288389,original
T=0.7_23_original,0.7,1.279,0.4027,81.99289494367304,original
T=0.7_24_original,0.7,1.3079,0.355,81.19530071355759,original
T=0.7_25_original,0.7,1.3997,0.3702,83.57717981232562,original
T=0.7_26_original,0.7,1.3134,0.3836,81.07796822956702,original
T=0.7_27_original,0.7,1.373,0.3645,79.68338512480896,original
T=0.7_28_original,0.7,1.311,0.3702,81.98487254381307,original
T=0.7_29_original,0.7,1.3451,0.3569,81.29935735887096,original
T=0.7_30_original,0.7,1.2682,0.4084,83.14424974823766,original
T=0.7_31_original,0.7,1.259,0.376,83.53834430113187,original
T=0.7_32_original,0.7,1.2749,0.4103,82.37547341772152,original
T=0.7_33_original,0.7,1.3571,0.3893,80.47626687038453,original
T=0.7_34_original,0.7,1.3575,0.3702,81.08330097087378,original
T=0.7_35_original,0.7,1.3772,0.376,81.84546246477069,original
T=0.7_36_original,0.7,1.3477,0.3664,81.16893698770492,original
T=0.7_37_original,0.7,1.3537,0.3683,81.38073410696266,original
T=0.7_38_original,0.7,1.291,0.395,83.14010927573061,original
T=0.7_39_original,0.7,1.2747,0.3683,83.51224669603525,original
T=0.7_40_original,0.7,1.2995,0.3893,81.90803548470043,original
T=0.7_41_original,0.7,1.3252,0.3645,81.15618665977249,original
T=0.7_42_original,0.7,1.222,0.3779,81.80952187182095,original
T=0.7_43_original,0.7,1.3664,0.3473,81.94016731016733,original
T=0.7_44_original,0.7,1.3097,0.395,81.16162940118221,original
T=0.7_45_original,0.7,1.2448,0.4046,83.59908171206224,original
