sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,0.9318,0.5,87.94945610687023,original
T=0.5_2_original,0.5,0.9266,0.4731,83.30091125954199,original
T=0.5_3_original,0.5,0.9114,0.4846,82.63978281397544,original
T=0.5_4_original,0.5,0.9345,0.4962,88.48107552581263,original
T=0.5_5_original,0.5,0.9649,0.5077,82.25212735166426,original
T=0.5_6_original,0.5,0.9576,0.4692,88.25665062560154,original
T=0.5_7_original,0.5,0.9159,0.5038,87.44827154549832,original
T=0.5_8_original,0.5,0.8824,0.5038,87.98134809821858,original
T=0.5_9_original,0.5,0.9393,0.5077,87.87910886319845,original
T=0.5_10_original,0.5,0.9423,0.4769,83.59401846452866,original
T=0.5_11_original,0.5,0.9169,0.4923,81.80095374344302,original
T=0.5_12_original,0.5,0.9564,0.4769,88.43320327552988,original
T=0.5_13_original,0.5,0.9077,0.4962,86.04910541586072,original
T=0.5_14_original,0.5,0.9733,0.5,86.93298614429048,original
T=0.5_15_original,0.5,0.9025,0.4769,82.31493602362205,original
T=0.5_16_original,0.5,0.9074,0.4808,88.23609261939218,original
T=0.5_17_original,0.5,0.9712,0.4577,85.49765977895242,original
T=0.5_18_original,0.5,0.9708,0.4923,88.180822906641,original
T=0.5_19_original,0.5,0.8805,0.5192,87.95076552720269,original
T=0.5_20_original,0.5,0.979,0.5154,85.03249269717624,original
T=0.5_21_original,0.5,0.9429,0.4692,82.39108758421558,original
T=0.5_22_original,0.5,0.9186,0.5,87.8946845124283,original
T=0.5_23_original,0.5,0.9324,0.4769,84.45471992206527,original
T=0.5_24_original,0.5,0.9008,0.4808,82.83574673755437,original
T=0.5_25_original,0.5,0.959,0.5077,87.68301442307691,original
T=0.5_26_original,0.5,0.9006,0.4923,87.6677681992337,original
T=0.5_27_original,0.5,0.8633,0.5154,87.8933284883721,original
T=0.5_28_original,0.5,0.907,0.4846,81.89016650808753,original
T=0.5_29_original,0.5,0.8439,0.5,88.19486383182036,original
T=0.5_30_original,0.5,0.9085,0.4577,82.27958917351377,original
T=0.5_31_original,0.5,0.9456,0.5,88.43364209505334,original
T=0.5_32_original,0.5,0.9107,0.4962,87.78785612872693,original
T=0.5_33_original,0.5,0.9478,0.4962,85.04977206595538,original
T=0.5_34_original,0.5,0.9099,0.5038,87.58250719079578,original
T=0.5_35_original,0.5,0.902,0.4846,86.17716531681754,original
T=0.5_36_original,0.5,0.9289,0.4692,87.76522661523627,original
T=0.5_37_original,0.5,0.9762,0.4731,88.44114608952286,original
T=0.5_38_original,0.5,0.9277,0.4923,86.5811132623427,original
T=0.5_39_original,0.5,0.9028,0.4962,87.49033219345384,original
T=0.5_40_original,0.5,0.9183,0.4769,88.02803988326848,original
T=0.5_41_original,0.5,0.9439,0.4769,83.30587668593449,original
T=0.5_42_original,0.5,0.9457,0.4769,87.56676372315036,original
T=0.5_43_original,0.5,0.9771,0.4615,82.56785288270378,original
T=0.5_44_original,0.5,0.9368,0.4923,82.60878437047758,original
T=0.5_45_original,0.5,0.8743,0.4654,86.47375239923224,original
T=0.5_46_original,0.5,0.9296,0.4654,88.4507060518732,original
T=0.5_47_original,0.5,0.9867,0.45,83.24429389312976,original
T=0.5_48_original,0.5,0.9001,0.4731,87.49630038387717,original
T=0.5_49_original,0.5,0.9406,0.4577,86.8531373493976,original
T=0.5_50_original,0.5,0.9562,0.4731,87.9039512195122,original
T=0.5_1_wm,0.5,0.9198,0.5154,84.55863157894736,wm
T=0.5_2_wm,0.5,0.8992,0.4885,88.67305714285713,wm
T=0.5_3_wm,0.5,0.9564,0.4808,82.32483373493974,wm
T=0.5_4_wm,0.5,0.9167,0.4769,88.3177170263789,wm
T=0.5_5_wm,0.5,0.9274,0.5077,81.97289705882352,wm
T=0.5_6_wm,0.5,0.9253,0.4769,86.83025024061597,wm
T=0.5_7_wm,0.5,0.8522,0.5038,88.61095306513411,wm
T=0.5_8_wm,0.5,0.9278,0.4769,82.6663879436072,wm
T=0.5_9_wm,0.5,0.9764,0.4808,87.97463996185027,wm
T=0.5_10_wm,0.5,0.8974,0.4846,87.64245246221354,wm
T=0.5_11_wm,0.5,0.9426,0.4769,82.78838095238095,wm
T=0.5_12_wm,0.5,0.9623,0.4885,89.32771276595746,wm
T=0.5_13_wm,0.5,0.9231,0.4923,82.68071882640587,wm
T=0.5_14_wm,0.5,0.9733,0.4769,88.81537019230771,wm
T=0.5_15_wm,0.5,0.8998,0.5,87.70835899903754,wm
T=0.5_16_wm,0.5,0.8938,0.4731,87.46343854615016,wm
T=0.5_17_wm,0.5,0.9669,0.4769,85.8192189746047,wm
T=0.5_18_wm,0.5,0.9743,0.4577,87.692201616738,wm
T=0.5_19_wm,0.5,0.9057,0.4962,84.11277142857143,wm
T=0.5_20_wm,0.5,0.9793,0.4962,83.52544303797468,wm
T=0.5_21_wm,0.5,0.9555,0.4769,85.78339595375724,wm
T=0.5_22_wm,0.5,0.8865,0.5077,88.60520613614574,wm
T=0.5_23_wm,0.5,0.9015,0.4577,87.10530701754388,wm
T=0.5_24_wm,0.5,0.8697,0.4808,81.85513902205177,wm
T=0.5_25_wm,0.5,0.9478,0.4962,87.42056338028169,wm
T=0.5_26_wm,0.5,0.9123,0.5115,82.90253824091778,wm
T=0.5_27_wm,0.5,0.899,0.4885,88.29481695568403,wm
