sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.042,0.4926,87.22820044828691,original
T=0.7_2_original,0.7,1.1057,0.4778,83.88524422442244,original
T=0.7_3_original,0.7,1.2236,0.4606,93.57237528162214,original
T=0.7_4_original,0.7,1.1389,0.5049,85.25431606050854,original
T=0.7_5_original,0.7,1.2146,0.4729,90.44124057788946,original
T=0.7_6_original,0.7,1.2718,0.4803,86.14698852772466,original
T=0.7_7_original,0.7,1.1592,0.5,91.18854616895872,original
T=0.7_8_original,0.7,1.1391,0.5148,87.12829472329472,original
T=0.7_9_original,0.7,1.1863,0.4557,83.92424405705229,original
T=0.7_10_original,0.7,1.0861,0.4803,86.0086498563677,original
T=0.7_11_original,0.7,1.1001,0.4951,85.98881191324051,original
T=0.7_12_original,0.7,1.1117,0.5025,86.69535292238902,original
T=0.7_13_original,0.7,1.2098,0.4704,84.99690879478827,original
T=0.7_14_original,0.7,1.1994,0.4631,91.62391595033428,original
T=0.7_15_original,0.7,1.1497,0.5099,85.75495308961501,original
T=0.7_16_original,0.7,1.1694,0.4975,84.96125921179109,original
T=0.7_17_original,0.7,1.1353,0.4951,88.11688460281137,original
T=0.7_18_original,0.7,1.1534,0.4729,87.06455609756098,original
T=0.7_19_original,0.7,1.1444,0.4951,85.17420384239661,original
T=0.7_20_original,0.7,1.2601,0.468,94.10282242384964,original
T=0.7_21_original,0.7,1.234,0.4655,85.19145285439383,original
T=0.7_22_original,0.7,1.1089,0.4655,86.7692106114526,original
T=0.7_23_original,0.7,1.1273,0.5049,84.86901070385987,original
T=0.7_24_original,0.7,1.1473,0.5049,83.23713915857604,original
T=0.7_25_original,0.7,1.0869,0.4951,85.67350807781075,original
T=0.7_26_original,0.7,1.1755,0.5,84.81980115458627,original
T=0.7_27_original,0.7,1.1717,0.4852,82.98201044386423,original
T=0.7_28_original,0.7,1.2255,0.4852,84.77169491525423,original
T=0.7_29_original,0.7,1.164,0.4803,83.65737678855326,original
T=0.7_30_original,0.7,1.1941,0.4852,84.9602036199095,original
T=0.7_31_original,0.7,1.1291,0.468,86.23296953465015,original
T=0.7_32_original,0.7,1.1264,0.5025,87.47383424701708,original
T=0.7_33_original,0.7,1.0635,0.4901,85.63946405648265,original
T=0.7_34_original,0.7,1.1745,0.4704,83.78094121426277,original
T=0.7_35_original,0.7,1.1472,0.468,85.85483295491403,original
T=0.7_36_original,0.7,1.1045,0.5025,90.93984814216476,original
T=0.7_37_original,0.7,1.148,0.4754,83.48578813828101,original
T=0.7_38_original,0.7,1.2632,0.4532,84.10208667736758,original
T=0.7_39_original,0.7,1.132,0.4507,86.37900548918309,original
T=0.7_40_original,0.7,1.1928,0.4754,86.22028191320874,original
T=0.7_41_original,0.7,1.1435,0.4951,84.63701923076923,original
T=0.7_42_original,0.7,1.1054,0.4852,86.31894356955381,original
T=0.7_43_original,0.7,1.0927,0.4926,87.62084637496008,original
T=0.7_44_original,0.7,1.173,0.5049,83.54756612090681,original
T=0.7_45_original,0.7,1.1905,0.5025,86.75317444876785,original
T=0.7_46_original,0.7,1.1534,0.4655,85.73796566245545,original
T=0.7_47_original,0.7,1.137,0.4729,84.32865584415585,original
T=0.7_48_original,0.7,1.2247,0.4926,84.37067065491183,original
T=0.7_49_original,0.7,1.0608,0.5,86.81972450918305,original
T=0.7_50_original,0.7,1.1766,0.468,83.89964713499515,original
T=0.7_1_wm,0.7,1.1954,0.4655,84.47093522906792,wm
T=0.7_2_wm,0.7,0.9937,0.5099,85.94695680628273,wm
T=0.7_3_wm,0.7,1.2179,0.4951,93.49235048231512,wm
T=0.7_4_wm,0.7,1.1991,0.4951,82.03948374760994,wm
T=0.7_5_wm,0.7,1.2106,0.4557,90.89894311570784,wm
T=0.7_6_wm,0.7,1.1887,0.4631,85.786298828125,wm
T=0.7_7_wm,0.7,1.182,0.4606,90.19508506616258,wm
T=0.7_8_wm,0.7,1.2134,0.4877,87.45105195224266,wm
T=0.7_9_wm,0.7,1.1,0.4729,82.1196704361874,wm
T=0.7_10_wm,0.7,1.338,0.4581,84.4278328474247,wm
T=0.7_11_wm,0.7,1.1867,0.4877,86.88115447687767,wm
T=0.7_12_wm,0.7,1.1312,0.5025,83.33370261437909,wm
T=0.7_13_wm,0.7,1.1486,0.5,85.52740175381618,wm
T=0.7_14_wm,0.7,1.1187,0.4877,89.18528515878158,wm
T=0.7_15_wm,0.7,1.1731,0.4754,85.93419449901769,wm
T=0.7_16_wm,0.7,1.1808,0.4951,85.06702745849299,wm
T=0.7_17_wm,0.7,1.1396,0.5025,86.48136509980682,wm
T=0.7_18_wm,0.7,1.1582,0.5148,86.61140249759848,wm
T=0.7_19_wm,0.7,1.1289,0.5123,85.20362811791382,wm
T=0.7_20_wm,0.7,1.1965,0.4754,90.73583198707594,wm
T=0.7_21_wm,0.7,1.1212,0.4852,83.01299112801014,wm
T=0.7_22_wm,0.7,1.0836,0.4803,86.9294211382114,wm
T=0.7_23_wm,0.7,1.0971,0.4901,83.47620767494357,wm
T=0.7_24_wm,0.7,1.2057,0.4754,83.97016507936509,wm
T=0.7_25_wm,0.7,1.0922,0.5074,85.77797125122508,wm
T=0.7_26_wm,0.7,1.1524,0.5148,88.59389753566796,wm
T=0.7_27_wm,0.7,1.1932,0.4926,85.71810251512257,wm
T=0.7_28_wm,0.7,1.215,0.4877,83.15540747842762,wm
T=0.7_29_wm,0.7,1.2184,0.4754,85.56078328981722,wm
T=0.7_30_wm,0.7,1.1764,0.4384,84.06191448007775,wm
T=0.7_31_wm,0.7,1.1442,0.4655,86.0067049180328,wm
T=0.7_32_wm,0.7,1.1979,0.4458,85.50847430058555,wm
T=0.7_33_wm,0.7,1.1955,0.4606,84.08867713004483,wm
T=0.7_34_wm,0.7,1.1236,0.4778,86.04945289737779,wm
T=0.7_35_wm,0.7,1.1021,0.4877,85.35796975546975,wm
T=0.7_36_wm,0.7,1.1049,0.5,92.33119582926037,wm
T=0.7_37_wm,0.7,1.1244,0.5099,87.28884493670886,wm
T=0.7_38_wm,0.7,1.2157,0.468,84.48038562091503,wm
T=0.7_39_wm,0.7,1.1056,0.4926,85.22431722348362,wm
T=0.7_40_wm,0.7,1.1361,0.5345,86.92872044055719,wm
T=0.7_41_wm,0.7,1.2298,0.4433,84.71283930857875,wm
T=0.7_42_wm,0.7,1.1207,0.5123,85.88454896907217,wm
T=0.7_43_wm,0.7,1.1365,0.4704,84.81280025485823,wm
T=0.7_44_wm,0.7,1.1156,0.5,86.68724927442761,wm
T=0.7_45_wm,0.7,1.2425,0.4754,81.41993880837359,wm
