sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.8179,0.5026,91.93279069767443,original
T=0.3_2_original,0.3,0.7925,0.5181,91.92222222222222,original
T=0.3_3_original,0.3,0.8406,0.5026,91.25024782317482,original
T=0.3_4_original,0.3,0.8456,0.5026,89.47370468029004,original
T=0.3_5_original,0.3,0.8494,0.4663,89.39446549391069,original
T=0.3_6_original,0.3,0.8216,0.4974,88.93386000000001,original
T=0.3_7_original,0.3,0.8385,0.5285,90.80056385869568,original
T=0.3_8_original,0.3,0.8512,0.4974,90.35273395721926,original
T=0.3_9_original,0.3,0.8829,0.4767,88.89368673050615,original
T=0.3_10_original,0.3,0.7986,0.5026,90.34674355495252,original
T=0.3_11_original,0.3,0.8223,0.4922,90.26034129692832,original
T=0.3_12_original,0.3,0.8392,0.5233,91.25415488215486,original
T=0.3_13_original,0.3,0.8105,0.5078,90.52317599460552,original
T=0.3_14_original,0.3,0.8251,0.4974,91.25283711615488,original
T=0.3_15_original,0.3,0.8472,0.4767,90.89373342175068,original
T=0.3_16_original,0.3,0.8226,0.513,90.3983254237288,original
T=0.3_17_original,0.3,0.8121,0.5181,91.49441256830602,original
T=0.3_18_original,0.3,0.8079,0.4922,90.8936723549488,original
T=0.3_19_original,0.3,0.8467,0.4922,89.78702720637027,original
T=0.3_20_original,0.3,0.8327,0.5181,89.60766242464837,original
T=0.3_21_original,0.3,0.8376,0.4819,87.27626746506986,original
T=0.3_22_original,0.3,0.8437,0.513,89.53299401197606,original
T=0.3_23_original,0.3,0.7929,0.4974,91.53866131191432,original
T=0.3_24_original,0.3,0.8242,0.4922,89.62015603799185,original
T=0.3_25_original,0.3,0.8577,0.5078,89.45226143790849,original
T=0.3_26_original,0.3,0.8163,0.5285,90.76278523489934,original
T=0.3_27_original,0.3,0.8244,0.5285,88.38111111111111,original
T=0.3_28_original,0.3,0.8069,0.513,90.92687169312168,original
T=0.3_29_original,0.3,0.7911,0.5078,90.50012337217272,original
T=0.3_30_original,0.3,0.8322,0.5285,88.89268861454046,original
T=0.3_31_original,0.3,0.8422,0.4767,90.628,original
T=0.3_32_original,0.3,0.8341,0.4767,89.85147276395426,original
T=0.3_33_original,0.3,0.8527,0.487,89.43626249167221,original
T=0.3_34_original,0.3,0.8231,0.513,90.58739422431162,original
T=0.3_35_original,0.3,0.8261,0.4767,90.27332436069987,original
T=0.3_36_original,0.3,0.8376,0.5026,90.45032300593274,original
T=0.3_37_original,0.3,0.8182,0.5233,90.04041976980366,original
T=0.3_38_original,0.3,0.8687,0.4819,88.7190212183436,original
T=0.3_39_original,0.3,0.8074,0.487,90.53434547908232,original
T=0.3_40_original,0.3,0.8247,0.5078,88.69781081081082,original
T=0.3_41_original,0.3,0.8226,0.5285,91.158004045853,original
T=0.3_42_original,0.3,0.8656,0.487,90.43766932270916,original
T=0.3_43_original,0.3,0.8265,0.5078,90.4107973421927,original
T=0.3_44_original,0.3,0.8091,0.5233,90.76454122340424,original
T=0.3_45_original,0.3,0.8093,0.5181,91.12125850340136,original
T=0.3_46_original,0.3,0.837,0.5026,90.8561892071952,original
T=0.3_47_original,0.3,0.7953,0.5026,91.35054666666667,original
T=0.3_48_original,0.3,0.8477,0.513,90.94773777173914,original
T=0.3_49_original,0.3,0.8341,0.513,89.08368673050616,original
T=0.3_50_original,0.3,0.8567,0.487,89.85536116633531,original
T=0.3_1_wm,0.3,0.7981,0.513,90.12586230402182,wm
T=0.3_2_wm,0.3,0.9034,0.4974,88.92719274680994,wm
T=0.3_3_wm,0.3,0.8436,0.5181,89.96700729927007,wm
T=0.3_4_wm,0.3,0.8278,0.5181,88.7758862001308,wm
T=0.3_5_wm,0.3,0.8135,0.4974,90.26350033400136,wm
T=0.3_6_wm,0.3,0.8341,0.487,90.3974187126742,wm
T=0.3_7_wm,0.3,0.8393,0.513,90.74510204081632,wm
T=0.3_8_wm,0.3,0.8576,0.513,88.38259506337559,wm
T=0.3_9_wm,0.3,0.8607,0.4508,89.36622267759564,wm
T=0.3_10_wm,0.3,0.7834,0.4974,90.8786788617886,wm
T=0.3_11_wm,0.3,0.8203,0.4767,90.4723569023569,wm
T=0.3_12_wm,0.3,0.8285,0.544,91.46804275217102,wm
T=0.3_13_wm,0.3,0.8316,0.4767,91.62116137744768,wm
T=0.3_14_wm,0.3,0.8301,0.5026,90.70086544962814,wm
T=0.3_15_wm,0.3,0.8412,0.4611,90.5679569892473,wm
T=0.3_16_wm,0.3,0.8033,0.513,90.73498639455782,wm
T=0.3_17_wm,0.3,0.8229,0.5233,90.36085906040267,wm
T=0.3_18_wm,0.3,0.8066,0.4974,88.91931271477664,wm
T=0.3_19_wm,0.3,0.8571,0.4819,91.15602122015916,wm
T=0.3_20_wm,0.3,0.8547,0.5026,90.26762859051438,wm
T=0.3_21_wm,0.3,0.8351,0.4819,90.18753866845998,wm
T=0.3_22_wm,0.3,0.8222,0.513,90.11023489932886,wm
T=0.3_23_wm,0.3,0.8143,0.5078,91.73692,wm
T=0.3_24_wm,0.3,0.8403,0.5078,89.4819624916276,wm
T=0.3_25_wm,0.3,0.8526,0.5285,89.93465471447544,wm
