sample,T,score,seq_recovery,pLDDT,type
T=0.9_1_original,0.9,1.6264,0.3701,56.69378457916421,original
T=0.9_2_original,0.9,1.675,0.331,48.06693614528413,original
T=0.9_3_original,0.9,1.5204,0.3724,63.232350339133006,original
T=0.9_4_original,0.9,1.5131,0.3747,61.00082443653618,original
T=0.9_5_original,0.9,1.6319,0.354,55.74093321407275,original
T=0.9_6_original,0.9,1.5942,0.3816,56.49530936947555,original
T=0.9_7_original,0.9,1.6478,0.3471,58.43831229820957,original
T=0.9_8_original,0.9,1.4831,0.3816,58.37774746008708,original
T=0.9_9_original,0.9,1.4821,0.3793,53.628281938326,original
T=0.9_10_original,0.9,1.57,0.3563,54.74094776995305,original
T=0.9_11_original,0.9,1.5176,0.3655,57.08463209733488,original
T=0.9_12_original,0.9,1.486,0.3862,54.83183555298204,original
T=0.9_13_original,0.9,1.4954,0.3678,53.73377030162413,original
T=0.9_14_original,0.9,1.5125,0.3724,57.45317073170733,original
T=0.9_15_original,0.9,1.5419,0.3862,61.285689245395126,original
T=0.9_16_original,0.9,1.5687,0.3885,59.86723264819779,original
T=0.9_17_original,0.9,1.5438,0.3701,58.34215997689864,original
T=0.9_18_original,0.9,1.5254,0.3954,55.18833333333333,original
T=0.9_19_original,0.9,1.5267,0.3609,57.71568862275449,original
T=0.9_20_original,0.9,1.5497,0.3609,54.65935214511949,original
T=0.9_21_original,0.9,1.5288,0.4,55.4826024590164,original
T=0.9_22_original,0.9,1.6862,0.3563,57.91741498559077,original
T=0.9_23_original,0.9,1.6193,0.3839,57.12723527705251,original
T=0.9_24_original,0.9,1.5097,0.4092,59.90336642335765,original
T=0.9_25_original,0.9,1.569,0.354,63.35809875813128,original
T=0.9_26_original,0.9,1.536,0.3793,58.83068015244797,original
T=0.9_27_original,0.9,1.6453,0.3425,50.34461893764434,original
T=0.9_28_original,0.9,1.4501,0.3793,52.97806158357771,original
T=0.9_29_original,0.9,1.483,0.3885,57.96370295891986,original
T=0.9_30_original,0.9,1.4963,0.3678,55.72375321336761,original
T=0.9_31_original,0.9,1.5534,0.3655,57.26077013177159,original
T=0.9_32_original,0.9,1.503,0.377,54.38991510538642,original
T=0.9_33_original,0.9,1.461,0.3954,57.19918473547268,original
T=0.9_34_original,0.9,1.472,0.3816,58.00186162415714,original
T=0.9_35_original,0.9,1.5038,0.3701,67.8914081632653,original
T=0.9_36_original,0.9,1.4876,0.3931,58.52189070718879,original
T=0.9_37_original,0.9,1.4376,0.4092,54.20250724637681,original
T=0.9_38_original,0.9,1.6756,0.3701,58.07664738212323,original
T=0.9_39_original,0.9,1.5009,0.3908,58.99391710449504,original
T=0.9_40_original,0.9,1.6043,0.3494,53.86654281567489,original
T=0.9_41_original,0.9,1.4914,0.3609,62.93910305910307,original
T=0.9_42_original,0.9,1.6231,0.3586,59.16864737152983,original
T=0.9_43_original,0.9,1.5917,0.354,55.31825236966825,original
T=0.9_44_original,0.9,1.5248,0.377,55.55623494860499,original
T=0.9_45_original,0.9,1.5545,0.3977,58.40610031893303,original
T=0.9_46_original,0.9,1.4721,0.3655,61.47714987005487,original
T=0.9_47_original,0.9,1.5898,0.3609,56.54328811560011,original
T=0.9_48_original,0.9,1.567,0.3448,59.75380011792453,original
T=0.9_49_original,0.9,1.4501,0.3747,53.04598024978217,original
T=0.9_50_original,0.9,1.4617,0.4276,57.89181208053691,original
T=0.9_1_wm,0.9,1.626,0.3655,51.38656871475215,wm
T=0.9_2_wm,0.9,1.6664,0.3402,43.202366412213735,wm
T=0.9_3_wm,0.9,1.4428,0.3862,61.4360264502555,wm
T=0.9_4_wm,0.9,1.5391,0.377,58.02403376018627,wm
T=0.9_5_wm,0.9,1.5559,0.3609,56.33873025160912,wm
T=0.9_6_wm,0.9,1.4806,0.4023,59.53204985337244,wm
T=0.9_7_wm,0.9,1.5411,0.3793,58.29965112870126,wm
T=0.9_8_wm,0.9,1.6087,0.3724,62.221417183348095,wm
T=0.9_9_wm,0.9,1.4551,0.3885,54.73104370327775,wm
T=0.9_10_wm,0.9,1.5782,0.3563,54.20249133949192,wm
T=0.9_11_wm,0.9,1.5658,0.3862,65.9050294117647,wm
T=0.9_12_wm,0.9,1.5792,0.3816,52.982598265895945,wm
T=0.9_13_wm,0.9,1.6389,0.3402,53.08316308763784,wm
T=0.9_14_wm,0.9,1.5518,0.3517,62.78717174677608,wm
T=0.9_15_wm,0.9,1.4949,0.3977,68.03013746709564,wm
T=0.9_16_wm,0.9,1.6334,0.3724,65.05369065392655,wm
T=0.9_17_wm,0.9,1.4995,0.3931,56.21143148688047,wm
T=0.9_18_wm,0.9,1.6933,0.3701,54.452719812426736,wm
T=0.9_19_wm,0.9,1.5438,0.3494,60.574374088123726,wm
T=0.9_20_wm,0.9,1.6092,0.3793,56.0258518735363,wm
T=0.9_21_wm,0.9,1.7672,0.3471,54.79804040404041,wm
T=0.9_22_wm,0.9,1.7178,0.3494,57.34617749419954,wm
T=0.9_23_wm,0.9,1.4928,0.4115,59.29005232558141,wm
T=0.9_24_wm,0.9,1.4421,0.3908,56.8513591954023,wm
T=0.9_25_wm,0.9,1.5734,0.3678,59.66957396449704,wm
T=0.9_26_wm,0.9,1.4356,0.4207,59.144910214895496,wm
T=0.9_27_wm,0.9,1.6283,0.3494,53.38355821235412,wm
T=0.9_28_wm,0.9,1.5398,0.3931,55.491713194240376,wm
T=0.9_29_wm,0.9,1.6391,0.3701,55.97938781487991,wm
T=0.9_30_wm,0.9,1.4752,0.4,58.137848211689445,wm
T=0.9_31_wm,0.9,1.6568,0.3517,56.14722933643772,wm
