sample,T,score,seq_recovery,pLDDT,type
T=0.9_1_original,0.9,1.5078,0.3735,32.40844567803331,original
T=0.9_2_original,0.9,1.7859,0.3373,72.67522187004755,original
T=0.9_3_original,0.9,1.4397,0.4036,86.42273531777955,original
T=0.9_4_original,0.9,1.417,0.3976,83.23166007905138,original
T=0.9_5_original,0.9,1.4421,0.4578,71.42668231611893,original
T=0.9_6_original,0.9,1.5188,0.3976,66.11544461778472,original
T=0.9_7_original,0.9,1.5805,0.3976,84.37987075928918,original
T=0.9_8_original,0.9,1.4553,0.4096,77.37583201267829,original
T=0.9_9_original,0.9,1.3415,0.494,81.49123505976095,original
T=0.9_10_original,0.9,1.4873,0.4639,81.41126315789474,original
T=0.9_11_original,0.9,1.4181,0.3916,78.0266797488226,original
T=0.9_12_original,0.9,1.5095,0.4759,72.71748218527316,original
T=0.9_13_original,0.9,1.3467,0.4398,84.9626090404441,original
T=0.9_14_original,0.9,1.3227,0.4518,81.1886100079428,original
T=0.9_15_original,0.9,1.4317,0.494,82.06382120253166,original
T=0.9_16_original,0.9,1.6112,0.4578,80.32392971246006,original
T=0.9_17_original,0.9,1.545,0.4036,81.4646297803092,original
T=0.9_18_original,0.9,1.5505,0.4157,70.91720893141945,original
T=0.9_19_original,0.9,1.3688,0.4578,84.34546529968453,original
T=0.9_20_original,0.9,1.4609,0.4337,80.63187596899225,original
T=0.9_21_original,0.9,1.2502,0.4337,85.87169871794872,original
T=0.9_22_original,0.9,1.772,0.3855,68.87453639846744,original
T=0.9_23_original,0.9,1.4168,0.4096,83.570065199674,original
T=0.9_24_original,0.9,1.4968,0.4398,74.0133603896104,original
T=0.9_25_original,0.9,1.6059,0.3855,68.76845669291339,original
T=0.9_26_original,0.9,1.4709,0.3976,85.22065098039216,original
T=0.9_27_original,0.9,1.4236,0.4578,79.56293798449613,original
T=0.9_28_original,0.9,1.4749,0.4096,82.62577311577311,original
T=0.9_29_original,0.9,1.5327,0.4578,55.70217845659164,original
T=0.9_30_original,0.9,1.2811,0.512,83.01782852564102,original
T=0.9_31_original,0.9,1.5938,0.4096,69.44898305084746,original
T=0.9_32_original,0.9,1.4197,0.4277,83.6368555900621,original
T=0.9_33_original,0.9,1.4933,0.3976,80.66498039215686,original
T=0.9_34_original,0.9,1.6321,0.3916,71.43958299919808,original
T=0.9_35_original,0.9,1.4497,0.4337,86.02384615384615,original
T=0.9_36_original,0.9,1.4335,0.4217,33.30889900662251,original
T=0.9_37_original,0.9,1.5312,0.4639,70.26850474683545,original
T=0.9_38_original,0.9,1.7264,0.3675,70.93697111631539,original
T=0.9_39_original,0.9,1.4504,0.4217,79.64425159235668,original
T=0.9_40_original,0.9,1.1959,0.4337,86.79852084972462,original
T=0.9_41_original,0.9,1.5918,0.4157,79.93598406374502,original
T=0.9_42_original,0.9,1.5361,0.4337,74.82419906687404,original
T=0.9_43_original,0.9,1.5415,0.4096,29.479515625,original
T=0.9_44_original,0.9,1.5744,0.3855,75.54170481452249,original
T=0.9_45_original,0.9,1.4985,0.3976,32.852605965463106,original
T=0.9_46_original,0.9,1.3703,0.4277,82.027312,original
T=0.9_47_original,0.9,1.557,0.4217,67.78578656126481,original
T=0.9_48_original,0.9,1.378,0.4518,84.2645859375,original
T=0.9_49_original,0.9,1.3204,0.4217,86.58238247011953,original
T=0.9_50_original,0.9,1.6054,0.4337,71.42501618122978,original
T=0.9_1_wm,0.9,1.4814,0.4337,79.48744167962676,wm
T=0.9_2_wm,0.9,1.4958,0.4217,75.587890625,wm
T=0.9_3_wm,0.9,1.579,0.3675,70.20111284046692,wm
T=0.9_4_wm,0.9,1.3924,0.4157,79.00333849728892,wm
T=0.9_5_wm,0.9,1.9159,0.3012,53.82596199524941,wm
T=0.9_6_wm,0.9,1.525,0.4277,80.8182619240097,wm
T=0.9_7_wm,0.9,1.583,0.3976,81.36522585669782,wm
T=0.9_8_wm,0.9,1.475,0.4518,79.86357541899442,wm
T=0.9_9_wm,0.9,1.6065,0.4639,77.94063504823151,wm
T=0.9_10_wm,0.9,1.4718,0.4337,78.01307939053729,wm
T=0.9_11_wm,0.9,1.297,0.4518,85.89319812792512,wm
T=0.9_12_wm,0.9,1.5881,0.4096,78.42511737089202,wm
T=0.9_13_wm,0.9,1.3502,0.4518,81.61407171314741,wm
T=0.9_14_wm,0.9,1.5352,0.4096,70.60653568564555,wm
T=0.9_15_wm,0.9,1.3346,0.4578,83.10659367396593,wm
T=0.9_16_wm,0.9,1.6413,0.4096,82.95502933780386,wm
T=0.9_17_wm,0.9,1.7431,0.3855,28.86391233766233,wm
T=0.9_18_wm,0.9,1.4866,0.4217,73.81817966903074,wm
T=0.9_19_wm,0.9,1.368,0.4458,79.51003055767762,wm
T=0.9_20_wm,0.9,1.3664,0.3916,75.3407698289269,wm
T=0.9_21_wm,0.9,1.4709,0.4458,85.01114988104679,wm
T=0.9_22_wm,0.9,1.5023,0.3795,83.97616733067728,wm
T=0.9_23_wm,0.9,1.4277,0.3976,84.84870942201108,wm
T=0.9_24_wm,0.9,1.8412,0.3554,28.874665592264304,wm
T=0.9_25_wm,0.9,1.4473,0.4639,80.97473264166001,wm
T=0.9_26_wm,0.9,1.3111,0.4639,84.90329307568439,wm
T=0.9_27_wm,0.9,1.4707,0.4337,82.43585308056872,wm
T=0.9_28_wm,0.9,1.3059,0.4337,85.44617739403455,wm
T=0.9_29_wm,0.9,1.4706,0.4217,65.13927777777776,wm
T=0.9_30_wm,0.9,1.7526,0.3916,63.0180985915493,wm
T=0.9_31_wm,0.9,1.7602,0.3614,33.36780210867802,wm
T=0.9_32_wm,0.9,1.4982,0.4398,77.31654895666132,wm
T=0.9_33_wm,0.9,1.4951,0.3795,76.95930086410056,wm
T=0.9_34_wm,0.9,1.5904,0.3855,63.9517014446228,wm
T=0.9_35_wm,0.9,1.5477,0.4337,67.95278275020341,wm
T=0.9_36_wm,0.9,1.4403,0.4157,71.9367017828201,wm
T=0.9_37_wm,0.9,1.5567,0.4096,77.02090460526315,wm
T=0.9_38_wm,0.9,1.6499,0.4217,59.39028823058447,wm
T=0.9_39_wm,0.9,1.5227,0.4036,78.31770735524256,wm
T=0.9_40_wm,0.9,1.4869,0.4518,32.6355219123506,wm
T=0.9_41_wm,0.9,1.4857,0.4578,76.94366957903098,wm
T=0.9_42_wm,0.9,1.5998,0.4277,77.23194815396701,wm
T=0.9_43_wm,0.9,1.3783,0.4337,82.25273855702095,wm
T=0.9_44_wm,0.9,1.6089,0.4277,66.98657232704403,wm
T=0.9_45_wm,0.9,1.4086,0.4819,81.81649484536084,wm
T=0.9_46_wm,0.9,1.4035,0.4639,78.18158961881589,wm
T=0.9_47_wm,0.9,1.4561,0.3976,66.75881870385562,wm
T=0.9_48_wm,0.9,1.5547,0.3373,77.40142742582198,wm
T=0.9_49_wm,0.9,1.5681,0.4157,68.79699759807846,wm
T=0.9_50_wm,0.9,1.3125,0.4458,86.55363853503184,wm
T=0.3_1_original,0.3,0.7447,0.5482,89.27665597433841,original
T=0.3_2_original,0.3,0.7201,0.5602,89.32233277591973,original
T=0.3_3_original,0.3,0.7331,0.5422,89.37997555012225,original
T=0.3_4_original,0.3,0.7574,0.5783,87.58742461287694,original
T=0.3_5_original,0.3,0.7229,0.5542,87.09265791632487,original
T=0.3_6_original,0.3,0.7681,0.5663,88.6091646966115,original
T=0.3_7_original,0.3,0.716,0.5904,87.76184826472962,original
T=0.3_8_original,0.3,0.7313,0.5482,87.53361532322425,original
T=0.3_9_original,0.3,0.7386,0.5904,87.19530874097833,original
T=0.3_10_original,0.3,0.716,0.5723,86.38767828843106,original
T=0.3_11_original,0.3,0.7174,0.5904,87.13443996776793,original
T=0.3_12_original,0.3,0.7876,0.5602,90.031856,original
T=0.3_13_original,0.3,0.7656,0.5843,89.22931291390728,original
T=0.3_14_original,0.3,0.7526,0.5843,89.67813897763578,original
T=0.3_15_original,0.3,0.7445,0.6145,87.43235104669887,original
T=0.3_16_original,0.3,0.7096,0.5422,89.22308641975309,original
T=0.3_17_original,0.3,0.7765,0.5422,86.55568403908795,original
T=0.3_18_original,0.3,0.7781,0.5843,86.60588282504014,original
T=0.3_19_original,0.3,0.7108,0.5663,89.1331583134447,original
T=0.3_20_original,0.3,0.7081,0.5663,86.38061757719716,original
T=0.3_21_original,0.3,0.7509,0.5301,85.72895127993395,original
T=0.3_22_original,0.3,0.7646,0.5482,87.24539379474939,original
T=0.3_23_original,0.3,0.7335,0.5422,86.58626817447495,original
T=0.3_24_original,0.3,0.7645,0.5602,89.92122891566265,original
T=0.3_25_original,0.3,0.7567,0.5783,87.56230095541402,original
T=0.3_26_original,0.3,0.7209,0.5723,87.42794599018004,original
T=0.3_27_original,0.3,0.7248,0.5843,87.25915721231766,original
T=0.3_28_original,0.3,0.7764,0.5783,88.39790073230269,original
T=0.3_29_original,0.3,0.7519,0.5783,87.6941219512195,original
T=0.3_30_original,0.3,0.7375,0.5542,88.18822950819673,original
T=0.3_31_original,0.3,0.7666,0.5723,87.22516263552961,original
T=0.3_32_original,0.3,0.7234,0.5843,88.04258320126782,original
T=0.3_33_original,0.3,0.7268,0.5542,86.37751836734694,original
T=0.3_34_original,0.3,0.7692,0.5542,88.89960943856794,original
T=0.3_35_original,0.3,0.7174,0.5843,88.2711003236246,original
T=0.3_36_original,0.3,0.7944,0.5783,85.42942323314378,original
T=0.3_37_original,0.3,0.7274,0.5843,88.89102318145484,original
T=0.3_38_original,0.3,0.7458,0.5602,87.22162295081966,original
T=0.3_39_original,0.3,0.7679,0.5422,88.09901652892562,original
T=0.3_40_original,0.3,0.7329,0.5723,86.88662828947368,original
T=0.3_41_original,0.3,0.789,0.5783,86.7212,original
T=0.3_42_original,0.3,0.7681,0.5904,88.72398042414355,original
T=0.3_43_original,0.3,0.7395,0.5602,87.28809328968903,original
T=0.3_44_original,0.3,0.7299,0.5602,88.11728594507271,original
T=0.3_45_original,0.3,0.7598,0.5422,88.6544453312051,original
T=0.3_46_original,0.3,0.7288,0.5843,89.89284345047923,original
T=0.3_47_original,0.3,0.7322,0.5602,88.94921161825727,original
T=0.3_48_original,0.3,0.738,0.6145,88.66427636958299,original
T=0.3_49_original,0.3,0.7183,0.5663,88.5538351822504,original
T=0.3_50_original,0.3,0.7249,0.5723,89.36924543288325,original
T=0.3_1_wm,0.3,0.7207,0.5843,87.13344018764661,wm
T=0.3_2_wm,0.3,0.7473,0.5904,86.49966310599835,wm
T=0.3_3_wm,0.3,0.7575,0.5602,87.57778046811944,wm
T=0.3_4_wm,0.3,0.7609,0.5964,87.88369067103109,wm
T=0.3_5_wm,0.3,0.7753,0.5482,87.52220611916265,wm
T=0.3_6_wm,0.3,0.7267,0.5723,88.31574603174603,wm
T=0.3_7_wm,0.3,0.7302,0.6024,90.28699675324675,wm
T=0.3_8_wm,0.3,0.7354,0.5723,88.08346787479407,wm
T=0.3_9_wm,0.3,0.7734,0.5783,86.71008012820512,wm
T=0.3_10_wm,0.3,0.7823,0.5843,88.26478402607987,wm
T=0.3_11_wm,0.3,0.7318,0.5663,86.85741420590583,wm
T=0.3_12_wm,0.3,0.7518,0.5663,90.26786184210526,wm
T=0.3_13_wm,0.3,0.7895,0.5723,88.5402870813397,wm
T=0.3_14_wm,0.3,0.7482,0.6084,87.54608239095315,wm
T=0.3_15_wm,0.3,0.7633,0.5843,88.5336808340016,wm
T=0.3_16_wm,0.3,0.7033,0.5422,89.7726821192053,wm
T=0.3_17_wm,0.3,0.7367,0.5422,87.83570048309178,wm
T=0.3_18_wm,0.3,0.7897,0.6205,85.40354471544714,wm
T=0.3_19_wm,0.3,0.7158,0.5783,87.39168674698794,wm
T=0.3_20_wm,0.3,0.7317,0.5663,86.53865552903738,wm
T=0.3_21_wm,0.3,0.7409,0.5361,90.02974485596707,wm
T=0.3_22_wm,0.3,0.7558,0.5783,89.12132258064516,wm
T=0.3_23_wm,0.3,0.7319,0.5783,86.47999179655456,wm
T=0.3_24_wm,0.3,0.7369,0.5482,89.29732339089483,wm
T=0.3_25_wm,0.3,0.7324,0.5843,90.22754596322942,wm
T=0.3_26_wm,0.3,0.7267,0.5602,87.52545826513912,wm
T=0.3_27_wm,0.3,0.7187,0.5964,88.27631451612902,wm
T=0.3_28_wm,0.3,0.758,0.5964,86.27842532467533,wm
T=0.3_29_wm,0.3,0.7659,0.5843,90.00337458745874,wm
T=0.3_30_wm,0.3,0.7383,0.5542,86.81075732899023,wm
T=0.3_31_wm,0.3,0.7743,0.5482,87.21329450915142,wm
T=0.3_32_wm,0.3,0.7231,0.5783,88.48144101346001,wm
T=0.3_33_wm,0.3,0.7447,0.5482,85.37955320877336,wm
T=0.3_34_wm,0.3,0.7502,0.5542,89.19272948822096,wm
T=0.3_35_wm,0.3,0.7172,0.5964,88.89254545454546,wm
T=0.3_36_wm,0.3,0.7425,0.5723,87.99583824768324,wm
T=0.3_37_wm,0.3,0.7253,0.5964,89.10230215827337,wm
T=0.3_38_wm,0.3,0.733,0.5482,88.92140879478826,wm
T=0.3_39_wm,0.3,0.7657,0.5422,88.66079668049794,wm
T=0.3_40_wm,0.3,0.7294,0.5422,84.57065952184666,wm
T=0.3_41_wm,0.3,0.7979,0.5783,87.4027617477329,wm
T=0.3_42_wm,0.3,0.7855,0.5542,89.51985282093213,wm
T=0.3_43_wm,0.3,0.7441,0.5542,84.18921824104235,wm
T=0.3_44_wm,0.3,0.726,0.5602,88.14561034761519,wm
T=0.3_45_wm,0.3,0.7362,0.5843,88.00130400628437,wm
T=0.3_46_wm,0.3,0.7646,0.5422,87.87763371150729,wm
T=0.3_47_wm,0.3,0.7349,0.5663,89.20977630488814,wm
T=0.3_48_wm,0.3,0.7392,0.5843,85.53063166529942,wm
T=0.3_49_wm,0.3,0.7173,0.5602,87.98468873128448,wm
T=0.3_50_wm,0.3,0.7525,0.5783,88.70102788844622,wm
T=0.5_1_original,0.5,0.833,0.512,86.9199761526232,original
T=0.5_2_original,0.5,0.8756,0.5181,89.16832116788322,original
T=0.5_3_original,0.5,0.9099,0.5,84.22637775960753,original
T=0.5_4_original,0.5,0.8479,0.5542,88.36852459016394,original
T=0.5_5_original,0.5,0.8659,0.5181,87.25910628019324,original
T=0.5_6_original,0.5,0.9517,0.512,87.01744094488188,original
T=0.5_7_original,0.5,0.8256,0.5663,87.44720670391062,original
T=0.5_8_original,0.5,0.8223,0.5241,88.80992659053834,original
T=0.5_9_original,0.5,0.8866,0.5663,83.80912559618443,original
T=0.5_10_original,0.5,0.8595,0.5482,87.01731803797469,original
T=0.5_11_original,0.5,0.8472,0.5361,85.2693623890234,original
T=0.5_12_original,0.5,0.9288,0.5602,89.67143896523848,original
T=0.5_13_original,0.5,0.8504,0.5602,86.61162337662337,original
T=0.5_14_original,0.5,0.9141,0.5482,86.979568,original
T=0.5_15_original,0.5,0.8935,0.5783,79.4401198083067,original
T=0.5_16_original,0.5,0.839,0.5301,88.89161106590724,original
T=0.5_17_original,0.5,0.8997,0.506,85.60427524429967,original
T=0.5_18_original,0.5,0.9528,0.512,85.40580593424218,original
T=0.5_19_original,0.5,0.8545,0.5241,87.0384511517077,original
T=0.5_20_original,0.5,0.8815,0.5241,86.95511041009463,original
T=0.5_21_original,0.5,0.8313,0.5301,85.63856192851206,original
T=0.5_22_original,0.5,0.9511,0.5361,86.42948738170347,original
T=0.5_23_original,0.5,0.854,0.5422,89.54795768917819,original
T=0.5_24_original,0.5,0.9478,0.5,87.92457189014539,original
T=0.5_25_original,0.5,0.8791,0.5241,86.69180223285485,original
T=0.5_26_original,0.5,0.8238,0.5422,88.9602840909091,original
T=0.5_27_original,0.5,0.8787,0.5181,86.9533410672854,original
T=0.5_28_original,0.5,0.9322,0.488,86.49138645418327,original
T=0.5_29_original,0.5,0.8787,0.5663,85.20424815119146,original
T=0.5_30_original,0.5,0.8544,0.5542,87.2219315403423,original
T=0.5_31_original,0.5,0.8766,0.5482,89.08082524271845,original
T=0.5_32_original,0.5,0.8134,0.5602,88.44783333333332,original
T=0.5_33_original,0.5,0.8128,0.5241,88.58471974004875,original
T=0.5_34_original,0.5,0.9172,0.5181,88.70773645917542,original
T=0.5_35_original,0.5,0.8683,0.5301,88.39562651576394,original
T=0.5_36_original,0.5,0.9185,0.5301,85.77921207041074,original
T=0.5_37_original,0.5,0.8558,0.5663,89.32434887459806,original
T=0.5_38_original,0.5,0.8646,0.5361,88.89239059967585,original
T=0.5_39_original,0.5,0.9202,0.506,88.3998974763407,original
T=0.5_40_original,0.5,0.8557,0.5301,87.73906451612903,original
T=0.5_41_original,0.5,0.8833,0.5663,87.29945512820512,original
T=0.5_42_original,0.5,0.8781,0.5602,87.24624496373892,original
T=0.5_43_original,0.5,0.8681,0.5843,88.74883064516128,original
T=0.5_44_original,0.5,0.8852,0.5542,89.15309542902968,original
T=0.5_45_original,0.5,0.911,0.512,89.048808,original
