sample,T,score,seq_recovery,pLDDT,type
T=0.9_1_original,0.9,1.5201,0.3816,71.4433298074889,original
T=0.9_2_original,0.9,1.5883,0.3783,71.07105645496056,original
T=0.9_3_original,0.9,1.4928,0.4013,75.80268911144258,original
T=0.9_4_original,0.9,1.4831,0.3964,78.35686253712346,original
T=0.9_5_original,0.9,1.5318,0.3783,63.123549820181935,original
T=0.9_6_original,0.9,1.5114,0.4095,76.51266554196542,original
T=0.9_7_original,0.9,1.5723,0.3668,71.12330691796959,original
T=0.9_8_original,0.9,1.381,0.4227,80.19577923451047,original
T=0.9_9_original,0.9,1.4401,0.4243,70.568198482933,original
T=0.9_10_original,0.9,1.5776,0.3964,74.30430743243242,original
T=0.9_11_original,0.9,1.541,0.3947,65.85351084389092,original
T=0.9_12_original,0.9,1.4945,0.3882,76.43120909477264,original
T=0.9_13_original,0.9,1.5473,0.3701,68.43159581286051,original
T=0.9_14_original,0.9,1.5565,0.3882,73.64687724487639,original
T=0.9_15_original,0.9,1.4588,0.3799,70.339078253533,original
T=0.9_16_original,0.9,1.473,0.3799,70.31058313965772,original
T=0.9_17_original,0.9,1.5554,0.4013,75.64831843691542,original
T=0.9_18_original,0.9,1.4702,0.3816,74.98733064344871,original
T=0.9_19_original,0.9,1.5782,0.375,72.42347461273667,original
T=0.9_20_original,0.9,1.5084,0.4046,74.9715743871513,original
T=0.9_21_original,0.9,1.4954,0.4046,71.17428842905406,original
T=0.9_22_original,0.9,1.5277,0.3865,68.59156349038665,original
T=0.9_23_original,0.9,1.5752,0.4112,70.24341186369374,original
T=0.9_24_original,0.9,1.5092,0.3865,67.82452269834535,original
T=0.9_25_original,0.9,1.4979,0.3766,71.3518835978836,original
T=0.9_26_original,0.9,1.5522,0.3997,67.49792693110648,original
T=0.9_27_original,0.9,1.5251,0.398,71.91627538071066,original
T=0.9_28_original,0.9,1.4799,0.3914,73.05739270386267,original
T=0.9_29_original,0.9,1.5696,0.3438,73.36217152513731,original
T=0.9_30_original,0.9,1.5559,0.4112,75.91147430497051,original
T=0.9_31_original,0.9,1.4339,0.4161,75.5718316726733,original
T=0.9_32_original,0.9,1.4558,0.3947,69.78092082616179,original
T=0.9_33_original,0.9,1.45,0.3865,73.22113130881095,original
T=0.9_34_original,0.9,1.5291,0.3832,75.69486193712828,original
T=0.9_35_original,0.9,1.485,0.3964,79.5249744463373,original
T=0.9_36_original,0.9,1.5722,0.3799,72.11367225642114,original
T=0.9_37_original,0.9,1.4848,0.3997,72.87540303613427,original
T=0.9_38_original,0.9,1.3991,0.4128,75.53765988676872,original
T=0.9_39_original,0.9,1.5565,0.3865,71.51679038832869,original
T=0.9_40_original,0.9,1.4994,0.3947,71.64907118786857,original
T=0.9_41_original,0.9,1.5314,0.3931,74.1259249841068,original
T=0.9_42_original,0.9,1.5223,0.3783,67.0559140922556,original
T=0.9_43_original,0.9,1.4509,0.4128,65.41669486149293,original
T=0.9_44_original,0.9,1.5289,0.3898,70.06210336793053,original
T=0.9_45_original,0.9,1.4933,0.4276,76.90213378492803,original
T=0.9_46_original,0.9,1.4672,0.398,79.03535359932447,original
T=0.9_47_original,0.9,1.6102,0.3882,71.19117136199958,original
T=0.9_48_original,0.9,1.5024,0.398,67.3911852631579,original
T=0.9_49_original,0.9,1.5031,0.3849,73.54696134956225,original
T=0.9_50_original,0.9,1.5534,0.4046,73.3574825322888,original
T=0.9_1_wm,0.9,1.606,0.3783,69.88752116850127,wm
T=0.9_2_wm,0.9,1.5818,0.3717,76.24355124420077,wm
T=0.9_3_wm,0.9,1.4894,0.4079,74.84946669477235,wm
T=0.9_4_wm,0.9,1.6159,0.3717,71.61911983032873,wm
T=0.9_5_wm,0.9,1.5858,0.3651,68.69507150480256,wm
T=0.9_6_wm,0.9,1.4849,0.403,72.49593930326994,wm
T=0.9_7_wm,0.9,1.7207,0.3569,64.27418629100085,wm
T=0.9_8_wm,0.9,1.5798,0.3701,67.16153637123746,wm
T=0.9_9_wm,0.9,1.4711,0.3964,62.57291808149405,wm
T=0.9_10_wm,0.9,1.5876,0.3783,76.1976734258271,wm
T=0.9_11_wm,0.9,1.6026,0.3553,66.27113737075334,wm
