sample,T,score,seq_recovery,pLDDT,type
T=0.9_1_original,0.9,1.538,0.3746,58.45889321227843,original
T=0.9_2_original,0.9,1.6128,0.3779,49.24663655913978,original
T=0.9_3_original,0.9,1.5524,0.3679,51.0186113537118,original
T=0.9_4_original,0.9,1.5995,0.3813,59.030725975660935,original
T=0.9_5_original,0.9,1.639,0.311,47.570976744186055,original
T=0.9_6_original,0.9,1.674,0.3913,55.88281772575251,original
T=0.9_7_original,0.9,1.4988,0.3545,56.52979671280277,original
T=0.9_8_original,0.9,1.4408,0.3779,43.83108484592655,original
T=0.9_9_original,0.9,1.4834,0.398,61.96940976645435,original
T=0.9_10_original,0.9,1.5137,0.408,45.28545255793616,original
T=0.9_11_original,0.9,1.4998,0.4247,58.14428753180662,original
T=0.9_12_original,0.9,1.4114,0.3712,57.58289970625262,original
T=0.9_13_original,0.9,1.5153,0.3946,51.63067732435843,original
T=0.9_14_original,0.9,1.4761,0.3779,60.63803129074315,original
T=0.9_15_original,0.9,1.4885,0.398,32.63663894967177,original
T=0.9_16_original,0.9,1.5848,0.3813,53.88561707523246,original
T=0.9_17_original,0.9,1.5491,0.3946,53.71249893571733,original
T=0.9_18_original,0.9,1.4835,0.3712,61.86073422069559,original
T=0.9_19_original,0.9,1.736,0.3779,46.118464532871975,original
T=0.9_20_original,0.9,1.499,0.4214,46.882596964586845,original
T=0.9_21_original,0.9,1.5158,0.388,56.976532188841205,original
T=0.9_22_original,0.9,1.4923,0.398,53.08613373339049,original
T=0.9_23_original,0.9,1.5564,0.3746,37.08491768678768,original
T=0.9_24_original,0.9,1.3908,0.4247,29.3840372407956,original
T=0.9_25_original,0.9,1.5063,0.4348,49.50545454545455,original
T=0.9_26_original,0.9,1.4404,0.3612,33.934444444444445,original
T=0.9_27_original,0.9,1.5636,0.3612,55.82763636363636,original
T=0.9_28_original,0.9,1.4528,0.3779,57.237581810454735,original
T=0.9_29_original,0.9,1.3478,0.4415,61.90588893671976,original
T=0.9_30_original,0.9,1.5545,0.4013,48.53375649913345,original
T=0.9_31_original,0.9,1.5534,0.3712,54.88277236116999,original
T=0.9_32_original,0.9,1.4989,0.3913,59.21245169600688,original
T=0.9_33_original,0.9,1.5084,0.3712,49.19148116800677,original
T=0.9_34_original,0.9,1.5478,0.3645,49.3762445793582,original
T=0.9_35_original,0.9,1.3353,0.4214,58.78263363754889,original
T=0.9_36_original,0.9,1.5545,0.3645,47.89564028180688,original
T=0.9_37_original,0.9,1.5342,0.3679,51.1247998349154,original
T=0.9_38_original,0.9,1.6172,0.3913,54.81368129527056,original
T=0.9_39_original,0.9,1.5953,0.3946,58.81330468414267,original
T=0.9_40_original,0.9,1.678,0.3244,50.437561807331626,original
T=0.9_41_original,0.9,1.3388,0.398,56.37247284878865,original
T=0.9_42_original,0.9,1.5649,0.3946,55.14803887688985,original
T=0.9_43_original,0.9,1.58,0.4181,53.71920695504665,original
T=0.9_44_original,0.9,1.5384,0.3846,27.544207343412527,original
T=0.9_45_original,0.9,1.4649,0.4181,58.60586206896551,original
T=0.9_46_original,0.9,1.5274,0.3344,61.40085884353742,original
T=0.9_47_original,0.9,1.4549,0.3612,27.00678417884781,original
T=0.9_48_original,0.9,1.6064,0.3645,38.30163052905464,original
