sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.438,0.3705,73.46482633645424,original
T=0.7_2_original,0.7,1.3196,0.3705,76.48003372164317,original
T=0.7_3_original,0.7,1.354,0.3632,73.36078907435508,original
T=0.7_4_original,0.7,1.3843,0.3923,75.89699644549763,original
T=0.7_5_original,0.7,1.395,0.339,74.22929143195968,original
T=0.7_6_original,0.7,1.4392,0.3293,74.69331467295227,original
T=0.7_7_original,0.7,1.392,0.3535,79.56159367396594,original
T=0.7_8_original,0.7,1.3219,0.3341,72.45483707025411,original
T=0.7_9_original,0.7,1.3689,0.3608,73.78347472924189,original
T=0.7_10_original,0.7,1.3243,0.3705,59.26258724428399,original
T=0.7_11_original,0.7,1.3774,0.3608,75.01464588377725,original
T=0.7_12_original,0.7,1.3822,0.3632,76.296599940245,original
T=0.7_13_original,0.7,1.4088,0.3341,71.97836914924935,original
T=0.7_14_original,0.7,1.3296,0.3777,78.66446353224835,original
T=0.7_15_original,0.7,1.3545,0.3801,80.95076529075024,original
T=0.7_16_original,0.7,1.3186,0.3729,76.34550458715596,original
T=0.7_17_original,0.7,1.3751,0.3366,80.38632646971053,original
T=0.7_18_original,0.7,1.3926,0.3414,79.35829021706809,original
T=0.7_19_original,0.7,1.3151,0.368,75.171708749266,original
T=0.7_20_original,0.7,1.3288,0.368,71.75604117647059,original
T=0.7_21_original,0.7,1.392,0.385,70.68725147928993,original
T=0.7_22_original,0.7,1.3944,0.3632,74.60909367396594,original
T=0.7_23_original,0.7,1.4652,0.3584,69.03686768676867,original
T=0.7_24_original,0.7,1.3411,0.3656,75.80884207335556,original
T=0.7_25_original,0.7,1.3851,0.3729,78.48236266981691,original
T=0.7_26_original,0.7,1.2792,0.3898,76.60068574836015,original
T=0.7_27_original,0.7,1.2954,0.3632,76.08366318926974,original
T=0.7_28_original,0.7,1.3123,0.3705,80.93861769115443,original
T=0.7_29_original,0.7,1.3381,0.3729,75.46311184606134,original
T=0.7_30_original,0.7,1.3644,0.3535,71.69604658018868,original
T=0.7_31_original,0.7,1.4312,0.3705,75.69559472716125,original
T=0.7_32_original,0.7,1.395,0.339,74.90078401922499,original
T=0.7_33_original,0.7,1.3272,0.3705,70.01626128838049,original
T=0.7_34_original,0.7,1.298,0.385,74.5696246566982,original
T=0.7_35_original,0.7,1.3151,0.368,72.56127570789866,original
T=0.7_36_original,0.7,1.3473,0.3438,75.97591768292683,original
T=0.7_37_original,0.7,1.4163,0.3487,72.2706704750451,original
T=0.7_38_original,0.7,1.415,0.3559,81.86793134872417,original
T=0.7_39_original,0.7,1.3666,0.3559,76.38609734249029,original
T=0.7_40_original,0.7,1.3439,0.3535,73.26511724547343,original
T=0.7_41_original,0.7,1.3897,0.3414,62.45589508002371,original
T=0.7_42_original,0.7,1.3942,0.3632,68.98450335161488,original
T=0.7_43_original,0.7,1.4408,0.3705,73.88354003612281,original
T=0.7_44_original,0.7,1.3002,0.3511,75.01036234036235,original
T=0.7_45_original,0.7,1.2899,0.3632,77.46411746987951,original
T=0.7_46_original,0.7,1.2647,0.3971,76.52758693680073,original
T=0.7_47_original,0.7,1.3958,0.368,76.33062329803327,original
T=0.7_48_original,0.7,1.369,0.3317,76.17479525222552,original
T=0.7_49_original,0.7,1.4385,0.3656,75.15901884534848,original
T=0.7_50_original,0.7,1.3227,0.3341,73.0490800119868,original
T=0.7_1_wm,0.7,1.3641,0.3559,73.32909645909646,wm
T=0.7_2_wm,0.7,1.3918,0.3366,74.4451468362095,wm
T=0.7_3_wm,0.7,1.438,0.3898,75.42876584188292,wm
T=0.7_4_wm,0.7,1.3594,0.368,76.0475388755981,wm
