sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.2215,0.4504,84.39308609271524,original
T=0.7_2_original,0.7,1.1197,0.4555,82.93038095238094,original
T=0.7_3_original,0.7,1.1345,0.458,80.77141977309562,original
T=0.7_4_original,0.7,1.1957,0.4784,80.33638734920117,original
T=0.7_5_original,0.7,1.2715,0.4148,82.43847637415621,original
T=0.7_6_original,0.7,1.2733,0.4122,89.01045323047252,original
T=0.7_7_original,0.7,1.1876,0.4427,83.59170370370371,original
T=0.7_8_original,0.7,1.2072,0.43,80.67582838283828,original
T=0.7_9_original,0.7,1.1827,0.4198,81.05044451761606,original
T=0.7_10_original,0.7,1.1303,0.4682,84.88490006447454,original
T=0.7_11_original,0.7,1.1675,0.4606,81.61500993377484,original
T=0.7_12_original,0.7,1.1738,0.4707,85.07338258914233,original
T=0.7_13_original,0.7,1.0857,0.4631,84.04284840682331,original
T=0.7_14_original,0.7,1.2767,0.4351,83.31882200647249,original
T=0.7_15_original,0.7,1.2831,0.4351,80.13782636655948,original
T=0.7_16_original,0.7,1.1392,0.4427,81.88393959508795,original
T=0.7_17_original,0.7,1.1534,0.4962,83.52536025848141,original
T=0.7_18_original,0.7,1.1797,0.4504,84.58582274356468,original
T=0.7_19_original,0.7,1.1627,0.4682,87.03463245033113,original
T=0.7_20_original,0.7,1.1875,0.4326,82.48319148936172,original
T=0.7_21_original,0.7,1.1572,0.4555,84.83522479126526,original
T=0.7_22_original,0.7,1.2539,0.4555,85.44221902017293,original
T=0.7_23_original,0.7,1.1008,0.4453,82.05100198412698,original
T=0.7_24_original,0.7,1.1653,0.4504,83.55039266173156,original
T=0.7_25_original,0.7,1.1569,0.4427,81.54892156862745,original
T=0.7_26_original,0.7,1.2297,0.4122,83.8414077669903,original
T=0.7_27_original,0.7,1.1949,0.4326,83.14737450462351,original
T=0.7_28_original,0.7,1.1826,0.4631,81.65510310965631,original
T=0.7_29_original,0.7,1.2087,0.4249,80.28135292218275,original
T=0.7_30_original,0.7,1.1128,0.4885,84.59946067415729,original
T=0.7_31_original,0.7,1.2082,0.4377,83.55786014891551,original
T=0.7_32_original,0.7,1.1241,0.4453,81.71116279069767,original
T=0.7_33_original,0.7,1.1611,0.4631,83.4883366733467,original
T=0.7_34_original,0.7,1.1124,0.4555,82.74495033643063,original
T=0.7_35_original,0.7,1.1964,0.43,82.49586040527501,original
T=0.7_36_original,0.7,1.1574,0.4733,83.27669596354167,original
T=0.7_37_original,0.7,1.0616,0.4606,82.8560295599597,original
T=0.7_38_original,0.7,1.2411,0.4529,83.25093277581216,original
T=0.7_39_original,0.7,1.2002,0.4656,83.66890897140979,original
T=0.7_40_original,0.7,1.1578,0.4606,84.00935387673957,original
T=0.7_41_original,0.7,1.1395,0.486,82.508942847704,original
T=0.7_42_original,0.7,1.194,0.4148,79.44519540229885,original
T=0.7_43_original,0.7,1.2412,0.4555,80.3707654723127,original
T=0.7_44_original,0.7,1.1471,0.4656,81.91727456258411,original
T=0.7_45_original,0.7,1.1427,0.4758,80.36412442396313,original
T=0.7_46_original,0.7,1.1966,0.4707,83.75675089083254,original
T=0.7_47_original,0.7,1.1417,0.4453,84.5517151257759,original
T=0.7_48_original,0.7,1.2688,0.4122,83.13239441195581,original
T=0.7_49_original,0.7,1.19,0.4148,81.90829545454547,original
T=0.7_50_original,0.7,1.1242,0.4504,81.5794272547729,original
T=0.7_1_wm,0.7,1.2475,0.43,81.96314778645834,wm
T=0.7_2_wm,0.7,1.2233,0.4656,83.2940038999025,wm
T=0.7_3_wm,0.7,1.3192,0.4224,79.93119460500964,wm
T=0.7_4_wm,0.7,1.147,0.4656,81.11773432449904,wm
T=0.7_5_wm,0.7,1.2121,0.4173,82.07558403634005,wm
T=0.7_6_wm,0.7,1.1995,0.4122,90.17177336747758,wm
T=0.7_7_wm,0.7,1.1511,0.4504,82.25140109009298,wm
T=0.7_8_wm,0.7,1.286,0.4148,81.54960569913851,wm
T=0.7_9_wm,0.7,1.2247,0.43,84.05847035702588,wm
T=0.7_10_wm,0.7,1.1221,0.4707,80.77933204259439,wm
T=0.7_11_wm,0.7,1.0498,0.4911,84.41569849246231,wm
T=0.7_12_wm,0.7,1.2638,0.4758,83.49973462783171,wm
T=0.7_13_wm,0.7,1.1577,0.4529,82.08251847092836,wm
T=0.7_14_wm,0.7,1.2154,0.4606,83.7007244931871,wm
T=0.7_15_wm,0.7,1.178,0.4427,81.1296114920013,wm
T=0.7_16_wm,0.7,1.126,0.4402,83.30658139534884,wm
T=0.7_17_wm,0.7,1.2389,0.4784,83.06604093380237,wm
T=0.7_18_wm,0.7,1.2205,0.4453,82.57753326841933,wm
T=0.7_19_wm,0.7,1.1935,0.4606,81.86370467167593,wm
T=0.7_20_wm,0.7,1.1662,0.4275,79.65211363636364,wm
T=0.7_21_wm,0.7,1.2207,0.4351,83.13071267333117,wm
T=0.7_22_wm,0.7,1.2986,0.4326,82.91499836547892,wm
T=0.7_23_wm,0.7,1.1193,0.4682,82.51405704697986,wm
T=0.7_24_wm,0.7,1.0973,0.4911,82.46481079302401,wm
T=0.7_25_wm,0.7,1.1497,0.4504,83.17613408939293,wm
T=0.7_26_wm,0.7,1.2152,0.4606,82.32678758169935,wm
T=0.7_27_wm,0.7,1.213,0.4351,78.20455324760964,wm
T=0.7_28_wm,0.7,1.1626,0.4606,80.6235189954926,wm
T=0.7_29_wm,0.7,1.1307,0.4555,79.26573563600132,wm
T=0.7_30_wm,0.7,1.1824,0.4402,87.71403908794788,wm
T=0.7_31_wm,0.7,1.1358,0.4427,84.5017953730857,wm
T=0.7_32_wm,0.7,1.1913,0.4631,84.33323707186031,wm
T=0.7_33_wm,0.7,1.1958,0.4631,82.34623440577808,wm
T=0.7_34_wm,0.7,1.1161,0.4427,81.49892500804636,wm
T=0.7_35_wm,0.7,1.2103,0.4224,80.91524610987615,wm
T=0.7_36_wm,0.7,1.1845,0.4606,81.5565105540897,wm
T=0.7_37_wm,0.7,1.089,0.4682,84.2015514905149,wm
T=0.7_38_wm,0.7,1.1642,0.4606,83.82008143322476,wm
T=0.7_39_wm,0.7,1.1603,0.4555,81.7410621177985,wm
T=0.7_40_wm,0.7,1.2112,0.4427,80.77668224299066,wm
T=0.7_41_wm,0.7,1.1849,0.4606,83.50791680207995,wm
T=0.7_42_wm,0.7,1.1685,0.4326,84.46229417507323,wm
T=0.7_43_wm,0.7,1.1532,0.4733,81.67502477700694,wm
T=0.7_44_wm,0.7,1.1088,0.4631,83.14513666666667,wm
T=0.7_45_wm,0.7,1.1203,0.4784,82.27682736156352,wm
T=0.7_46_wm,0.7,1.1532,0.4733,84.00656692406693,wm
T=0.7_47_wm,0.7,1.1586,0.4351,81.4816559070368,wm
