sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.3031,0.4114,86.24313982011448,original
T=0.7_2_original,0.7,1.3719,0.4114,86.31507120253164,original
T=0.7_3_original,0.7,1.2261,0.4367,87.97896850393701,original
T=0.7_4_original,0.7,1.2865,0.462,86.11847389558233,original
T=0.7_5_original,0.7,1.36,0.4304,88.77823863636364,original
T=0.7_6_original,0.7,1.2681,0.4747,88.67130048465266,original
T=0.7_7_original,0.7,1.1885,0.462,85.81860932475885,original
T=0.7_8_original,0.7,1.2179,0.4684,87.47826645264848,original
T=0.7_9_original,0.7,1.3058,0.443,85.77399836467703,original
T=0.7_10_original,0.7,1.1509,0.5063,88.3375825946817,original
T=0.7_11_original,0.7,1.2796,0.4747,84.99546593578701,original
T=0.7_12_original,0.7,1.3495,0.443,85.60580593424218,original
T=0.7_13_original,0.7,1.2664,0.4241,85.241432,original
T=0.7_14_original,0.7,1.5995,0.3671,82.2970747740345,original
T=0.7_15_original,0.7,1.3321,0.4684,85.78670408981554,original
T=0.7_16_original,0.7,1.2501,0.4873,87.43703459637561,original
T=0.7_17_original,0.7,1.2024,0.4177,85.64446601941748,original
T=0.7_18_original,0.7,1.2804,0.4241,86.2992937399679,original
T=0.7_19_original,0.7,1.3654,0.3924,81.697896,original
T=0.7_20_original,0.7,1.1672,0.4747,87.64452076677316,original
T=0.7_21_original,0.7,1.2028,0.4367,86.19399841646872,original
T=0.7_22_original,0.7,1.1656,0.4937,87.41544866612773,original
T=0.7_23_original,0.7,1.217,0.4367,85.22918725099602,original
T=0.7_24_original,0.7,1.5262,0.3987,79.75376592356687,original
T=0.7_25_original,0.7,1.1909,0.462,83.72671178343948,original
T=0.7_26_original,0.7,1.2018,0.481,87.38375921375922,original
T=0.7_27_original,0.7,1.1618,0.4494,85.17147082990962,original
T=0.7_28_original,0.7,1.3257,0.4051,81.5741077170418,original
T=0.7_29_original,0.7,1.3572,0.4367,80.76270817120623,original
T=0.7_30_original,0.7,1.2966,0.4747,86.17864448051948,original
T=0.7_31_original,0.7,1.2403,0.4494,87.88450079239301,original
T=0.7_32_original,0.7,1.2939,0.4684,83.93523734177215,original
