sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,0.8602,0.5205,86.71914414414414,original
T=0.3_2_original,0.3,0.8673,0.4795,89.24233666410453,original
T=0.3_3_original,0.3,0.8256,0.5263,87.07691002949852,original
T=0.3_4_original,0.3,0.8781,0.5088,86.8762729273661,original
T=0.3_5_original,0.3,0.8429,0.5146,89.36524904214559,original
T=0.3_6_original,0.3,0.8359,0.538,85.37661337209302,original
T=0.3_7_original,0.3,0.8547,0.4854,86.48992614475628,original
T=0.3_8_original,0.3,0.8625,0.5146,85.23675516224189,original
T=0.3_9_original,0.3,0.8733,0.5029,86.09681085043988,original
T=0.3_10_original,0.3,0.8572,0.4854,85.24576754385964,original
T=0.3_11_original,0.3,0.8283,0.5263,87.40519025875192,original
T=0.3_12_original,0.3,0.8298,0.4912,86.7032475397426,original
T=0.3_13_original,0.3,0.8154,0.462,86.73919910179642,original
T=0.3_14_original,0.3,0.8546,0.4854,88.07058208955225,original
T=0.3_15_original,0.3,0.8335,0.5029,87.55096212121211,original
T=0.3_16_original,0.3,0.8562,0.4854,87.83275373134327,original
T=0.3_17_original,0.3,0.8619,0.4971,86.66192700729927,original
T=0.3_18_original,0.3,0.8442,0.4561,86.70120508982036,original
T=0.3_19_original,0.3,0.8953,0.5088,86.66836510263929,original
T=0.3_20_original,0.3,0.8733,0.5088,87.82577528089888,original
T=0.3_21_original,0.3,0.8513,0.462,86.67343488194973,original
T=0.3_22_original,0.3,0.8494,0.5146,86.6316085989622,original
T=0.3_23_original,0.3,0.8246,0.4971,86.89715562174237,original
T=0.3_24_original,0.3,0.8627,0.4737,86.5517899408284,original
T=0.3_25_original,0.3,0.8476,0.4912,87.18304347826087,original
T=0.3_26_original,0.3,0.8717,0.462,86.73055679287305,original
T=0.3_27_original,0.3,0.8705,0.4795,87.02472305389222,original
T=0.3_28_original,0.3,0.8705,0.4678,86.74935840707965,original
T=0.3_29_original,0.3,0.8502,0.4795,86.60868924889544,original
T=0.3_30_original,0.3,0.8535,0.4795,85.87434210526317,original
T=0.3_31_original,0.3,0.8363,0.4912,87.14100377358491,original
T=0.3_32_original,0.3,0.8544,0.4971,86.92642696629214,original
T=0.3_33_original,0.3,0.8133,0.5029,87.9640167682927,original
T=0.3_34_original,0.3,0.8272,0.5146,86.33112283345892,original
T=0.3_35_original,0.3,0.8568,0.4971,86.10304606240712,original
T=0.3_36_original,0.3,0.8848,0.4795,87.21749063670413,original
T=0.3_37_original,0.3,0.8401,0.4795,87.53923816568046,original
T=0.3_38_original,0.3,0.8986,0.5088,85.81702802359884,original
T=0.3_39_original,0.3,0.8283,0.5146,87.87526996197718,original
T=0.3_40_original,0.3,0.8513,0.5088,87.63998501872659,original
T=0.3_41_original,0.3,0.8521,0.4912,87.45543002915453,original
T=0.3_42_original,0.3,0.8413,0.4737,86.2983431085044,original
T=0.3_43_original,0.3,0.8458,0.5263,87.29356664184661,original
T=0.3_44_original,0.3,0.8767,0.4795,85.98274596182085,original
T=0.3_45_original,0.3,0.844,0.5146,88.45541510845177,original
T=0.3_46_original,0.3,0.8436,0.4854,87.9507803030303,original
T=0.3_47_original,0.3,0.834,0.5029,86.36518491124261,original
T=0.3_48_original,0.3,0.8747,0.5029,85.63292101341283,original
T=0.3_49_original,0.3,0.8344,0.4912,87.53322751322752,original
T=0.3_50_original,0.3,0.8826,0.4678,86.77427611940298,original
T=0.3_1_wm,0.3,0.8217,0.462,88.20247927656368,wm
T=0.3_2_wm,0.3,0.8321,0.4795,88.66203136669156,wm
T=0.3_3_wm,0.3,0.8442,0.5088,86.22065249266862,wm
T=0.3_4_wm,0.3,0.8744,0.5146,86.67239385065885,wm
T=0.3_5_wm,0.3,0.8375,0.5029,87.87866417910449,wm
T=0.3_6_wm,0.3,0.8306,0.5146,85.88817258883249,wm
T=0.3_7_wm,0.3,0.8398,0.4854,86.79617603550295,wm
T=0.3_8_wm,0.3,0.8674,0.5205,85.9519587628866,wm
T=0.3_9_wm,0.3,0.8717,0.5029,85.6240087463557,wm
T=0.3_10_wm,0.3,0.8489,0.5088,86.03610698365527,wm
T=0.3_11_wm,0.3,0.8855,0.5497,85.93862418537292,wm
T=0.3_12_wm,0.3,0.8331,0.4854,86.13944360902255,wm
T=0.3_13_wm,0.3,0.8221,0.4737,86.90445190156599,wm
T=0.3_14_wm,0.3,0.9086,0.5146,85.66379335793359,wm
T=0.3_15_wm,0.3,0.822,0.4912,87.97760935143287,wm
T=0.3_16_wm,0.3,0.8699,0.4854,87.1699033457249,wm
T=0.3_17_wm,0.3,0.8534,0.5029,85.96478645066274,wm
T=0.3_18_wm,0.3,0.8364,0.4503,86.04609281437125,wm
T=0.3_19_wm,0.3,0.8589,0.4854,86.63808005930318,wm
T=0.3_20_wm,0.3,0.8653,0.5146,87.26209217264082,wm
T=0.3_21_wm,0.3,0.851,0.4795,86.88244375484872,wm
T=0.3_22_wm,0.3,0.8441,0.5088,86.85820000000001,wm
T=0.3_23_wm,0.3,0.8323,0.4912,86.70282640949556,wm
T=0.3_24_wm,0.3,0.8466,0.4854,87.09521545319465,wm
T=0.3_25_wm,0.3,0.8501,0.4795,86.91855970149254,wm
T=0.3_26_wm,0.3,0.9014,0.4503,86.34376311844078,wm
T=0.3_27_wm,0.3,0.8939,0.4854,86.56518195050946,wm
T=0.3_28_wm,0.3,0.9047,0.462,84.97654017857143,wm
T=0.3_29_wm,0.3,0.8394,0.4854,85.66687779433681,wm
T=0.3_30_wm,0.3,0.8361,0.4737,85.73035818713451,wm
T=0.3_31_wm,0.3,0.8455,0.4971,87.4803765060241,wm
T=0.3_32_wm,0.3,0.8549,0.4912,86.77215730337079,wm
T=0.3_33_wm,0.3,0.8021,0.5205,86.79150037509378,wm
T=0.3_34_wm,0.3,0.8262,0.5205,87.10187358916478,wm
T=0.3_35_wm,0.3,0.8278,0.4737,88.2632129420617,wm
T=0.3_36_wm,0.3,0.8935,0.5029,86.12896807720861,wm
T=0.3_37_wm,0.3,0.8667,0.5029,86.85206011730205,wm
T=0.3_38_wm,0.3,0.8955,0.4971,86.13504431314622,wm
T=0.3_39_wm,0.3,0.8241,0.4795,86.9792539562924,wm
T=0.3_40_wm,0.3,0.8596,0.5029,87.93155522163788,wm
T=0.3_41_wm,0.3,0.8536,0.4912,86.79513573000733,wm
T=0.3_42_wm,0.3,0.8472,0.462,86.48420588235294,wm
T=0.3_43_wm,0.3,0.8322,0.5146,86.86421481481482,wm
T=0.3_44_wm,0.3,0.8199,0.5029,86.86323636363635,wm
T=0.3_45_wm,0.3,0.8217,0.5205,88.1315592203898,wm
T=0.3_46_wm,0.3,0.83,0.4912,87.99221547799696,wm
T=0.3_47_wm,0.3,0.837,0.4971,87.52002222222222,wm
T=0.3_48_wm,0.3,0.8744,0.5205,85.20795352323839,wm
T=0.3_49_wm,0.3,0.8336,0.4854,87.30996985681989,wm
T=0.3_50_wm,0.3,0.8722,0.4795,86.23176029962548,wm
T=0.7_1_original,0.7,1.2529,0.4503,85.78350797266515,original
T=0.7_2_original,0.7,1.2425,0.4152,86.00121951219512,original
T=0.7_3_original,0.7,1.1521,0.4561,86.80231277533039,original
T=0.7_4_original,0.7,1.2343,0.4327,84.96842027920646,original
T=0.7_5_original,0.7,1.284,0.4035,86.12757800891531,original
T=0.7_6_original,0.7,1.3694,0.4211,83.34366473149493,original
T=0.7_7_original,0.7,1.2434,0.4678,84.78661115133961,original
T=0.7_8_original,0.7,1.2595,0.4327,85.16377262853005,original
T=0.7_9_original,0.7,1.2831,0.4327,80.67369343065693,original
T=0.7_10_original,0.7,1.2436,0.4327,83.93200886262925,original
T=0.7_11_original,0.7,1.2347,0.462,83.46206360946746,original
T=0.7_12_original,0.7,1.2405,0.4327,82.93969674556213,original
T=0.7_13_original,0.7,1.2822,0.4444,85.31140762463343,original
T=0.7_14_original,0.7,1.3339,0.4152,83.73246913580248,original
T=0.7_15_original,0.7,1.2051,0.4327,84.27576895306859,original
T=0.7_16_original,0.7,1.2608,0.4327,84.69194174757283,original
T=0.7_17_original,0.7,1.2469,0.4327,82.32630450321658,original
T=0.7_18_original,0.7,1.2811,0.4152,85.79729872084273,original
T=0.7_19_original,0.7,1.1847,0.462,84.24585703865792,original
T=0.7_20_original,0.7,1.2314,0.4561,85.66944237918216,original
T=0.7_21_original,0.7,1.239,0.4503,84.84883244882487,original
T=0.7_22_original,0.7,1.2711,0.462,81.93738848920863,original
T=0.7_23_original,0.7,1.3779,0.4269,83.7749421965318,original
T=0.7_24_original,0.7,1.2222,0.4327,86.25740043446778,original
T=0.7_25_original,0.7,1.365,0.4211,81.37277655677656,original
T=0.7_26_original,0.7,1.164,0.4152,85.10143067846609,original
T=0.7_27_original,0.7,1.2672,0.4327,83.60929145361577,original
T=0.7_28_original,0.7,1.1516,0.4211,85.10098664688428,original
T=0.7_29_original,0.7,1.3006,0.4327,84.72166421207659,original
T=0.7_30_original,0.7,1.2689,0.3977,85.03096439169138,original
T=0.7_31_original,0.7,1.1947,0.4678,87.42261689291101,original
T=0.7_32_original,0.7,1.3004,0.4444,84.95926793557832,original
T=0.7_33_original,0.7,1.2214,0.4795,87.67616261398176,original
T=0.7_34_original,0.7,1.2018,0.4795,85.54880329094989,original
T=0.7_35_original,0.7,1.104,0.4503,86.41201210287443,original
T=0.7_36_original,0.7,1.2984,0.3977,85.35391634980988,original
T=0.7_37_original,0.7,1.0626,0.4327,85.33102356406481,original
T=0.7_38_original,0.7,1.186,0.4737,85.18497413155949,original
T=0.7_39_original,0.7,1.1429,0.4561,87.3386895011169,original
T=0.7_40_original,0.7,1.2093,0.4503,84.15632668144863,original
T=0.7_41_original,0.7,1.2077,0.4269,84.94004267425319,original
T=0.7_42_original,0.7,1.2365,0.4269,83.21031664212077,original
T=0.7_43_original,0.7,1.1575,0.4444,86.59325774754346,original
T=0.7_44_original,0.7,1.2412,0.386,81.20117350611952,original
T=0.7_45_original,0.7,1.4485,0.4094,81.16717699775953,original
T=0.7_46_original,0.7,1.2195,0.3977,84.95031851851851,original
T=0.7_47_original,0.7,1.3201,0.4386,82.68709064327486,original
T=0.7_48_original,0.7,1.1854,0.4269,83.62986706056131,original
T=0.7_49_original,0.7,1.1533,0.4386,85.2289978370584,original
T=0.7_50_original,0.7,1.1979,0.4561,82.98605477424131,original
T=0.7_1_wm,0.7,1.306,0.462,85.01390753169278,wm
T=0.7_2_wm,0.7,1.2063,0.4327,83.48674538745388,wm
T=0.7_3_wm,0.7,1.112,0.4912,86.09769058295964,wm
T=0.7_4_wm,0.7,1.2628,0.4269,83.45493430656934,wm
T=0.7_5_wm,0.7,1.2947,0.4386,84.96102710413695,wm
T=0.7_6_wm,0.7,1.3683,0.4327,83.19632801161103,wm
T=0.7_7_wm,0.7,1.226,0.4503,84.14573782234957,wm
T=0.7_8_wm,0.7,1.1751,0.4561,83.09803468208092,wm
T=0.7_9_wm,0.7,1.275,0.4386,83.36668817204301,wm
T=0.7_10_wm,0.7,1.2034,0.4035,85.53708459214502,wm
T=0.7_11_wm,0.7,1.1789,0.4795,84.55362897265336,wm
T=0.7_12_wm,0.7,1.3092,0.4269,85.1800218978102,wm
T=0.7_13_wm,0.7,1.3466,0.4444,82.56721656976744,wm
T=0.7_14_wm,0.7,1.2211,0.4854,84.39203619909503,wm
T=0.7_15_wm,0.7,1.0957,0.462,84.93381684981685,wm
T=0.7_16_wm,0.7,1.121,0.4678,87.32347957639941,wm
T=0.7_17_wm,0.7,1.1475,0.4444,85.90191426459718,wm
T=0.7_18_wm,0.7,1.306,0.4211,82.97098348348348,wm
T=0.7_19_wm,0.7,1.2979,0.4327,84.47110622710622,wm
T=0.7_20_wm,0.7,1.1775,0.4854,84.17895131086142,wm
T=0.7_21_wm,0.7,1.2825,0.4152,83.17489214175654,wm
T=0.7_22_wm,0.7,1.295,0.4503,84.07951201747997,wm
T=0.7_23_wm,0.7,1.361,0.4269,81.3935739814153,wm
T=0.7_24_wm,0.7,1.4177,0.386,85.27244883040936,wm
T=0.7_25_wm,0.7,1.4502,0.3977,81.7952802359882,wm
T=0.7_26_wm,0.7,1.2209,0.4327,82.67540959409594,wm
T=0.7_27_wm,0.7,1.2595,0.4269,81.78026845637584,wm
T=0.7_28_wm,0.7,1.2715,0.4094,86.03159073935772,wm
T=0.7_29_wm,0.7,1.3126,0.4854,83.53706973293768,wm
T=0.7_30_wm,0.7,1.2428,0.4327,84.2708797653959,wm
T=0.7_31_wm,0.7,1.3012,0.3918,83.500066518847,wm
T=0.7_32_wm,0.7,1.2714,0.4269,84.33319117647059,wm
T=0.7_33_wm,0.7,1.2842,0.4795,85.69091183119819,wm
T=0.7_34_wm,0.7,1.2931,0.4386,84.86049019607843,wm
T=0.7_35_wm,0.7,1.1974,0.4444,83.76099118942732,wm
T=0.7_36_wm,0.7,1.397,0.4327,83.57251488095237,wm
T=0.7_37_wm,0.7,1.1865,0.4211,84.24373265157048,wm
T=0.7_38_wm,0.7,1.1844,0.462,84.5019494047619,wm
T=0.7_39_wm,0.7,1.2562,0.4269,84.43318047337279,wm
T=0.7_40_wm,0.7,1.1817,0.4503,84.00108808290156,wm
T=0.7_41_wm,0.7,1.3351,0.4094,84.54096727272727,wm
T=0.7_42_wm,0.7,1.2093,0.4678,83.86215743440233,wm
T=0.7_43_wm,0.7,1.1825,0.4444,85.68659854014598,wm
T=0.7_44_wm,0.7,1.2004,0.4561,83.57784229390681,wm
T=0.7_45_wm,0.7,1.3534,0.4094,84.53379284082254,wm
T=0.7_46_wm,0.7,1.2135,0.4503,82.85237777777778,wm
T=0.7_47_wm,0.7,1.1734,0.4327,82.25729651162791,wm
T=0.7_48_wm,0.7,1.216,0.462,83.96235161532684,wm
T=0.7_49_wm,0.7,1.1231,0.4444,86.78849964106244,wm
