sample,T,score,seq_recovery,pLDDT,type
T=0.3_1_original,0.3,1.3454,0.2267,72.869318971508,original
T=0.3_2_original,0.3,1.2346,0.28,77.09510211145725,original
T=0.3_3_original,0.3,1.3229,0.2507,76.02941900205057,original
T=0.3_4_original,0.3,1.3206,0.2533,87.77004366812227,original
T=0.3_5_original,0.3,1.3714,0.248,73.54883012259195,original
T=0.3_6_original,0.3,1.2057,0.2693,76.74386317907445,original
T=0.3_7_original,0.3,1.307,0.2693,86.03718965517241,original
T=0.3_8_original,0.3,1.2628,0.2667,75.50612556929082,original
T=0.3_9_original,0.3,1.2541,0.24,76.78547238855622,original
T=0.3_10_original,0.3,1.3011,0.248,70.26773829859924,original
T=0.3_11_original,0.3,1.1562,0.28,76.5443903345725,original
T=0.3_12_original,0.3,1.2511,0.256,72.18996997998664,original
T=0.3_13_original,0.3,1.3519,0.2213,81.85378531073447,original
T=0.3_14_original,0.3,1.2828,0.2613,73.88204839244283,original
T=0.3_15_original,0.3,1.3087,0.2453,75.95957046979865,original
T=0.3_16_original,0.3,1.3442,0.2133,68.5731589958159,original
T=0.3_17_original,0.3,1.3059,0.2613,76.31116988809767,original
T=0.3_18_original,0.3,1.2051,0.2427,73.24317184942717,original
T=0.3_19_original,0.3,1.2659,0.288,82.18422875131165,original
T=0.3_20_original,0.3,1.2296,0.2507,72.91856720341768,original
T=0.3_21_original,0.3,1.3643,0.2133,70.53973174872665,original
T=0.3_22_original,0.3,1.2126,0.2587,77.33278422273783,original
T=0.3_23_original,0.3,1.3073,0.24,76.16659993436167,original
T=0.3_24_original,0.3,1.3662,0.2187,74.51885257301807,original
T=0.3_25_original,0.3,1.2252,0.2693,87.46912744388123,original
T=0.3_26_original,0.3,1.2489,0.2267,76.61795398230089,original
T=0.3_27_original,0.3,1.3396,0.24,80.46554655870446,original
T=0.3_28_original,0.3,1.2983,0.2773,73.02641042560211,original
T=0.3_29_original,0.3,1.3056,0.232,70.52641744548286,original
T=0.3_30_original,0.3,1.2136,0.2507,76.22139019476158,original
T=0.3_31_original,0.3,1.2743,0.2427,75.7172548376517,original
T=0.3_32_original,0.3,1.2929,0.24,73.50135061391542,original
T=0.3_33_original,0.3,1.3169,0.248,85.71771509167841,original
T=0.3_34_original,0.3,1.3281,0.248,81.76487008660894,original
T=0.3_35_original,0.3,1.3844,0.2347,76.37620560109289,original
T=0.3_36_original,0.3,1.2816,0.296,78.62476275419193,original
T=0.3_37_original,0.3,1.239,0.2427,79.52950727513227,original
T=0.3_38_original,0.3,1.264,0.264,79.66030172413792,original
T=0.3_39_original,0.3,1.2084,0.24,80.63751691474967,original
T=0.3_40_original,0.3,1.2738,0.2667,65.59705499276411,original
T=0.3_41_original,0.3,1.3565,0.264,77.41228656518861,original
T=0.3_42_original,0.3,1.351,0.2507,75.45917651029363,original
T=0.3_43_original,0.3,1.3293,0.2453,80.92064102564103,original
T=0.3_44_original,0.3,1.2758,0.256,76.8760080240722,original
T=0.3_45_original,0.3,1.2783,0.272,86.94983687943262,original
T=0.3_46_original,0.3,1.2149,0.2773,87.6880654338549,original
T=0.3_47_original,0.3,1.3752,0.2213,62.45193993786677,original
T=0.3_48_original,0.3,1.3333,0.2373,70.1250033557047,original
T=0.3_49_original,0.3,1.3608,0.248,74.80036828135368,original
T=0.3_50_original,0.3,1.3539,0.2347,69.75482113005684,original
T=0.3_1_wm,0.3,1.2679,0.256,75.24057228915663,wm
T=0.3_2_wm,0.3,1.2952,0.2667,75.62287473610134,wm
