sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.4185,0.3319,94.2412162162162,original
T=0.7_2_original,0.7,1.3048,0.3787,95.4762937062937,original
T=0.7_3_original,0.7,1.4954,0.3532,92.86571428571428,original
T=0.7_4_original,0.7,1.4602,0.3468,93.86517814090544,original
T=0.7_5_original,0.7,1.4108,0.3787,95.32401966138724,original
T=0.7_6_original,0.7,1.3852,0.366,95.27526030368765,original
T=0.7_7_original,0.7,1.3503,0.3979,85.10772466539197,original
T=0.7_8_original,0.7,1.5161,0.3638,94.7832878953108,original
T=0.7_9_original,0.7,1.4388,0.3468,94.58479608482872,original
T=0.7_10_original,0.7,1.366,0.3383,94.64414261931188,original
T=0.7_11_original,0.7,1.3789,0.3404,94.48773026315789,original
T=0.7_12_original,0.7,1.343,0.3426,94.4018522632602,original
T=0.7_13_original,0.7,1.3094,0.3638,94.89403336067816,original
T=0.7_14_original,0.7,1.3875,0.3702,95.44956747878456,original
T=0.7_15_original,0.7,1.3754,0.3702,94.1130055401662,original
T=0.7_16_original,0.7,1.4434,0.3362,93.97092366204836,original
T=0.7_17_original,0.7,1.3742,0.3745,94.98281713805656,original
T=0.7_18_original,0.7,1.3842,0.3447,85.18509202453987,original
T=0.7_19_original,0.7,1.4432,0.3489,94.14304383116882,original
T=0.7_20_original,0.7,1.406,0.3468,93.54434009447068,original
T=0.7_21_original,0.7,1.3084,0.3362,93.7370546984572,original
T=0.7_22_original,0.7,1.3711,0.3787,95.145756993966,original
T=0.7_23_original,0.7,1.3025,0.3553,92.26927556422405,original
T=0.7_24_original,0.7,1.3646,0.3383,95.00226048319912,original
T=0.7_25_original,0.7,1.3756,0.383,93.08109004739336,original
T=0.7_26_original,0.7,1.4049,0.3617,94.36531624863686,original
T=0.7_27_original,0.7,1.3721,0.3319,93.78840896664845,original
T=0.7_28_original,0.7,1.3301,0.3915,94.97841313269493,original
T=0.7_29_original,0.7,1.4466,0.3277,93.95545108695654,original
T=0.7_30_original,0.7,1.3695,0.383,89.32154185022026,original
T=0.7_31_original,0.7,1.3919,0.3574,93.32842541436465,original
T=0.7_32_original,0.7,1.4281,0.3404,94.99516243516244,original
T=0.7_33_original,0.7,1.3608,0.3617,95.208413304253,original
T=0.7_34_original,0.7,1.525,0.366,95.03536151279198,original
T=0.7_35_original,0.7,1.4117,0.3468,95.73806824435884,original
T=0.7_36_original,0.7,1.4089,0.3617,94.76720852949322,original
T=0.7_37_original,0.7,1.3431,0.3532,94.19248493150684,original
T=0.7_38_original,0.7,1.4375,0.366,94.11600603070175,original
T=0.7_39_original,0.7,1.4504,0.3574,94.6690180806676,original
T=0.7_40_original,0.7,1.4285,0.3277,94.45405921416712,original
T=0.7_41_original,0.7,1.4105,0.3426,94.70363759479956,original
T=0.7_42_original,0.7,1.3772,0.3702,92.19870229007634,original
T=0.7_43_original,0.7,1.3973,0.3404,94.7971602884082,original
T=0.7_44_original,0.7,1.4649,0.334,93.36131098391932,original
T=0.7_45_original,0.7,1.3655,0.3596,93.90056244830438,original
T=0.7_46_original,0.7,1.3786,0.3638,94.6759921193358,original
T=0.7_47_original,0.7,1.5274,0.3532,94.68770572207085,original
T=0.7_48_original,0.7,1.3813,0.3532,92.98936170212764,original
T=0.7_49_original,0.7,1.5304,0.3064,91.54853867403314,original
T=0.7_50_original,0.7,1.367,0.3383,93.96335110861634,original
T=0.7_1_wm,0.7,1.4153,0.3383,94.77777181587122,wm
T=0.7_2_wm,0.7,1.3795,0.3511,94.9591304347826,wm
T=0.7_3_wm,0.7,1.4348,0.3596,90.75575849682234,wm
T=0.7_4_wm,0.7,1.3369,0.4064,93.93682362775148,wm
T=0.7_5_wm,0.7,1.4511,0.3553,94.40354346014996,wm
T=0.7_6_wm,0.7,1.3379,0.3936,95.09216689466484,wm
T=0.7_7_wm,0.7,1.3588,0.3787,94.36944059817225,wm
T=0.7_8_wm,0.7,1.4145,0.3809,94.72095721338452,wm
T=0.7_9_wm,0.7,1.3598,0.3702,94.54343538336494,wm
T=0.7_10_wm,0.7,1.38,0.3851,94.58979149291076,wm
T=0.7_11_wm,0.7,1.4004,0.3404,89.738192264574,wm
T=0.7_12_wm,0.7,1.3448,0.3532,93.60934540389972,wm
T=0.7_13_wm,0.7,1.3782,0.3809,95.11009126106194,wm
T=0.7_14_wm,0.7,1.3563,0.3596,95.2611252419132,wm
T=0.7_15_wm,0.7,1.4378,0.334,94.46318958502847,wm
T=0.7_16_wm,0.7,1.4231,0.3489,94.3462228335626,wm
T=0.7_17_wm,0.7,1.433,0.3596,94.07350235522306,wm
T=0.7_18_wm,0.7,1.4021,0.3447,93.18021775544388,wm
T=0.7_19_wm,0.7,1.4021,0.3553,95.48607744107744,wm
T=0.7_20_wm,0.7,1.3951,0.3574,94.3635141903172,wm
T=0.7_21_wm,0.7,1.3316,0.3532,94.5400810055866,wm
T=0.7_22_wm,0.7,1.4082,0.3447,94.40011691136488,wm
T=0.7_23_wm,0.7,1.3525,0.3319,82.08784281395987,wm
T=0.7_24_wm,0.7,1.3685,0.3766,94.88371070931848,wm
T=0.7_25_wm,0.7,1.3712,0.3638,93.15516352549888,wm
T=0.7_26_wm,0.7,1.3805,0.3489,94.23427173913043,wm
T=0.7_27_wm,0.7,1.3577,0.3787,94.36536836252432,wm
T=0.7_28_wm,0.7,1.3862,0.3574,94.07871949547572,wm
T=0.7_29_wm,0.7,1.5388,0.3277,95.01608362940696,wm
