sample,T,score,seq_recovery,pLDDT,type
T=0.7_1_original,0.7,1.3848,0.4211,73.95705263157895,original
T=0.7_2_original,0.7,1.2894,0.4105,83.29839673913044,original
T=0.7_3_original,0.7,1.2764,0.3895,78.61160377358492,original
T=0.7_4_original,0.7,1.3504,0.3895,38.9129945054945,original
T=0.7_5_original,0.7,1.3772,0.3789,79.83173130193906,original
T=0.7_6_original,0.7,1.5766,0.3684,27.774879032258063,original
T=0.7_7_original,0.7,1.35,0.3895,65.86090296495956,original
T=0.7_8_original,0.7,1.4013,0.3684,74.4814647887324,original
T=0.7_9_original,0.7,1.1741,0.4737,84.2023901098901,original
T=0.7_10_original,0.7,1.2193,0.4211,83.06545081967214,original
T=0.7_11_original,0.7,1.4745,0.4,79.96509933774834,original
T=0.7_12_original,0.7,1.4053,0.4316,73.80747967479675,original
T=0.7_13_original,0.7,1.2681,0.3789,76.677107001321,original
T=0.7_14_original,0.7,1.3235,0.4316,75.53310810810811,original
T=0.7_15_original,0.7,1.213,0.4842,78.1449649368864,original
T=0.7_16_original,0.7,1.5158,0.3263,81.09224598930481,original
T=0.7_17_original,0.7,1.2598,0.4,82.33701086956522,original
T=0.7_18_original,0.7,1.3973,0.3789,63.492587131367294,original
T=0.7_19_original,0.7,1.3949,0.3895,51.2695564516129,original
T=0.7_20_original,0.7,1.4367,0.4,61.1864558629776,original
T=0.7_21_original,0.7,1.2221,0.4316,38.82842681258551,original
T=0.7_22_original,0.7,1.2567,0.4737,64.01117250673855,original
T=0.7_23_original,0.7,1.5109,0.4105,56.64620104438641,original
T=0.7_24_original,0.7,1.4868,0.4,82.63890080428953,original
T=0.7_25_original,0.7,1.344,0.3684,78.74481975967957,original
T=0.7_26_original,0.7,1.2704,0.4421,85.32800275482093,original
T=0.7_27_original,0.7,1.4793,0.3579,79.34133891213389,original
T=0.7_28_original,0.7,1.4518,0.3579,75.97261044176707,original
T=0.7_29_original,0.7,1.2805,0.3895,37.40769448373408,original
T=0.7_30_original,0.7,1.3032,0.3579,77.99241573033709,original
T=0.7_31_original,0.7,1.3341,0.4,34.53569736842105,original
T=0.7_32_original,0.7,1.5126,0.4526,73.63435356200529,original
T=0.7_33_original,0.7,1.4354,0.3579,36.34545702592087,original
T=0.7_34_original,0.7,1.349,0.3895,33.347795698924735,original
T=0.7_35_original,0.7,1.4297,0.4211,34.82201079622132,original
T=0.7_36_original,0.7,1.4134,0.4105,79.76722147651007,original
T=0.7_37_original,0.7,1.2797,0.4526,81.1788951048951,original
T=0.7_38_original,0.7,1.4338,0.4,66.89312841530054,original
T=0.7_39_original,0.7,1.3298,0.4105,32.831810810810815,original
T=0.7_40_original,0.7,1.3877,0.4316,79.41023448275863,original
T=0.7_41_original,0.7,1.3932,0.3684,30.19706777316736,original
T=0.7_42_original,0.7,1.1269,0.4842,87.53380543633763,original
T=0.7_43_original,0.7,1.3506,0.3684,55.89012178619757,original
