sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.6555,0.5504,90.65412406947893,original
T=0.1_2_original,0.1,0.6633,0.531,91.2503256513026,original
T=0.1_3_original,0.1,0.6597,0.5388,91.45092629482072,original
T=0.1_4_original,0.1,0.6756,0.5388,91.09827760891592,original
T=0.1_5_original,0.1,0.6738,0.5659,91.65027162977869,original
T=0.1_6_original,0.1,0.681,0.5349,91.3170726714432,original
T=0.1_7_original,0.1,0.6617,0.5504,90.29004987531172,original
T=0.1_8_original,0.1,0.6731,0.5504,91.07770759042285,original
T=0.1_9_original,0.1,0.6702,0.5543,91.53599696356277,original
T=0.1_10_original,0.1,0.6685,0.5465,91.87497969543146,original
T=0.1_11_original,0.1,0.6727,0.5388,91.54107723577238,original
T=0.1_12_original,0.1,0.6689,0.5426,91.4021897073663,original
T=0.1_13_original,0.1,0.6601,0.5426,91.46551515151516,original
T=0.1_14_original,0.1,0.6498,0.5349,90.94607,original
T=0.1_15_original,0.1,0.665,0.5581,91.54263719512196,original
T=0.1_16_original,0.1,0.666,0.5543,91.6563034623218,original
T=0.1_17_original,0.1,0.6621,0.5465,91.4989879759519,original
T=0.1_18_original,0.1,0.6695,0.5388,91.40452357071212,original
T=0.1_19_original,0.1,0.6779,0.5426,91.9620467242255,original
T=0.1_20_original,0.1,0.6507,0.5504,90.47476691729322,original
T=0.1_21_original,0.1,0.6861,0.5349,91.27173536895674,original
T=0.1_22_original,0.1,0.6463,0.5388,90.6271421471173,original
T=0.1_23_original,0.1,0.6556,0.5504,91.30459311033448,original
T=0.1_24_original,0.1,0.6654,0.5426,91.3406970912738,original
T=0.1_25_original,0.1,0.6759,0.5349,91.4039383215369,original
T=0.1_26_original,0.1,0.6608,0.5388,90.98173520561686,original
T=0.1_27_original,0.1,0.6681,0.562,91.47864673086671,original
T=0.1_28_original,0.1,0.6697,0.5543,89.92269809428285,original
T=0.1_29_original,0.1,0.6756,0.5465,91.55348554033483,original
