sample,T,score,seq_recovery,pLDDT,type
T=0.5_1_original,0.5,1.1008,0.4158,38.54328870292887,original
T=0.5_2_original,0.5,1.0909,0.4398,42.34591184573003,original
T=0.5_3_original,0.5,1.0958,0.4136,40.28306055646482,original
T=0.5_4_original,0.5,1.0985,0.4267,40.44111233177699,original
T=0.5_5_original,0.5,1.0525,0.4376,36.34569323144105,original
T=0.5_6_original,0.5,1.1052,0.4267,33.33070676274944,original
T=0.5_7_original,0.5,1.0681,0.4289,32.87140994295029,original
T=0.5_8_original,0.5,1.1283,0.4201,34.29027800490597,original
T=0.5_9_original,0.5,1.0814,0.4289,33.94675122749591,original
T=0.5_10_original,0.5,1.09,0.4267,36.601375820568926,original
T=0.5_11_original,0.5,1.115,0.4201,40.7876472184532,original
T=0.5_12_original,0.5,1.0951,0.4136,37.65118644067796,original
T=0.5_13_original,0.5,1.0301,0.4179,43.73386531617848,original
T=0.5_14_original,0.5,1.0319,0.4267,41.968080443828015,original
T=0.5_15_original,0.5,1.109,0.4267,38.05980397495236,original
T=0.5_16_original,0.5,1.1024,0.4245,35.91004132231405,original
T=0.5_17_original,0.5,1.1314,0.4486,38.67104155276107,original
T=0.5_18_original,0.5,1.0672,0.4464,38.51433138726716,original
T=0.5_19_original,0.5,1.079,0.4136,46.14375886524823,original
T=0.5_20_original,0.5,1.0736,0.4267,43.77126266776226,original
T=0.5_21_original,0.5,1.0907,0.4333,27.639443237371,original
T=0.5_22_original,0.5,1.0755,0.4333,38.08476708507671,original
T=0.5_23_original,0.5,1.0748,0.4092,36.57538817760828,original
T=0.5_24_original,0.5,1.0973,0.4004,40.70699396599013,original
T=0.5_25_original,0.5,1.0726,0.4092,29.911892925430205,original
T=0.5_26_original,0.5,1.0881,0.407,40.21195418161744,original
T=0.5_27_original,0.5,1.0607,0.4267,38.16442876901797,original
T=0.5_28_original,0.5,1.0779,0.4179,34.96606101511879,original
T=0.5_29_original,0.5,1.0803,0.4333,42.14896719978314,original
T=0.5_30_original,0.5,1.1129,0.4136,37.46207785087719,original
T=0.5_31_original,0.5,1.1183,0.4398,37.74390470974808,original
T=0.5_32_original,0.5,1.0952,0.4136,43.026868521549375,original
T=0.5_33_original,0.5,1.0652,0.4354,35.52737014762165,original
T=0.5_34_original,0.5,1.1263,0.4092,32.688600979858464,original
T=0.5_35_original,0.5,1.0984,0.3851,38.88073973347838,original
T=0.5_36_original,0.5,1.0705,0.4245,40.05724735843945,original
T=0.5_37_original,0.5,1.0913,0.4223,33.73216017433941,original
T=0.5_38_original,0.5,1.1274,0.4486,39.70182471661598,original
T=0.5_39_original,0.5,1.084,0.4201,37.2752738960313,original
T=0.5_40_original,0.5,1.1353,0.4026,42.07837681955507,original
T=0.5_41_original,0.5,1.0454,0.4267,40.980234547461365,original
T=0.5_42_original,0.5,1.0777,0.4201,35.488525033829504,original
T=0.5_43_original,0.5,1.1151,0.4136,38.68443748297466,original
T=0.5_44_original,0.5,1.0379,0.4267,40.81792090085141,original
T=0.5_45_original,0.5,1.093,0.4158,36.239124348064784,original
T=0.5_46_original,0.5,1.0714,0.4245,43.2365567867036,original
T=0.5_47_original,0.5,1.0865,0.4201,34.49417121046892,original
T=0.5_48_original,0.5,1.1057,0.4048,45.22718109806064,original
T=0.5_49_original,0.5,1.0811,0.4223,40.944739541160594,original
T=0.5_50_original,0.5,1.0677,0.4114,42.27455315660016,original
T=0.5_1_wm,0.5,1.096,0.4201,40.082821497120925,wm
T=0.5_2_wm,0.5,1.0935,0.4354,39.65217158176944,wm
T=0.5_3_wm,0.5,1.1226,0.442,34.41294297635605,wm
T=0.5_4_wm,0.5,1.0951,0.4179,39.51624419557498,wm
T=0.5_5_wm,0.5,1.0449,0.4639,40.67429346352048,wm
T=0.5_6_wm,0.5,1.1092,0.4398,34.50286978158695,wm
T=0.5_7_wm,0.5,1.061,0.4398,40.02931101272828,wm
T=0.5_8_wm,0.5,1.0948,0.4223,35.69012383048982,wm
T=0.5_9_wm,0.5,1.111,0.4486,37.73784200385357,wm
T=0.5_10_wm,0.5,1.0743,0.4486,35.65130786391523,wm
T=0.5_11_wm,0.5,1.0296,0.442,44.667508848352846,wm
T=0.5_12_wm,0.5,1.117,0.4092,22.780304878048774,wm
T=0.5_13_wm,0.5,1.0755,0.4092,41.904164859002165,wm
T=0.5_14_wm,0.5,1.0709,0.4354,37.47742683600221,wm
T=0.5_15_wm,0.5,1.1137,0.4179,36.893197372023,wm
T=0.5_16_wm,0.5,1.0919,0.4333,40.51148953519978,wm
T=0.5_17_wm,0.5,1.1212,0.4267,35.762197891321975,wm
T=0.5_18_wm,0.5,1.0941,0.4136,37.13141247595493,wm
T=0.5_19_wm,0.5,1.1046,0.4245,42.58482434301522,wm
T=0.5_20_wm,0.5,1.11,0.4201,37.40947942218588,wm
T=0.5_21_wm,0.5,1.087,0.4333,39.29800275103163,wm
T=0.5_22_wm,0.5,1.1416,0.4158,32.95501227161167,wm
T=0.5_23_wm,0.5,1.0685,0.4223,41.94850924918389,wm
T=0.5_24_wm,0.5,1.1032,0.4158,37.63404951856947,wm
T=0.5_25_wm,0.5,1.0812,0.4267,41.42500680642526,wm
T=0.5_26_wm,0.5,1.0808,0.3982,40.1994069640914,wm
T=0.5_27_wm,0.5,1.1222,0.3982,45.988128783709406,wm
T=0.5_28_wm,0.5,1.1341,0.4223,39.01185756837259,wm
T=0.5_29_wm,0.5,1.1008,0.442,35.588138516287984,wm
T=0.5_30_wm,0.5,1.0949,0.407,36.23649108367627,wm
T=0.5_31_wm,0.5,1.1057,0.4311,31.30930796801764,wm
T=0.5_32_wm,0.5,1.0999,0.4223,39.99716275259421,wm
T=0.5_33_wm,0.5,1.0623,0.4289,34.32031805929919,wm
T=0.5_34_wm,0.5,1.0734,0.4201,35.667528610354225,wm
T=0.5_35_wm,0.5,1.0972,0.3851,37.76545404361026,wm
T=0.5_36_wm,0.5,1.1116,0.4289,36.14822246455834,wm
T=0.5_37_wm,0.5,1.1347,0.3982,42.70830344827586,wm
T=0.5_38_wm,0.5,1.1318,0.4179,36.54399116754071,wm
T=0.5_39_wm,0.5,1.1053,0.4376,38.654357495881385,wm
