sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.9671,0.441,86.80524752475247,original
T=0.1_2_original,0.1,0.9651,0.4847,86.16145054945055,original
T=0.1_3_original,0.1,0.9207,0.4629,85.06270085470086,original
T=0.1_4_original,0.1,0.9113,0.476,87.18561017929439,original
T=0.1_5_original,0.1,0.9197,0.4672,87.30579247434434,original
T=0.1_6_original,0.1,0.9645,0.4585,86.27184195882026,original
T=0.1_7_original,0.1,0.9542,0.4672,85.94306029579067,original
T=0.1_8_original,0.1,0.902,0.4585,86.41146612149532,original
T=0.1_9_original,0.1,0.9373,0.441,84.61357746478873,original
T=0.1_10_original,0.1,0.9246,0.4498,86.45024110218141,original
T=0.1_11_original,0.1,0.923,0.4541,85.44684757505773,original
T=0.1_12_original,0.1,0.9686,0.4629,86.96392976588628,original
T=0.1_13_original,0.1,0.968,0.4585,85.87416062465142,original
T=0.1_14_original,0.1,0.9343,0.4454,87.59780821917808,original
T=0.1_15_original,0.1,0.9188,0.4498,86.91840138010353,original
T=0.1_16_original,0.1,0.9296,0.4585,85.47202718006794,original
T=0.1_17_original,0.1,0.9084,0.4672,84.60043128234618,original
T=0.1_18_original,0.1,0.9597,0.4498,85.01182920110193,original
T=0.1_19_original,0.1,0.9261,0.4454,86.00661476355248,original
T=0.1_20_original,0.1,0.9415,0.4541,86.64799210377892,original
T=0.1_21_original,0.1,0.9143,0.4629,85.66105444126075,original
T=0.1_22_original,0.1,0.9247,0.4454,83.10613469156763,original
T=0.1_23_original,0.1,0.965,0.4847,86.3121986607143,original
T=0.1_24_original,0.1,0.9253,0.4498,85.69633069082673,original
T=0.1_25_original,0.1,0.9169,0.4716,84.1910304054054,original
T=0.1_26_original,0.1,0.9397,0.4672,86.68202240896359,original
T=0.1_27_original,0.1,0.9311,0.4629,86.42011402508552,original
T=0.1_28_original,0.1,0.9818,0.4803,87.93108991825612,original
T=0.1_29_original,0.1,0.9359,0.4498,85.3371404109589,original
T=0.1_30_original,0.1,0.956,0.4803,86.41858574610244,original
T=0.1_31_original,0.1,0.9392,0.4541,84.10955988857938,original
T=0.1_32_original,0.1,0.9331,0.441,85.90003395585738,original
T=0.1_33_original,0.1,0.9188,0.4498,85.58470351180196,original
T=0.1_34_original,0.1,0.9271,0.4454,83.41707579185521,original
T=0.1_35_original,0.1,0.9536,0.4629,85.23868243243244,original
T=0.1_36_original,0.1,0.959,0.4585,85.33917218543047,original
T=0.1_37_original,0.1,0.9171,0.4454,85.44841387151791,original
T=0.1_38_original,0.1,0.9631,0.4847,87.50393773894048,original
T=0.1_39_original,0.1,0.9338,0.4847,86.27629775280899,original
