sample,T,score,seq_recovery,pLDDT,type
T=0.1_1_original,0.1,0.7718,0.4939,72.80301218411552,original
T=0.1_2_original,0.1,0.7713,0.4834,66.88064386317907,original
T=0.1_3_original,0.1,0.7651,0.4764,66.48101740899841,original
T=0.1_4_original,0.1,0.7704,0.4851,70.7872504456328,original
T=0.1_5_original,0.1,0.7613,0.4799,66.4091634637124,original
T=0.1_6_original,0.1,0.762,0.4834,66.44381851262223,original
T=0.1_7_original,0.1,0.782,0.4869,70.8325482279049,original
T=0.1_8_original,0.1,0.7842,0.4991,65.24717716357047,original
T=0.1_9_original,0.1,0.82,0.4816,64.00373049021762,original
T=0.1_10_original,0.1,0.7644,0.4886,71.35376438727148,original
T=0.1_11_original,0.1,0.765,0.4869,61.88001353790613,original
T=0.1_12_original,0.1,0.7611,0.5009,63.78206788744976,original
T=0.1_13_original,0.1,0.7668,0.4869,72.04216829212974,original
T=0.1_14_original,0.1,0.7836,0.4851,71.08290990990992,original
T=0.1_15_original,0.1,0.769,0.4886,66.56339281680597,original
T=0.1_16_original,0.1,0.7747,0.4694,63.13589789520825,original
T=0.1_17_original,0.1,0.7628,0.4904,67.14988505747127,original
T=0.1_18_original,0.1,0.7956,0.4869,67.18214446952597,original
T=0.1_19_original,0.1,0.7675,0.5096,64.66609761634507,original
T=0.1_20_original,0.1,0.7504,0.4869,68.02457013574661,original
T=0.1_21_original,0.1,0.7594,0.4851,66.00754179846362,original
T=0.1_22_original,0.1,0.7683,0.4764,64.72380585166705,original
T=0.1_23_original,0.1,0.7509,0.4764,66.39559298884588,original
T=0.1_24_original,0.1,0.7638,0.4676,73.21386430015727,original
T=0.1_25_original,0.1,0.7703,0.4886,63.37145960624575,original
T=0.1_26_original,0.1,0.7672,0.4904,72.1845316001793,original
T=0.1_27_original,0.1,0.7747,0.4834,67.97073209428831,original
T=0.1_28_original,0.1,0.7719,0.4904,66.38143622961806,original
T=0.1_29_original,0.1,0.7921,0.5009,64.28354430379747,original
T=0.1_30_original,0.1,0.7639,0.4834,70.42179538840385,original
T=0.1_31_original,0.1,0.7726,0.4781,71.24507832009083,original
T=0.1_32_original,0.1,0.7523,0.4764,69.75630982082103,original
T=0.1_33_original,0.1,0.7632,0.4641,66.54887206148283,original
T=0.1_34_original,0.1,0.763,0.4764,66.13865178774766,original
T=0.1_35_original,0.1,0.7706,0.4851,70.36808951235805,original
T=0.1_36_original,0.1,0.7756,0.4886,70.13997048808173,original
T=0.1_37_original,0.1,0.7646,0.4781,65.67751511081262,original
T=0.1_38_original,0.1,0.7697,0.4974,64.98786342123057,original
T=0.1_39_original,0.1,0.7611,0.4606,68.38728355474119,original
T=0.1_40_original,0.1,0.7657,0.4781,62.91655056179776,original
T=0.1_41_original,0.1,0.7695,0.4939,66.87693559322034,original
T=0.1_42_original,0.1,0.7973,0.4851,66.81872481735665,original
T=0.1_43_original,0.1,0.7971,0.4991,71.7070939400766,original
T=0.1_44_original,0.1,0.7721,0.4816,61.05522474410326,original
T=0.1_45_original,0.1,0.7644,0.4851,66.27334532374101,original
T=0.1_46_original,0.1,0.7754,0.4886,66.83534366576819,original
T=0.1_47_original,0.1,0.7773,0.4956,62.41890386343216,original
T=0.1_48_original,0.1,0.7556,0.4939,62.45360677966101,original
T=0.1_49_original,0.1,0.7913,0.4921,66.66045782589083,original
T=0.1_50_original,0.1,0.7866,0.4921,65.20424379232506,original
T=0.1_1_wm,0.1,0.8064,0.4869,64.88238,wm
T=0.1_2_wm,0.1,0.7636,0.4869,65.5014693877551,wm
T=0.1_3_wm,0.1,0.7707,0.4658,70.91112943302463,wm
T=0.1_4_wm,0.1,0.766,0.4886,65.44062990360906,wm
T=0.1_5_wm,0.1,0.7618,0.4851,67.51997286909338,wm
T=0.1_6_wm,0.1,0.7631,0.4851,65.83900249943194,wm
T=0.1_7_wm,0.1,0.7806,0.4886,64.34744055630328,wm
T=0.1_8_wm,0.1,0.7805,0.4939,64.91538322405607,wm
T=0.1_9_wm,0.1,0.7988,0.4799,67.2747771556551,wm
T=0.1_10_wm,0.1,0.7634,0.4869,72.52719640852975,wm
T=0.1_11_wm,0.1,0.7542,0.4781,63.35511075949367,wm
T=0.1_12_wm,0.1,0.7624,0.4956,65.30409273294694,wm
T=0.1_13_wm,0.1,0.7654,0.4834,72.09654775344322,wm
T=0.1_14_wm,0.1,0.784,0.4851,69.17998872858429,wm
T=0.1_15_wm,0.1,0.772,0.4816,62.29660257860213,wm
T=0.1_16_wm,0.1,0.7748,0.4676,62.32445141065831,wm
T=0.1_17_wm,0.1,0.762,0.4921,66.95839539607313,wm
T=0.1_18_wm,0.1,0.8004,0.4869,67.36985621208717,wm
T=0.1_19_wm,0.1,0.7676,0.5079,64.34287009748357,wm
T=0.1_20_wm,0.1,0.7502,0.4851,68.19867450802987,wm
